Time,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2055,0.5188,0.8094,0.6138,0.5012,0.5575,1.0577,0.8286,0.9431,0.3644,0.5084,0.4364
0.1,0.2028,0.5122,0.8213,0.5959,0.5117,0.5538,1.0439,0.8097,0.9268,0.3658,0.5228,0.4443
0.2,0.1944,0.4994,0.8303,0.5748,0.5198,0.5473,1.0248,0.7883,0.9066,0.3687,0.5356,0.4521
0.3,0.1819,0.4823,0.8359,0.5511,0.5251,0.5381,1.0009,0.7652,0.883,0.3724,0.5459,0.4591
0.4,0.1673,0.4628,0.8377,0.5255,0.5273,0.5264,0.9725,0.741,0.8568,0.3763,0.5527,0.4645
0.5,0.1491,0.4423,0.8352,0.4983,0.5275,0.5129,0.9396,0.7164,0.828,0.38,0.556,0.468
0.6,0.1257,0.4215,0.8286,0.4693,0.5265,0.4979,0.9019,0.6923,0.7971,0.3835,0.5567,0.4701
0.7,0.097,0.4005,0.8186,0.4385,0.5239,0.4812,0.8597,0.6701,0.7649,0.3871,0.5567,0.4719
0.8,0.0657,0.3795,0.8065,0.4062,0.519,0.4626,0.8141,0.6513,0.7327,0.3902,0.5571,0.4737
0.9,0.035,0.3591,0.7937,0.3729,0.5113,0.4421,0.7667,0.6366,0.7016,0.392,0.5589,0.4754
1,0.0071,0.3401,0.7812,0.3392,0.5009,0.42,0.7188,0.6259,0.6723,0.3918,0.5619,0.4769
1.1,-0.0176,0.323,0.7692,0.3047,0.4881,0.3964,0.6706,0.618,0.6443,0.3894,0.5664,0.4779
1.2,-0.0389,0.308,0.7574,0.2698,0.4728,0.3713,0.6223,0.6112,0.6167,0.3851,0.572,0.4786
1.3,-0.0559,0.2955,0.7454,0.2355,0.4553,0.3454,0.5738,0.6046,0.5892,0.3789,0.5782,0.4786
1.4,-0.0656,0.286,0.7329,0.204,0.4353,0.3196,0.5259,0.5982,0.5621,0.3709,0.5842,0.4775
1.5,-0.0647,0.2799,0.7205,0.177,0.4127,0.2949,0.4799,0.5927,0.5363,0.3614,0.5894,0.4754
1.6,-0.0522,0.2767,0.7086,0.155,0.3879,0.2714,0.4367,0.5887,0.5127,0.3512,0.594,0.4726
1.7,-0.0297,0.2754,0.6977,0.138,0.3612,0.2496,0.3973,0.5869,0.4921,0.3412,0.5984,0.4698
1.8,-0.0005,0.2754,0.6876,0.1257,0.3335,0.2296,0.3619,0.5873,0.4746,0.3314,0.6029,0.4672
1.9,0.0319,0.2761,0.6777,0.1189,0.3062,0.2125,0.331,0.5902,0.4606,0.3218,0.6071,0.4645
2,0.0655,0.2773,0.6677,0.1184,0.2803,0.1993,0.305,0.5954,0.4502,0.3124,0.6108,0.4616
2.1,0.0991,0.2785,0.6576,0.1244,0.257,0.1907,0.2844,0.6025,0.4434,0.3036,0.6143,0.4589
2.2,0.1308,0.2798,0.6478,0.1364,0.2367,0.1866,0.2702,0.6112,0.4407,0.2966,0.6184,0.4575
2.3,0.1581,0.2812,0.6387,0.1535,0.2196,0.1865,0.2624,0.6213,0.4418,0.2922,0.6234,0.4578
2.4,0.179,0.2832,0.63,0.1744,0.2058,0.1901,0.2603,0.632,0.4462,0.2906,0.6292,0.4599
2.5,0.1931,0.2866,0.6217,0.1989,0.1959,0.1974,0.2627,0.6429,0.4528,0.2916,0.6351,0.4633
2.6,0.2004,0.2922,0.6141,0.2269,0.1907,0.2088,0.2687,0.6536,0.4611,0.2953,0.6409,0.4681
2.7,0.2007,0.3008,0.608,0.2586,0.1912,0.2249,0.278,0.6642,0.4711,0.3025,0.6468,0.4747
2.8,0.1925,0.313,0.6036,0.2939,0.198,0.2459,0.291,0.6747,0.4829,0.3137,0.6529,0.4833
2.9,0.1742,0.3289,0.6013,0.3323,0.2109,0.2716,0.3079,0.6852,0.4966,0.3292,0.6588,0.494
3,0.1458,0.3486,0.6014,0.373,0.2295,0.3013,0.3285,0.6959,0.5122,0.348,0.6644,0.5062
3.1,0.1096,0.3716,0.6041,0.4156,0.2529,0.3343,0.3527,0.7068,0.5297,0.3699,0.6694,0.5196
3.2,0.07,0.3976,0.609,0.4598,0.2799,0.3699,0.3801,0.7177,0.5489,0.3941,0.6737,0.5339
3.3,0.0317,0.4262,0.6151,0.5053,0.3098,0.4075,0.4103,0.7284,0.5694,0.4201,0.677,0.5486
3.4,-0.001,0.4573,0.6212,0.5512,0.3417,0.4465,0.4425,0.7387,0.5906,0.4469,0.6785,0.5627
3.5,-0.0254,0.4909,0.6259,0.5963,0.3753,0.4858,0.4758,0.7485,0.6121,0.4735,0.6775,0.5755
3.6,-0.04,0.5276,0.629,0.6393,0.4103,0.5248,0.5097,0.758,0.6339,0.4991,0.6737,0.5864
3.7,-0.0442,0.5676,0.6302,0.6791,0.4467,0.5629,0.5439,0.7677,0.6558,0.5233,0.6679,0.5956
3.8,-0.0374,0.6101,0.6295,0.7147,0.484,0.5994,0.5781,0.7771,0.6776,0.5457,0.6615,0.6036
3.9,-0.0196,0.653,0.6267,0.7452,0.5206,0.6329,0.6118,0.7858,0.6988,0.5659,0.6554,0.6106
4,0.0086,0.6935,0.6219,0.7697,0.5543,0.662,0.6447,0.7931,0.7189,0.5831,0.6501,0.6166
4.1,0.0458,0.7288,0.6152,0.7882,0.5826,0.6854,0.6768,0.7983,0.7375,0.5963,0.6457,0.621
4.2,0.0885,0.7568,0.6074,0.8008,0.6041,0.7025,0.7086,0.801,0.7548,0.6051,0.642,0.6236
4.3,0.1319,0.7765,0.5989,0.8077,0.6187,0.7132,0.7407,0.801,0.7708,0.6095,0.6385,0.624
4.4,0.1706,0.7871,0.5901,0.8085,0.6265,0.7175,0.7731,0.798,0.7856,0.6099,0.6348,0.6224
4.5,0.2016,0.7883,0.5809,0.8026,0.6281,0.7153,0.8049,0.7919,0.7984,0.6062,0.6303,0.6183
4.6,0.2236,0.7807,0.5711,0.7897,0.6236,0.7067,0.8351,0.7827,0.8089,0.5988,0.6243,0.6116
4.7,0.2369,0.7656,0.5609,0.77,0.614,0.692,0.8624,0.7706,0.8165,0.5879,0.617,0.6025
4.8,0.242,0.7447,0.5505,0.7442,0.6003,0.6723,0.8863,0.756,0.8211,0.5746,0.6087,0.5916
4.9,0.2395,0.7198,0.5404,0.7131,0.5837,0.6484,0.9065,0.7393,0.8229,0.5598,0.5998,0.5798
5,0.2289,0.6925,0.5313,0.6775,0.5655,0.6215,0.9224,0.7208,0.8216,0.5444,0.5911,0.5678
5.1,0.2108,0.6643,0.524,0.6391,0.5467,0.5929,0.9337,0.701,0.8173,0.5292,0.5832,0.5562
5.2,0.1861,0.637,0.5197,0.5996,0.5281,0.5638,0.94,0.6803,0.8102,0.5147,0.5766,0.5456
5.3,0.1569,0.6122,0.5202,0.5608,0.5102,0.5355,0.9416,0.6595,0.8005,0.5018,0.5721,0.5369
5.4,0.1255,0.5909,0.527,0.5238,0.4936,0.5087,0.9385,0.6393,0.7889,0.4912,0.5704,0.5308
5.5,0.0938,0.574,0.5417,0.4896,0.4786,0.4841,0.9309,0.6204,0.7756,0.4837,0.5719,0.5278
5.6,0.0627,0.5619,0.5643,0.4591,0.4657,0.4624,0.919,0.6033,0.7611,0.4796,0.5766,0.5281
5.7,0.0334,0.5543,0.5931,0.4333,0.4549,0.4441,0.9022,0.5881,0.7451,0.4784,0.584,0.5312
5.8,0.0071,0.5503,0.6253,0.4135,0.4464,0.4299,0.8801,0.5745,0.7273,0.4791,0.5929,0.536
5.9,-0.0155,0.549,0.6581,0.3998,0.4399,0.4199,0.8532,0.5627,0.708,0.4814,0.6027,0.542
6,-0.034,0.5492,0.6894,0.392,0.4354,0.4137,0.8231,0.5533,0.6882,0.4855,0.6132,0.5493
6.1,-0.0483,0.5503,0.7176,0.3896,0.4326,0.4111,0.7916,0.5466,0.6691,0.4915,0.6245,0.558
6.2,-0.0571,0.5526,0.7415,0.392,0.4311,0.4116,0.7602,0.5423,0.6512,0.4989,0.6367,0.5678
6.3,-0.0585,0.5563,0.7602,0.3992,0.431,0.4151,0.7295,0.5399,0.6347,0.5073,0.6493,0.5783
6.4,-0.0509,0.562,0.7735,0.4107,0.4323,0.4215,0.6999,0.5386,0.6193,0.5157,0.6619,0.5888
6.5,-0.0357,0.5695,0.7817,0.4253,0.4351,0.4302,0.6716,0.5379,0.6048,0.5238,0.6736,0.5987
6.6,-0.0159,0.5783,0.7849,0.4416,0.4394,0.4405,0.6447,0.5371,0.5909,0.5314,0.6838,0.6076
6.7,0.0047,0.5876,0.7839,0.4582,0.4451,0.4517,0.619,0.5358,0.5774,0.5381,0.692,0.6151
6.8,0.024,0.597,0.7799,0.4742,0.4519,0.463,0.5947,0.5342,0.5645,0.5437,0.6983,0.621
6.9,0.0408,0.6059,0.7741,0.4888,0.4594,0.4741,0.5721,0.5331,0.5526,0.5479,0.7028,0.6254
7,0.0554,0.6138,0.7679,0.5015,0.4674,0.4845,0.5514,0.5331,0.5422,0.5508,0.7059,0.6284
7.1,0.0678,0.62,0.762,0.5117,0.4752,0.4935,0.5327,0.5347,0.5337,0.5526,0.7076,0.6301
7.2,0.0781,0.6239,0.7572,0.5188,0.4823,0.5006,0.5158,0.5379,0.5269,0.5532,0.7078,0.6305
7.3,0.0861,0.6251,0.7537,0.5228,0.4879,0.5054,0.5006,0.5426,0.5216,0.5528,0.7064,0.6296
7.4,0.0915,0.6236,0.7517,0.5236,0.4919,0.5077,0.4874,0.5492,0.5183,0.5517,0.7038,0.6277
7.5,0.094,0.62,0.7515,0.5212,0.4942,0.5077,0.4767,0.5585,0.5176,0.5506,0.7001,0.6254
7.6,0.093,0.6149,0.7531,0.5155,0.4954,0.5055,0.4697,0.5713,0.5205,0.5504,0.6953,0.6228
7.7,0.0874,0.6086,0.7557,0.5062,0.4956,0.5009,0.4661,0.5879,0.527,0.5514,0.689,0.6202
7.8,0.0771,0.6011,0.7585,0.4926,0.495,0.4938,0.4654,0.6074,0.5364,0.5536,0.6811,0.6174
7.9,0.0624,0.5919,0.7607,0.4751,0.4933,0.4842,0.4667,0.6286,0.5476,0.5569,0.6716,0.6143
8,0.0446,0.5811,0.7621,0.4542,0.4903,0.4723,0.4695,0.6503,0.5599,0.5613,0.661,0.6111
8.1,0.025,0.5687,0.7629,0.4314,0.4859,0.4587,0.4739,0.672,0.5729,0.5671,0.65,0.6086
8.2,0.0052,0.5553,0.7637,0.4081,0.4804,0.4443,0.48,0.6937,0.5868,0.5746,0.6399,0.6072
8.3,-0.0137,0.5414,0.7646,0.3859,0.4742,0.43,0.4875,0.7154,0.6014,0.5837,0.6318,0.6078
8.4,-0.0307,0.5275,0.7655,0.366,0.4674,0.4167,0.4958,0.7362,0.616,0.5943,0.6267,0.6105
8.5,-0.0449,0.5141,0.766,0.3495,0.4603,0.4049,0.5041,0.7551,0.6296,0.6057,0.6252,0.6154
8.6,-0.0554,0.5014,0.7653,0.3373,0.4531,0.3952,0.5123,0.7706,0.6414,0.6173,0.627,0.6221
8.7,-0.0611,0.4901,0.7627,0.3303,0.4464,0.3883,0.52,0.781,0.6505,0.6281,0.6315,0.6298
8.8,-0.0612,0.4807,0.7578,0.3284,0.4408,0.3846,0.5266,0.7848,0.6557,0.6376,0.6376,0.6376
8.9,-0.0557,0.4733,0.75,0.3308,0.4366,0.3837,0.5309,0.7807,0.6558,0.6453,0.6446,0.645
9,-0.0452,0.4678,0.7393,0.3359,0.4335,0.3847,0.5317,0.7682,0.65,0.6507,0.6521,0.6514
9.1,-0.0305,0.4643,0.7258,0.3423,0.4313,0.3868,0.5282,0.7476,0.6379,0.6533,0.6597,0.6565
