Time,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.6,-0.2935,0.5394,0.8728,0.4388,0.5894,0.5141,0.6226,0.8111,0.7168,0.5037,0.6172,0.5605
24.7,-0.2906,0.5507,0.8806,0.4354,0.5889,0.5122,0.6207,0.8171,0.7189,0.5065,0.6107,0.5586
24.8,-0.2858,0.5603,0.8876,0.4301,0.587,0.5086,0.6163,0.8207,0.7185,0.5083,0.6029,0.5556
24.9,-0.2779,0.5681,0.8928,0.4235,0.5836,0.5036,0.6101,0.8221,0.7161,0.5091,0.5944,0.5517
25,-0.2656,0.5742,0.8953,0.4166,0.5785,0.4976,0.6033,0.8216,0.7124,0.5086,0.5854,0.547
25.1,-0.2493,0.5779,0.8946,0.4098,0.5715,0.4906,0.5965,0.8194,0.7079,0.5072,0.5767,0.542
25.2,-0.2301,0.5788,0.8906,0.4029,0.5619,0.4824,0.5902,0.8154,0.7028,0.5052,0.5689,0.537
25.3,-0.2086,0.5769,0.8835,0.3954,0.5494,0.4724,0.5846,0.8095,0.6971,0.5031,0.5623,0.5327
25.4,-0.1848,0.5721,0.8732,0.387,0.5339,0.4604,0.58,0.8015,0.6907,0.5008,0.5573,0.5291
25.5,-0.158,0.565,0.8595,0.3777,0.5152,0.4464,0.5768,0.7911,0.684,0.4983,0.5543,0.5263
25.6,-0.1274,0.5556,0.8425,0.3676,0.4931,0.4303,0.576,0.7787,0.6774,0.4959,0.5538,0.5248
25.7,-0.0929,0.5439,0.8226,0.3568,0.4675,0.4121,0.578,0.7646,0.6713,0.4943,0.5565,0.5254
25.8,-0.0541,0.5302,0.8001,0.3457,0.4383,0.392,0.5832,0.7486,0.6659,0.4941,0.5628,0.5285
25.9,-0.0102,0.515,0.7755,0.3353,0.406,0.3707,0.5915,0.7309,0.6612,0.496,0.5725,0.5342
26,0.0395,0.4994,0.749,0.3265,0.371,0.3487,0.6029,0.7118,0.6574,0.5,0.5847,0.5423
26.1,0.0954,0.4838,0.7209,0.3196,0.3337,0.3267,0.6175,0.692,0.6548,0.5058,0.5983,0.5521
26.2,0.1566,0.4681,0.6923,0.3148,0.2942,0.3045,0.6348,0.6729,0.6539,0.5131,0.6126,0.5629
26.3,0.2217,0.452,0.6637,0.3119,0.2528,0.2823,0.654,0.6553,0.6546,0.5217,0.6269,0.5743
26.4,0.2891,0.4358,0.636,0.3114,0.2105,0.2609,0.6741,0.6399,0.657,0.5314,0.6408,0.5861
26.5,0.3581,0.4202,0.6105,0.3143,0.1696,0.2419,0.6947,0.6272,0.6609,0.5427,0.6545,0.5986
26.6,0.4275,0.4065,0.589,0.3216,0.1322,0.2269,0.7154,0.6179,0.6667,0.556,0.6677,0.6118
26.7,0.4951,0.3954,0.5731,0.3339,0.1003,0.2171,0.7358,0.6125,0.6741,0.5714,0.6806,0.626
26.8,0.558,0.3872,0.5636,0.3513,0.0752,0.2133,0.7547,0.6114,0.6831,0.5892,0.6932,0.6412
26.9,0.6137,0.382,0.5608,0.3739,0.0575,0.2157,0.7714,0.6148,0.6931,0.6093,0.7054,0.6573
27,0.6605,0.3803,0.5641,0.4016,0.0479,0.2247,0.7853,0.6223,0.7038,0.6315,0.7172,0.6743
27.1,0.6973,0.3825,0.5726,0.4339,0.0462,0.2401,0.7966,0.6335,0.7151,0.6561,0.7285,0.6923
27.2,0.722,0.3888,0.5859,0.4702,0.0524,0.2613,0.8051,0.6479,0.7265,0.6832,0.7397,0.7114
27.3,0.7329,0.3995,0.6037,0.5098,0.066,0.2879,0.8108,0.6648,0.7378,0.7127,0.7512,0.7319
27.4,0.7295,0.415,0.6252,0.5516,0.0871,0.3194,0.8134,0.6836,0.7485,0.7438,0.7637,0.7538
27.5,0.7124,0.4358,0.6487,0.5949,0.1158,0.3553,0.8131,0.7032,0.7582,0.7761,0.7772,0.7767
27.6,0.683,0.462,0.6721,0.639,0.1516,0.3953,0.8104,0.7225,0.7664,0.8086,0.7919,0.8002
27.7,0.6431,0.4929,0.693,0.6829,0.1929,0.4379,0.8053,0.7401,0.7727,0.8402,0.8067,0.8235
27.8,0.5942,0.5271,0.7096,0.7248,0.2371,0.4809,0.7975,0.7546,0.7761,0.8692,0.8207,0.8449
27.9,0.5377,0.5631,0.7204,0.7626,0.2812,0.5219,0.7862,0.7646,0.7754,0.8938,0.8325,0.8631
28,0.4747,0.5999,0.7245,0.7943,0.3225,0.5584,0.7711,0.7693,0.7702,0.9128,0.8409,0.8768
28.1,0.4077,0.6359,0.7217,0.8186,0.3588,0.5887,0.7529,0.7682,0.7606,0.9257,0.8453,0.8855
28.2,0.3405,0.6696,0.712,0.8354,0.3878,0.6116,0.7325,0.7612,0.7468,0.9324,0.8455,0.889
28.3,0.2773,0.699,0.6953,0.8448,0.4075,0.6262,0.7103,0.7483,0.7293,0.933,0.841,0.887
28.4,0.2207,0.7228,0.672,0.8474,0.4177,0.6325,0.6865,0.7301,0.7083,0.9272,0.8312,0.8792
28.5,0.1719,0.7406,0.6427,0.844,0.4192,0.6316,0.6608,0.7068,0.6838,0.9148,0.816,0.8654
28.6,0.1319,0.7532,0.6078,0.8349,0.4139,0.6244,0.6329,0.6792,0.6561,0.8958,0.7959,0.8459
28.7,0.102,0.7616,0.5679,0.8209,0.4039,0.6124,0.6033,0.6481,0.6257,0.8708,0.7713,0.8211
28.8,0.0825,0.7661,0.5234,0.8029,0.3911,0.597,0.5726,0.6151,0.5939,0.8404,0.7429,0.7916
28.9,0.0736,0.7674,0.4754,0.7821,0.3775,0.5798,0.5416,0.5821,0.5619,0.8053,0.711,0.7582
29,0.0742,0.7661,0.4256,0.7598,0.3657,0.5628,0.5111,0.5508,0.5309,0.7667,0.6767,0.7217
29.1,0.0823,0.7627,0.3754,0.7368,0.3573,0.547,0.4811,0.5222,0.5017,0.726,0.6409,0.6835
29.2,0.0957,0.7582,0.3258,0.7134,0.353,0.5332,0.4515,0.497,0.4743,0.684,0.6049,0.6445
29.3,0.1126,0.7528,0.2774,0.6901,0.353,0.5216,0.4223,0.4754,0.4489,0.6412,0.5692,0.6052
29.4,0.1315,0.7463,0.2307,0.667,0.3573,0.5122,0.3935,0.4577,0.4256,0.5978,0.5342,0.566
29.5,0.151,0.7383,0.1863,0.6441,0.3662,0.5051,0.3651,0.4442,0.4047,0.5547,0.5006,0.5277
29.6,0.1691,0.7284,0.1457,0.6212,0.3798,0.5005,0.3374,0.4355,0.3865,0.5139,0.4698,0.4918
29.7,0.1832,0.7162,0.1101,0.5979,0.3978,0.4978,0.3109,0.4319,0.3714,0.4773,0.443,0.4601
29.8,0.1908,0.7016,0.0809,0.5737,0.4194,0.4965,0.2863,0.4341,0.3602,0.4466,0.421,0.4338
29.9,0.1903,0.6847,0.0594,0.5484,0.4434,0.4959,0.2643,0.4424,0.3534,0.4227,0.404,0.4134
