Time,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.3,-0.0659,0.5552,0.8524,0.5055,0.5613,0.5334,0.7834,0.7414,0.7624,0.5788,0.7633,0.6711
4.4,-0.0703,0.5614,0.8433,0.503,0.5552,0.5291,0.768,0.7286,0.7483,0.572,0.7528,0.6624
4.5,-0.0688,0.5702,0.8317,0.505,0.5477,0.5264,0.7532,0.7153,0.7342,0.5686,0.744,0.6563
4.6,-0.0605,0.581,0.8182,0.5119,0.5393,0.5256,0.7397,0.7013,0.7205,0.5688,0.7372,0.653
4.7,-0.0448,0.5928,0.8032,0.5228,0.5301,0.5265,0.7278,0.6865,0.7071,0.5722,0.732,0.6521
4.8,-0.0224,0.6043,0.7867,0.5358,0.52,0.5279,0.7175,0.671,0.6943,0.5786,0.728,0.6533
4.9,0.0059,0.6142,0.7692,0.5483,0.5085,0.5284,0.709,0.6551,0.682,0.5883,0.7248,0.6565
5,0.0389,0.6214,0.7511,0.5584,0.495,0.5267,0.7023,0.6392,0.6708,0.6008,0.7221,0.6614
5.1,0.0753,0.6253,0.7324,0.5654,0.4801,0.5228,0.6973,0.6237,0.6605,0.6149,0.7191,0.667
5.2,0.1122,0.6259,0.7134,0.5697,0.4654,0.5176,0.6935,0.6088,0.6511,0.6284,0.715,0.6717
5.3,0.1457,0.6238,0.6939,0.5718,0.4535,0.5127,0.6903,0.5947,0.6425,0.6392,0.7092,0.6742
5.4,0.1726,0.6196,0.6742,0.572,0.4469,0.5094,0.687,0.582,0.6345,0.6463,0.7012,0.6738
5.5,0.1911,0.6138,0.6545,0.5706,0.4461,0.5083,0.6833,0.5706,0.6269,0.6496,0.6911,0.6704
5.6,0.2009,0.6067,0.6345,0.5675,0.4503,0.5089,0.6791,0.5597,0.6194,0.649,0.679,0.664
5.7,0.2022,0.5985,0.6139,0.5631,0.4576,0.5103,0.6747,0.5491,0.6119,0.6446,0.6649,0.6547
5.8,0.1946,0.5892,0.5929,0.5574,0.4669,0.5122,0.6697,0.5389,0.6043,0.6363,0.6489,0.6426
5.9,0.1777,0.5791,0.5721,0.5503,0.4776,0.514,0.6637,0.5299,0.5968,0.6242,0.6311,0.6277
6,0.152,0.5681,0.5515,0.5416,0.4891,0.5154,0.6566,0.5223,0.5894,0.6085,0.6117,0.6101
6.1,0.1197,0.5559,0.5311,0.5314,0.5006,0.516,0.6484,0.5165,0.5825,0.5901,0.5907,0.5904
6.2,0.0843,0.5424,0.5111,0.5202,0.5109,0.5155,0.6398,0.5126,0.5762,0.5697,0.5685,0.5691
6.3,0.0495,0.5276,0.4918,0.5085,0.5192,0.5139,0.631,0.5107,0.5708,0.5484,0.5454,0.5469
6.4,0.0172,0.512,0.474,0.4964,0.5252,0.5108,0.6216,0.5114,0.5665,0.5265,0.5218,0.5242
6.5,-0.0115,0.496,0.459,0.4837,0.5292,0.5065,0.612,0.5149,0.5635,0.5045,0.4977,0.5011
6.6,-0.0361,0.4804,0.4472,0.4707,0.5315,0.5011,0.6028,0.5214,0.5621,0.4828,0.473,0.4779
6.7,-0.0554,0.4657,0.4384,0.4581,0.5322,0.4951,0.5951,0.5302,0.5627,0.4619,0.448,0.455
6.8,-0.0672,0.4527,0.4324,0.4469,0.5313,0.4891,0.5898,0.5404,0.5651,0.4422,0.4227,0.4325
6.9,-0.07,0.4417,0.429,0.4377,0.5287,0.4832,0.5874,0.5514,0.5694,0.424,0.3975,0.4107
7,-0.0635,0.4334,0.4287,0.4307,0.5248,0.4778,0.5876,0.563,0.5753,0.4075,0.3733,0.3904
7.1,-0.0491,0.4281,0.4322,0.4264,0.52,0.4732,0.5907,0.5756,0.5832,0.3938,0.3515,0.3726
7.2,-0.028,0.4265,0.4399,0.4257,0.515,0.4703,0.5971,0.5892,0.5932,0.3837,0.3337,0.3587
7.3,-0.001,0.4284,0.4517,0.4291,0.5102,0.4697,0.6072,0.6032,0.6052,0.3778,0.3211,0.3494
7.4,0.0304,0.4332,0.4668,0.4364,0.5061,0.4712,0.6202,0.6165,0.6184,0.3755,0.3141,0.3448
7.5,0.064,0.4399,0.4839,0.4461,0.5024,0.4743,0.6344,0.6283,0.6313,0.3762,0.3125,0.3443
7.6,0.0968,0.4474,0.502,0.4563,0.4991,0.4777,0.6479,0.6379,0.6429,0.3787,0.3161,0.3474
7.7,0.1269,0.455,0.5198,0.4658,0.4962,0.481,0.6594,0.6455,0.6524,0.3827,0.3242,0.3534
7.8,0.1534,0.4626,0.5369,0.4742,0.4943,0.4842,0.6682,0.6513,0.6597,0.3877,0.3365,0.3621
7.9,0.1757,0.4699,0.5527,0.4811,0.494,0.4876,0.6742,0.6555,0.6649,0.3936,0.3523,0.3729
8,0.1924,0.4767,0.5671,0.4864,0.496,0.4912,0.6774,0.6588,0.6681,0.4003,0.3712,0.3857
8.1,0.2014,0.483,0.5795,0.4896,0.5007,0.4952,0.6778,0.6615,0.6697,0.4078,0.3929,0.4003
8.2,0.201,0.4889,0.5891,0.4918,0.5086,0.5002,0.6755,0.6642,0.6698,0.4165,0.4169,0.4167
8.3,0.19,0.495,0.5953,0.4946,0.5207,0.5076,0.6707,0.667,0.6689,0.4265,0.443,0.4347
8.4,0.1676,0.5016,0.5976,0.4995,0.5387,0.5191,0.6635,0.67,0.6668,0.4374,0.4703,0.4538
8.5,0.133,0.5089,0.5962,0.5066,0.5642,0.5354,0.6532,0.6728,0.663,0.4488,0.4978,0.4733
8.6,0.0849,0.5166,0.5919,0.5147,0.598,0.5564,0.6393,0.6749,0.6571,0.4603,0.5245,0.4924
8.7,0.0234,0.5247,0.5848,0.5224,0.6391,0.5807,0.6222,0.6758,0.649,0.4719,0.5494,0.5106
8.8,-0.0487,0.5333,0.5752,0.5293,0.6843,0.6068,0.6032,0.6751,0.6392,0.4838,0.572,0.5279
8.9,-0.1266,0.542,0.5638,0.5362,0.7292,0.6327,0.5843,0.6731,0.6287,0.4959,0.5922,0.544
9,-0.2055,0.5503,0.5516,0.5435,0.7697,0.6566,0.5669,0.67,0.6185,0.5077,0.6099,0.5588
9.1,-0.2821,0.5568,0.5398,0.5501,0.8021,0.6761,0.5518,0.6669,0.6094,0.5189,0.6249,0.5719
9.2,-0.355,0.5602,0.5296,0.5546,0.824,0.6893,0.5389,0.6649,0.6019,0.5294,0.6374,0.5834
9.3,-0.4219,0.56,0.5219,0.5561,0.834,0.6951,0.5282,0.6647,0.5964,0.5398,0.6478,0.5938
9.4,-0.4794,0.5563,0.5173,0.5554,0.8316,0.6935,0.5203,0.6667,0.5935,0.5508,0.6569,0.6039
9.5,-0.5229,0.5495,0.5161,0.5539,0.817,0.6854,0.5153,0.6709,0.5931,0.5627,0.6654,0.614
9.6,-0.5495,0.5403,0.5185,0.5526,0.7913,0.672,0.513,0.6769,0.5949,0.5753,0.6735,0.6244
9.7,-0.5592,0.5298,0.5244,0.5517,0.7572,0.6544,0.5134,0.6839,0.5986,0.5886,0.6814,0.635
9.8,-0.5546,0.5192,0.5326,0.5512,0.7177,0.6344,0.5164,0.6909,0.6037,0.6022,0.6891,0.6457
9.9,-0.5387,0.51,0.5418,0.5519,0.6751,0.6135,0.5221,0.697,0.6096,0.6157,0.6963,0.656
10,-0.5135,0.5032,0.5503,0.5549,0.6312,0.5931,0.5302,0.701,0.6156,0.629,0.7025,0.6657
10.1,-0.481,0.4995,0.5571,0.5607,0.5873,0.574,0.5399,0.7026,0.6213,0.6419,0.7074,0.6747
10.2,-0.4442,0.4991,0.562,0.5689,0.5454,0.5572,0.5507,0.7022,0.6264,0.6545,0.711,0.6827
10.3,-0.4067,0.5017,0.5657,0.5787,0.5077,0.5432,0.5621,0.7012,0.6316,0.6665,0.7139,0.6902
10.4,-0.3715,0.5072,0.5692,0.5898,0.4759,0.5328,0.574,0.701,0.6375,0.678,0.7167,0.6974
10.5,-0.3397,0.5156,0.5734,0.6022,0.4506,0.5264,0.5858,0.7021,0.6439,0.6885,0.7198,0.7042
10.6,-0.3108,0.5273,0.5785,0.616,0.4316,0.5238,0.5965,0.7038,0.6502,0.6976,0.7229,0.7102
10.7,-0.2835,0.5425,0.5845,0.6308,0.4188,0.5248,0.605,0.7054,0.6552,0.7042,0.7249,0.7145
10.8,-0.2578,0.5607,0.5913,0.6458,0.4121,0.529,0.611,0.7068,0.6589,0.7077,0.7254,0.7165
10.9,-0.2348,0.5808,0.5996,0.6601,0.4115,0.5358,0.6147,0.7086,0.6616,0.708,0.724,0.716
11,-0.2155,0.6019,0.6101,0.6736,0.4162,0.5449,0.6166,0.7117,0.6642,0.7054,0.7208,0.7131
11.1,-0.2001,0.6234,0.6241,0.6868,0.4254,0.5561,0.6176,0.7163,0.667,0.7007,0.7158,0.7083
11.2,-0.1873,0.645,0.642,0.7005,0.4382,0.5694,0.6179,0.7218,0.6698,0.6944,0.7094,0.7019
11.3,-0.176,0.6665,0.6636,0.7152,0.4537,0.5844,0.6181,0.7272,0.6726,0.6867,0.7016,0.6941
11.4,-0.1657,0.6869,0.6879,0.7307,0.4707,0.6007,0.6186,0.732,0.6753,0.6777,0.6927,0.6852
11.5,-0.1564,0.7051,0.714,0.7465,0.4879,0.6172,0.6198,0.736,0.6779,0.6677,0.6834,0.6756
11.6,-0.148,0.72,0.7411,0.7613,0.5042,0.6327,0.6219,0.7388,0.6803,0.6568,0.6738,0.6653
11.7,-0.1401,0.7306,0.7686,0.7735,0.5183,0.6459,0.6244,0.7401,0.6823,0.6446,0.6639,0.6543
11.8,-0.1321,0.7359,0.7959,0.7814,0.5292,0.6553,0.6275,0.7395,0.6835,0.6308,0.6536,0.6422
11.9,-0.1238,0.7353,0.823,0.7844,0.5358,0.6601,0.6311,0.737,0.6841,0.6151,0.6429,0.629
12,-0.1153,0.7285,0.8496,0.7827,0.5373,0.66,0.6356,0.733,0.6843,0.5976,0.6321,0.6148
12.1,-0.1069,0.7158,0.8752,0.7767,0.5333,0.655,0.6411,0.7282,0.6846,0.5785,0.6218,0.6002
12.2,-0.0991,0.6978,0.8993,0.7667,0.5245,0.6456,0.6472,0.723,0.6851,0.5588,0.6129,0.5859
12.3,-0.092,0.6749,0.9215,0.7527,0.5122,0.6324,0.6535,0.7176,0.6856,0.5391,0.607,0.573
