Time,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.7,-0.2016,0.4313,0.4148,0.3689,0.4378,0.4033,0.4958,0.4095,0.4527,0.6648,0.7068,0.6858
24.8,-0.1455,0.4129,0.3747,0.3504,0.4123,0.3813,0.49,0.3945,0.4423,0.675,0.7027,0.6888
24.9,-0.0926,0.3936,0.333,0.3328,0.3867,0.3598,0.4866,0.3794,0.433,0.6848,0.6961,0.6904
25,-0.0432,0.3742,0.2913,0.3167,0.3616,0.3391,0.4866,0.3643,0.4255,0.6939,0.6871,0.6905
25.1,0.0026,0.356,0.2516,0.3027,0.3375,0.3201,0.4911,0.3498,0.4205,0.7018,0.6763,0.689
25.2,0.0438,0.3398,0.2158,0.2914,0.3154,0.3034,0.5005,0.3368,0.4187,0.7083,0.6646,0.6865
25.3,0.0795,0.326,0.1843,0.2831,0.2962,0.2896,0.5151,0.3265,0.4208,0.7132,0.6529,0.6831
25.4,0.1093,0.3152,0.1572,0.2776,0.2803,0.279,0.5345,0.3191,0.4268,0.7159,0.6415,0.6787
25.5,0.1327,0.3079,0.1345,0.2748,0.268,0.2714,0.5577,0.3145,0.4361,0.7157,0.63,0.6728
25.6,0.1495,0.305,0.1164,0.2743,0.2595,0.2669,0.583,0.3125,0.4478,0.7122,0.6181,0.6652
25.7,0.1587,0.3069,0.1027,0.2769,0.255,0.2659,0.6084,0.3133,0.4609,0.7057,0.6056,0.6557
25.8,0.1598,0.3133,0.093,0.283,0.2545,0.2687,0.632,0.3165,0.4742,0.6967,0.5928,0.6448
25.9,0.1531,0.3235,0.0865,0.2926,0.2572,0.2749,0.6521,0.3209,0.4865,0.6858,0.5796,0.6327
26,0.1401,0.3363,0.0824,0.305,0.2622,0.2836,0.6675,0.3251,0.4963,0.6725,0.5663,0.6194
26.1,0.1223,0.3506,0.0802,0.3194,0.2689,0.2942,0.6777,0.3285,0.5031,0.6568,0.5537,0.6052
26.2,0.1011,0.3658,0.08,0.3357,0.2773,0.3065,0.6821,0.3317,0.5069,0.6395,0.5426,0.5911
26.3,0.0782,0.381,0.0816,0.3541,0.2874,0.3207,0.6809,0.3351,0.508,0.6218,0.5337,0.5778
26.4,0.0557,0.3954,0.0842,0.3737,0.2988,0.3362,0.6746,0.3387,0.5067,0.6042,0.5272,0.5657
26.5,0.0363,0.4086,0.0876,0.3933,0.3108,0.3521,0.6635,0.3421,0.5028,0.5868,0.5229,0.5548
26.6,0.022,0.4205,0.0927,0.4118,0.3229,0.3673,0.6478,0.3455,0.4967,0.5696,0.5208,0.5452
26.7,0.0138,0.4312,0.0999,0.4289,0.3346,0.3818,0.6279,0.3488,0.4884,0.5532,0.5212,0.5372
26.8,0.0122,0.4403,0.1087,0.4449,0.3457,0.3953,0.6044,0.3519,0.4781,0.5379,0.5241,0.531
26.9,0.0186,0.447,0.1182,0.4599,0.3556,0.4078,0.5783,0.3546,0.4664,0.5231,0.5291,0.5261
27,0.0348,0.4511,0.1275,0.4746,0.3644,0.4195,0.5509,0.3572,0.454,0.508,0.5357,0.5219
27.1,0.0618,0.453,0.1366,0.4899,0.3727,0.4313,0.5234,0.3608,0.4421,0.4919,0.5443,0.5181
27.2,0.0982,0.4534,0.1459,0.5067,0.3817,0.4442,0.4967,0.3665,0.4316,0.4754,0.5553,0.5154
27.3,0.1413,0.453,0.1557,0.526,0.3927,0.4593,0.4712,0.3749,0.4231,0.4595,0.5698,0.5147
27.4,0.1881,0.4517,0.1666,0.5481,0.4057,0.4769,0.447,0.3858,0.4164,0.4449,0.5888,0.5168
27.5,0.2361,0.4499,0.1788,0.573,0.4205,0.4967,0.4247,0.3987,0.4117,0.4314,0.6124,0.5219
27.6,0.2844,0.4475,0.1922,0.6008,0.436,0.5184,0.4053,0.4139,0.4096,0.4189,0.6418,0.5303
27.7,0.3325,0.4448,0.2072,0.6313,0.4518,0.5416,0.3901,0.4317,0.4109,0.4076,0.6776,0.5426
27.8,0.3794,0.442,0.2238,0.6639,0.4674,0.5656,0.3797,0.4513,0.4155,0.3983,0.7196,0.559
27.9,0.423,0.4393,0.2413,0.6972,0.4822,0.5897,0.3741,0.4709,0.4225,0.3913,0.7659,0.5786
28,0.4606,0.4368,0.2583,0.7293,0.4952,0.6123,0.3724,0.4887,0.4306,0.3867,0.8131,0.5999
28.1,0.4905,0.4348,0.273,0.7586,0.5049,0.6317,0.374,0.5031,0.4385,0.3843,0.8572,0.6208
28.2,0.5125,0.433,0.284,0.7836,0.5103,0.6469,0.3785,0.5131,0.4458,0.3833,0.895,0.6392
28.3,0.5262,0.4312,0.2911,0.803,0.5117,0.6573,0.3853,0.5188,0.452,0.3831,0.9252,0.6541
28.4,0.5303,0.4288,0.2952,0.8159,0.5101,0.663,0.3935,0.5203,0.4569,0.3832,0.9483,0.6657
28.5,0.5229,0.4253,0.297,0.8217,0.5062,0.6639,0.402,0.5179,0.4599,0.383,0.9645,0.6738
28.6,0.5022,0.4202,0.297,0.8204,0.5008,0.6606,0.4093,0.5121,0.4607,0.3825,0.9735,0.678
28.7,0.4686,0.4138,0.2954,0.8126,0.4946,0.6536,0.4145,0.5034,0.4589,0.3821,0.9745,0.6783
28.8,0.4235,0.4068,0.2929,0.7997,0.4887,0.6442,0.4175,0.4917,0.4546,0.382,0.9663,0.6742
28.9,0.3681,0.4003,0.2903,0.7835,0.4839,0.6337,0.4184,0.4771,0.4477,0.3827,0.9487,0.6657
29,0.3039,0.3955,0.2885,0.7657,0.4807,0.6232,0.4179,0.4598,0.4389,0.3852,0.9218,0.6535
29.1,0.2321,0.3932,0.2882,0.748,0.4793,0.6136,0.4166,0.4409,0.4288,0.3904,0.8866,0.6385
29.2,0.156,0.3938,0.2898,0.7314,0.4798,0.6056,0.4154,0.4213,0.4183,0.3987,0.8448,0.6218
29.3,0.0797,0.3973,0.2933,0.7168,0.4825,0.5996,0.4145,0.4016,0.4081,0.4096,0.7984,0.604
29.4,0.0059,0.4037,0.2985,0.7048,0.4877,0.5963,0.4142,0.3826,0.3984,0.4221,0.7491,0.5856
29.5,-0.0645,0.4128,0.3051,0.6965,0.4963,0.5964,0.4145,0.3651,0.3898,0.4354,0.6992,0.5673
29.6,-0.1313,0.4246,0.3124,0.6924,0.5081,0.6003,0.4155,0.3492,0.3824,0.4492,0.6497,0.5495
29.7,-0.1936,0.4384,0.3198,0.692,0.5223,0.6071,0.4176,0.3345,0.3761,0.4633,0.6019,0.5326
29.8,-0.2494,0.4542,0.3268,0.695,0.5377,0.6164,0.4213,0.3204,0.3709,0.4773,0.5567,0.517
29.9,-0.2962,0.4726,0.3335,0.7014,0.5535,0.6274,0.4268,0.3062,0.3665,0.4904,0.5153,0.5028
