Time,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
21.9,-0.4318,0.5919,0.5454,0.5655,0.8001,0.6828,0.4912,0.6665,0.5789,0.3265,0.158,0.2422
22,-0.4645,0.5761,0.52,0.5559,0.7843,0.6701,0.4482,0.65,0.5491,0.3144,0.1432,0.2288
22.1,-0.4933,0.5569,0.4939,0.5439,0.7611,0.6525,0.4039,0.6296,0.5168,0.3032,0.1313,0.2173
22.2,-0.5164,0.5338,0.4679,0.5293,0.7291,0.6292,0.3598,0.6053,0.4825,0.2934,0.1227,0.208
22.3,-0.5331,0.5068,0.4425,0.5115,0.6883,0.5999,0.3168,0.5772,0.447,0.2848,0.117,0.2009
22.4,-0.5438,0.4774,0.4181,0.4907,0.6406,0.5657,0.2759,0.5462,0.4111,0.2769,0.1133,0.1951
22.5,-0.5484,0.4479,0.3944,0.4684,0.589,0.5287,0.2383,0.5134,0.3759,0.2694,0.1111,0.1902
22.6,-0.5466,0.4206,0.3709,0.4465,0.5368,0.4916,0.2054,0.4799,0.3426,0.2626,0.1097,0.1862
22.7,-0.5393,0.397,0.3486,0.4264,0.487,0.4567,0.178,0.4467,0.3124,0.2565,0.1093,0.1829
22.8,-0.5296,0.3779,0.3295,0.4088,0.4422,0.4255,0.1564,0.4157,0.2861,0.2503,0.1097,0.18
22.9,-0.5197,0.3638,0.316,0.3932,0.404,0.3986,0.1399,0.3888,0.2643,0.2437,0.1106,0.1772
23,-0.5099,0.3545,0.3085,0.3791,0.3722,0.3757,0.1277,0.3666,0.2472,0.2369,0.1121,0.1745
23.1,-0.4988,0.3494,0.3065,0.3661,0.3463,0.3562,0.1188,0.3488,0.2338,0.2306,0.1144,0.1725
23.2,-0.4851,0.3474,0.3091,0.354,0.326,0.34,0.1124,0.3345,0.2235,0.2251,0.1182,0.1716
23.3,-0.4688,0.348,0.3157,0.3431,0.3113,0.3272,0.1078,0.3236,0.2157,0.2202,0.1233,0.1718
23.4,-0.4497,0.3507,0.3252,0.3338,0.3022,0.318,0.1048,0.3163,0.2105,0.2151,0.1294,0.1723
23.5,-0.4272,0.3554,0.3365,0.3268,0.2986,0.3127,0.1031,0.3124,0.2077,0.2098,0.1362,0.173
23.6,-0.401,0.3617,0.3489,0.3225,0.2998,0.3112,0.1026,0.3114,0.207,0.205,0.144,0.1745
23.7,-0.3715,0.3693,0.3621,0.3212,0.305,0.3131,0.1031,0.3134,0.2083,0.202,0.1535,0.1778
23.8,-0.3399,0.3774,0.3762,0.3231,0.3139,0.3185,0.1046,0.3188,0.2117,0.2015,0.1655,0.1835
23.9,-0.308,0.3857,0.3908,0.3278,0.3261,0.3269,0.1074,0.3276,0.2175,0.2041,0.1804,0.1922
24,-0.2767,0.3931,0.4051,0.3345,0.3411,0.3378,0.1109,0.3391,0.225,0.2098,0.1985,0.2042
24.1,-0.2463,0.399,0.4188,0.3417,0.3585,0.3501,0.1144,0.3523,0.2334,0.2188,0.2199,0.2193
24.2,-0.2166,0.4028,0.4314,0.3479,0.3779,0.3629,0.1165,0.3662,0.2414,0.2304,0.2436,0.237
24.3,-0.1869,0.4038,0.4427,0.3515,0.3984,0.375,0.1164,0.3801,0.2482,0.2436,0.2689,0.2562
24.4,-0.1572,0.4015,0.4529,0.352,0.4189,0.3855,0.1136,0.3931,0.2533,0.2575,0.2953,0.2764
24.5,-0.1281,0.396,0.4629,0.3496,0.4385,0.394,0.1087,0.4048,0.2567,0.2719,0.3234,0.2976
24.6,-0.1008,0.3883,0.4744,0.3454,0.457,0.4012,0.1031,0.4152,0.2592,0.2867,0.3536,0.3202
24.7,-0.0751,0.3802,0.4894,0.341,0.4745,0.4077,0.0991,0.4246,0.2618,0.3023,0.3855,0.3439
24.8,-0.0496,0.3735,0.5095,0.3374,0.4916,0.4145,0.0988,0.433,0.2659,0.3185,0.4182,0.3684
24.9,-0.0221,0.3688,0.5343,0.3351,0.5077,0.4214,0.1037,0.44,0.2719,0.3351,0.4507,0.3929
25,0.0088,0.3659,0.5624,0.3336,0.5215,0.4275,0.114,0.4447,0.2793,0.3516,0.4823,0.4169
25.1,0.0423,0.3642,0.5924,0.3328,0.5322,0.4325,0.1289,0.4461,0.2875,0.3676,0.5124,0.44
25.2,0.0771,0.3642,0.6239,0.3332,0.54,0.4366,0.1481,0.4443,0.2962,0.3822,0.5397,0.461
25.3,0.1114,0.3664,0.6564,0.335,0.5458,0.4404,0.1711,0.4405,0.3058,0.3947,0.5628,0.4788
25.4,0.1446,0.371,0.6875,0.338,0.5501,0.4441,0.1976,0.4349,0.3162,0.404,0.5806,0.4923
25.5,0.1758,0.3777,0.7139,0.3417,0.5532,0.4475,0.2258,0.4268,0.3263,0.4091,0.5925,0.5008
25.6,0.2042,0.3859,0.7339,0.3457,0.5553,0.4505,0.2533,0.4156,0.3345,0.4094,0.5983,0.5039
25.7,0.2288,0.3958,0.7475,0.35,0.5565,0.4533,0.2784,0.4022,0.3403,0.4043,0.5978,0.501
25.8,0.2498,0.4078,0.7556,0.3559,0.5571,0.4565,0.301,0.3878,0.3444,0.3936,0.5906,0.4921
25.9,0.2676,0.422,0.7585,0.3644,0.5574,0.4609,0.3217,0.3735,0.3476,0.3777,0.5774,0.4776
26,0.282,0.4379,0.7557,0.3758,0.5573,0.4665,0.3401,0.3594,0.3498,0.3573,0.5583,0.4578
26.1,0.2919,0.4543,0.7478,0.3893,0.5569,0.4731,0.3553,0.3455,0.3504,0.3319,0.5333,0.4326
26.2,0.298,0.4704,0.7359,0.4039,0.5559,0.4799,0.3665,0.3319,0.3492,0.3013,0.5023,0.4018
26.3,0.3017,0.4851,0.7211,0.4185,0.554,0.4862,0.3737,0.319,0.3464,0.2658,0.4658,0.3658
26.4,0.3045,0.4979,0.7042,0.4322,0.551,0.4916,0.3777,0.307,0.3424,0.2267,0.4251,0.3259
26.5,0.3067,0.5084,0.6855,0.4446,0.5473,0.496,0.3787,0.2961,0.3374,0.1852,0.3818,0.2835
26.6,0.308,0.5168,0.6655,0.4556,0.5436,0.4996,0.3762,0.2866,0.3314,0.1418,0.3368,0.2393
26.7,0.3078,0.5239,0.6443,0.4647,0.5403,0.5025,0.3697,0.2792,0.3244,0.097,0.2901,0.1936
26.8,0.306,0.53,0.6224,0.4718,0.5371,0.5045,0.3596,0.2743,0.3169,0.0516,0.2419,0.1468
26.9,0.3029,0.5353,0.6011,0.4765,0.5336,0.505,0.3473,0.2727,0.31,0.0074,0.1939,0.1006
27,0.2994,0.5395,0.5819,0.4783,0.529,0.5037,0.3338,0.2758,0.3048,-0.0334,0.1484,0.0575
27.1,0.2957,0.5424,0.566,0.477,0.5237,0.5003,0.3196,0.2844,0.302,-0.069,0.1079,0.0194
27.2,0.2926,0.5438,0.5542,0.4719,0.5173,0.4946,0.3053,0.2986,0.302,-0.0984,0.0741,-0.0122
27.3,0.2909,0.5432,0.5464,0.4626,0.5095,0.4861,0.2911,0.3174,0.3042,-0.1212,0.0481,-0.0365
27.4,0.291,0.5403,0.5424,0.4491,0.4997,0.4744,0.2766,0.339,0.3078,-0.1367,0.0311,-0.0528
27.5,0.293,0.5349,0.5422,0.4319,0.4879,0.4599,0.2615,0.3625,0.312,-0.1446,0.0236,-0.0605
27.6,0.2965,0.5275,0.546,0.4125,0.4745,0.4435,0.2458,0.3878,0.3168,-0.1445,0.0254,-0.0596
27.7,0.3012,0.5188,0.5545,0.3929,0.4602,0.4266,0.2303,0.4151,0.3227,-0.1362,0.0365,-0.0498
27.8,0.3066,0.5093,0.5676,0.3747,0.4456,0.4102,0.2163,0.444,0.3302,-0.1192,0.0577,-0.0308
27.9,0.3122,0.4991,0.5842,0.3587,0.4309,0.3948,0.205,0.4731,0.3391,-0.0936,0.0893,-0.0021
28,0.3178,0.4881,0.6025,0.3445,0.4165,0.3805,0.1969,0.4996,0.3483,-0.0604,0.1303,0.035
28.1,0.3235,0.4764,0.6203,0.3312,0.403,0.3671,0.1909,0.5209,0.3559,-0.0219,0.1782,0.0781
28.2,0.3297,0.4639,0.6356,0.3179,0.39,0.354,0.1849,0.535,0.3599,0.019,0.2299,0.1245
28.3,0.3361,0.4504,0.647,0.3045,0.3768,0.3407,0.1776,0.5415,0.3596,0.0598,0.2825,0.1711
28.4,0.3408,0.4361,0.6541,0.2921,0.3634,0.3278,0.1696,0.5408,0.3552,0.098,0.3332,0.2156
28.5,0.3417,0.4219,0.6569,0.2824,0.351,0.3167,0.1616,0.5339,0.3478,0.1322,0.3798,0.256
28.6,0.3386,0.4092,0.6558,0.2766,0.3407,0.3087,0.1545,0.5224,0.3385,0.162,0.4205,0.2913
28.7,0.3323,0.3991,0.6515,0.2748,0.333,0.3039,0.1484,0.5076,0.328,0.1879,0.4552,0.3215
28.8,0.3239,0.3919,0.6442,0.2768,0.327,0.3019,0.1427,0.4905,0.3166,0.211,0.4848,0.3479
28.9,0.3139,0.3875,0.6349,0.2823,0.3224,0.3024,0.1366,0.4716,0.3041,0.2333,0.5108,0.372
29,0.3029,0.3863,0.6257,0.2921,0.3192,0.3057,0.1306,0.4519,0.2913,0.2565,0.5343,0.3954
29.1,0.2917,0.3887,0.6182,0.3067,0.3179,0.3123,0.1265,0.433,0.2797,0.2815,0.5555,0.4185
29.2,0.2802,0.3951,0.6132,0.3261,0.319,0.3225,0.1254,0.4164,0.2709,0.3075,0.5743,0.4409
29.3,0.2672,0.4051,0.611,0.3491,0.3227,0.3359,0.1272,0.4027,0.2649,0.3328,0.5909,0.4618
29.4,0.2518,0.4176,0.6119,0.374,0.3287,0.3514,0.1303,0.3929,0.2616,0.3558,0.6055,0.4807
29.5,0.234,0.4327,0.6178,0.3998,0.3373,0.3686,0.1342,0.3887,0.2615,0.3752,0.6183,0.4967
29.6,0.2141,0.4506,0.6299,0.4267,0.3491,0.3879,0.1391,0.3917,0.2654,0.3901,0.6287,0.5094
29.7,0.1923,0.4716,0.648,0.4553,0.3649,0.4101,0.1453,0.4022,0.2737,0.4002,0.6364,0.5183
29.8,0.168,0.4958,0.6709,0.486,0.3848,0.4354,0.1525,0.4191,0.2858,0.4051,0.641,0.5231
29.9,0.1408,0.5226,0.6966,0.5191,0.4087,0.4639,0.1608,0.4408,0.3008,0.4046,0.6423,0.5235
