Time,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.7,-0.0929,0.7129,0.5864,0.8909,0.8473,0.8691,0.6534,0.7954,0.7244,0.6836,0.8348,0.7592
24.8,-0.0792,0.7122,0.5885,0.881,0.8612,0.8711,0.6543,0.8108,0.7325,0.6866,0.8472,0.7669
24.9,-0.0625,0.712,0.5959,0.8689,0.8735,0.8712,0.6588,0.8261,0.7424,0.6907,0.8575,0.7741
25,-0.0444,0.7122,0.6077,0.8545,0.8853,0.8699,0.6671,0.8407,0.7539,0.696,0.8656,0.7808
25.1,-0.0263,0.713,0.622,0.8374,0.8969,0.8672,0.6786,0.8532,0.7659,0.7018,0.8714,0.7866
25.2,-0.0095,0.7142,0.6372,0.8176,0.9081,0.8629,0.6923,0.8623,0.7773,0.7078,0.8748,0.7913
25.3,0.0051,0.7157,0.6513,0.7953,0.9183,0.8568,0.7078,0.8673,0.7876,0.7136,0.8757,0.7947
25.4,0.0167,0.7171,0.6628,0.7713,0.9267,0.849,0.7247,0.868,0.7964,0.7195,0.8744,0.7969
25.5,0.0251,0.7181,0.671,0.746,0.9323,0.8392,0.7424,0.8643,0.8034,0.7257,0.8706,0.7982
25.6,0.0305,0.7183,0.6756,0.7199,0.9344,0.8272,0.7602,0.8563,0.8082,0.7321,0.8645,0.7983
25.7,0.0332,0.7171,0.6762,0.6934,0.9324,0.8129,0.777,0.8445,0.8108,0.738,0.8558,0.7969
25.8,0.0333,0.7141,0.6731,0.667,0.9257,0.7964,0.7926,0.8298,0.8112,0.7425,0.8444,0.7935
25.9,0.031,0.7087,0.6666,0.6413,0.9133,0.7773,0.8068,0.8129,0.8099,0.7452,0.8304,0.7878
26,0.027,0.7005,0.6574,0.6167,0.8941,0.7554,0.8194,0.7939,0.8067,0.7456,0.8136,0.7796
26.1,0.023,0.6888,0.6463,0.5932,0.8671,0.7301,0.8299,0.7727,0.8013,0.7433,0.7936,0.7684
26.2,0.0209,0.6734,0.6345,0.5706,0.8313,0.7009,0.8379,0.7495,0.7937,0.7378,0.7703,0.754
26.3,0.0214,0.6541,0.6228,0.5488,0.7867,0.6677,0.8434,0.7248,0.7841,0.7292,0.7439,0.7365
26.4,0.0239,0.6315,0.6112,0.5274,0.7341,0.6308,0.8461,0.6992,0.7726,0.7177,0.715,0.7164
26.5,0.0285,0.6056,0.5993,0.5062,0.6745,0.5904,0.8452,0.6728,0.759,0.7038,0.6842,0.694
26.6,0.0357,0.5763,0.5865,0.4845,0.6092,0.5468,0.8396,0.6452,0.7424,0.6876,0.6518,0.6697
26.7,0.0469,0.544,0.5725,0.4616,0.5389,0.5002,0.8284,0.616,0.7222,0.6694,0.6177,0.6436
26.8,0.0628,0.5095,0.5571,0.437,0.4652,0.4511,0.8109,0.5848,0.6979,0.6492,0.582,0.6156
26.9,0.083,0.4742,0.5398,0.4106,0.3909,0.4008,0.787,0.552,0.6695,0.6275,0.5454,0.5864
27,0.1071,0.4395,0.5201,0.3826,0.3193,0.3509,0.7572,0.518,0.6376,0.6049,0.5091,0.557
27.1,0.1367,0.4063,0.4985,0.3526,0.2532,0.3029,0.7226,0.4837,0.6031,0.582,0.4739,0.528
27.2,0.1743,0.3744,0.4766,0.3213,0.194,0.2577,0.6845,0.4498,0.5671,0.5596,0.4409,0.5003
27.3,0.2219,0.3436,0.4556,0.2897,0.1422,0.216,0.6446,0.4175,0.5311,0.539,0.411,0.475
27.4,0.2787,0.3141,0.4363,0.2596,0.0983,0.179,0.6046,0.3881,0.4964,0.5222,0.3854,0.4538
27.5,0.3415,0.2867,0.4187,0.2324,0.0632,0.1478,0.5657,0.3626,0.4641,0.5114,0.3655,0.4384
27.6,0.4069,0.2631,0.4038,0.2088,0.0379,0.1233,0.5287,0.3414,0.4351,0.5075,0.3523,0.4299
27.7,0.4715,0.2444,0.3941,0.1893,0.0227,0.106,0.4939,0.3249,0.4094,0.5113,0.3461,0.4287
27.8,0.5314,0.2315,0.3922,0.1741,0.017,0.0955,0.4612,0.3135,0.3873,0.5227,0.3474,0.4351
27.9,0.5807,0.2248,0.3996,0.1629,0.0199,0.0914,0.4302,0.3073,0.3688,0.5423,0.357,0.4496
28,0.6126,0.2252,0.4153,0.1559,0.0306,0.0932,0.4009,0.3064,0.3536,0.5703,0.3758,0.473
28.1,0.6226,0.2336,0.437,0.1531,0.0485,0.1008,0.374,0.3101,0.342,0.6069,0.4053,0.5061
28.2,0.6101,0.2507,0.4628,0.1551,0.0724,0.1138,0.3507,0.3174,0.334,0.6506,0.4457,0.5482
28.3,0.5779,0.2756,0.491,0.1622,0.1007,0.1315,0.3318,0.3275,0.3296,0.6985,0.4955,0.597
28.4,0.5297,0.3067,0.52,0.1741,0.131,0.1525,0.3172,0.3391,0.3282,0.7468,0.5512,0.649
28.5,0.4681,0.3418,0.548,0.1898,0.1615,0.1756,0.306,0.351,0.3285,0.7932,0.6092,0.7012
28.6,0.3957,0.3795,0.573,0.2087,0.1915,0.2001,0.2979,0.362,0.33,0.8368,0.6668,0.7518
28.7,0.3155,0.4183,0.5936,0.2308,0.2215,0.2261,0.2937,0.3717,0.3327,0.8783,0.7227,0.8005
28.8,0.2313,0.4565,0.6099,0.2564,0.252,0.2542,0.2946,0.3805,0.3375,0.9186,0.7763,0.8474
28.9,0.1473,0.4919,0.6227,0.2855,0.2836,0.2845,0.3011,0.3892,0.3452,0.9578,0.8273,0.8925
29,0.0673,0.5225,0.6323,0.3172,0.316,0.3166,0.3125,0.3995,0.356,0.995,0.8751,0.9351
29.1,-0.0061,0.5472,0.6387,0.3499,0.3482,0.3491,0.3277,0.4121,0.3699,1.0291,0.9195,0.9743
29.2,-0.0702,0.5655,0.6427,0.3821,0.379,0.3805,0.3457,0.4271,0.3864,1.0589,0.96,1.0095
29.3,-0.1227,0.5775,0.6458,0.4129,0.4073,0.4101,0.3654,0.4447,0.405,1.0838,0.9957,1.0397
29.4,-0.162,0.5835,0.6495,0.4421,0.4332,0.4377,0.3863,0.4652,0.4258,1.1033,1.0258,1.0645
29.5,-0.1884,0.5837,0.6545,0.4692,0.457,0.4631,0.4081,0.489,0.4485,1.1171,1.0495,1.0833
29.6,-0.2038,0.5782,0.6603,0.4933,0.4783,0.4858,0.4299,0.5161,0.473,1.1251,1.0668,1.0959
29.7,-0.2108,0.568,0.6668,0.5135,0.4967,0.5051,0.451,0.546,0.4985,1.1274,1.0781,1.1028
29.8,-0.2118,0.5542,0.6749,0.5297,0.5118,0.5208,0.4709,0.578,0.5245,1.125,1.0843,1.1046
29.9,-0.2085,0.5382,0.6855,0.5423,0.5235,0.5329,0.4898,0.6116,0.5507,1.1187,1.0855,1.1021
