Time,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4973,0.0771,0.5334,-0.0596,0.0532,-0.0032,0.2106,0.272,0.2413,0.7003,0.5645,0.6324
0.1,-0.5147,0.0585,0.56,-0.0721,0.0546,-0.0087,0.216,0.273,0.2445,0.7007,0.5997,0.6502
0.2,-0.5213,0.0449,0.5843,-0.079,0.0627,-0.0081,0.223,0.2748,0.2489,0.6967,0.6288,0.6628
0.3,-0.5169,0.0366,0.6059,-0.0802,0.077,-0.0016,0.2306,0.2769,0.2537,0.6887,0.6508,0.6698
0.4,-0.502,0.0336,0.6241,-0.0758,0.0959,0.01,0.2373,0.2783,0.2578,0.6769,0.6654,0.6711
0.5,-0.4767,0.0357,0.6384,-0.0661,0.1174,0.0256,0.2418,0.2787,0.2603,0.6617,0.673,0.6674
0.6,-0.4415,0.0419,0.6486,-0.0517,0.1398,0.0441,0.2437,0.2777,0.2607,0.6439,0.6753,0.6596
0.7,-0.3973,0.0511,0.655,-0.0336,0.1608,0.0636,0.243,0.2752,0.2591,0.6242,0.6735,0.6489
0.8,-0.3456,0.0621,0.6584,-0.0134,0.1788,0.0827,0.2398,0.2711,0.2555,0.6032,0.6682,0.6357
0.9,-0.2888,0.0739,0.6594,0.0071,0.1928,0.0999,0.2343,0.2652,0.2498,0.5815,0.6598,0.6207
1,-0.2294,0.0859,0.6586,0.027,0.2033,0.1151,0.2265,0.2572,0.2418,0.5595,0.6485,0.604
1.1,-0.1698,0.0977,0.6566,0.0457,0.2111,0.1284,0.2164,0.2471,0.2317,0.5374,0.6345,0.586
1.2,-0.1122,0.1092,0.6539,0.0631,0.2165,0.1398,0.2043,0.235,0.2196,0.5159,0.6185,0.5672
1.3,-0.0586,0.1202,0.6513,0.0788,0.2198,0.1493,0.1908,0.2214,0.2061,0.4951,0.6009,0.548
1.4,-0.0101,0.1306,0.6493,0.0921,0.2213,0.1567,0.1763,0.2068,0.1915,0.4752,0.582,0.5286
