Time,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0267,0.7962,0.4008,0.9201,0.9531,0.9366,0.922,0.6712,0.7966,0.603,0.5212,0.5621
0.1,0.0084,0.8004,0.4345,0.9316,0.939,0.9353,0.922,0.6941,0.8081,0.5946,0.5228,0.5587
0.2,-0.0129,0.8073,0.463,0.9419,0.9183,0.9301,0.9187,0.7132,0.816,0.5848,0.5177,0.5512
0.3,-0.0348,0.8155,0.4833,0.9495,0.8905,0.92,0.912,0.7271,0.8195,0.5738,0.5065,0.5402
0.4,-0.0541,0.8224,0.4934,0.9532,0.855,0.9041,0.9016,0.7339,0.8178,0.561,0.49,0.5255
0.5,-0.0685,0.8258,0.4926,0.9518,0.8125,0.8822,0.888,0.7321,0.8101,0.5461,0.4686,0.5073
0.6,-0.0783,0.8252,0.4814,0.9452,0.7646,0.8549,0.8721,0.7211,0.7966,0.5287,0.4435,0.4861
0.7,-0.0838,0.8215,0.4618,0.9342,0.7139,0.824,0.8557,0.7014,0.7786,0.5092,0.4162,0.4627
0.8,-0.0857,0.8169,0.4375,0.9199,0.6639,0.7919,0.8404,0.6748,0.7576,0.4885,0.3888,0.4386
0.9,-0.0837,0.8129,0.4118,0.9038,0.6181,0.761,0.827,0.6437,0.7354,0.4674,0.3627,0.415
1,-0.0788,0.8099,0.3875,0.8874,0.5787,0.733,0.8158,0.6108,0.7133,0.4463,0.3388,0.3926
1.1,-0.072,0.8076,0.3654,0.8716,0.547,0.7093,0.807,0.5785,0.6927,0.4252,0.3171,0.3712
1.2,-0.0626,0.8053,0.3456,0.8578,0.5234,0.6906,0.8009,0.5483,0.6746,0.4041,0.2972,0.3506
1.3,-0.0499,0.8028,0.3275,0.8462,0.5078,0.677,0.798,0.5216,0.6598,0.3828,0.279,0.3309
1.4,-0.0346,0.8001,0.311,0.8369,0.4998,0.6684,0.7981,0.499,0.6485,0.362,0.2629,0.3124
1.5,-0.0171,0.7973,0.2958,0.8293,0.4987,0.664,0.8,0.4808,0.6404,0.3427,0.2491,0.2959
1.6,0.002,0.7948,0.2814,0.823,0.5038,0.6634,0.8027,0.4666,0.6347,0.3256,0.2377,0.2817
1.7,0.0223,0.7925,0.2675,0.818,0.5142,0.6661,0.8055,0.456,0.6308,0.3115,0.2286,0.2701
1.8,0.0432,0.7905,0.2538,0.8142,0.5289,0.6716,0.8086,0.4486,0.6286,0.301,0.2222,0.2616
1.9,0.0639,0.7886,0.2406,0.8112,0.5472,0.6792,0.8122,0.4445,0.6283,0.2947,0.2191,0.2569
2,0.0842,0.7862,0.229,0.809,0.5684,0.6887,0.8165,0.4439,0.6302,0.2938,0.2198,0.2568
2.1,0.1051,0.783,0.2198,0.8072,0.5916,0.6994,0.8211,0.4469,0.634,0.299,0.2241,0.2615
2.2,0.1279,0.7789,0.2135,0.8057,0.6158,0.7108,0.8256,0.4533,0.6394,0.3106,0.2317,0.2712
2.3,0.1527,0.7745,0.2097,0.8049,0.6402,0.7226,0.8299,0.463,0.6465,0.3286,0.2428,0.2857
2.4,0.1793,0.7704,0.2079,0.805,0.6642,0.7346,0.8347,0.4762,0.6555,0.3527,0.2578,0.3052
2.5,0.2072,0.767,0.2082,0.8059,0.6867,0.7463,0.8406,0.4933,0.667,0.3824,0.2771,0.3297
2.6,0.2369,0.7634,0.2117,0.8072,0.7067,0.7569,0.8474,0.5141,0.6808,0.4169,0.2999,0.3584
2.7,0.2689,0.7585,0.2191,0.8081,0.7234,0.7657,0.8548,0.5378,0.6963,0.4545,0.3248,0.3896
2.8,0.3023,0.7514,0.2312,0.8084,0.7368,0.7726,0.8625,0.5631,0.7128,0.4934,0.3496,0.4215
2.9,0.3343,0.7424,0.2479,0.8078,0.7476,0.7777,0.8702,0.5889,0.7296,0.5323,0.3728,0.4525
3,0.3623,0.7328,0.2694,0.8063,0.756,0.7812,0.8769,0.6137,0.7453,0.5697,0.3935,0.4816
3.1,0.3839,0.7238,0.2954,0.8039,0.7626,0.7832,0.8814,0.6355,0.7585,0.6048,0.4118,0.5083
3.2,0.3981,0.7164,0.3253,0.8009,0.7672,0.784,0.8831,0.6524,0.7677,0.6377,0.4277,0.5327
3.3,0.4045,0.7102,0.3569,0.7972,0.7698,0.7835,0.8819,0.663,0.7724,0.6688,0.4414,0.5551
