Time,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.6,-0.3392,0.5907,0.5419,0.6367,0.6071,0.6219,0.6058,0.5365,0.5712,0.853,0.729,0.791
4.7,-0.2928,0.5939,0.5369,0.6418,0.6058,0.6238,0.6131,0.525,0.569,0.8548,0.7386,0.7967
4.8,-0.2515,0.5983,0.5324,0.6419,0.6046,0.6233,0.6182,0.5125,0.5654,0.8541,0.7474,0.8007
4.9,-0.2164,0.6034,0.528,0.6381,0.6041,0.6211,0.6203,0.4992,0.5597,0.8504,0.7547,0.8025
5,-0.1876,0.6092,0.5236,0.631,0.6047,0.6179,0.6195,0.485,0.5523,0.8442,0.7606,0.8024
5.1,-0.165,0.6158,0.5192,0.6211,0.6065,0.6138,0.6162,0.4704,0.5433,0.8365,0.7651,0.8008
5.2,-0.1481,0.6227,0.5145,0.6084,0.6091,0.6087,0.6103,0.4558,0.5331,0.8274,0.7682,0.7978
5.3,-0.1371,0.6294,0.5092,0.593,0.6119,0.6025,0.6015,0.4414,0.5215,0.8165,0.7698,0.7932
5.4,-0.1317,0.6356,0.5033,0.5753,0.6145,0.5949,0.589,0.4275,0.5082,0.8028,0.7695,0.7862
5.5,-0.1314,0.641,0.4975,0.556,0.6166,0.5863,0.5729,0.4139,0.4934,0.786,0.7669,0.7764
5.6,-0.1349,0.6455,0.4925,0.5358,0.6179,0.5768,0.5533,0.4008,0.477,0.766,0.7614,0.7637
5.7,-0.1413,0.6487,0.4889,0.5152,0.6179,0.5665,0.5305,0.3877,0.4591,0.7436,0.7524,0.748
5.8,-0.15,0.6504,0.4869,0.4945,0.6159,0.5552,0.5045,0.3746,0.4395,0.7196,0.7397,0.7297
5.9,-0.1604,0.6501,0.4869,0.4741,0.6111,0.5426,0.4757,0.3618,0.4187,0.6948,0.7235,0.7091
6,-0.1712,0.6479,0.4895,0.4544,0.6029,0.5287,0.4451,0.3502,0.3977,0.6697,0.7047,0.6872
6.1,-0.1801,0.6436,0.4959,0.4356,0.5909,0.5133,0.4144,0.3407,0.3776,0.6454,0.6847,0.6651
6.2,-0.1846,0.6371,0.5065,0.4176,0.5742,0.4959,0.3852,0.3338,0.3595,0.6231,0.6646,0.6438
6.3,-0.1826,0.6278,0.5205,0.4001,0.5519,0.476,0.3583,0.3293,0.3438,0.6037,0.6452,0.6244
6.4,-0.173,0.6151,0.5369,0.3825,0.5229,0.4527,0.3344,0.327,0.3307,0.5883,0.6272,0.6078
6.5,-0.1558,0.5987,0.5546,0.365,0.4871,0.426,0.3142,0.3265,0.3204,0.5775,0.6114,0.5945
6.6,-0.1312,0.5792,0.5733,0.3478,0.4447,0.3963,0.298,0.328,0.313,0.5715,0.5985,0.585
6.7,-0.0993,0.5573,0.592,0.3313,0.3968,0.364,0.286,0.3307,0.3083,0.5699,0.5882,0.579
6.8,-0.0608,0.5341,0.6093,0.3159,0.3445,0.3302,0.2777,0.334,0.3059,0.5716,0.5799,0.5758
6.9,-0.0173,0.5104,0.6236,0.302,0.29,0.296,0.2731,0.3373,0.3052,0.5755,0.5731,0.5743
7,0.0291,0.4874,0.6346,0.29,0.2365,0.2633,0.2722,0.3403,0.3063,0.5806,0.5674,0.574
7.1,0.0761,0.4663,0.6432,0.2809,0.1877,0.2343,0.2755,0.3432,0.3093,0.5863,0.563,0.5746
7.2,0.1211,0.4485,0.6505,0.2751,0.1467,0.2109,0.2833,0.3461,0.3147,0.5924,0.5602,0.5763
7.3,0.161,0.4349,0.6567,0.273,0.1154,0.1942,0.296,0.3488,0.3224,0.5987,0.5585,0.5786
7.4,0.1933,0.4259,0.6609,0.2745,0.0945,0.1845,0.3133,0.3513,0.3323,0.6049,0.5573,0.5811
7.5,0.2158,0.4219,0.6622,0.2794,0.0851,0.1823,0.335,0.3543,0.3447,0.6101,0.5559,0.583
7.6,0.227,0.4226,0.6601,0.2876,0.0883,0.188,0.3607,0.3586,0.3596,0.6135,0.5532,0.5833
7.7,0.226,0.4279,0.6542,0.299,0.105,0.202,0.3891,0.3643,0.3767,0.6144,0.5489,0.5816
7.8,0.2127,0.4371,0.644,0.3133,0.1343,0.2238,0.4184,0.3711,0.3947,0.6123,0.5426,0.5775
7.9,0.1877,0.4489,0.6289,0.3302,0.1735,0.2518,0.446,0.378,0.412,0.6071,0.5341,0.5706
8,0.1527,0.4619,0.6087,0.3488,0.2188,0.2838,0.4701,0.3843,0.4272,0.5986,0.5232,0.5609
8.1,0.1092,0.4753,0.5843,0.3688,0.267,0.3179,0.4898,0.3898,0.4398,0.587,0.5099,0.5485
8.2,0.0591,0.4887,0.5567,0.3896,0.316,0.3528,0.5052,0.3948,0.45,0.5728,0.4946,0.5337
8.3,0.0044,0.5021,0.5267,0.4106,0.3639,0.3872,0.5163,0.3995,0.4579,0.5571,0.4778,0.5174
8.4,-0.0532,0.5158,0.4951,0.4309,0.4089,0.4199,0.5236,0.4042,0.4639,0.5404,0.46,0.5002
8.5,-0.1114,0.5295,0.4632,0.4499,0.449,0.4495,0.5272,0.4096,0.4684,0.5233,0.4417,0.4825
8.6,-0.1668,0.5427,0.4327,0.4669,0.4831,0.475,0.5278,0.4163,0.4721,0.5062,0.4235,0.4648
8.7,-0.2155,0.5547,0.4053,0.4818,0.5105,0.4962,0.5262,0.4248,0.4755,0.4903,0.406,0.4481
8.8,-0.2541,0.5653,0.3822,0.4948,0.5314,0.5131,0.5236,0.4346,0.4791,0.4773,0.3903,0.4338
8.9,-0.2811,0.5738,0.3634,0.5058,0.546,0.5259,0.5207,0.4452,0.483,0.4688,0.3771,0.4229
9,-0.2963,0.5798,0.3484,0.5146,0.5546,0.5346,0.518,0.4559,0.4869,0.4652,0.3671,0.4161
9.1,-0.3002,0.5832,0.3372,0.5208,0.5583,0.5395,0.5157,0.4666,0.4912,0.4658,0.3603,0.4131
9.2,-0.2931,0.5845,0.3302,0.5243,0.5581,0.5412,0.5141,0.4778,0.496,0.4696,0.3568,0.4132
9.3,-0.2752,0.5844,0.3279,0.5254,0.5557,0.5406,0.5136,0.4899,0.5017,0.4761,0.3563,0.4162
9.4,-0.2477,0.5839,0.3303,0.5248,0.5523,0.5385,0.5146,0.5031,0.5089,0.4854,0.3593,0.4223
9.5,-0.2131,0.5834,0.337,0.5227,0.5487,0.5357,0.5175,0.5175,0.5175,0.4975,0.3657,0.4316
9.6,-0.1745,0.5832,0.3472,0.5194,0.5453,0.5324,0.5223,0.5327,0.5275,0.5116,0.3753,0.4434
9.7,-0.1348,0.5835,0.3606,0.5151,0.5426,0.5289,0.5287,0.5483,0.5385,0.5265,0.3874,0.4569
9.8,-0.0966,0.5846,0.3776,0.5103,0.5416,0.5259,0.5364,0.5641,0.5503,0.5414,0.4016,0.4715
9.9,-0.0617,0.5873,0.398,0.5055,0.5428,0.5242,0.5454,0.5798,0.5626,0.5562,0.4177,0.4869
10,-0.0316,0.5923,0.4219,0.5012,0.547,0.5241,0.5557,0.5953,0.5755,0.571,0.4354,0.5032
10.1,-0.007,0.6002,0.4494,0.498,0.554,0.526,0.5677,0.6106,0.5892,0.586,0.455,0.5205
10.2,0.0112,0.6109,0.4807,0.4962,0.5634,0.5298,0.5815,0.6256,0.6035,0.6008,0.4765,0.5387
10.3,0.0228,0.6238,0.5159,0.4959,0.5747,0.5353,0.5969,0.6404,0.6187,0.6151,0.4998,0.5574
10.4,0.0288,0.6387,0.5539,0.4975,0.5874,0.5424,0.614,0.6549,0.6344,0.6282,0.5242,0.5762
10.5,0.0298,0.6555,0.5932,0.501,0.6011,0.5511,0.6324,0.6688,0.6506,0.6404,0.5496,0.595
10.6,0.0263,0.6737,0.6319,0.5062,0.616,0.5611,0.6521,0.6818,0.6669,0.6525,0.576,0.6142
10.7,0.019,0.6922,0.6684,0.5122,0.6317,0.5719,0.6724,0.6935,0.683,0.6645,0.6032,0.6339
10.8,0.0095,0.7095,0.701,0.518,0.647,0.5825,0.6923,0.7037,0.698,0.6761,0.6304,0.6532
10.9,-0.0004,0.7238,0.7279,0.5224,0.6607,0.5915,0.71,0.7115,0.7107,0.6864,0.6557,0.671
11,-0.0094,0.7347,0.7478,0.5247,0.6717,0.5982,0.724,0.716,0.72,0.6953,0.6777,0.6865
11.1,-0.0174,0.7423,0.7606,0.5246,0.6794,0.602,0.7334,0.7168,0.7251,0.7028,0.6959,0.6994
11.2,-0.024,0.7468,0.7671,0.5223,0.6839,0.6031,0.738,0.7138,0.7259,0.7095,0.7105,0.71
11.3,-0.0288,0.7479,0.7685,0.5179,0.685,0.6014,0.7386,0.7076,0.7231,0.7154,0.7219,0.7187
11.4,-0.031,0.7452,0.7654,0.5115,0.6829,0.5972,0.7356,0.699,0.7173,0.7204,0.7304,0.7254
11.5,-0.0303,0.7382,0.7584,0.5034,0.6776,0.5905,0.7295,0.6883,0.7089,0.724,0.7359,0.73
11.6,-0.0268,0.7268,0.7473,0.4935,0.6688,0.5811,0.7206,0.6756,0.6981,0.7259,0.738,0.732
11.7,-0.0213,0.711,0.7326,0.4818,0.6565,0.5691,0.7093,0.6609,0.6851,0.7254,0.7368,0.7311
11.8,-0.0148,0.6914,0.7152,0.4683,0.6407,0.5545,0.6962,0.6451,0.6707,0.7224,0.7325,0.7274
11.9,-0.0082,0.6688,0.6956,0.4531,0.6223,0.5377,0.6819,0.6287,0.6553,0.717,0.7256,0.7213
12,-0.0023,0.6441,0.674,0.4363,0.6024,0.5193,0.6664,0.6124,0.6394,0.7098,0.7166,0.7132
12.1,0.0022,0.6178,0.6501,0.4183,0.582,0.5002,0.6501,0.5969,0.6235,0.7011,0.7059,0.7035
12.2,0.0041,0.591,0.6238,0.3995,0.5624,0.481,0.6333,0.5824,0.6079,0.6908,0.6939,0.6923
12.3,0.0023,0.5646,0.5958,0.3808,0.544,0.4624,0.6163,0.5694,0.5929,0.6783,0.6807,0.6795
12.4,-0.0034,0.5396,0.5668,0.3624,0.5275,0.4449,0.5993,0.5581,0.5787,0.6632,0.6667,0.6649
