Time,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1918,0.8259,0.7398,0.9122,1.0182,0.9652,1.0892,0.7048,0.897,0.9771,0.7547,0.8659
0.1,-0.168,0.8174,0.7544,0.8871,0.9974,0.9422,1.0677,0.7226,0.8951,1.0091,0.8015,0.9053
0.2,-0.145,0.8088,0.7733,0.8618,0.9775,0.9196,1.0404,0.74,0.8902,1.0341,0.8478,0.941
0.3,-0.1236,0.7998,0.7948,0.8366,0.9589,0.8977,1.0088,0.7556,0.8822,1.0523,0.8912,0.9718
0.4,-0.1038,0.7903,0.8162,0.8116,0.9407,0.8761,0.9749,0.768,0.8715,1.0639,0.9297,0.9968
0.5,-0.0848,0.7803,0.8359,0.7865,0.9209,0.8537,0.9404,0.7761,0.8582,1.0685,0.9616,1.015
0.6,-0.0663,0.7699,0.853,0.7613,0.8984,0.8299,0.9064,0.7796,0.843,1.0655,0.9849,1.0252
0.7,-0.0488,0.7594,0.8686,0.7366,0.8736,0.8051,0.8741,0.7791,0.8266,1.0551,0.9992,1.0271
0.8,-0.0335,0.7492,0.8835,0.7127,0.8474,0.7801,0.8447,0.7762,0.8104,1.0385,1.0056,1.0221
0.9,-0.0217,0.7391,0.8976,0.6899,0.8206,0.7552,0.8184,0.7719,0.7951,1.0172,1.006,1.0116
1,-0.0137,0.7289,0.9094,0.6682,0.7929,0.7306,0.7951,0.766,0.7806,0.992,1.0016,0.9968
1.1,-0.0096,0.7184,0.9158,0.6477,0.7645,0.7061,0.7743,0.758,0.7662,0.9636,0.9924,0.978
1.2,-0.0097,0.7074,0.9151,0.6285,0.736,0.6822,0.7551,0.7472,0.7512,0.9329,0.9781,0.9555
1.3,-0.0149,0.6958,0.9068,0.6105,0.7081,0.6593,0.7371,0.7335,0.7353,0.9015,0.9595,0.9305
1.4,-0.0261,0.6832,0.8913,0.5931,0.6814,0.6373,0.72,0.7173,0.7186,0.8707,0.9383,0.9045
1.5,-0.0434,0.6696,0.8692,0.5758,0.6558,0.6158,0.7038,0.699,0.7014,0.8417,0.9164,0.879
1.6,-0.0668,0.6551,0.8404,0.5584,0.6309,0.5946,0.6887,0.6791,0.6839,0.8153,0.8955,0.8554
1.7,-0.0958,0.6401,0.8056,0.5409,0.6064,0.5736,0.6747,0.658,0.6664,0.7927,0.8768,0.8347
1.8,-0.1303,0.625,0.7659,0.5237,0.5823,0.553,0.6615,0.6363,0.6489,0.7751,0.8613,0.8182
1.9,-0.1698,0.6096,0.7226,0.5072,0.5588,0.533,0.6488,0.6142,0.6315,0.7636,0.8492,0.8064
2,-0.2132,0.5941,0.6766,0.4921,0.5361,0.5141,0.6359,0.5919,0.6139,0.7578,0.8398,0.7988
2.1,-0.2589,0.579,0.629,0.479,0.5147,0.4969,0.6231,0.5694,0.5963,0.7568,0.8321,0.7944
2.2,-0.3046,0.5655,0.5806,0.4691,0.4958,0.4825,0.611,0.5471,0.5791,0.7589,0.8246,0.7917
2.3,-0.3476,0.5549,0.5318,0.4635,0.4808,0.4721,0.6003,0.5257,0.563,0.763,0.8164,0.7897
2.4,-0.3856,0.548,0.4832,0.463,0.4703,0.4666,0.5916,0.5064,0.549,0.7685,0.8075,0.788
2.5,-0.416,0.5449,0.4362,0.4677,0.4646,0.4662,0.5853,0.4899,0.5376,0.7755,0.7992,0.7874
2.6,-0.4366,0.5461,0.3922,0.4778,0.4634,0.4706,0.5817,0.4773,0.5295,0.7835,0.7928,0.7882
2.7,-0.445,0.5519,0.3531,0.4938,0.4666,0.4802,0.581,0.469,0.525,0.7921,0.789,0.7906
2.8,-0.4395,0.5625,0.3209,0.5164,0.4748,0.4956,0.5835,0.4655,0.5245,0.8009,0.7884,0.7947
2.9,-0.4197,0.5776,0.2968,0.5456,0.488,0.5168,0.5887,0.4665,0.5276,0.8107,0.7915,0.8011
3,-0.3861,0.596,0.2813,0.5802,0.5055,0.5428,0.5958,0.4714,0.5336,0.8222,0.7984,0.8103
3.1,-0.3408,0.6158,0.2735,0.6177,0.5257,0.5717,0.6034,0.4796,0.5415,0.8358,0.8089,0.8223
3.2,-0.2871,0.6353,0.2723,0.6547,0.5469,0.6008,0.6103,0.4901,0.5502,0.851,0.8224,0.8367
3.3,-0.2289,0.6532,0.2779,0.688,0.5679,0.628,0.6156,0.5024,0.559,0.8672,0.8384,0.8528
3.4,-0.1696,0.6686,0.2905,0.7157,0.5877,0.6517,0.619,0.5161,0.5676,0.8837,0.8562,0.8699
3.5,-0.1115,0.6808,0.3105,0.7361,0.6058,0.6709,0.6208,0.531,0.5759,0.9,0.8749,0.8874
3.6,-0.056,0.6895,0.3373,0.7485,0.6208,0.6846,0.6212,0.5469,0.584,0.9155,0.8936,0.9046
3.7,-0.0039,0.6946,0.3698,0.7526,0.632,0.6923,0.6205,0.5631,0.5918,0.9297,0.9116,0.9207
3.8,0.043,0.6964,0.4077,0.7492,0.6392,0.6942,0.6185,0.5796,0.5991,0.9425,0.9285,0.9355
3.9,0.083,0.6951,0.4508,0.7391,0.6425,0.6908,0.6151,0.5961,0.6056,0.9541,0.9442,0.9491
4,0.1152,0.6912,0.4989,0.7235,0.642,0.6828,0.6099,0.6127,0.6113,0.9649,0.9588,0.9618
4.1,0.1399,0.6847,0.5499,0.7033,0.6376,0.6705,0.6033,0.629,0.6161,0.9752,0.9722,0.9737
4.2,0.1582,0.6755,0.6001,0.679,0.6289,0.654,0.5953,0.644,0.6197,0.9848,0.9844,0.9846
4.3,0.1709,0.6635,0.6461,0.6512,0.6158,0.6335,0.586,0.6571,0.6215,0.993,0.9948,0.9939
4.4,0.1785,0.6487,0.6859,0.6207,0.5985,0.6096,0.5757,0.6675,0.6216,0.9995,1.0027,1.0011
4.5,0.181,0.6317,0.7192,0.5884,0.5778,0.5831,0.5651,0.6757,0.6204,1.0041,1.0077,1.0059
4.6,0.1788,0.6128,0.7466,0.555,0.5542,0.5546,0.5547,0.6824,0.6186,1.0062,1.0094,1.0078
4.7,0.1723,0.5921,0.7686,0.5209,0.5276,0.5243,0.5449,0.6884,0.6167,1.0051,1.0073,1.0062
4.8,0.1625,0.5698,0.7852,0.487,0.4978,0.4924,0.5362,0.6941,0.6152,0.9997,1.0014,1.0006
4.9,0.1501,0.5461,0.796,0.4543,0.4651,0.4597,0.5291,0.6997,0.6144,0.9893,0.9914,0.9903
5,0.1357,0.5218,0.8009,0.4242,0.4303,0.4272,0.5243,0.7053,0.6148,0.9736,0.9775,0.9756
5.1,0.1195,0.4972,0.8009,0.3976,0.3948,0.3962,0.5226,0.7117,0.6171,0.9533,0.9598,0.9566
5.2,0.1013,0.4731,0.7968,0.3749,0.36,0.3675,0.5243,0.7193,0.6218,0.9289,0.9382,0.9335
5.3,0.0808,0.4504,0.7887,0.3561,0.3273,0.3417,0.5294,0.7283,0.6289,0.9007,0.9127,0.9067
5.4,0.0576,0.43,0.7763,0.3409,0.2983,0.3196,0.538,0.7388,0.6384,0.8699,0.8843,0.8771
5.5,0.032,0.4132,0.7595,0.3295,0.2743,0.3019,0.5504,0.7508,0.6506,0.838,0.8544,0.8462
5.6,0.0052,0.4009,0.7396,0.3214,0.2567,0.2891,0.5665,0.7648,0.6656,0.8068,0.8248,0.8158
5.7,-0.0215,0.3934,0.7179,0.3163,0.2463,0.2813,0.586,0.7808,0.6834,0.7777,0.797,0.7874
5.8,-0.0474,0.3913,0.696,0.3142,0.2437,0.2789,0.6083,0.7989,0.7036,0.7521,0.7718,0.7619
5.9,-0.0728,0.3955,0.675,0.3153,0.2497,0.2825,0.6318,0.8184,0.7251,0.7304,0.7495,0.74
6,-0.0979,0.4065,0.6556,0.3197,0.2654,0.2925,0.6551,0.8385,0.7468,0.7131,0.7303,0.7217
6.1,-0.1221,0.4246,0.6386,0.327,0.2918,0.3094,0.6769,0.8583,0.7676,0.7004,0.7141,0.7073
6.2,-0.1446,0.4491,0.6248,0.3363,0.3289,0.3326,0.6959,0.8767,0.7863,0.6924,0.7009,0.6966
6.3,-0.1651,0.479,0.6141,0.3464,0.3752,0.3608,0.7114,0.8933,0.8024,0.6885,0.6903,0.6894
6.4,-0.1835,0.5125,0.6065,0.3567,0.4274,0.3921,0.7228,0.9075,0.8152,0.6879,0.6816,0.6847
