Time,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.3639,0.5351,0.6502,0.4556,0.4676,0.4616,0.7072,0.6046,0.6559,0.6511,0.5105,0.5808
4.6,0.3637,0.5417,0.668,0.4598,0.4722,0.466,0.7051,0.6003,0.6527,0.6471,0.5146,0.5808
4.7,0.362,0.5497,0.6869,0.4646,0.4782,0.4714,0.701,0.5963,0.6487,0.6423,0.5187,0.5805
4.8,0.3599,0.559,0.7061,0.4706,0.4855,0.478,0.695,0.5933,0.6441,0.6366,0.5222,0.5794
4.9,0.3572,0.5696,0.7257,0.4782,0.4946,0.4864,0.6875,0.5917,0.6396,0.6302,0.5243,0.5772
5,0.3534,0.5813,0.7454,0.4875,0.5065,0.497,0.6792,0.5919,0.6355,0.6226,0.5242,0.5734
5.1,0.3477,0.594,0.7637,0.498,0.5214,0.5097,0.6705,0.5934,0.6319,0.6135,0.5215,0.5675
5.2,0.34,0.6073,0.779,0.509,0.5391,0.5241,0.6614,0.5953,0.6283,0.6025,0.516,0.5592
5.3,0.3311,0.6208,0.7901,0.5199,0.5584,0.5391,0.6516,0.5965,0.624,0.5893,0.5074,0.5483
5.4,0.3215,0.6343,0.7968,0.5306,0.5784,0.5545,0.6408,0.5965,0.6187,0.574,0.4959,0.535
5.5,0.3097,0.6473,0.799,0.5408,0.5985,0.5696,0.629,0.5953,0.6121,0.5566,0.4818,0.5192
5.6,0.2941,0.6593,0.7967,0.5498,0.6183,0.5841,0.6157,0.5929,0.6043,0.5372,0.4651,0.5011
5.7,0.2738,0.6691,0.7897,0.5565,0.6367,0.5966,0.6005,0.5893,0.5949,0.516,0.446,0.481
5.8,0.2509,0.6758,0.7782,0.5596,0.6521,0.6059,0.5838,0.5847,0.5843,0.494,0.4255,0.4598
5.9,0.2275,0.6788,0.7632,0.5582,0.663,0.6106,0.5666,0.5799,0.5733,0.4724,0.4047,0.4386
6,0.2047,0.6778,0.7461,0.5519,0.6684,0.6101,0.5503,0.5759,0.5631,0.4519,0.3844,0.4182
6.1,0.1825,0.6727,0.7275,0.5407,0.668,0.6043,0.5354,0.5731,0.5543,0.4332,0.365,0.3991
6.2,0.1611,0.6635,0.7072,0.5253,0.6619,0.5936,0.522,0.5718,0.5469,0.4161,0.3464,0.3813
6.3,0.1414,0.6506,0.6848,0.5071,0.6504,0.5787,0.5096,0.5716,0.5406,0.4007,0.329,0.3648
6.4,0.1242,0.6344,0.6604,0.4877,0.6336,0.5606,0.4979,0.5717,0.5348,0.3867,0.3131,0.3499
6.5,0.1096,0.6154,0.634,0.4685,0.6118,0.5401,0.487,0.5715,0.5293,0.3743,0.2989,0.3366
6.6,0.0977,0.5944,0.6062,0.4504,0.5859,0.5181,0.4775,0.5704,0.524,0.364,0.2867,0.3253
6.7,0.0886,0.572,0.5777,0.4339,0.5571,0.4955,0.4696,0.5684,0.519,0.3565,0.2765,0.3165
6.8,0.0822,0.5489,0.5495,0.419,0.5271,0.473,0.4635,0.5654,0.5144,0.3521,0.269,0.3106
6.9,0.0779,0.5255,0.5233,0.4057,0.4969,0.4513,0.459,0.562,0.5105,0.3507,0.2644,0.3075
7,0.0743,0.5027,0.5003,0.3944,0.4673,0.4308,0.4564,0.5586,0.5075,0.3521,0.263,0.3075
7.1,0.0704,0.4815,0.4813,0.3854,0.4393,0.4123,0.4558,0.5554,0.5056,0.3561,0.2646,0.3104
