Time,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.8,-0.7054,0.6603,0.4084,0.243,0.5861,0.4145,0.3288,0.3797,0.3542,0.7196,0.4827,0.6011
23.9,-0.6855,0.6396,0.4069,0.2253,0.57,0.3977,0.3412,0.3735,0.3573,0.7087,0.4765,0.5926
24,-0.6578,0.6175,0.4057,0.2132,0.5564,0.3848,0.3584,0.3702,0.3643,0.6962,0.4685,0.5824
24.1,-0.6225,0.5953,0.4047,0.2066,0.5462,0.3764,0.3795,0.3698,0.3746,0.682,0.4591,0.5705
24.2,-0.5799,0.5738,0.4031,0.2057,0.54,0.3729,0.4034,0.372,0.3877,0.6657,0.4481,0.5569
24.3,-0.5311,0.5541,0.4004,0.2107,0.5386,0.3746,0.429,0.3765,0.4028,0.6478,0.4356,0.5417
24.4,-0.4775,0.5371,0.3965,0.2209,0.5423,0.3816,0.455,0.3839,0.4195,0.6286,0.4219,0.5253
24.5,-0.4206,0.5235,0.3916,0.2351,0.5507,0.3929,0.4802,0.3946,0.4374,0.6091,0.4076,0.5083
24.6,-0.3617,0.5138,0.3858,0.2515,0.5628,0.4072,0.5036,0.4083,0.456,0.5901,0.3937,0.4919
24.7,-0.3021,0.5083,0.3795,0.2686,0.5772,0.4229,0.5249,0.4246,0.4748,0.5727,0.3816,0.4772
24.8,-0.2442,0.5075,0.3739,0.2855,0.5925,0.439,0.5443,0.443,0.4937,0.5581,0.373,0.4655
24.9,-0.1907,0.5114,0.3703,0.3021,0.6081,0.4551,0.562,0.4639,0.513,0.5477,0.3692,0.4585
25,-0.1434,0.5201,0.3694,0.3183,0.6238,0.471,0.578,0.488,0.533,0.5428,0.3716,0.4572
25.1,-0.1033,0.5328,0.3709,0.3335,0.6391,0.4863,0.5917,0.5152,0.5534,0.5444,0.3806,0.4625
25.2,-0.0695,0.5476,0.374,0.3472,0.6529,0.5,0.6023,0.5436,0.573,0.5524,0.3957,0.4741
25.3,-0.0404,0.5627,0.3771,0.3587,0.6637,0.5112,0.6093,0.5704,0.5899,0.5663,0.4162,0.4912
25.4,-0.0156,0.5764,0.379,0.3677,0.6701,0.5189,0.612,0.593,0.6025,0.5856,0.4413,0.5134
25.5,0.004,0.5877,0.3788,0.3741,0.6717,0.5229,0.6098,0.6102,0.61,0.6102,0.4704,0.5403
25.6,0.0169,0.5962,0.3764,0.3779,0.6691,0.5235,0.6017,0.6221,0.6119,0.6396,0.5025,0.5711
25.7,0.0216,0.6019,0.3719,0.379,0.6635,0.5212,0.5871,0.6286,0.6079,0.6726,0.5366,0.6046
25.8,0.0168,0.6046,0.3658,0.3775,0.6563,0.5169,0.5664,0.6297,0.598,0.7075,0.5712,0.6393
25.9,0.0024,0.604,0.3584,0.3735,0.6487,0.5111,0.5407,0.6254,0.583,0.7425,0.6049,0.6737
26,-0.0203,0.5999,0.3498,0.3671,0.6408,0.5039,0.5115,0.616,0.5638,0.7765,0.6368,0.7066
26.1,-0.0491,0.5922,0.3407,0.3585,0.6322,0.4954,0.4796,0.6024,0.541,0.8088,0.666,0.7374
26.2,-0.0811,0.5808,0.3319,0.3484,0.6221,0.4852,0.4461,0.5853,0.5157,0.8386,0.6921,0.7654
26.3,-0.114,0.5658,0.3244,0.3377,0.6102,0.4739,0.4121,0.565,0.4885,0.8648,0.7141,0.7895
26.4,-0.1462,0.5472,0.3181,0.3276,0.5965,0.462,0.3792,0.5419,0.4606,0.8857,0.7303,0.808
26.5,-0.1771,0.5249,0.3126,0.3189,0.5817,0.4503,0.3482,0.5164,0.4323,0.8998,0.7392,0.8195
26.6,-0.2063,0.4993,0.3073,0.312,0.5666,0.4393,0.319,0.4887,0.4039,0.9071,0.7398,0.8235
26.7,-0.2331,0.4709,0.3027,0.3074,0.5523,0.4298,0.2918,0.4596,0.3757,0.9081,0.7322,0.8202
26.8,-0.2563,0.4407,0.2995,0.3056,0.5393,0.4224,0.2667,0.4297,0.3482,0.9033,0.7166,0.8099
26.9,-0.2739,0.4096,0.2984,0.3073,0.5277,0.4175,0.244,0.4,0.322,0.893,0.6932,0.7931
27,-0.2847,0.3779,0.2995,0.3128,0.5178,0.4153,0.2241,0.3712,0.2977,0.8775,0.6628,0.7702
27.1,-0.2877,0.3461,0.3028,0.3215,0.5095,0.4155,0.2075,0.3438,0.2756,0.8576,0.6269,0.7423
27.2,-0.2823,0.3149,0.3075,0.3324,0.5027,0.4175,0.1944,0.3178,0.2561,0.8342,0.5879,0.711
27.3,-0.2679,0.2853,0.3123,0.3442,0.4972,0.4207,0.1847,0.2927,0.2387,0.808,0.5477,0.6779
27.4,-0.2451,0.2581,0.3155,0.3564,0.4928,0.4246,0.1777,0.2682,0.223,0.7796,0.5082,0.6439
27.5,-0.2154,0.2341,0.3162,0.3687,0.4899,0.4293,0.1733,0.2446,0.209,0.7492,0.4703,0.6097
27.6,-0.1813,0.2141,0.3148,0.3806,0.4894,0.435,0.1719,0.2232,0.1975,0.7173,0.4352,0.5762
27.7,-0.145,0.199,0.3123,0.3917,0.4921,0.4419,0.1741,0.2057,0.1899,0.6848,0.4048,0.5448
27.8,-0.1085,0.1896,0.3096,0.4014,0.4981,0.4498,0.181,0.1933,0.1871,0.6527,0.3809,0.5168
27.9,-0.0738,0.1865,0.3068,0.41,0.5073,0.4586,0.193,0.1861,0.1896,0.6217,0.3649,0.4933
28,-0.0442,0.1898,0.3043,0.4177,0.5192,0.4685,0.2103,0.184,0.1971,0.5925,0.3568,0.4747
28.1,-0.0238,0.1987,0.3024,0.4251,0.5334,0.4793,0.2325,0.1868,0.2096,0.5662,0.356,0.4611
28.2,-0.0158,0.2116,0.3018,0.4321,0.5495,0.4908,0.2587,0.1946,0.2267,0.5432,0.3608,0.452
28.3,-0.0206,0.2268,0.3018,0.4386,0.5664,0.5025,0.2871,0.2069,0.247,0.5235,0.3693,0.4464
28.4,-0.0359,0.2431,0.3016,0.4439,0.5824,0.5132,0.3154,0.2221,0.2687,0.5066,0.3792,0.4429
28.5,-0.058,0.2595,0.3006,0.4477,0.5958,0.5217,0.3416,0.2382,0.2899,0.4917,0.3892,0.4404
28.6,-0.084,0.2756,0.2983,0.4499,0.606,0.528,0.365,0.2536,0.3093,0.4784,0.3985,0.4384
28.7,-0.1124,0.2916,0.2951,0.4514,0.614,0.5327,0.3862,0.2682,0.3272,0.4673,0.4074,0.4373
28.8,-0.1422,0.3077,0.2919,0.4538,0.6209,0.5373,0.4061,0.2827,0.3444,0.4593,0.4162,0.4378
28.9,-0.1721,0.324,0.2893,0.4582,0.6274,0.5428,0.4255,0.2981,0.3618,0.4547,0.4254,0.4401
29,-0.2005,0.3402,0.2877,0.4652,0.6335,0.5494,0.4446,0.3146,0.3796,0.4532,0.4348,0.444
29.1,-0.2256,0.3556,0.2875,0.4748,0.6386,0.5567,0.4632,0.3318,0.3975,0.4542,0.4441,0.4492
29.2,-0.2459,0.369,0.2884,0.4862,0.6419,0.5641,0.4806,0.3489,0.4148,0.4574,0.453,0.4552
29.3,-0.2594,0.3794,0.2897,0.4988,0.6423,0.5706,0.4961,0.3653,0.4307,0.4625,0.4615,0.462
29.4,-0.2634,0.3859,0.2908,0.5121,0.6391,0.5756,0.5095,0.3805,0.445,0.4698,0.4691,0.4694
29.5,-0.256,0.3886,0.2911,0.5255,0.6321,0.5788,0.5211,0.3945,0.4578,0.4792,0.4755,0.4774
29.6,-0.2377,0.3877,0.2901,0.5387,0.6217,0.5802,0.532,0.4068,0.4694,0.491,0.4803,0.4856
29.7,-0.2104,0.3838,0.2875,0.5516,0.6096,0.5806,0.5432,0.4175,0.4803,0.505,0.4833,0.4941
29.8,-0.1767,0.3773,0.2832,0.5636,0.597,0.5803,0.5551,0.4265,0.4908,0.5212,0.4849,0.503
29.9,-0.1381,0.3693,0.2773,0.5741,0.5851,0.5796,0.5674,0.4341,0.5008,0.5399,0.4854,0.5127
