Time,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1681,0.2456,0.4376,0.1376,0.2529,0.1953,0.3954,0.4453,0.4204,0.233,0.2809,0.2569
0.1,0.2097,0.2326,0.4494,0.1346,0.2371,0.1858,0.4273,0.4489,0.4381,0.1974,0.2516,0.2245
0.2,0.247,0.2228,0.456,0.1387,0.2232,0.181,0.4562,0.4511,0.4536,0.163,0.2225,0.1927
0.3,0.2788,0.2166,0.4574,0.1501,0.2122,0.1812,0.4811,0.4518,0.4665,0.1298,0.1933,0.1615
0.4,0.3044,0.2144,0.4548,0.1685,0.2048,0.1867,0.5021,0.4514,0.4767,0.0982,0.1644,0.1313
0.5,0.3237,0.2163,0.4499,0.1933,0.2016,0.1975,0.5191,0.4504,0.4848,0.0691,0.1367,0.1029
0.6,0.3367,0.2224,0.4446,0.224,0.2033,0.2136,0.533,0.4491,0.4911,0.0435,0.1111,0.0773
0.7,0.343,0.2326,0.4402,0.2598,0.2104,0.2351,0.5447,0.4482,0.4964,0.0218,0.0891,0.0555
0.8,0.3415,0.2472,0.4373,0.3,0.2235,0.2617,0.5546,0.4482,0.5014,0.0043,0.0719,0.0381
0.9,0.3319,0.2657,0.4363,0.3434,0.2426,0.293,0.5631,0.4489,0.506,-0.0087,0.06,0.0257
1,0.3146,0.2875,0.4372,0.3883,0.267,0.3276,0.5695,0.4499,0.5097,-0.017,0.0533,0.0182
1.1,0.2904,0.3112,0.4403,0.4327,0.295,0.3639,0.5733,0.4509,0.5121,-0.0201,0.051,0.0155
1.2,0.2603,0.3355,0.446,0.4748,0.3254,0.4001,0.574,0.4518,0.5129,-0.018,0.053,0.0175
1.3,0.2254,0.3593,0.4547,0.5128,0.3568,0.4348,0.5713,0.4525,0.5119,-0.0111,0.059,0.0239
1.4,0.1873,0.3815,0.4666,0.5451,0.3884,0.4667,0.5655,0.4529,0.5092,-0.0002,0.0684,0.0341
1.5,0.1478,0.4013,0.4816,0.5703,0.4194,0.4949,0.557,0.4527,0.5048,0.0136,0.081,0.0473
1.6,0.1085,0.4179,0.4997,0.5875,0.4496,0.5186,0.5457,0.4519,0.4988,0.0301,0.0961,0.0631
1.7,0.0696,0.4309,0.5205,0.5961,0.4783,0.5372,0.5317,0.4506,0.4912,0.0486,0.1133,0.081
1.8,0.0301,0.4406,0.5439,0.596,0.5049,0.5504,0.5153,0.4494,0.4824,0.0682,0.1322,0.1002
1.9,-0.0101,0.4478,0.5696,0.5875,0.5291,0.5583,0.4972,0.4488,0.473,0.0877,0.1525,0.1201
2,-0.0485,0.4532,0.5974,0.5716,0.5505,0.561,0.478,0.4489,0.4635,0.1067,0.174,0.1404
