Time,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4413,0.6191,1.1458,0.4623,0.6479,0.5551,0.7507,1.0065,0.8786,0.3966,0.6116,0.5041
0.1,-0.4542,0.6251,1.1672,0.4844,0.6705,0.5774,0.7758,1.0501,0.9129,0.3883,0.6231,0.5057
0.2,-0.4574,0.6262,1.18,0.5063,0.6879,0.5971,0.8012,1.0879,0.9445,0.3816,0.6331,0.5074
0.3,-0.4503,0.6223,1.184,0.5276,0.6987,0.6132,0.8263,1.1188,0.9726,0.3763,0.6419,0.5091
0.4,-0.4339,0.6138,1.1796,0.547,0.7025,0.6248,0.8507,1.1421,0.9964,0.372,0.649,0.5105
0.5,-0.41,0.601,1.1674,0.5634,0.7,0.6317,0.8741,1.1572,1.0156,0.3686,0.6539,0.5112
0.6,-0.3806,0.5851,1.1484,0.5766,0.6925,0.6345,0.8952,1.164,1.0296,0.3657,0.6563,0.511
0.7,-0.3475,0.5677,1.1236,0.5868,0.6812,0.634,0.912,1.1626,1.0373,0.3632,0.656,0.5096
0.8,-0.3125,0.5502,1.0937,0.5938,0.6671,0.6305,0.9216,1.1536,1.0376,0.3604,0.6531,0.5068
0.9,-0.2774,0.5345,1.0597,0.5973,0.651,0.6241,0.9222,1.1375,1.0299,0.3563,0.6473,0.5018
1,-0.2424,0.5219,1.0223,0.5972,0.6333,0.6152,0.9135,1.1146,1.014,0.3503,0.6382,0.4943
1.1,-0.2064,0.5137,0.9824,0.5944,0.6144,0.6044,0.8967,1.085,0.9909,0.3431,0.6255,0.4843
1.2,-0.169,0.5099,0.9413,0.5899,0.5947,0.5923,0.8736,1.0493,0.9615,0.3356,0.6095,0.4726
1.3,-0.1302,0.5103,0.9002,0.5847,0.5746,0.5797,0.8462,1.0088,0.9275,0.3289,0.5908,0.4598
1.4,-0.0905,0.5143,0.8599,0.5798,0.5547,0.5673,0.8167,0.9656,0.8911,0.3229,0.5697,0.4463
1.5,-0.0504,0.5214,0.8212,0.5757,0.5357,0.5557,0.7875,0.9213,0.8544,0.317,0.5464,0.4317
1.6,-0.0098,0.5306,0.7841,0.573,0.5178,0.5454,0.7601,0.8774,0.8188,0.3109,0.5208,0.4158
1.7,0.0312,0.5404,0.7482,0.572,0.5008,0.5364,0.7347,0.8346,0.7847,0.3047,0.4932,0.3989
1.8,0.0719,0.5494,0.7132,0.573,0.4843,0.5286,0.7115,0.7936,0.7525,0.299,0.4646,0.3818
1.9,0.1118,0.5567,0.6796,0.5765,0.4682,0.5223,0.6909,0.7558,0.7233,0.2943,0.4358,0.3651
2,0.1506,0.5622,0.6488,0.5829,0.453,0.518,0.6742,0.7226,0.6984,0.2905,0.4071,0.3488
2.1,0.1881,0.5664,0.6221,0.5932,0.4398,0.5165,0.6627,0.695,0.6788,0.2875,0.3784,0.3329
2.2,0.2243,0.5703,0.6002,0.608,0.4297,0.5189,0.6567,0.6731,0.6649,0.2852,0.3499,0.3176
2.3,0.2596,0.5744,0.5836,0.6281,0.4235,0.5258,0.656,0.6567,0.6563,0.2846,0.3224,0.3035
2.4,0.2938,0.5794,0.5717,0.6537,0.4219,0.5378,0.6597,0.6455,0.6526,0.2867,0.2972,0.292
2.5,0.3268,0.5857,0.5642,0.6844,0.4253,0.5548,0.6671,0.6397,0.6534,0.2927,0.2753,0.284
2.6,0.3587,0.5932,0.5614,0.7187,0.4331,0.5759,0.677,0.6389,0.6579,0.3025,0.2572,0.2799
2.7,0.3895,0.6016,0.5632,0.7544,0.444,0.5992,0.6884,0.6425,0.6654,0.3156,0.2432,0.2794
2.8,0.4195,0.6108,0.5694,0.7897,0.4564,0.623,0.7006,0.6495,0.6751,0.3309,0.2335,0.2822
2.9,0.4478,0.6207,0.5795,0.8228,0.4691,0.6459,0.7134,0.6592,0.6863,0.3476,0.2277,0.2877
3,0.4731,0.6316,0.5929,0.8519,0.4819,0.6669,0.7266,0.6712,0.6989,0.3653,0.2257,0.2955
3.1,0.4935,0.6434,0.609,0.8751,0.4953,0.6852,0.7401,0.6851,0.7126,0.3833,0.227,0.3052
3.2,0.5071,0.6556,0.6271,0.8911,0.5095,0.7003,0.7534,0.7003,0.7269,0.4011,0.2315,0.3163
3.3,0.513,0.6679,0.6456,0.9,0.5244,0.7122,0.7661,0.7159,0.741,0.4186,0.239,0.3288
3.4,0.511,0.6803,0.6627,0.9027,0.5392,0.7209,0.7779,0.7309,0.7544,0.4358,0.2488,0.3423
3.5,0.5011,0.693,0.6773,0.9002,0.554,0.7271,0.7888,0.7446,0.7667,0.4528,0.2605,0.3567
3.6,0.4833,0.7065,0.6892,0.8934,0.5695,0.7314,0.7987,0.7567,0.7777,0.4696,0.2738,0.3717
3.7,0.4574,0.7206,0.6987,0.8828,0.5864,0.7346,0.8073,0.7671,0.7872,0.4858,0.2884,0.3871
3.8,0.4231,0.7348,0.7061,0.8687,0.6053,0.737,0.814,0.7757,0.7949,0.5008,0.3041,0.4025
3.9,0.3803,0.7488,0.7115,0.8521,0.626,0.7391,0.8188,0.7824,0.8006,0.5142,0.3206,0.4174
4,0.33,0.7629,0.715,0.8342,0.648,0.7411,0.8218,0.7875,0.8046,0.5255,0.3375,0.4315
4.1,0.274,0.777,0.7167,0.8161,0.6705,0.7433,0.8234,0.7911,0.8073,0.5346,0.3544,0.4445
4.2,0.2147,0.7909,0.7168,0.7981,0.6926,0.7454,0.8237,0.7932,0.8084,0.5412,0.3705,0.4558
4.3,0.1543,0.8034,0.7157,0.7803,0.7135,0.7469,0.8228,0.7935,0.8082,0.546,0.3849,0.4654
4.4,0.0944,0.8133,0.7134,0.7631,0.7325,0.7478,0.821,0.7921,0.8065,0.55,0.3977,0.4738
4.5,0.0361,0.8201,0.7107,0.7475,0.7501,0.7488,0.8189,0.7891,0.804,0.5544,0.409,0.4817
4.6,-0.0195,0.8245,0.708,0.7346,0.767,0.7508,0.8169,0.7851,0.801,0.5595,0.4194,0.4895
4.7,-0.0711,0.8274,0.7056,0.7253,0.7841,0.7547,0.8152,0.7804,0.7978,0.5648,0.4289,0.4969
4.8,-0.1174,0.8293,0.7026,0.7193,0.8012,0.7603,0.8134,0.7745,0.794,0.5698,0.437,0.5034
4.9,-0.1574,0.83,0.698,0.7161,0.8178,0.7669,0.8114,0.7672,0.7893,0.5743,0.4435,0.5089
5,-0.1911,0.8292,0.6914,0.7152,0.8334,0.7743,0.8088,0.7588,0.7838,0.5789,0.4482,0.5135
5.1,-0.2193,0.8271,0.6835,0.7162,0.8484,0.7823,0.8052,0.7502,0.7777,0.5843,0.4512,0.5177
5.2,-0.243,0.8244,0.6756,0.7191,0.8636,0.7914,0.8,0.7423,0.7711,0.5906,0.4527,0.5216
5.3,-0.2631,0.8214,0.6686,0.7233,0.8792,0.8012,0.7925,0.7355,0.764,0.5976,0.4527,0.5251
