Time,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.2,0.7077,0.3471,0.5587,0.4399,0.2911,0.3655,0.6412,0.4436,0.5424,0.8194,0.692,0.7557
27.3,0.7101,0.3506,0.5753,0.424,0.2937,0.3588,0.6513,0.4547,0.553,0.8269,0.7031,0.765
27.4,0.7011,0.3508,0.5913,0.4046,0.2913,0.348,0.6571,0.4641,0.5606,0.83,0.7136,0.7718
27.5,0.6818,0.3472,0.607,0.3819,0.2835,0.3327,0.6593,0.4721,0.5657,0.8294,0.7234,0.7764
27.6,0.6536,0.3404,0.6229,0.3568,0.2712,0.314,0.6589,0.48,0.5695,0.8254,0.7324,0.7789
27.7,0.6178,0.3319,0.6393,0.3306,0.2557,0.2931,0.6568,0.4887,0.5728,0.8185,0.7401,0.7793
27.8,0.5749,0.323,0.6564,0.3043,0.238,0.2711,0.6534,0.4984,0.5759,0.8087,0.7452,0.777
27.9,0.5254,0.3148,0.6742,0.2787,0.2194,0.2491,0.6491,0.509,0.579,0.7964,0.7471,0.7717
28,0.469,0.308,0.693,0.2543,0.2013,0.2278,0.6441,0.5206,0.5824,0.7821,0.7452,0.7637
28.1,0.4062,0.3035,0.7128,0.2318,0.185,0.2084,0.6392,0.5338,0.5865,0.7665,0.74,0.7533
28.2,0.3379,0.3022,0.7328,0.2122,0.172,0.1921,0.6348,0.5487,0.5917,0.7501,0.7321,0.7411
28.3,0.2662,0.3051,0.7521,0.1967,0.1634,0.18,0.6316,0.5648,0.5982,0.7333,0.7218,0.7275
28.4,0.1943,0.3129,0.7694,0.186,0.1596,0.1728,0.6303,0.5813,0.6058,0.7167,0.7093,0.713
28.5,0.1253,0.3257,0.7835,0.1806,0.1609,0.1707,0.6311,0.5972,0.6141,0.7009,0.6949,0.6979
28.6,0.062,0.3431,0.7938,0.1811,0.1678,0.1744,0.6339,0.6121,0.623,0.686,0.6785,0.6823
28.7,0.0061,0.3647,0.7998,0.188,0.1804,0.1842,0.6383,0.6255,0.6319,0.6722,0.6602,0.6662
28.8,-0.0411,0.39,0.8014,0.2012,0.1986,0.1999,0.6433,0.6369,0.6401,0.6593,0.6402,0.6497
28.9,-0.0788,0.4183,0.7985,0.2201,0.2219,0.221,0.6482,0.6457,0.6469,0.6478,0.6188,0.6333
29,-0.1058,0.4482,0.791,0.2431,0.2494,0.2463,0.6527,0.6514,0.652,0.6385,0.5966,0.6176
29.1,-0.1202,0.4776,0.7791,0.268,0.2797,0.2739,0.6567,0.6537,0.6552,0.6323,0.5741,0.6032
29.2,-0.1214,0.5046,0.762,0.2926,0.3114,0.302,0.6598,0.6521,0.656,0.6293,0.5517,0.5905
29.3,-0.1097,0.528,0.7394,0.316,0.3431,0.3296,0.6616,0.6464,0.654,0.6292,0.5299,0.5796
29.4,-0.0872,0.5472,0.7112,0.3383,0.3739,0.3561,0.6612,0.6365,0.6488,0.6313,0.5089,0.5701
29.5,-0.0567,0.5622,0.678,0.3601,0.4036,0.3819,0.658,0.6228,0.6404,0.6346,0.4888,0.5617
29.6,-0.0201,0.5736,0.6413,0.3823,0.4325,0.4074,0.6522,0.6067,0.6294,0.6388,0.4703,0.5546
29.7,0.0207,0.5824,0.6035,0.406,0.461,0.4335,0.6452,0.59,0.6176,0.6447,0.4541,0.5494
29.8,0.064,0.5894,0.5664,0.4317,0.4895,0.4606,0.6381,0.5742,0.6061,0.6528,0.441,0.5469
29.9,0.1081,0.5945,0.5315,0.4592,0.5169,0.488,0.6314,0.5598,0.5956,0.6627,0.4314,0.5471
