Time,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3292,0.6232,0.8656,0.5357,0.6599,0.5978,0.8715,0.8953,0.8834,0.4091,0.468,0.4386
0.1,-0.2385,0.6609,0.8948,0.5497,0.672,0.6108,0.8659,0.8758,0.8708,0.4074,0.4745,0.4409
0.2,-0.1493,0.6985,0.9201,0.5644,0.6857,0.6251,0.8616,0.8555,0.8585,0.407,0.4828,0.4449
0.3,-0.0642,0.7353,0.9409,0.5788,0.7008,0.6398,0.8592,0.8355,0.8473,0.4083,0.4942,0.4513
0.4,0.0138,0.7705,0.9572,0.5924,0.7175,0.655,0.8597,0.8171,0.8384,0.4123,0.5096,0.461
0.5,0.0825,0.8029,0.9691,0.6051,0.7362,0.6706,0.8632,0.8013,0.8322,0.4197,0.5289,0.4743
0.6,0.1405,0.8312,0.9768,0.6161,0.7562,0.6861,0.8681,0.7884,0.8283,0.43,0.5511,0.4905
0.7,0.1868,0.8543,0.9806,0.6239,0.7761,0.7,0.8727,0.7778,0.8253,0.4423,0.5739,0.5081
0.8,0.2213,0.8716,0.9814,0.6273,0.7942,0.7108,0.8757,0.7681,0.8219,0.4554,0.5954,0.5254
0.9,0.2448,0.883,0.98,0.6258,0.8098,0.7178,0.8758,0.7581,0.817,0.4685,0.6137,0.5411
1,0.2579,0.8886,0.9767,0.6196,0.8225,0.7211,0.8725,0.7473,0.8099,0.4812,0.628,0.5546
1.1,0.2612,0.8885,0.9716,0.6094,0.8322,0.7208,0.8656,0.736,0.8008,0.4933,0.6384,0.5658
1.2,0.2565,0.8832,0.965,0.5958,0.838,0.7169,0.8554,0.7253,0.7903,0.5043,0.6456,0.5749
1.3,0.2458,0.8733,0.957,0.5794,0.8392,0.7093,0.8426,0.7155,0.7791,0.5139,0.6503,0.5821
1.4,0.2316,0.8594,0.9479,0.5598,0.8346,0.6972,0.8281,0.7065,0.7673,0.522,0.6531,0.5876
1.5,0.216,0.8416,0.9372,0.5365,0.8236,0.68,0.8125,0.6976,0.7551,0.5286,0.6545,0.5915
