Time,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.1671,0.6054,0.7107,0.7603,0.3401,0.5502,1.0414,0.6948,0.8681,0.9902,0.9747,0.9825
4.6,0.1517,0.5877,0.7487,0.7431,0.363,0.553,1.0441,0.7105,0.8773,0.9917,0.9793,0.9855
4.7,0.1276,0.5678,0.7906,0.7227,0.3896,0.5562,1.0434,0.7268,0.8851,0.9919,0.9843,0.9881
4.8,0.0947,0.547,0.8367,0.6998,0.4204,0.5601,1.0393,0.7437,0.8915,0.9915,0.9911,0.9913
4.9,0.0538,0.5273,0.887,0.6756,0.4553,0.5655,1.032,0.761,0.8965,0.9902,0.9997,0.995
5,0.0067,0.5104,0.9405,0.6517,0.4936,0.5727,1.0217,0.778,0.8998,0.9879,1.0096,0.9988
5.1,-0.0442,0.4975,0.9954,0.6304,0.5336,0.582,1.0092,0.7936,0.9014,0.9848,1.0202,1.0025
5.2,-0.096,0.4891,1.0496,0.6135,0.5734,0.5934,0.9952,0.8071,0.9011,0.9814,1.0315,1.0064
5.3,-0.1457,0.4848,1.1013,0.6021,0.6113,0.6067,0.9803,0.8185,0.8994,0.9788,1.0436,1.0112
5.4,-0.1906,0.4845,1.1484,0.5963,0.6467,0.6215,0.9649,0.8281,0.8965,0.9779,1.0566,1.0172
5.5,-0.2291,0.4876,1.1887,0.5955,0.6793,0.6374,0.9488,0.8359,0.8923,0.9788,1.0705,1.0247
5.6,-0.2607,0.4935,1.2194,0.5982,0.7082,0.6532,0.9317,0.841,0.8863,0.9814,1.085,1.0332
5.7,-0.2857,0.5016,1.2383,0.6027,0.732,0.6674,0.9131,0.842,0.8776,0.9853,1.0999,1.0426
5.8,-0.3043,0.5114,1.2441,0.6079,0.7497,0.6788,0.8929,0.8383,0.8656,0.9902,1.1148,1.0525
5.9,-0.3169,0.5228,1.2364,0.6131,0.7609,0.687,0.8707,0.8304,0.8506,0.9962,1.1292,1.0627
6,-0.3246,0.5357,1.2164,0.6185,0.7659,0.6922,0.8468,0.8194,0.8331,1.0034,1.1433,1.0734
6.1,-0.3278,0.5502,1.1853,0.6246,0.7651,0.6948,0.8217,0.8057,0.8137,1.012,1.1571,1.0846
6.2,-0.3264,0.5658,1.1449,0.6319,0.7592,0.6955,0.796,0.7887,0.7924,1.0217,1.171,1.0963
6.3,-0.3196,0.5823,1.0973,0.6408,0.7488,0.6948,0.7705,0.7673,0.7689,1.0322,1.1846,1.1084
6.4,-0.3068,0.5989,1.0451,0.6515,0.7347,0.6931,0.7458,0.7412,0.7435,1.0429,1.1972,1.1201
6.5,-0.288,0.6149,0.9907,0.6637,0.7172,0.6904,0.7223,0.7111,0.7167,1.0533,1.2085,1.1309
6.6,-0.2637,0.629,0.9364,0.6767,0.696,0.6863,0.7,0.6777,0.6889,1.0629,1.2182,1.1405
6.7,-0.2346,0.6397,0.8832,0.6897,0.6701,0.6799,0.6792,0.6418,0.6605,1.0711,1.2258,1.1485
6.8,-0.2017,0.6455,0.8318,0.7018,0.6389,0.6703,0.66,0.6032,0.6316,1.0776,1.231,1.1543
6.9,-0.1667,0.6456,0.7824,0.7121,0.6027,0.6574,0.6425,0.5621,0.6023,1.0815,1.2327,1.1571
7,-0.1318,0.64,0.7356,0.72,0.5633,0.6416,0.6268,0.5185,0.5727,1.0822,1.2297,1.156
7.1,-0.0992,0.6288,0.6918,0.725,0.5224,0.6237,0.6132,0.4733,0.5432,1.0794,1.2212,1.1503
7.2,-0.0705,0.612,0.6511,0.7268,0.4814,0.6041,0.6016,0.4275,0.5146,1.0728,1.2072,1.14
7.3,-0.0456,0.5897,0.6136,0.7255,0.441,0.5833,0.5918,0.3824,0.4871,1.0627,1.1883,1.1255
7.4,-0.0241,0.5632,0.5789,0.7219,0.4027,0.5623,0.5828,0.3392,0.461,1.0494,1.1654,1.1074
7.5,-0.006,0.5351,0.5471,0.7171,0.369,0.5431,0.5743,0.2994,0.4368,1.0332,1.139,1.0861
7.6,0.0081,0.509,0.5181,0.7123,0.3428,0.5276,0.5664,0.2645,0.4154,1.0151,1.1099,1.0625
7.7,0.018,0.4874,0.4927,0.7082,0.326,0.5171,0.5598,0.2361,0.398,0.996,1.0797,1.0379
7.8,0.0243,0.4711,0.4714,0.7048,0.319,0.5119,0.5554,0.2155,0.3855,0.9766,1.0501,1.0133
7.9,0.028,0.4598,0.4552,0.7015,0.3208,0.5111,0.5534,0.2035,0.3784,0.9576,1.0227,0.9901
8,0.0301,0.4531,0.4447,0.6984,0.3302,0.5143,0.5537,0.2001,0.3769,0.9395,0.9986,0.969
8.1,0.0304,0.4512,0.4407,0.6966,0.3462,0.5214,0.5559,0.2054,0.3807,0.9231,0.9786,0.9509
8.2,0.0282,0.4546,0.4438,0.6972,0.3679,0.5325,0.56,0.2188,0.3894,0.9098,0.9634,0.9366
8.3,0.0235,0.4637,0.454,0.7005,0.3939,0.5472,0.566,0.2394,0.4027,0.9006,0.9537,0.9271
8.4,0.0164,0.4774,0.4708,0.706,0.4224,0.5642,0.5741,0.2655,0.4198,0.8955,0.9493,0.9224
8.5,0.007,0.4943,0.4929,0.7128,0.452,0.5824,0.5843,0.2952,0.4398,0.894,0.9496,0.9218
8.6,-0.0046,0.5136,0.5192,0.7203,0.4822,0.6012,0.5961,0.3272,0.4617,0.8955,0.954,0.9248
8.7,-0.0181,0.5345,0.5495,0.7282,0.5122,0.6202,0.6087,0.3601,0.4844,0.899,0.9616,0.9303
8.8,-0.0331,0.5566,0.5832,0.7367,0.5407,0.6387,0.621,0.3918,0.5064,0.9036,0.9718,0.9377
8.9,-0.048,0.5789,0.6194,0.7457,0.5657,0.6557,0.6319,0.42,0.526,0.9089,0.9834,0.9462
9,-0.0618,0.6001,0.6562,0.7551,0.5853,0.6702,0.641,0.443,0.542,0.9145,0.9952,0.9548
9.1,-0.0738,0.6193,0.691,0.7647,0.5988,0.6817,0.6492,0.4604,0.5548,0.9201,1.0059,0.963
9.2,-0.0847,0.6361,0.7213,0.7743,0.6067,0.6905,0.6576,0.4727,0.5651,0.9259,1.0146,0.9702
9.3,-0.0952,0.6499,0.7459,0.7842,0.6099,0.697,0.667,0.4807,0.5738,0.9318,1.0212,0.9765
9.4,-0.1054,0.6597,0.7645,0.7942,0.609,0.7016,0.6772,0.4849,0.581,0.9377,1.0256,0.9816
9.5,-0.1148,0.6647,0.7772,0.804,0.6049,0.7045,0.6874,0.4855,0.5864,0.9428,1.0277,0.9853
9.6,-0.1231,0.6648,0.7845,0.8131,0.5988,0.7059,0.6967,0.4825,0.5896,0.9461,1.027,0.9865
9.7,-0.1298,0.6608,0.7866,0.8216,0.592,0.7068,0.704,0.4765,0.5902,0.9468,1.0225,0.9846
9.8,-0.1343,0.6538,0.7847,0.8301,0.5854,0.7077,0.7084,0.4684,0.5884,0.9437,1.0138,0.9788
9.9,-0.136,0.6447,0.7801,0.8394,0.5789,0.7091,0.7085,0.459,0.5837,0.9363,1.001,0.9687
10,-0.1352,0.6338,0.7745,0.8492,0.5725,0.7109,0.7036,0.4488,0.5762,0.9245,0.9848,0.9546
10.1,-0.133,0.6216,0.7693,0.8593,0.5666,0.713,0.6938,0.4387,0.5663,0.9086,0.9661,0.9373
10.2,-0.1312,0.6089,0.7658,0.8692,0.5619,0.7155,0.6801,0.4296,0.5549,0.8896,0.9462,0.9179
10.3,-0.1304,0.5968,0.7657,0.8786,0.5591,0.7189,0.6637,0.4224,0.543,0.8688,0.9265,0.8976
10.4,-0.1304,0.5859,0.7704,0.8874,0.5584,0.7229,0.6454,0.4172,0.5313,0.8477,0.9085,0.8781
10.5,-0.1302,0.5765,0.7804,0.8949,0.5589,0.7269,0.6263,0.4144,0.5204,0.8275,0.8936,0.8605
10.6,-0.1293,0.5682,0.7953,0.9003,0.5599,0.7301,0.6075,0.4145,0.511,0.8091,0.8832,0.8461
10.7,-0.1276,0.5612,0.8142,0.9025,0.5613,0.7319,0.5903,0.418,0.5042,0.7931,0.878,0.8355
10.8,-0.1254,0.5555,0.8355,0.9007,0.5629,0.7318,0.5752,0.4247,0.5,0.78,0.8782,0.8291
10.9,-0.1233,0.5514,0.8581,0.8938,0.5646,0.7292,0.5628,0.4341,0.4984,0.77,0.8834,0.8267
11,-0.1218,0.5488,0.8813,0.881,0.5662,0.7236,0.5534,0.4459,0.4996,0.7636,0.8935,0.8285
11.1,-0.1216,0.5473,0.9044,0.861,0.5675,0.7143,0.5474,0.4598,0.5036,0.7609,0.9079,0.8344
11.2,-0.1244,0.5465,0.927,0.8335,0.5681,0.7008,0.5449,0.4758,0.5103,0.7613,0.9252,0.8433
11.3,-0.1315,0.5457,0.9479,0.7989,0.5674,0.6831,0.5452,0.4923,0.5187,0.764,0.9435,0.8538
11.4,-0.1428,0.5445,0.9662,0.7586,0.5646,0.6616,0.5469,0.5076,0.5272,0.7676,0.9607,0.8642
11.5,-0.1561,0.5427,0.9812,0.714,0.5592,0.6366,0.5489,0.5205,0.5347,0.7713,0.9754,0.8733
11.6,-0.1685,0.5401,0.9929,0.6667,0.5507,0.6087,0.5505,0.5305,0.5405,0.7745,0.9869,0.8807
11.7,-0.1788,0.5367,1.0018,0.6182,0.5393,0.5788,0.5514,0.5379,0.5446,0.7768,0.9952,0.886
11.8,-0.1875,0.533,1.0084,0.5706,0.5261,0.5483,0.5509,0.5432,0.5471,0.7779,1,0.889
11.9,-0.1954,0.5296,1.0128,0.5253,0.5121,0.5187,0.5484,0.5471,0.5477,0.7776,1.001,0.8893
12,-0.202,0.527,1.0154,0.4837,0.4985,0.4911,0.543,0.5495,0.5463,0.7758,0.9981,0.8869
12.1,-0.2072,0.5255,1.016,0.4462,0.4862,0.4662,0.5347,0.5505,0.5426,0.7725,0.9916,0.882
12.2,-0.2111,0.5247,1.0143,0.4136,0.4766,0.4451,0.5243,0.5503,0.5373,0.7681,0.9821,0.8751
12.3,-0.2138,0.5247,1.0099,0.3864,0.4711,0.4287,0.5125,0.5496,0.5311,0.7628,0.9698,0.8663
12.4,-0.2152,0.5261,1.0027,0.3653,0.4712,0.4182,0.5,0.5491,0.5246,0.7571,0.9554,0.8562
12.5,-0.215,0.5297,0.9927,0.3503,0.4778,0.414,0.4868,0.5493,0.518,0.7507,0.9393,0.845
12.6,-0.2122,0.5354,0.9802,0.3411,0.4909,0.416,0.4727,0.5503,0.5115,0.7435,0.9222,0.8328
12.7,-0.2052,0.5426,0.966,0.337,0.5094,0.4232,0.4579,0.5526,0.5052,0.735,0.9048,0.8199
12.8,-0.1929,0.5507,0.9506,0.3376,0.5319,0.4347,0.4432,0.5572,0.5002,0.7254,0.8877,0.8066
12.9,-0.1746,0.5592,0.9349,0.3427,0.5566,0.4497,0.4298,0.5648,0.4973,0.7156,0.8718,0.7937
