Time,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0262,0.5572,0.6024,0.6561,0.7201,0.6881,0.5877,0.5837,0.5857,0.5308,0.4362,0.4835
0.1,0.0179,0.5708,0.5966,0.6712,0.7294,0.7003,0.5906,0.5762,0.5834,0.5241,0.4336,0.4788
0.2,0.0056,0.584,0.5925,0.6869,0.7376,0.7122,0.5946,0.5703,0.5824,0.5186,0.4329,0.4758
0.3,-0.0096,0.5961,0.5903,0.7016,0.7446,0.7231,0.5995,0.5665,0.583,0.5148,0.4344,0.4746
0.4,-0.0264,0.6068,0.5906,0.7143,0.7504,0.7324,0.6052,0.5655,0.5854,0.5129,0.4386,0.4757
0.5,-0.0437,0.6158,0.5933,0.7244,0.7549,0.7397,0.6119,0.5676,0.5897,0.5132,0.4459,0.4795
0.6,-0.0611,0.6232,0.5982,0.7319,0.7583,0.7451,0.6189,0.5727,0.5958,0.5158,0.4563,0.486
0.7,-0.0782,0.6291,0.6053,0.7369,0.7607,0.7488,0.6259,0.5805,0.6032,0.5211,0.4697,0.4954
0.8,-0.0951,0.6336,0.6145,0.7399,0.7626,0.7512,0.6328,0.5908,0.6118,0.5293,0.486,0.5077
0.9,-0.1115,0.637,0.6259,0.7411,0.764,0.7526,0.6399,0.6033,0.6216,0.5404,0.5049,0.5226
1,-0.1266,0.6395,0.6391,0.7409,0.7648,0.7528,0.6473,0.6179,0.6326,0.5536,0.526,0.5398
1.1,-0.1399,0.6417,0.6536,0.7394,0.7649,0.7521,0.6549,0.6341,0.6445,0.5684,0.5483,0.5583
1.2,-0.1514,0.6442,0.6688,0.7366,0.7643,0.7505,0.6622,0.6513,0.6568,0.5842,0.5709,0.5776
1.3,-0.161,0.6469,0.684,0.7325,0.7634,0.748,0.6687,0.6689,0.6688,0.6009,0.593,0.597
1.4,-0.1683,0.6497,0.6984,0.7273,0.7622,0.7448,0.674,0.6863,0.6802,0.6181,0.6138,0.616
1.5,-0.1735,0.6523,0.7116,0.721,0.7608,0.7409,0.6784,0.7028,0.6906,0.6351,0.6325,0.6338
1.6,-0.1766,0.6545,0.723,0.7138,0.7591,0.7364,0.6818,0.7179,0.6998,0.6511,0.6487,0.6499
1.7,-0.178,0.6558,0.7323,0.7054,0.7569,0.7311,0.6843,0.7307,0.7075,0.6648,0.6615,0.6632
1.8,-0.1783,0.6557,0.7387,0.6954,0.7535,0.7244,0.6851,0.7407,0.7129,0.6756,0.6702,0.6729
1.9,-0.1768,0.6536,0.7416,0.6837,0.7483,0.716,0.6839,0.747,0.7154,0.6826,0.6743,0.6784
2,-0.1735,0.6497,0.7405,0.6706,0.7407,0.7057,0.6806,0.7493,0.7149,0.6855,0.6736,0.6795
2.1,-0.1687,0.6442,0.7356,0.6565,0.7306,0.6935,0.6755,0.7478,0.7117,0.6843,0.6685,0.6764
2.2,-0.1638,0.6373,0.7273,0.6417,0.7182,0.6799,0.6691,0.7429,0.706,0.6791,0.6596,0.6693
2.3,-0.1607,0.6291,0.7163,0.6263,0.7041,0.6652,0.6615,0.7353,0.6984,0.6698,0.6476,0.6587
2.4,-0.1606,0.6195,0.7033,0.6107,0.6891,0.6499,0.6531,0.7258,0.6895,0.6567,0.6333,0.645
2.5,-0.1633,0.6085,0.6887,0.5949,0.674,0.6344,0.6443,0.715,0.6796,0.6399,0.6172,0.6286
2.6,-0.1683,0.5964,0.6731,0.5791,0.6591,0.6191,0.635,0.7037,0.6694,0.6201,0.6,0.61
2.7,-0.1755,0.5831,0.6573,0.5633,0.6441,0.6037,0.6255,0.6924,0.659,0.5976,0.582,0.5898
2.8,-0.1851,0.5688,0.6421,0.5472,0.6291,0.5881,0.6157,0.6815,0.6486,0.5733,0.5637,0.5685
2.9,-0.1974,0.5537,0.6285,0.5305,0.6137,0.5721,0.6061,0.6712,0.6386,0.5481,0.546,0.547
3,-0.2121,0.5383,0.6167,0.5133,0.5979,0.5556,0.5968,0.6617,0.6292,0.5225,0.5292,0.5259
3.1,-0.2289,0.5228,0.6071,0.496,0.5817,0.5389,0.5881,0.6532,0.6207,0.4974,0.5139,0.5056
3.2,-0.2471,0.5077,0.5998,0.4792,0.5654,0.5223,0.5805,0.6462,0.6134,0.4734,0.5007,0.487
3.3,-0.266,0.4934,0.5953,0.463,0.549,0.506,0.5744,0.6408,0.6076,0.4513,0.4903,0.4708
3.4,-0.2854,0.4805,0.5934,0.4475,0.5329,0.4902,0.5696,0.6371,0.6033,0.4319,0.4834,0.4576
3.5,-0.305,0.4698,0.5943,0.4331,0.5177,0.4754,0.5656,0.6349,0.6003,0.4154,0.4801,0.4478
3.6,-0.3243,0.4621,0.5977,0.4201,0.5039,0.462,0.562,0.6341,0.598,0.4019,0.4809,0.4414
3.7,-0.3433,0.4578,0.6033,0.409,0.4924,0.4507,0.5587,0.6344,0.5966,0.3915,0.4857,0.4386
