Time,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1821,0.8229,0.3681,0.8573,0.8828,0.8701,0.6409,0.8212,0.7311,0.7776,0.745,0.7613
0.1,0.2392,0.8061,0.3592,0.8397,0.869,0.8543,0.6763,0.8,0.7382,0.7595,0.7233,0.7414
0.2,0.2822,0.7876,0.3518,0.8205,0.856,0.8382,0.7144,0.7781,0.7463,0.7419,0.6999,0.7209
0.3,0.3122,0.767,0.347,0.7993,0.8434,0.8214,0.7554,0.7564,0.7559,0.7259,0.6761,0.701
0.4,0.3302,0.7437,0.3463,0.7758,0.8309,0.8034,0.7994,0.7357,0.7676,0.7125,0.6534,0.683
0.5,0.3376,0.7174,0.3505,0.7499,0.8187,0.7843,0.8457,0.7172,0.7814,0.7015,0.6324,0.6669
0.6,0.3353,0.6883,0.3599,0.7223,0.8068,0.7645,0.8928,0.7014,0.7971,0.6924,0.6129,0.6526
0.7,0.3232,0.6571,0.3737,0.6935,0.795,0.7443,0.9387,0.6884,0.8136,0.6848,0.5948,0.6398
0.8,0.3011,0.6247,0.3915,0.6642,0.7815,0.7229,0.9815,0.6782,0.8298,0.6785,0.5784,0.6285
0.9,0.269,0.592,0.4125,0.6344,0.7641,0.6993,1.02,0.6704,0.8452,0.6733,0.5639,0.6186
1,0.2281,0.5593,0.4353,0.6039,0.7409,0.6724,1.053,0.6649,0.8589,0.6685,0.5514,0.6099
1.1,0.1805,0.5275,0.4578,0.5732,0.7116,0.6424,1.0795,0.6612,0.8703,0.6626,0.5405,0.6016
1.2,0.1282,0.4979,0.4782,0.5428,0.6768,0.6098,1.0987,0.6587,0.8787,0.6552,0.531,0.5931
1.3,0.0731,0.4717,0.4956,0.5132,0.6378,0.5755,1.1101,0.657,0.8835,0.6471,0.5226,0.5849
1.4,0.0185,0.4495,0.5102,0.4846,0.5959,0.5402,1.1133,0.6555,0.8844,0.6396,0.5159,0.5777
1.5,-0.0313,0.4309,0.5224,0.4572,0.552,0.5046,1.1085,0.6538,0.8812,0.6332,0.5112,0.5722
1.6,-0.0727,0.4157,0.5323,0.4313,0.5069,0.4691,1.0958,0.6516,0.8737,0.6276,0.509,0.5683
1.7,-0.104,0.4042,0.5403,0.4077,0.4615,0.4346,1.0758,0.6488,0.8623,0.6225,0.5098,0.5661
1.8,-0.1247,0.3966,0.547,0.3868,0.4168,0.4018,1.0493,0.6457,0.8475,0.6183,0.5143,0.5663
1.9,-0.1353,0.3929,0.5529,0.3685,0.3743,0.3714,1.018,0.6423,0.8302,0.6163,0.5232,0.5697
2,-0.1358,0.3921,0.558,0.3523,0.3349,0.3436,0.9834,0.6388,0.8111,0.6178,0.5371,0.5775
2.1,-0.1259,0.3928,0.5624,0.3377,0.299,0.3184,0.9472,0.6345,0.7908,0.6237,0.5562,0.5899
2.2,-0.1045,0.3939,0.5661,0.3249,0.2666,0.2958,0.9109,0.6291,0.77,0.6336,0.5804,0.607
2.3,-0.072,0.3951,0.569,0.3148,0.238,0.2764,0.8764,0.6227,0.7495,0.6472,0.6089,0.628
2.4,-0.0306,0.3966,0.5715,0.3083,0.2138,0.2611,0.8453,0.6161,0.7307,0.6639,0.6411,0.6525
2.5,0.0173,0.3988,0.5743,0.3056,0.1942,0.2499,0.8195,0.6105,0.715,0.6838,0.676,0.6799
2.6,0.0696,0.4022,0.5775,0.307,0.179,0.243,0.8002,0.6066,0.7034,0.7071,0.7128,0.7099
2.7,0.1253,0.4069,0.5812,0.3124,0.1679,0.2401,0.7879,0.6041,0.696,0.7329,0.7497,0.7413
2.8,0.183,0.4129,0.5847,0.3217,0.1608,0.2413,0.782,0.6022,0.6921,0.7602,0.7852,0.7727
2.9,0.2408,0.42,0.5878,0.3345,0.1583,0.2464,0.7818,0.6002,0.691,0.7881,0.818,0.8031
3,0.2961,0.4281,0.5903,0.3497,0.1609,0.2553,0.7869,0.598,0.6924,0.8167,0.8475,0.8321
