Time,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.083,0.7453,0.4754,0.6759,0.6587,0.6673,0.3855,0.4431,0.4143,0.4412,0.3921,0.4166
4.6,0.0687,0.7434,0.4787,0.7023,0.664,0.6832,0.3845,0.4285,0.4065,0.45,0.4153,0.4327
4.7,0.0605,0.7434,0.4806,0.7287,0.6711,0.6999,0.3824,0.4136,0.398,0.4585,0.4384,0.4485
4.8,0.0566,0.7454,0.481,0.7537,0.6796,0.7167,0.3794,0.399,0.3892,0.4653,0.4604,0.4629
4.9,0.0547,0.7499,0.4807,0.7768,0.69,0.7334,0.3761,0.3859,0.381,0.47,0.4808,0.4754
5,0.0539,0.7576,0.4805,0.7973,0.7024,0.7498,0.3731,0.3751,0.3741,0.4725,0.499,0.4858
5.1,0.0543,0.7678,0.4809,0.8137,0.7163,0.765,0.3707,0.3674,0.3691,0.4725,0.5147,0.4936
5.2,0.0552,0.779,0.4817,0.824,0.7306,0.7773,0.3687,0.3631,0.3659,0.4691,0.5271,0.4981
5.3,0.0549,0.7891,0.4826,0.8263,0.7438,0.785,0.3666,0.3618,0.3642,0.4615,0.5353,0.4984
5.4,0.0518,0.797,0.483,0.8196,0.7546,0.7871,0.3639,0.3626,0.3632,0.4499,0.5387,0.4943
5.5,0.0456,0.8027,0.4828,0.8043,0.763,0.7837,0.3601,0.3648,0.3625,0.4355,0.5374,0.4865
5.6,0.0377,0.8065,0.4823,0.7823,0.7694,0.7758,0.3554,0.3679,0.3616,0.4199,0.5312,0.4755
5.7,0.0301,0.8084,0.4817,0.7555,0.7741,0.7648,0.3495,0.3713,0.3604,0.4034,0.5199,0.4616
5.8,0.0237,0.8076,0.4803,0.7254,0.7766,0.751,0.342,0.3741,0.3581,0.3854,0.5037,0.4446
5.9,0.0179,0.8032,0.4767,0.6927,0.776,0.7344,0.3329,0.3758,0.3543,0.366,0.4839,0.4249
6,0.0116,0.7954,0.4704,0.6586,0.7728,0.7157,0.322,0.3761,0.3491,0.346,0.4619,0.4039
6.1,0.0037,0.7846,0.4612,0.6244,0.7676,0.696,0.31,0.3752,0.3426,0.3261,0.439,0.3826
6.2,-0.0063,0.7714,0.4492,0.5914,0.7613,0.6764,0.2973,0.3735,0.3354,0.3069,0.4161,0.3615
6.3,-0.0186,0.7559,0.4341,0.5607,0.7543,0.6575,0.2842,0.3711,0.3276,0.2888,0.3945,0.3416
6.4,-0.0327,0.7382,0.416,0.533,0.7466,0.6398,0.2708,0.3681,0.3194,0.2729,0.3756,0.3243
6.5,-0.0475,0.7192,0.395,0.5089,0.7384,0.6237,0.2575,0.3643,0.3109,0.2599,0.3603,0.3101
6.6,-0.0618,0.6998,0.3719,0.4884,0.7303,0.6093,0.2442,0.3594,0.3018,0.2492,0.3482,0.2987
6.7,-0.0753,0.6802,0.3468,0.4712,0.7222,0.5967,0.2309,0.3531,0.292,0.2402,0.3382,0.2892
6.8,-0.0877,0.6603,0.3199,0.4567,0.7141,0.5854,0.2171,0.3453,0.2812,0.2322,0.3298,0.281
6.9,-0.0987,0.6396,0.2912,0.4446,0.7062,0.5754,0.2025,0.3366,0.2695,0.2251,0.3227,0.2739
7,-0.1072,0.6184,0.2609,0.4349,0.6997,0.5673,0.1875,0.3277,0.2576,0.2196,0.3172,0.2684
7.1,-0.1115,0.5982,0.2302,0.4285,0.6959,0.5622,0.1731,0.3193,0.2462,0.2159,0.3131,0.2645
7.2,-0.1098,0.5803,0.2008,0.4259,0.695,0.5605,0.16,0.3118,0.2359,0.2135,0.3101,0.2618
7.3,-0.1005,0.5653,0.1739,0.4274,0.6962,0.5618,0.1487,0.3055,0.2271,0.2116,0.308,0.2598
7.4,-0.0836,0.5531,0.15,0.4324,0.698,0.5652,0.1394,0.3002,0.2198,0.2099,0.3071,0.2585
7.5,-0.0605,0.5437,0.1288,0.4404,0.7001,0.5703,0.132,0.296,0.214,0.2084,0.3075,0.258
7.6,-0.0335,0.5376,0.1103,0.4515,0.7028,0.5772,0.1272,0.2929,0.21,0.2067,0.3092,0.2579
7.7,-0.0049,0.5352,0.0952,0.4661,0.7067,0.5864,0.1256,0.2916,0.2086,0.2046,0.3121,0.2583
7.8,0.0238,0.5367,0.0845,0.4841,0.712,0.598,0.1282,0.2923,0.2102,0.202,0.3161,0.2591
7.9,0.0527,0.5412,0.0791,0.5049,0.7183,0.6116,0.1351,0.2955,0.2153,0.1994,0.3213,0.2603
8,0.0817,0.5482,0.0787,0.5276,0.7253,0.6264,0.146,0.3019,0.2239,0.197,0.3271,0.2621
8.1,0.11,0.5574,0.0832,0.5508,0.7328,0.6418,0.1604,0.3116,0.236,0.1953,0.3336,0.2645
8.2,0.1365,0.5685,0.093,0.5738,0.7403,0.657,0.1779,0.3253,0.2516,0.1945,0.3413,0.2679
8.3,0.1607,0.5815,0.1088,0.5959,0.7467,0.6713,0.1984,0.3428,0.2706,0.1948,0.3505,0.2727
8.4,0.1821,0.5957,0.1311,0.6162,0.7506,0.6834,0.2211,0.3637,0.2924,0.1966,0.3614,0.279
8.5,0.2005,0.6104,0.1591,0.6341,0.751,0.6925,0.2452,0.3872,0.3162,0.1997,0.3731,0.2864
8.6,0.2154,0.6258,0.191,0.6493,0.7485,0.6989,0.2708,0.4124,0.3416,0.2043,0.3847,0.2945
8.7,0.2265,0.6419,0.2249,0.6621,0.7436,0.7029,0.2979,0.4386,0.3682,0.2109,0.3953,0.3031
8.8,0.234,0.6586,0.2592,0.673,0.7371,0.705,0.3268,0.4647,0.3958,0.2199,0.4046,0.3123
8.9,0.2392,0.675,0.2926,0.6823,0.7292,0.7057,0.3566,0.49,0.4233,0.2317,0.4121,0.3219
9,0.2435,0.6899,0.3242,0.6896,0.7199,0.7048,0.3864,0.5135,0.45,0.2456,0.4177,0.3317
9.1,0.2472,0.7025,0.3532,0.6948,0.7087,0.7017,0.4156,0.5352,0.4754,0.2603,0.4206,0.3405
9.2,0.2499,0.712,0.3789,0.6976,0.6948,0.6962,0.4446,0.555,0.4998,0.2742,0.4211,0.3477
9.3,0.2512,0.7185,0.4013,0.6983,0.678,0.6881,0.4741,0.5729,0.5235,0.2869,0.4197,0.3533
9.4,0.2517,0.7221,0.4206,0.6975,0.6581,0.6778,0.5038,0.5885,0.5462,0.2983,0.4165,0.3574
9.5,0.2521,0.7232,0.4371,0.6954,0.6352,0.6653,0.5328,0.601,0.5669,0.3078,0.4112,0.3595
9.6,0.2524,0.7219,0.4508,0.6915,0.609,0.6502,0.5594,0.6095,0.5844,0.3143,0.4037,0.359
9.7,0.2524,0.7185,0.4621,0.6855,0.5794,0.6324,0.583,0.6135,0.5983,0.3172,0.3944,0.3558
9.8,0.2522,0.7132,0.4714,0.6772,0.5469,0.6121,0.6033,0.6134,0.6083,0.3164,0.3838,0.3501
9.9,0.2524,0.7063,0.4798,0.6667,0.5127,0.5897,0.6204,0.6097,0.6151,0.3122,0.372,0.3421
10,0.2524,0.6979,0.4878,0.6537,0.478,0.5658,0.6343,0.6033,0.6188,0.305,0.3588,0.3319
10.1,0.2503,0.6882,0.4952,0.6381,0.4433,0.5407,0.6451,0.5948,0.6199,0.2955,0.3444,0.32
10.2,0.2438,0.6782,0.5016,0.6204,0.4099,0.5151,0.6533,0.5849,0.6191,0.284,0.3294,0.3067
10.3,0.2319,0.6693,0.5068,0.6015,0.3789,0.4902,0.6595,0.5739,0.6167,0.2706,0.3141,0.2924
10.4,0.2142,0.6627,0.511,0.5826,0.3519,0.4673,0.6641,0.5623,0.6132,0.2558,0.2988,0.2773
10.5,0.19,0.6595,0.5145,0.5647,0.3302,0.4474,0.6675,0.5506,0.6091,0.2405,0.2837,0.2621
10.6,0.1586,0.6603,0.5178,0.5483,0.3146,0.4315,0.6698,0.5398,0.6048,0.225,0.269,0.247
10.7,0.1187,0.6655,0.5211,0.5336,0.3064,0.42,0.6711,0.53,0.6006,0.21,0.2549,0.2325
10.8,0.0704,0.6759,0.5244,0.5213,0.3072,0.4142,0.6718,0.5209,0.5964,0.1967,0.2421,0.2194
10.9,0.0164,0.6915,0.5277,0.5116,0.3187,0.4151,0.6717,0.5118,0.5917,0.1864,0.231,0.2087
11,-0.0393,0.7112,0.5307,0.5047,0.3411,0.4229,0.6706,0.5018,0.5862,0.1802,0.222,0.2011
11.1,-0.092,0.7331,0.533,0.4998,0.3724,0.4361,0.6678,0.4911,0.5794,0.1786,0.2149,0.1967
11.2,-0.1379,0.7551,0.5344,0.4959,0.4088,0.4524,0.6629,0.4802,0.5716,0.1817,0.2091,0.1954
11.3,-0.1736,0.7758,0.5353,0.4923,0.4467,0.4695,0.6562,0.4697,0.563,0.1897,0.2037,0.1967
11.4,-0.1978,0.7944,0.5358,0.489,0.4835,0.4862,0.6479,0.4602,0.554,0.2024,0.1987,0.2005
11.5,-0.2107,0.8104,0.5363,0.4862,0.5177,0.502,0.6384,0.4516,0.545,0.2193,0.1944,0.2069
11.6,-0.213,0.8233,0.5363,0.4845,0.5485,0.5165,0.6277,0.4435,0.5356,0.2395,0.1913,0.2154
11.7,-0.2069,0.833,0.5354,0.4844,0.5757,0.5301,0.6158,0.4356,0.5257,0.2621,0.1894,0.2257
11.8,-0.1948,0.8398,0.5326,0.486,0.5995,0.5428,0.6029,0.4279,0.5154,0.2861,0.1883,0.2372
11.9,-0.1786,0.8438,0.5269,0.4891,0.6203,0.5547,0.5896,0.4205,0.505,0.3111,0.1881,0.2496
12,-0.1598,0.845,0.5178,0.493,0.6377,0.5654,0.5764,0.4135,0.495,0.3364,0.1896,0.263
12.1,-0.1396,0.8433,0.5055,0.4969,0.6509,0.5739,0.5633,0.4072,0.4852,0.3607,0.1931,0.2769
12.2,-0.1192,0.8387,0.4907,0.5002,0.6597,0.5799,0.5498,0.402,0.4759,0.3823,0.1988,0.2906
12.3,-0.0989,0.832,0.4751,0.503,0.6641,0.5835,0.5359,0.3986,0.4672,0.4006,0.2067,0.3036
12.4,-0.0793,0.8237,0.46,0.5057,0.6643,0.585,0.5221,0.3976,0.4599,0.4154,0.2166,0.316
12.5,-0.0614,0.8142,0.4465,0.5087,0.661,0.5848,0.5093,0.3994,0.4544,0.4269,0.2283,0.3276
12.6,-0.0464,0.8037,0.435,0.5122,0.6552,0.5837,0.4976,0.4041,0.4509,0.4355,0.2415,0.3385
12.7,-0.0348,0.7926,0.4261,0.5163,0.6481,0.5822,0.4867,0.4114,0.449,0.4415,0.2556,0.3485
12.8,-0.0264,0.7811,0.4197,0.521,0.6407,0.5809,0.476,0.4212,0.4486,0.4455,0.2699,0.3577
12.9,-0.0207,0.7691,0.4161,0.5259,0.6334,0.5796,0.466,0.4337,0.4498,0.4487,0.2846,0.3667
13,-0.0166,0.7568,0.4153,0.5306,0.626,0.5783,0.4577,0.4487,0.4532,0.4524,0.3001,0.3762
13.1,-0.0132,0.744,0.4175,0.5353,0.6185,0.5769,0.4523,0.4662,0.4592,0.4572,0.3163,0.3868
13.2,-0.0105,0.7311,0.4235,0.5407,0.6116,0.5762,0.4502,0.4864,0.4683,0.4637,0.3328,0.3982
13.3,-0.0097,0.7189,0.4335,0.5474,0.6061,0.5768,0.4517,0.5094,0.4806,0.4717,0.3492,0.4105
13.4,-0.0117,0.7085,0.4472,0.5561,0.6026,0.5793,0.4566,0.5351,0.4959,0.4812,0.3652,0.4232
13.5,-0.0167,0.7013,0.4637,0.5668,0.6011,0.584,0.4646,0.5625,0.5135,0.4917,0.3807,0.4362
13.6,-0.0238,0.6978,0.4828,0.5798,0.6017,0.5907,0.4747,0.5907,0.5327,0.5031,0.3957,0.4494
13.7,-0.0322,0.698,0.5045,0.595,0.6044,0.5997,0.4865,0.6187,0.5526,0.5159,0.4105,0.4632
13.8,-0.0418,0.7014,0.5293,0.6122,0.6089,0.6105,0.4994,0.6459,0.5727,0.5312,0.425,0.4781
13.9,-0.0522,0.7075,0.5569,0.6312,0.6149,0.623,0.5136,0.6719,0.5928,0.55,0.4388,0.4944
14,-0.0619,0.7161,0.586,0.6516,0.6219,0.6367,0.5293,0.696,0.6126,0.5721,0.4507,0.5114
14.1,-0.0694,0.7269,0.6148,0.673,0.629,0.651,0.546,0.717,0.6315,0.5967,0.4596,0.5281
14.2,-0.075,0.7393,0.641,0.6945,0.6354,0.6649,0.5632,0.7339,0.6485,0.6221,0.4649,0.5435
14.3,-0.0799,0.752,0.6639,0.7147,0.6399,0.6773,0.5802,0.7462,0.6632,0.6472,0.4667,0.5569
14.4,-0.0855,0.7637,0.6831,0.7329,0.6426,0.6878,0.5967,0.7539,0.6753,0.6712,0.4654,0.5683
14.5,-0.0917,0.7739,0.699,0.7489,0.6433,0.6961,0.6123,0.7571,0.6847,0.6929,0.4614,0.5772
14.6,-0.0974,0.7824,0.7111,0.7628,0.6424,0.7026,0.6268,0.7558,0.6913,0.7102,0.4546,0.5824
14.7,-0.1024,0.7888,0.7189,0.775,0.6399,0.7075,0.6402,0.7498,0.695,0.7211,0.445,0.5831
14.8,-0.1077,0.7924,0.7227,0.7853,0.636,0.7106,0.653,0.739,0.696,0.7244,0.4337,0.5791
14.9,-0.1135,0.7929,0.7231,0.793,0.6309,0.712,0.6654,0.7239,0.6946,0.7206,0.4226,0.5716
