Time,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.3,0.3163,0.7307,0.7659,0.7496,0.5922,0.6709,0.6074,0.6532,0.6303,0.5651,0.3844,0.4748
22.4,0.3174,0.7364,0.7538,0.7516,0.6038,0.6777,0.606,0.6387,0.6223,0.5571,0.3733,0.4652
22.5,0.3135,0.7422,0.7453,0.7553,0.6174,0.6864,0.6057,0.6262,0.6159,0.55,0.3669,0.4585
22.6,0.3046,0.7474,0.7403,0.7601,0.6324,0.6962,0.6058,0.616,0.6109,0.5435,0.3647,0.4541
22.7,0.2907,0.7518,0.7384,0.7653,0.6485,0.7069,0.6061,0.608,0.6071,0.5374,0.3659,0.4517
22.8,0.2724,0.7554,0.7394,0.7712,0.6656,0.7184,0.6064,0.6022,0.6043,0.5316,0.3699,0.4508
22.9,0.2505,0.7586,0.7428,0.7781,0.6838,0.7309,0.6063,0.5981,0.6022,0.5262,0.3765,0.4514
23,0.2252,0.7612,0.7483,0.7857,0.7023,0.744,0.6053,0.5953,0.6003,0.521,0.3853,0.4532
23.1,0.1959,0.7628,0.7554,0.7932,0.7202,0.7567,0.6028,0.5937,0.5983,0.5162,0.3961,0.4562
23.2,0.162,0.7627,0.7637,0.7996,0.7371,0.7683,0.5986,0.5934,0.596,0.5121,0.4086,0.4603
23.3,0.1233,0.7608,0.7728,0.8045,0.753,0.7787,0.5928,0.5946,0.5937,0.509,0.4226,0.4658
23.4,0.0797,0.7574,0.7818,0.8078,0.7679,0.7879,0.5857,0.5972,0.5914,0.507,0.438,0.4725
23.5,0.0319,0.753,0.7899,0.8097,0.782,0.7958,0.5775,0.6007,0.5891,0.5062,0.4545,0.4803
23.6,-0.0183,0.748,0.7968,0.8103,0.795,0.8027,0.5688,0.6047,0.5867,0.5064,0.4721,0.4892
23.7,-0.0694,0.7427,0.8023,0.8099,0.807,0.8085,0.5602,0.6086,0.5844,0.5072,0.4906,0.4989
23.8,-0.1207,0.7374,0.8065,0.8083,0.8179,0.8131,0.5529,0.6123,0.5826,0.5092,0.5102,0.5097
23.9,-0.1722,0.7317,0.81,0.8049,0.828,0.8164,0.5481,0.616,0.5821,0.5132,0.5313,0.5222
24,-0.2243,0.7261,0.8132,0.7991,0.8371,0.8181,0.5464,0.6198,0.5831,0.5198,0.5546,0.5372
24.1,-0.2768,0.7208,0.8166,0.7908,0.8456,0.8182,0.5481,0.6238,0.5859,0.5292,0.5806,0.5549
24.2,-0.3291,0.716,0.8203,0.7799,0.8536,0.8167,0.5528,0.6279,0.5903,0.5413,0.6092,0.5753
24.3,-0.3809,0.7117,0.8244,0.7668,0.8614,0.8141,0.561,0.6321,0.5965,0.5559,0.6406,0.5982
24.4,-0.4325,0.7081,0.8286,0.7515,0.8696,0.8106,0.5732,0.6365,0.6048,0.5734,0.6748,0.6241
24.5,-0.4848,0.7052,0.8329,0.7348,0.8787,0.8067,0.5903,0.6411,0.6157,0.5943,0.7121,0.6532
24.6,-0.5377,0.7032,0.837,0.7172,0.8885,0.8029,0.612,0.6459,0.629,0.6185,0.7524,0.6854
24.7,-0.5899,0.7016,0.8408,0.6992,0.8985,0.7988,0.6374,0.6506,0.644,0.6448,0.7949,0.7199
24.8,-0.6383,0.6994,0.8442,0.6802,0.9072,0.7937,0.6647,0.6545,0.6596,0.6718,0.8381,0.755
24.9,-0.6806,0.6954,0.8473,0.6595,0.9132,0.7864,0.6925,0.6569,0.6747,0.6985,0.8802,0.7893
25,-0.7159,0.6886,0.8502,0.6366,0.9159,0.7762,0.7197,0.6575,0.6886,0.7237,0.9187,0.8212
25.1,-0.7456,0.6794,0.8527,0.6122,0.9151,0.7637,0.7452,0.6564,0.7008,0.7461,0.9514,0.8488
25.2,-0.771,0.6686,0.8549,0.5872,0.9115,0.7493,0.7677,0.6543,0.711,0.7651,0.9767,0.8709
25.3,-0.793,0.6568,0.8567,0.5627,0.9055,0.7341,0.7864,0.6516,0.719,0.7807,0.9939,0.8873
25.4,-0.8101,0.6446,0.8584,0.5397,0.8972,0.7185,0.8012,0.6483,0.7248,0.7937,1.0034,0.8986
25.5,-0.8205,0.6322,0.8605,0.5184,0.8858,0.7021,0.8128,0.6442,0.7285,0.8059,1.0061,0.906
25.6,-0.8227,0.6193,0.8639,0.4989,0.8705,0.6847,0.8214,0.6387,0.73,0.8182,1.0034,0.9108
25.7,-0.8159,0.6059,0.8694,0.4811,0.8513,0.6662,0.8268,0.6315,0.7291,0.8307,0.9967,0.9137
25.8,-0.8,0.592,0.8773,0.4648,0.8291,0.6469,0.8289,0.6233,0.7261,0.8435,0.9873,0.9154
25.9,-0.7747,0.5776,0.8879,0.4498,0.8051,0.6274,0.8282,0.6156,0.7219,0.8569,0.9759,0.9164
26,-0.7397,0.5633,0.9005,0.4364,0.7807,0.6086,0.8255,0.6094,0.7174,0.8711,0.9631,0.9171
26.1,-0.6944,0.5503,0.9143,0.4254,0.757,0.5912,0.8214,0.605,0.7132,0.8857,0.9496,0.9177
26.2,-0.6391,0.5395,0.9284,0.4173,0.7343,0.5758,0.8159,0.6022,0.709,0.9005,0.9366,0.9185
26.3,-0.575,0.5314,0.9425,0.4125,0.713,0.5627,0.8089,0.6006,0.7048,0.915,0.9253,0.9201
26.4,-0.5044,0.5259,0.9568,0.4108,0.6935,0.5521,0.8006,0.6003,0.7004,0.9286,0.9165,0.9225
26.5,-0.4308,0.5229,0.9712,0.4123,0.6761,0.5442,0.7916,0.6013,0.6965,0.9409,0.91,0.9255
26.6,-0.3574,0.5224,0.9854,0.4171,0.6615,0.5393,0.7828,0.6035,0.6932,0.9515,0.9051,0.9283
26.7,-0.2863,0.5247,0.9985,0.4254,0.6503,0.5378,0.775,0.6064,0.6907,0.9595,0.9014,0.9305
26.8,-0.2182,0.5297,1.0099,0.437,0.6426,0.5398,0.7686,0.6096,0.6891,0.965,0.899,0.932
26.9,-0.1531,0.5368,1.0197,0.4518,0.6383,0.545,0.7638,0.613,0.6884,0.9687,0.8984,0.9335
27,-0.0917,0.5453,1.0286,0.4696,0.6366,0.5531,0.7609,0.6168,0.6888,0.9711,0.9001,0.9356
27.1,-0.0359,0.5548,1.0371,0.4901,0.6372,0.5637,0.7602,0.621,0.6906,0.9723,0.9039,0.9381
27.2,0.0118,0.5648,1.0455,0.5126,0.6396,0.5761,0.7619,0.6254,0.6936,0.9724,0.9093,0.9409
27.3,0.05,0.5749,1.0535,0.5364,0.6437,0.59,0.7653,0.6301,0.6977,0.9715,0.9163,0.9439
27.4,0.0789,0.5846,1.0608,0.5613,0.6489,0.6051,0.7696,0.635,0.7023,0.9699,0.9246,0.9472
27.5,0.1,0.5937,1.0663,0.5873,0.6548,0.6211,0.7739,0.64,0.7069,0.9674,0.9334,0.9504
27.6,0.1143,0.6016,1.0689,0.6145,0.6608,0.6376,0.7776,0.6447,0.7111,0.9636,0.9411,0.9524
27.7,0.1221,0.6081,1.0676,0.6427,0.6664,0.6545,0.7799,0.6486,0.7143,0.9581,0.9462,0.9521
27.8,0.1234,0.613,1.0617,0.6713,0.6715,0.6714,0.7802,0.6518,0.716,0.9505,0.9479,0.9492
27.9,0.119,0.6159,1.0509,0.6997,0.6758,0.6878,0.7778,0.6548,0.7163,0.9411,0.9457,0.9434
28,0.1105,0.6161,1.0357,0.7266,0.6785,0.7026,0.7725,0.6579,0.7152,0.9302,0.9392,0.9347
28.1,0.0987,0.6128,1.0171,0.7504,0.6784,0.7144,0.7644,0.6608,0.7126,0.918,0.928,0.923
28.2,0.0838,0.6061,0.9961,0.77,0.6748,0.7224,0.7541,0.663,0.7086,0.9042,0.9119,0.908
28.3,0.065,0.5967,0.9741,0.7849,0.6678,0.7264,0.7423,0.6645,0.7034,0.8888,0.8912,0.89
28.4,0.0423,0.5858,0.9527,0.7952,0.6585,0.7268,0.73,0.6659,0.6979,0.8726,0.867,0.8698
28.5,0.0164,0.5741,0.9332,0.8009,0.6477,0.7243,0.718,0.6682,0.6931,0.8569,0.8407,0.8488
28.6,-0.0115,0.5621,0.9167,0.8016,0.6362,0.7189,0.7079,0.6715,0.6897,0.843,0.8135,0.8283
28.7,-0.0403,0.55,0.904,0.7962,0.6248,0.7105,0.7012,0.676,0.6886,0.8316,0.7871,0.8093
28.8,-0.0692,0.5378,0.8963,0.784,0.6139,0.6989,0.6995,0.6813,0.6904,0.8226,0.7627,0.7926
28.9,-0.0979,0.5258,0.8939,0.765,0.6039,0.6845,0.7031,0.6873,0.6952,0.8156,0.7419,0.7787
29,-0.1255,0.5149,0.8964,0.74,0.5958,0.6679,0.7119,0.694,0.703,0.8098,0.7247,0.7673
29.1,-0.1504,0.5059,0.9028,0.7106,0.5903,0.6505,0.7261,0.7017,0.7139,0.8044,0.7107,0.7575
29.2,-0.171,0.4995,0.9115,0.6781,0.5878,0.6329,0.7468,0.7105,0.7286,0.7991,0.6985,0.7488
29.3,-0.185,0.4963,0.9213,0.6438,0.5879,0.6159,0.7746,0.7197,0.7471,0.7934,0.6879,0.7407
29.4,-0.1911,0.4965,0.931,0.6097,0.59,0.5998,0.8092,0.7284,0.7688,0.7874,0.6798,0.7336
29.5,-0.1892,0.4996,0.9403,0.5775,0.5934,0.5855,0.8492,0.736,0.7926,0.7822,0.6757,0.729
29.6,-0.18,0.5049,0.9492,0.5491,0.5975,0.5733,0.8936,0.7425,0.818,0.7795,0.677,0.7283
29.7,-0.1646,0.5119,0.9578,0.5258,0.6024,0.5641,0.9418,0.7483,0.845,0.7803,0.6836,0.7319
29.8,-0.1439,0.5205,0.9654,0.5086,0.6084,0.5585,0.9927,0.7539,0.8733,0.7837,0.6945,0.7391
29.9,-0.1189,0.5307,0.9714,0.4968,0.6151,0.556,1.0435,0.7593,0.9014,0.789,0.709,0.749
