Time,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0298,0.7698,0.6124,0.7828,0.8988,0.8408,0.8397,0.6308,0.7352,0.7489,0.7355,0.7422
0.1,-0.0454,0.7517,0.5978,0.7508,0.8771,0.8139,0.8244,0.6272,0.7258,0.7475,0.7361,0.7418
0.2,-0.0635,0.7302,0.582,0.714,0.8505,0.7823,0.805,0.623,0.714,0.7436,0.7336,0.7386
0.3,-0.0832,0.7055,0.5655,0.6727,0.8191,0.7459,0.7823,0.6181,0.7002,0.7369,0.7274,0.7322
0.4,-0.1039,0.6781,0.5491,0.6276,0.7828,0.7052,0.7578,0.6128,0.6853,0.7279,0.7176,0.7227
0.5,-0.1252,0.6491,0.5336,0.58,0.7427,0.6614,0.7328,0.6075,0.6701,0.7171,0.7046,0.7108
0.6,-0.1469,0.6197,0.5197,0.5315,0.7001,0.6158,0.7085,0.6024,0.6554,0.7055,0.6893,0.6974
0.7,-0.1697,0.5903,0.5082,0.4836,0.6572,0.5704,0.6861,0.5979,0.642,0.6939,0.673,0.6835
0.8,-0.1941,0.5614,0.4998,0.438,0.6165,0.5272,0.667,0.5947,0.6308,0.6831,0.6569,0.67
0.9,-0.2204,0.5334,0.495,0.3961,0.5798,0.4879,0.6521,0.5931,0.6226,0.6734,0.642,0.6577
1,-0.249,0.507,0.4944,0.3589,0.5485,0.4537,0.6417,0.5936,0.6176,0.6648,0.6291,0.6469
1.1,-0.2806,0.4829,0.4982,0.3275,0.5228,0.4252,0.6356,0.5963,0.616,0.6575,0.6184,0.638
1.2,-0.316,0.4617,0.5069,0.3028,0.5031,0.4029,0.6334,0.6013,0.6174,0.6514,0.6101,0.6308
1.3,-0.356,0.4435,0.521,0.2859,0.4897,0.3878,0.6348,0.6085,0.6216,0.6465,0.6043,0.6254
1.4,-0.4009,0.4284,0.5407,0.2778,0.4834,0.3806,0.6392,0.6176,0.6284,0.6428,0.6013,0.622
1.5,-0.4502,0.4166,0.5655,0.2789,0.4841,0.3815,0.6458,0.6283,0.637,0.6399,0.6013,0.6206
1.6,-0.5026,0.408,0.5944,0.289,0.4914,0.3902,0.653,0.6401,0.6466,0.6375,0.6046,0.6211
1.7,-0.5568,0.402,0.6266,0.3068,0.5033,0.405,0.6598,0.6526,0.6562,0.6353,0.6113,0.6233
1.8,-0.6109,0.3978,0.6609,0.3302,0.5178,0.424,0.6653,0.6656,0.6654,0.6337,0.6213,0.6275
1.9,-0.6629,0.3949,0.6963,0.3571,0.5332,0.4451,0.6694,0.6784,0.6739,0.6329,0.6344,0.6336
2,-0.7108,0.3935,0.7319,0.3857,0.5485,0.4671,0.6725,0.6907,0.6816,0.6326,0.6503,0.6415
2.1,-0.7514,0.3933,0.7671,0.4145,0.563,0.4887,0.6748,0.7018,0.6883,0.6327,0.6684,0.6505
2.2,-0.7807,0.3937,0.8015,0.4419,0.576,0.509,0.6766,0.7115,0.6941,0.6324,0.6881,0.6603
2.3,-0.7943,0.394,0.8347,0.4665,0.587,0.5268,0.6776,0.7196,0.6986,0.6318,0.7088,0.6703
2.4,-0.7882,0.3941,0.8661,0.4869,0.596,0.5415,0.6778,0.7256,0.7017,0.6307,0.7295,0.6801
2.5,-0.7615,0.3943,0.895,0.5027,0.6032,0.5529,0.6777,0.7298,0.7037,0.6293,0.7497,0.6895
2.6,-0.716,0.3956,0.9212,0.5142,0.6092,0.5617,0.6778,0.7331,0.7054,0.6277,0.7691,0.6984
2.7,-0.6541,0.3994,0.9448,0.5228,0.6148,0.5688,0.6786,0.7366,0.7076,0.6262,0.7875,0.7069
2.8,-0.5796,0.4065,0.9656,0.5299,0.6206,0.5752,0.6808,0.7409,0.7108,0.6253,0.8051,0.7152
2.9,-0.4976,0.4166,0.9835,0.5364,0.627,0.5817,0.6845,0.7459,0.7152,0.6253,0.8218,0.7236
3,-0.4132,0.4296,0.9983,0.5433,0.6349,0.5891,0.6899,0.7513,0.7206,0.6264,0.8373,0.7318
3.1,-0.3312,0.4451,1.0097,0.5513,0.6446,0.5979,0.6974,0.7571,0.7272,0.6283,0.8516,0.7399
3.2,-0.2542,0.4627,1.0176,0.5609,0.6557,0.6083,0.7074,0.7636,0.7355,0.6314,0.8647,0.748
3.3,-0.184,0.4814,1.0219,0.5717,0.6676,0.6196,0.7204,0.771,0.7457,0.6362,0.8768,0.7565
3.4,-0.1222,0.5004,1.0229,0.5828,0.6796,0.6312,0.7363,0.7789,0.7576,0.643,0.8879,0.7655
3.5,-0.0704,0.5189,1.0204,0.5935,0.6915,0.6425,0.7546,0.7868,0.7707,0.6519,0.8974,0.7747
3.6,-0.0299,0.5371,1.0145,0.6033,0.7034,0.6533,0.7743,0.7943,0.7843,0.6624,0.9044,0.7834
3.7,-0.0005,0.5553,1.005,0.6123,0.7152,0.6638,0.7943,0.8014,0.7978,0.6738,0.9084,0.7911
3.8,0.019,0.5737,0.9922,0.6209,0.7268,0.6739,0.8136,0.808,0.8108,0.6859,0.9094,0.7977
3.9,0.0304,0.5918,0.9761,0.629,0.7377,0.6833,0.8314,0.8141,0.8228,0.6985,0.9079,0.8032
4,0.0348,0.6089,0.957,0.636,0.7475,0.6917,0.8471,0.8194,0.8333,0.711,0.9038,0.8074
4.1,0.0325,0.6243,0.9354,0.6417,0.7558,0.6987,0.8598,0.8239,0.8419,0.723,0.8973,0.8101
4.2,0.0243,0.6379,0.9117,0.6462,0.7624,0.7043,0.8687,0.8272,0.848,0.7336,0.8885,0.8111
4.3,0.0117,0.6499,0.8863,0.65,0.7668,0.7084,0.8728,0.8287,0.8507,0.7424,0.8781,0.8102
4.4,-0.0039,0.6609,0.8593,0.6532,0.769,0.7111,0.8711,0.8277,0.8494,0.7493,0.8667,0.808
4.5,-0.021,0.6707,0.8306,0.6553,0.7687,0.712,0.8634,0.8237,0.8436,0.7543,0.8548,0.8046
4.6,-0.039,0.679,0.7997,0.6556,0.7656,0.7106,0.8497,0.8165,0.8331,0.7575,0.8429,0.8002
4.7,-0.057,0.6857,0.7663,0.6533,0.7596,0.7064,0.8301,0.806,0.818,0.7589,0.8311,0.795
4.8,-0.0736,0.6905,0.7303,0.6483,0.7506,0.6994,0.8055,0.7921,0.7988,0.7588,0.82,0.7894
4.9,-0.0873,0.6937,0.6929,0.641,0.7391,0.69,0.7768,0.7752,0.776,0.7578,0.8097,0.7838
5,-0.0966,0.6954,0.6554,0.6322,0.7262,0.6792,0.7458,0.7561,0.7509,0.7564,0.8007,0.7785
5.1,-0.1006,0.6956,0.6194,0.623,0.7126,0.6678,0.7143,0.7357,0.725,0.7547,0.7928,0.7737
5.2,-0.0987,0.6942,0.5863,0.6141,0.6992,0.6566,0.6839,0.7146,0.6992,0.7528,0.7858,0.7693
5.3,-0.0904,0.6917,0.5568,0.6062,0.6862,0.6462,0.656,0.6932,0.6746,0.7505,0.7797,0.7651
5.4,-0.0756,0.6881,0.5316,0.5998,0.6743,0.637,0.6314,0.6718,0.6516,0.7479,0.7744,0.7612
5.5,-0.0549,0.6836,0.5108,0.5949,0.6639,0.6294,0.6108,0.6512,0.631,0.7457,0.7701,0.7579
5.6,-0.0297,0.6782,0.4944,0.5915,0.656,0.6238,0.5946,0.6322,0.6134,0.7439,0.7667,0.7553
5.7,-0.002,0.6721,0.4825,0.5896,0.6513,0.6205,0.583,0.6155,0.5993,0.7427,0.7641,0.7534
5.8,0.0269,0.6657,0.4744,0.5891,0.6499,0.6195,0.5761,0.6013,0.5887,0.7417,0.7622,0.752
5.9,0.0564,0.6598,0.4703,0.5901,0.6515,0.6208,0.5735,0.5897,0.5816,0.741,0.7611,0.7511
6,0.0861,0.6551,0.4706,0.5928,0.6558,0.6243,0.5752,0.581,0.5781,0.7412,0.7612,0.7512
6.1,0.1149,0.6517,0.4756,0.5969,0.6623,0.6296,0.581,0.5757,0.5783,0.7431,0.7631,0.7531
6.2,0.1415,0.649,0.4851,0.602,0.6706,0.6363,0.5905,0.5737,0.5821,0.7471,0.7665,0.7568
6.3,0.1647,0.6459,0.4981,0.6072,0.6797,0.6435,0.6031,0.5743,0.5887,0.7522,0.7705,0.7614
6.4,0.185,0.6417,0.5137,0.6117,0.6884,0.65,0.6177,0.5768,0.5972,0.7571,0.7739,0.7655
6.5,0.204,0.6361,0.5313,0.6147,0.6959,0.6553,0.6336,0.5805,0.607,0.7609,0.776,0.7685
6.6,0.2229,0.6298,0.551,0.6158,0.7019,0.6588,0.6499,0.5854,0.6176,0.7638,0.7768,0.7703
