Time,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.0431,0.5441,0.6077,0.7133,0.5525,0.6329,0.6704,0.6581,0.6643,0.6686,0.6643,0.6664
4.6,0.0385,0.5364,0.6062,0.7066,0.5507,0.6286,0.6618,0.6517,0.6567,0.6739,0.6726,0.6733
4.7,0.0328,0.5281,0.6031,0.6996,0.5481,0.6239,0.6511,0.6435,0.6473,0.6768,0.6789,0.6778
4.8,0.0266,0.5193,0.5985,0.6922,0.5447,0.6185,0.6391,0.6336,0.6363,0.6769,0.6827,0.6798
4.9,0.0207,0.5098,0.5927,0.6845,0.5403,0.6124,0.6263,0.6224,0.6244,0.6746,0.684,0.6793
5,0.0158,0.4999,0.5861,0.677,0.5348,0.6059,0.6137,0.6103,0.612,0.6701,0.683,0.6765
5.1,0.012,0.4898,0.5787,0.6698,0.5282,0.599,0.6018,0.5978,0.5998,0.664,0.6799,0.6719
5.2,0.0094,0.4798,0.5707,0.6636,0.5204,0.592,0.5909,0.585,0.5879,0.6568,0.6752,0.666
5.3,0.0079,0.4703,0.5625,0.6589,0.5116,0.5852,0.5813,0.5722,0.5767,0.6493,0.6698,0.6595
5.4,0.0075,0.4617,0.5546,0.656,0.502,0.579,0.5733,0.5598,0.5665,0.6419,0.6642,0.6531
5.5,0.0085,0.4539,0.5473,0.655,0.4919,0.5734,0.5672,0.5481,0.5577,0.6352,0.659,0.6471
5.6,0.0106,0.447,0.5408,0.6559,0.4814,0.5687,0.5632,0.5374,0.5503,0.6292,0.6546,0.6419
