Time,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
21.6,0.2027,0.7463,0.6265,0.783,0.7278,0.7554,0.4852,0.582,0.5336,0.5302,0.5759,0.553
21.7,0.1935,0.7356,0.6038,0.7686,0.71,0.7393,0.4726,0.5918,0.5322,0.5232,0.5593,0.5412
21.8,0.1836,0.7233,0.5797,0.7548,0.6874,0.7211,0.4616,0.601,0.5313,0.5159,0.5426,0.5292
21.9,0.1749,0.7092,0.5542,0.7418,0.6606,0.7012,0.4522,0.6092,0.5307,0.5087,0.5261,0.5174
22,0.1682,0.6936,0.5281,0.7297,0.6306,0.6802,0.4439,0.6162,0.53,0.5016,0.5098,0.5057
22.1,0.1633,0.6765,0.5023,0.7181,0.5982,0.6582,0.4361,0.6216,0.5289,0.4945,0.4933,0.4939
22.2,0.1597,0.6584,0.4774,0.7069,0.5644,0.6357,0.4284,0.6252,0.5268,0.4874,0.4765,0.4819
22.3,0.1576,0.6399,0.4536,0.6959,0.5303,0.6131,0.4211,0.6266,0.5239,0.4808,0.4595,0.4701
22.4,0.1578,0.6209,0.4311,0.685,0.497,0.591,0.4149,0.6259,0.5204,0.4747,0.4424,0.4585
22.5,0.1608,0.6018,0.4099,0.6743,0.4654,0.5699,0.4106,0.623,0.5168,0.4688,0.4253,0.447
22.6,0.1654,0.5833,0.3907,0.6644,0.4366,0.5505,0.4085,0.6181,0.5133,0.4628,0.4079,0.4353
22.7,0.1703,0.5663,0.3745,0.6553,0.4118,0.5336,0.4091,0.6114,0.5103,0.4566,0.3906,0.4236
22.8,0.1745,0.5516,0.3621,0.6471,0.3916,0.5194,0.4136,0.6032,0.5084,0.4512,0.3736,0.4124
22.9,0.1781,0.5393,0.3544,0.6397,0.3769,0.5083,0.4231,0.5941,0.5086,0.4472,0.3573,0.4023
23,0.1811,0.5293,0.3521,0.6334,0.368,0.5007,0.4381,0.5849,0.5115,0.4448,0.3424,0.3936
23.1,0.1835,0.5209,0.3554,0.6275,0.3647,0.4961,0.458,0.5763,0.5171,0.4439,0.3296,0.3868
23.2,0.1843,0.5137,0.3645,0.6216,0.3664,0.494,0.481,0.569,0.525,0.4444,0.3194,0.3819
23.3,0.1825,0.5076,0.3789,0.6154,0.3727,0.494,0.5059,0.5638,0.5348,0.4464,0.3117,0.3791
23.4,0.1771,0.5028,0.3976,0.6095,0.383,0.4963,0.5312,0.561,0.5461,0.4495,0.3059,0.3777
23.5,0.1676,0.4994,0.4192,0.6047,0.3967,0.5007,0.5557,0.5605,0.5581,0.4526,0.3017,0.3771
23.6,0.1539,0.4974,0.4419,0.6011,0.413,0.507,0.5782,0.5621,0.5702,0.4547,0.2985,0.3766
23.7,0.1363,0.4958,0.4651,0.5983,0.4311,0.5147,0.5978,0.5654,0.5816,0.4555,0.2961,0.3758
23.8,0.1152,0.4941,0.489,0.5956,0.4503,0.5229,0.6141,0.5707,0.5924,0.4552,0.295,0.3751
23.9,0.0912,0.4918,0.5147,0.5924,0.4696,0.531,0.6268,0.5787,0.6028,0.4543,0.2957,0.375
24,0.0658,0.4882,0.5423,0.5884,0.4873,0.5378,0.6358,0.59,0.6129,0.4531,0.299,0.376
24.1,0.0404,0.4829,0.5709,0.5838,0.5015,0.5427,0.6413,0.604,0.6227,0.4514,0.3052,0.3783
24.2,0.016,0.4756,0.5995,0.5786,0.5112,0.5449,0.6437,0.6201,0.6319,0.4496,0.3148,0.3822
24.3,-0.0064,0.4665,0.6282,0.5728,0.5158,0.5443,0.6436,0.6376,0.6406,0.448,0.3273,0.3876
24.4,-0.0264,0.4561,0.6576,0.5663,0.5154,0.5409,0.642,0.6557,0.6489,0.4466,0.3418,0.3942
24.5,-0.0434,0.4452,0.6873,0.5592,0.5104,0.5348,0.6392,0.6734,0.6563,0.4444,0.3573,0.4009
24.6,-0.0568,0.4346,0.7162,0.5516,0.5018,0.5267,0.6352,0.6894,0.6623,0.4409,0.3729,0.4069
24.7,-0.0671,0.4246,0.7431,0.5432,0.4905,0.5169,0.6293,0.7021,0.6657,0.4359,0.3878,0.4119
24.8,-0.0745,0.4152,0.7674,0.5336,0.4773,0.5054,0.6213,0.7106,0.6659,0.4297,0.4014,0.4155
24.9,-0.079,0.4069,0.7891,0.5224,0.4634,0.4929,0.6112,0.7154,0.6633,0.4228,0.4129,0.4178
25,-0.0794,0.4001,0.8085,0.51,0.45,0.48,0.5999,0.7181,0.659,0.4157,0.4224,0.4191
25.1,-0.0759,0.3948,0.8251,0.4962,0.4379,0.467,0.588,0.7196,0.6538,0.4089,0.4301,0.4195
25.2,-0.07,0.3907,0.8381,0.4808,0.4272,0.454,0.5756,0.7204,0.648,0.4025,0.4361,0.4193
25.3,-0.0632,0.3873,0.8472,0.4638,0.4184,0.4411,0.5627,0.7205,0.6416,0.3966,0.4404,0.4185
25.4,-0.0561,0.3849,0.8533,0.4458,0.4124,0.4291,0.5499,0.7208,0.6353,0.3918,0.4437,0.4177
25.5,-0.0481,0.3839,0.857,0.4277,0.4095,0.4186,0.5381,0.7217,0.6299,0.389,0.447,0.418
25.6,-0.0379,0.3844,0.8578,0.4101,0.4102,0.4101,0.5283,0.7231,0.6257,0.3894,0.4515,0.4205
25.7,-0.0234,0.3859,0.8553,0.3934,0.414,0.4037,0.521,0.7243,0.6227,0.3934,0.4579,0.4257
25.8,-0.0038,0.3881,0.8492,0.378,0.4203,0.3992,0.5162,0.7244,0.6203,0.4008,0.4658,0.4333
25.9,0.0206,0.3908,0.8407,0.3642,0.4287,0.3965,0.5134,0.7234,0.6184,0.4114,0.475,0.4432
26,0.0488,0.3941,0.8311,0.3528,0.4391,0.3959,0.5122,0.7213,0.6168,0.4254,0.4858,0.4556
26.1,0.0799,0.3981,0.821,0.3444,0.4511,0.3978,0.5124,0.7182,0.6153,0.4428,0.4984,0.4706
26.2,0.1141,0.4025,0.8093,0.3401,0.4644,0.4022,0.5131,0.7133,0.6132,0.4625,0.5122,0.4873
26.3,0.1511,0.4077,0.7956,0.3415,0.4789,0.4102,0.5137,0.7057,0.6097,0.4832,0.5262,0.5047
26.4,0.1899,0.4143,0.7807,0.3501,0.4949,0.4225,0.5134,0.6951,0.6043,0.5037,0.5398,0.5218
26.5,0.2286,0.4228,0.7657,0.3665,0.5124,0.4395,0.5123,0.6815,0.5969,0.5238,0.5532,0.5385
26.6,0.2654,0.4333,0.7513,0.3908,0.5315,0.4611,0.5104,0.6648,0.5876,0.5428,0.566,0.5544
26.7,0.2991,0.4457,0.7368,0.4226,0.5519,0.4873,0.5074,0.6454,0.5764,0.5597,0.5775,0.5686
26.8,0.3304,0.4593,0.7219,0.4612,0.5731,0.5172,0.5029,0.6236,0.5633,0.5731,0.5867,0.5799
26.9,0.3602,0.4741,0.7068,0.5048,0.5945,0.5497,0.4967,0.6,0.5484,0.582,0.5933,0.5877
27,0.3889,0.4896,0.692,0.5505,0.6159,0.5832,0.489,0.5755,0.5322,0.5864,0.598,0.5922
27.1,0.4153,0.5054,0.6781,0.5954,0.6374,0.6164,0.4806,0.5512,0.5159,0.5865,0.6013,0.5939
27.2,0.4374,0.5214,0.6651,0.6376,0.6589,0.6483,0.4719,0.5282,0.5001,0.582,0.6034,0.5927
27.3,0.4533,0.5377,0.6533,0.6763,0.6802,0.6783,0.463,0.5071,0.485,0.5721,0.6035,0.5878
27.4,0.4623,0.5542,0.6427,0.7113,0.7007,0.706,0.4534,0.488,0.4707,0.5566,0.601,0.5788
27.5,0.4632,0.5712,0.6331,0.7424,0.7199,0.7311,0.4429,0.4706,0.4567,0.5354,0.5957,0.5655
27.6,0.4542,0.5892,0.6232,0.7689,0.7379,0.7534,0.4311,0.4545,0.4428,0.5091,0.5874,0.5483
27.7,0.4333,0.6084,0.6122,0.7903,0.7549,0.7726,0.4178,0.4394,0.4286,0.4782,0.5758,0.527
27.8,0.3992,0.6287,0.5999,0.8063,0.7704,0.7884,0.4029,0.4253,0.4141,0.4429,0.5603,0.5016
27.9,0.3524,0.6501,0.5865,0.8168,0.7837,0.8003,0.3857,0.4123,0.399,0.4042,0.5416,0.4729
28,0.295,0.6716,0.5725,0.8213,0.7944,0.8078,0.3657,0.4007,0.3832,0.3638,0.5208,0.4423
28.1,0.2292,0.692,0.5582,0.8195,0.802,0.8107,0.3436,0.3908,0.3672,0.324,0.4995,0.4118
28.2,0.1567,0.7103,0.5446,0.8112,0.8072,0.8092,0.3212,0.3829,0.352,0.2865,0.4787,0.3826
28.3,0.0787,0.7256,0.5332,0.797,0.8109,0.804,0.3001,0.3771,0.3386,0.2526,0.4594,0.356
28.4,-0.0025,0.7372,0.5259,0.7777,0.8141,0.7959,0.2818,0.374,0.3279,0.2236,0.4432,0.3334
28.5,-0.0844,0.7446,0.5229,0.7541,0.8175,0.7858,0.2671,0.374,0.3205,0.2003,0.4314,0.3158
28.6,-0.1641,0.7482,0.5234,0.7281,0.8218,0.7749,0.2563,0.3767,0.3165,0.183,0.4242,0.3036
28.7,-0.239,0.7493,0.5259,0.7016,0.8282,0.7649,0.2497,0.3819,0.3158,0.1716,0.4211,0.2963
28.8,-0.3067,0.7488,0.5301,0.676,0.8371,0.7566,0.2474,0.3889,0.3181,0.1661,0.4216,0.2939
28.9,-0.3653,0.7473,0.5362,0.6516,0.8481,0.7499,0.2493,0.3974,0.3234,0.1667,0.4258,0.2962
29,-0.4132,0.7448,0.5444,0.6283,0.8603,0.7443,0.2549,0.4076,0.3313,0.1729,0.4336,0.3033
29.1,-0.4504,0.7418,0.5537,0.6062,0.8729,0.7396,0.2637,0.4197,0.3417,0.1843,0.4449,0.3146
29.2,-0.4775,0.7392,0.5634,0.5861,0.885,0.7355,0.2755,0.4339,0.3547,0.2006,0.4592,0.3299
29.3,-0.4946,0.7375,0.5732,0.5691,0.8955,0.7323,0.2904,0.45,0.3702,0.2219,0.4761,0.349
29.4,-0.5017,0.7374,0.584,0.5554,0.9037,0.7296,0.3084,0.4676,0.388,0.2484,0.4957,0.372
29.5,-0.499,0.7389,0.5961,0.5448,0.9088,0.7268,0.3296,0.4864,0.408,0.2803,0.5183,0.3993
29.6,-0.4875,0.7425,0.609,0.5364,0.9107,0.7236,0.3534,0.5056,0.4295,0.3177,0.544,0.4309
29.7,-0.4686,0.7485,0.622,0.5297,0.9093,0.7195,0.3794,0.5244,0.4519,0.3608,0.5729,0.4669
29.8,-0.4439,0.757,0.6349,0.5241,0.9047,0.7144,0.407,0.5426,0.4748,0.4094,0.6045,0.507
29.9,-0.414,0.7675,0.6484,0.5189,0.8964,0.7076,0.4354,0.5601,0.4977,0.4629,0.6384,0.5506
