Time,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0459,0.6948,0.8306,0.692,0.7758,0.7339,0.8861,0.8183,0.8522,0.7325,0.7163,0.7244
0.1,-0.0378,0.6842,0.8291,0.6987,0.7585,0.7286,0.8846,0.814,0.8493,0.7512,0.727,0.7391
0.2,-0.0318,0.6722,0.8271,0.7062,0.7396,0.7229,0.8824,0.8097,0.846,0.7702,0.7383,0.7542
0.3,-0.0292,0.659,0.8246,0.7135,0.7195,0.7165,0.8796,0.8054,0.8425,0.7888,0.7497,0.7693
0.4,-0.0308,0.6447,0.8214,0.72,0.699,0.7095,0.8765,0.8011,0.8388,0.8069,0.761,0.7839
0.5,-0.037,0.63,0.8176,0.7252,0.679,0.7021,0.8735,0.7971,0.8353,0.824,0.7715,0.7977
0.6,-0.0477,0.6155,0.8134,0.7288,0.6604,0.6946,0.8705,0.7935,0.832,0.8395,0.7808,0.8102
0.7,-0.0625,0.6021,0.8088,0.7305,0.644,0.6873,0.8673,0.7906,0.8289,0.853,0.7884,0.8207
0.8,-0.081,0.5902,0.8037,0.7302,0.6304,0.6803,0.8635,0.7877,0.8256,0.8638,0.7937,0.8288
0.9,-0.103,0.5802,0.7977,0.7278,0.6198,0.6738,0.8592,0.7845,0.8218,0.8717,0.7961,0.8339
1,-0.1276,0.572,0.7906,0.7235,0.6127,0.6681,0.8542,0.7809,0.8175,0.8765,0.795,0.8358
1.1,-0.1541,0.5652,0.7826,0.7176,0.6092,0.6634,0.8487,0.7769,0.8128,0.8782,0.7904,0.8343
1.2,-0.1816,0.5596,0.7738,0.7103,0.6095,0.6599,0.8426,0.7728,0.8077,0.8767,0.7821,0.8294
1.3,-0.2095,0.5551,0.7645,0.702,0.6131,0.6575,0.8362,0.769,0.8026,0.8722,0.7704,0.8213
1.4,-0.2371,0.5516,0.7549,0.6929,0.6196,0.6562,0.8298,0.7657,0.7977,0.8653,0.7556,0.8104
1.5,-0.2633,0.5491,0.7453,0.6833,0.6288,0.656,0.8238,0.7629,0.7934,0.8565,0.7379,0.7972
1.6,-0.2866,0.5476,0.7358,0.6739,0.6404,0.6571,0.8188,0.7608,0.7898,0.8463,0.7178,0.7821
1.7,-0.3053,0.5471,0.7268,0.6653,0.6541,0.6597,0.815,0.7593,0.7871,0.8352,0.6955,0.7654
1.8,-0.3179,0.5477,0.7185,0.6582,0.6691,0.6636,0.8122,0.7586,0.7854,0.8235,0.6718,0.7476
1.9,-0.3241,0.5498,0.7113,0.653,0.685,0.669,0.8104,0.759,0.7847,0.8114,0.6475,0.7295
2,-0.3242,0.5538,0.7054,0.6498,0.701,0.6754,0.809,0.7604,0.7847,0.7994,0.6237,0.7116
2.1,-0.3189,0.5598,0.7012,0.6485,0.7163,0.6824,0.8075,0.7624,0.785,0.7878,0.6014,0.6946
2.2,-0.3089,0.5679,0.6989,0.6487,0.7297,0.6892,0.8056,0.7649,0.7853,0.7767,0.5815,0.6791
2.3,-0.295,0.5775,0.6982,0.6502,0.7403,0.6953,0.803,0.7672,0.7851,0.7664,0.5644,0.6654
2.4,-0.2779,0.5882,0.6984,0.6528,0.748,0.7004,0.7993,0.769,0.7842,0.7568,0.5505,0.6536
2.5,-0.2589,0.5997,0.6985,0.6562,0.7529,0.7046,0.7944,0.7698,0.7821,0.748,0.54,0.644
2.6,-0.2394,0.6122,0.6979,0.6598,0.7557,0.7078,0.7878,0.7692,0.7785,0.7399,0.5329,0.6364
2.7,-0.2207,0.6256,0.6961,0.6634,0.7567,0.7101,0.7793,0.7668,0.7731,0.7325,0.5291,0.6308
2.8,-0.2042,0.6401,0.6931,0.6664,0.7565,0.7114,0.7688,0.7627,0.7658,0.7257,0.5286,0.6272
2.9,-0.1906,0.6553,0.6898,0.6687,0.7551,0.7119,0.7568,0.7572,0.757,0.72,0.531,0.6255
3,-0.1805,0.671,0.6865,0.6703,0.7531,0.7117,0.744,0.7509,0.7475,0.7155,0.5363,0.6259
3.1,-0.1744,0.687,0.6836,0.671,0.7509,0.711,0.7312,0.7442,0.7377,0.7123,0.544,0.6282
3.2,-0.1724,0.7028,0.6812,0.6712,0.749,0.7101,0.7189,0.7376,0.7283,0.7107,0.5542,0.6325
3.3,-0.1741,0.7184,0.6795,0.6709,0.7475,0.7092,0.7078,0.7318,0.7198,0.7109,0.5668,0.6388
3.4,-0.1789,0.7335,0.6789,0.6703,0.7469,0.7086,0.6984,0.7271,0.7128,0.7129,0.5815,0.6472
3.5,-0.1861,0.7479,0.6795,0.6696,0.7472,0.7084,0.6908,0.7235,0.7072,0.7166,0.598,0.6573
3.6,-0.1951,0.7609,0.6815,0.6688,0.7483,0.7086,0.6848,0.7211,0.703,0.7216,0.6157,0.6687
3.7,-0.2049,0.7724,0.6849,0.6683,0.75,0.7091,0.6801,0.7198,0.6999,0.7274,0.6338,0.6806
3.8,-0.2144,0.7822,0.6901,0.6683,0.7521,0.7102,0.6763,0.7198,0.6981,0.7334,0.6516,0.6925
3.9,-0.2225,0.7904,0.6969,0.6689,0.7545,0.7117,0.6734,0.7212,0.6973,0.7392,0.6688,0.704
4,-0.2284,0.7969,0.7046,0.6703,0.7568,0.7136,0.6713,0.7237,0.6975,0.7443,0.6848,0.7145
4.1,-0.2319,0.8013,0.7125,0.672,0.7591,0.7155,0.6695,0.727,0.6983,0.7479,0.6989,0.7234
4.2,-0.2327,0.8032,0.7199,0.6736,0.7609,0.7172,0.6677,0.7307,0.6992,0.7498,0.7102,0.73
4.3,-0.2304,0.8017,0.7261,0.6744,0.7616,0.718,0.6657,0.7344,0.7,0.7496,0.7182,0.7339
