Time,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0216,0.8523,0.7738,0.9166,1.0334,0.975,0.7885,0.6785,0.7335,0.5043,0.4878,0.496
0.1,-0.0283,0.8324,0.7289,0.8837,1.0067,0.9452,0.7369,0.6704,0.7036,0.495,0.4721,0.4836
0.2,-0.0816,0.8046,0.6786,0.8451,0.9722,0.9086,0.6825,0.6558,0.6691,0.4872,0.4593,0.4732
0.3,-0.1381,0.7705,0.6243,0.802,0.9311,0.8666,0.6271,0.6338,0.6304,0.4812,0.4496,0.4654
0.4,-0.196,0.7313,0.5678,0.7555,0.884,0.8198,0.5718,0.6048,0.5883,0.4773,0.4428,0.4601
0.5,-0.2523,0.6878,0.5109,0.7063,0.8313,0.7688,0.5176,0.5699,0.5437,0.4749,0.4389,0.4569
0.6,-0.3041,0.6409,0.4556,0.6551,0.7742,0.7147,0.4648,0.531,0.4979,0.4735,0.4377,0.4556
0.7,-0.3481,0.5923,0.4044,0.6025,0.7144,0.6584,0.4143,0.4896,0.452,0.4733,0.4392,0.4562
0.8,-0.3823,0.5439,0.3591,0.5491,0.6544,0.6017,0.3674,0.4466,0.407,0.4749,0.4434,0.4592
0.9,-0.406,0.4978,0.3203,0.4962,0.5961,0.5461,0.3257,0.4028,0.3643,0.4793,0.4503,0.4648
1,-0.42,0.4553,0.2882,0.4451,0.5414,0.4932,0.291,0.3602,0.3256,0.4862,0.4592,0.4727
1.1,-0.4258,0.4173,0.2628,0.3976,0.4917,0.4447,0.2637,0.3212,0.2924,0.495,0.4695,0.4822
1.2,-0.4245,0.3845,0.2446,0.355,0.4483,0.4016,0.2438,0.2873,0.2655,0.5053,0.4804,0.4929
1.3,-0.4175,0.3576,0.2341,0.3183,0.4119,0.3651,0.2308,0.259,0.2449,0.5169,0.4916,0.5043
1.4,-0.4069,0.3367,0.2314,0.2882,0.3833,0.3357,0.2244,0.2361,0.2302,0.5289,0.5024,0.5156
1.5,-0.3949,0.3217,0.2361,0.2649,0.3626,0.3137,0.2239,0.2178,0.2209,0.54,0.5123,0.5262
1.6,-0.3827,0.3119,0.2472,0.2481,0.3491,0.2986,0.2288,0.2041,0.2165,0.55,0.5217,0.5358
1.7,-0.3716,0.3065,0.2638,0.2367,0.3417,0.2892,0.2385,0.195,0.2168,0.559,0.5307,0.5449
1.8,-0.3627,0.3049,0.2849,0.2294,0.3392,0.2843,0.2527,0.1902,0.2215,0.5676,0.5396,0.5536
1.9,-0.357,0.3068,0.3094,0.2249,0.341,0.2829,0.2707,0.1892,0.23,0.5756,0.5479,0.5617
2,-0.3546,0.3115,0.3359,0.222,0.3464,0.2842,0.2916,0.1915,0.2416,0.5827,0.5549,0.5688
2.1,-0.3553,0.3187,0.3631,0.2204,0.3548,0.2876,0.3143,0.197,0.2557,0.589,0.5601,0.5745
2.2,-0.3587,0.328,0.3894,0.2201,0.3658,0.2929,0.3378,0.2057,0.2718,0.5942,0.5633,0.5788
2.3,-0.3643,0.3394,0.4138,0.2213,0.3787,0.3,0.3615,0.2176,0.2895,0.598,0.5644,0.5812
2.4,-0.3715,0.3526,0.4349,0.2239,0.393,0.3084,0.3846,0.2319,0.3083,0.5996,0.5631,0.5814
2.5,-0.3788,0.3672,0.4523,0.2283,0.4078,0.318,0.4068,0.2479,0.3273,0.5988,0.5592,0.579
2.6,-0.3844,0.3829,0.4661,0.235,0.4224,0.3287,0.4277,0.2648,0.3462,0.5961,0.5531,0.5746
2.7,-0.3866,0.3997,0.4768,0.2449,0.4365,0.3407,0.4476,0.2823,0.3649,0.5927,0.5458,0.5692
2.8,-0.3847,0.4181,0.4854,0.2594,0.4506,0.355,0.4664,0.3002,0.3833,0.5897,0.5383,0.564
2.9,-0.3791,0.4394,0.4926,0.2798,0.4656,0.3727,0.4842,0.3181,0.4012,0.5875,0.5315,0.5595
3,-0.3703,0.4645,0.4991,0.3072,0.4814,0.3943,0.501,0.3354,0.4182,0.586,0.5256,0.5558
3.1,-0.3581,0.4933,0.505,0.3415,0.4968,0.4192,0.5163,0.3514,0.4339,0.5854,0.5208,0.5531
3.2,-0.3416,0.5246,0.5103,0.3818,0.51,0.4459,0.5297,0.3658,0.4477,0.5858,0.5169,0.5514
3.3,-0.3201,0.5569,0.5152,0.4266,0.5194,0.473,0.5408,0.3786,0.4597,0.5876,0.5141,0.5508
3.4,-0.2936,0.5892,0.5201,0.4746,0.5247,0.4997,0.5497,0.3904,0.4701,0.5906,0.5121,0.5514
3.5,-0.2628,0.621,0.5257,0.5248,0.5264,0.5256,0.5569,0.4022,0.4796,0.5948,0.5111,0.553
3.6,-0.2286,0.6518,0.5327,0.5755,0.5255,0.5505,0.5637,0.4149,0.4893,0.5998,0.5113,0.5556
3.7,-0.1909,0.681,0.5412,0.625,0.5226,0.5738,0.5711,0.4291,0.5001,0.6054,0.5132,0.5593
3.8,-0.1488,0.7077,0.5515,0.6713,0.5177,0.5945,0.5802,0.4452,0.5127,0.6116,0.5172,0.5644
3.9,-0.1023,0.7311,0.5635,0.7132,0.5119,0.6125,0.5916,0.463,0.5273,0.6184,0.5235,0.5709
4,-0.0517,0.7511,0.5776,0.7487,0.5065,0.6276,0.6059,0.4826,0.5442,0.6255,0.5316,0.5786
4.1,0.0023,0.7674,0.5934,0.7757,0.5025,0.6391,0.6226,0.5038,0.5632,0.6324,0.5412,0.5868
4.2,0.0583,0.7792,0.6104,0.7925,0.4999,0.6462,0.641,0.5264,0.5837,0.6384,0.5517,0.595
4.3,0.1138,0.7854,0.6278,0.7991,0.4979,0.6485,0.6599,0.5504,0.6052,0.6429,0.5622,0.6026
4.4,0.1659,0.7858,0.6452,0.7973,0.4963,0.6468,0.6782,0.5758,0.627,0.6454,0.5718,0.6086
4.5,0.213,0.7805,0.663,0.7897,0.4953,0.6425,0.6946,0.6021,0.6484,0.6453,0.5796,0.6125
4.6,0.2543,0.7702,0.6816,0.7783,0.495,0.6367,0.7083,0.6284,0.6683,0.6429,0.5862,0.6146
4.7,0.2898,0.7553,0.7011,0.764,0.4946,0.6293,0.7186,0.6534,0.686,0.6384,0.5932,0.6158
4.8,0.3198,0.7363,0.7203,0.747,0.4924,0.6197,0.7248,0.6756,0.7002,0.6328,0.6017,0.6173
4.9,0.3438,0.7134,0.7377,0.7276,0.4869,0.6072,0.7261,0.6933,0.7097,0.6265,0.6122,0.6193
5,0.3606,0.6876,0.7518,0.7062,0.4779,0.5921,0.7221,0.705,0.7135,0.6197,0.6234,0.6216
5.1,0.3698,0.6602,0.7624,0.6833,0.4664,0.5749,0.7128,0.71,0.7114,0.6119,0.6337,0.6228
5.2,0.3723,0.6326,0.7703,0.6597,0.4537,0.5567,0.6985,0.7086,0.7035,0.6026,0.6417,0.6221
5.3,0.3692,0.6058,0.7766,0.6356,0.4406,0.5381,0.6801,0.7013,0.6907,0.5919,0.6476,0.6197
5.4,0.3613,0.5809,0.7821,0.6115,0.4278,0.5197,0.6584,0.6891,0.6738,0.5799,0.651,0.6154
5.5,0.3498,0.5589,0.7867,0.588,0.4159,0.502,0.6336,0.6732,0.6534,0.5665,0.6509,0.6087
5.6,0.3357,0.5403,0.7897,0.5652,0.4053,0.4852,0.606,0.6544,0.6302,0.5517,0.6465,0.5991
5.7,0.3204,0.5253,0.7903,0.5426,0.3957,0.4691,0.5762,0.633,0.6046,0.5352,0.6376,0.5864
5.8,0.3047,0.5139,0.7882,0.5196,0.3868,0.4532,0.5445,0.6093,0.5769,0.5173,0.625,0.5711
5.9,0.2889,0.5055,0.7833,0.4956,0.3782,0.4369,0.5119,0.5835,0.5477,0.4985,0.6105,0.5545
6,0.2723,0.4999,0.7759,0.4703,0.37,0.4202,0.4793,0.5561,0.5177,0.48,0.5958,0.5379
6.1,0.2541,0.4966,0.7658,0.4436,0.362,0.4028,0.4473,0.5281,0.4877,0.4625,0.5812,0.5218
6.2,0.2334,0.495,0.7528,0.4152,0.354,0.3846,0.4161,0.5004,0.4583,0.4464,0.567,0.5067
6.3,0.2106,0.4942,0.7373,0.3852,0.3458,0.3655,0.3858,0.4741,0.43,0.4318,0.5536,0.4927
6.4,0.1863,0.4938,0.7198,0.3533,0.3374,0.3453,0.3567,0.4501,0.4034,0.4186,0.5419,0.4802
6.5,0.1613,0.4933,0.7011,0.32,0.329,0.3245,0.3293,0.4291,0.3792,0.4072,0.533,0.4701
6.6,0.1355,0.4929,0.6816,0.2861,0.3216,0.3039,0.3043,0.4114,0.3578,0.3981,0.5273,0.4627
6.7,0.1086,0.4929,0.6621,0.2529,0.3163,0.2846,0.2823,0.3973,0.3398,0.3914,0.5249,0.4581
