Time,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
25.5,-0.0054,0.6943,0.7675,0.7203,0.7741,0.7472,0.8297,0.7501,0.7899,0.8871,0.8813,0.8842
25.6,-0.0179,0.6846,0.7719,0.7121,0.7658,0.7389,0.8267,0.7602,0.7934,0.8871,0.8808,0.8839
25.7,-0.0284,0.6771,0.7783,0.7047,0.7577,0.7312,0.8231,0.7711,0.7971,0.8903,0.8825,0.8864
25.8,-0.0355,0.6717,0.7865,0.6986,0.7497,0.7242,0.8193,0.7828,0.801,0.8976,0.8872,0.8924
25.9,-0.0387,0.6687,0.7966,0.6943,0.7422,0.7182,0.8157,0.7953,0.8055,0.9092,0.895,0.9021
26,-0.0385,0.6684,0.8086,0.6923,0.7361,0.7142,0.8129,0.8089,0.8109,0.925,0.9061,0.9156
26.1,-0.0353,0.6714,0.823,0.6931,0.7326,0.7129,0.811,0.824,0.8175,0.9443,0.92,0.9321
26.2,-0.0293,0.6777,0.8396,0.6973,0.7325,0.7149,0.8103,0.8408,0.8256,0.9658,0.9365,0.9511
26.3,-0.0205,0.6877,0.8583,0.7047,0.736,0.7204,0.811,0.8594,0.8352,0.9886,0.955,0.9718
26.4,-0.0094,0.7014,0.8788,0.7149,0.7432,0.7291,0.8135,0.8793,0.8464,1.0122,0.9755,0.9938
26.5,0.002,0.7191,0.9007,0.7272,0.7537,0.7405,0.8177,0.8999,0.8588,1.0361,0.9973,1.0167
26.6,0.0115,0.7407,0.9239,0.7411,0.7672,0.7542,0.8235,0.9205,0.872,1.0597,1.0196,1.0396
26.7,0.0171,0.7659,0.948,0.7559,0.7827,0.7693,0.8303,0.9404,0.8853,1.0817,1.0411,1.0614
26.8,0.0178,0.7932,0.9718,0.7706,0.7986,0.7846,0.8369,0.9583,0.8976,1.1007,1.0603,1.0805
26.9,0.0132,0.8205,0.9943,0.7837,0.813,0.7983,0.8424,0.9733,0.9079,1.1156,1.0757,1.0957
27,0.0032,0.8458,1.0142,0.7936,0.8241,0.8088,0.8463,0.9846,0.9155,1.1254,1.0866,1.106
27.1,-0.0119,0.8672,1.0309,0.799,0.831,0.815,0.8485,0.992,0.9203,1.1295,1.0922,1.1108
27.2,-0.0311,0.8833,1.0438,0.7991,0.8331,0.8161,0.8492,0.9963,0.9227,1.1274,1.0921,1.1097
27.3,-0.0526,0.8935,1.0529,0.7935,0.8303,0.8119,0.8485,0.9982,0.9233,1.1192,1.0868,1.103
27.4,-0.0752,0.8973,1.0579,0.7822,0.8229,0.8025,0.8458,0.9975,0.9216,1.105,1.0767,1.0908
27.5,-0.0981,0.8947,1.0581,0.7653,0.8108,0.788,0.8402,0.9934,0.9168,1.0846,1.0615,1.0731
27.6,-0.1208,0.886,1.053,0.7435,0.7942,0.7689,0.831,0.9853,0.9082,1.058,1.0414,1.0497
27.7,-0.1424,0.8717,1.0427,0.7175,0.7736,0.7455,0.8179,0.973,0.8954,1.0256,1.0166,1.0211
27.8,-0.1621,0.8523,1.0269,0.6883,0.7491,0.7187,0.8012,0.9566,0.8789,0.9879,0.9876,0.9877
27.9,-0.1796,0.828,1.0055,0.657,0.7214,0.6892,0.7817,0.9368,0.8593,0.9456,0.9545,0.9501
28,-0.1953,0.7996,0.9781,0.6251,0.6912,0.6581,0.7605,0.9139,0.8372,0.8993,0.9175,0.9084
28.1,-0.21,0.7685,0.9445,0.594,0.6593,0.6267,0.739,0.8883,0.8137,0.8498,0.8769,0.8633
28.2,-0.2244,0.7364,0.905,0.5655,0.627,0.5962,0.7186,0.8601,0.7894,0.7987,0.8331,0.8159
28.3,-0.238,0.7051,0.8606,0.541,0.5953,0.5681,0.7,0.8299,0.765,0.7483,0.7874,0.7679
28.4,-0.25,0.6762,0.8133,0.5215,0.5659,0.5437,0.684,0.7983,0.7412,0.7012,0.7419,0.7215
28.5,-0.2594,0.6514,0.7659,0.5081,0.5411,0.5246,0.6708,0.7664,0.7186,0.6594,0.6984,0.6789
28.6,-0.2654,0.6317,0.7209,0.5018,0.5227,0.5122,0.661,0.7356,0.6983,0.6238,0.6589,0.6414
28.7,-0.2676,0.6178,0.6801,0.5029,0.5121,0.5075,0.6548,0.7073,0.6811,0.5947,0.6242,0.6095
28.8,-0.2655,0.6094,0.6443,0.5115,0.5094,0.5104,0.6519,0.6827,0.6673,0.572,0.5946,0.5833
28.9,-0.2594,0.6062,0.6135,0.5268,0.5138,0.5203,0.652,0.6621,0.6571,0.5554,0.5701,0.5628
29,-0.2494,0.6076,0.5877,0.5483,0.5243,0.5363,0.6544,0.6459,0.6502,0.545,0.5507,0.5478
29.1,-0.2366,0.6138,0.5672,0.5754,0.54,0.5577,0.6593,0.6344,0.6469,0.5402,0.5359,0.5381
29.2,-0.222,0.6246,0.5522,0.6079,0.5608,0.5844,0.6669,0.6281,0.6475,0.5401,0.5255,0.5328
29.3,-0.2068,0.6397,0.5423,0.6452,0.5865,0.6158,0.6773,0.6272,0.6523,0.5433,0.5185,0.5309
29.4,-0.1926,0.6578,0.537,0.6851,0.6157,0.6504,0.6899,0.6313,0.6606,0.5485,0.5144,0.5315
29.5,-0.1808,0.6772,0.5359,0.7253,0.6466,0.6859,0.7037,0.6394,0.6715,0.555,0.5129,0.5339
29.6,-0.1725,0.6958,0.5388,0.7633,0.677,0.7202,0.7174,0.6504,0.6839,0.5624,0.5135,0.538
29.7,-0.169,0.7118,0.5458,0.7973,0.7047,0.751,0.7304,0.6632,0.6968,0.5705,0.5164,0.5435
29.8,-0.1709,0.7236,0.5565,0.8258,0.7277,0.7767,0.7419,0.6767,0.7093,0.5789,0.5212,0.55
29.9,-0.1787,0.7299,0.57,0.8477,0.7449,0.7963,0.7514,0.6896,0.7205,0.5867,0.5271,0.5569
