Time,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5043,0.6623,0.5328,0.735,0.6636,0.6993,0.4106,0.7444,0.5775,1.0607,0.7048,0.8827
0.1,-0.5063,0.6639,0.5439,0.7397,0.653,0.6963,0.4427,0.7499,0.5963,1.0152,0.6833,0.8492
0.2,-0.5083,0.6668,0.5585,0.7445,0.6402,0.6924,0.4767,0.7542,0.6155,0.9738,0.6703,0.822
0.3,-0.5097,0.6712,0.5754,0.7488,0.6255,0.6872,0.5111,0.7582,0.6347,0.9367,0.6651,0.8009
0.4,-0.5097,0.6764,0.594,0.7522,0.6097,0.681,0.5445,0.7623,0.6534,0.905,0.6669,0.7859
0.5,-0.5072,0.6818,0.6139,0.7544,0.5939,0.6742,0.5755,0.7662,0.6708,0.8792,0.6744,0.7768
0.6,-0.5002,0.6866,0.6343,0.7557,0.5783,0.667,0.6038,0.7694,0.6866,0.8593,0.6866,0.773
0.7,-0.4866,0.6907,0.654,0.7569,0.5633,0.6601,0.6294,0.7711,0.7002,0.8447,0.7017,0.7732
0.8,-0.4657,0.6946,0.6718,0.7587,0.5494,0.6541,0.6521,0.7708,0.7115,0.8344,0.7178,0.7761
0.9,-0.439,0.6985,0.6875,0.761,0.5375,0.6492,0.6721,0.7688,0.7205,0.8274,0.7337,0.7806
1,-0.4097,0.7028,0.7008,0.7627,0.5278,0.6452,0.689,0.7654,0.7272,0.8227,0.7486,0.7856
1.1,-0.3801,0.7072,0.7109,0.7623,0.5201,0.6412,0.7024,0.7603,0.7314,0.8187,0.7612,0.7899
1.2,-0.3516,0.7113,0.7168,0.7586,0.514,0.6363,0.712,0.7533,0.7327,0.8141,0.7706,0.7924
1.3,-0.3252,0.7146,0.718,0.751,0.5091,0.63,0.7182,0.7438,0.731,0.8089,0.7765,0.7927
1.4,-0.3017,0.7169,0.7146,0.7392,0.5053,0.6222,0.7221,0.7318,0.727,0.803,0.779,0.791
1.5,-0.2826,0.7183,0.7075,0.7227,0.5026,0.6126,0.725,0.718,0.7215,0.796,0.7779,0.787
1.6,-0.2683,0.7195,0.697,0.7019,0.5015,0.6017,0.7278,0.7032,0.7155,0.787,0.7725,0.7798
1.7,-0.2585,0.7212,0.6826,0.6781,0.5031,0.5906,0.7312,0.6887,0.71,0.7751,0.7623,0.7687
1.8,-0.252,0.7231,0.6643,0.6521,0.5083,0.5802,0.7356,0.6755,0.7056,0.7607,0.7473,0.754
1.9,-0.2485,0.7244,0.6425,0.6231,0.5168,0.57,0.7411,0.6649,0.703,0.7452,0.7283,0.7367
2,-0.2475,0.7249,0.6191,0.5896,0.5272,0.5584,0.7479,0.6577,0.7028,0.7299,0.7061,0.718
2.1,-0.2479,0.7248,0.5961,0.5503,0.5379,0.5441,0.7559,0.6551,0.7055,0.7149,0.681,0.6979
2.2,-0.2477,0.7251,0.5765,0.5066,0.5486,0.5276,0.7651,0.6578,0.7115,0.6998,0.6533,0.6766
2.3,-0.2452,0.7262,0.5625,0.4611,0.5602,0.5107,0.7755,0.6667,0.7211,0.6845,0.6236,0.654
2.4,-0.2395,0.7283,0.5556,0.4177,0.574,0.4958,0.7864,0.6812,0.7338,0.6685,0.5921,0.6303
2.5,-0.2307,0.7311,0.5559,0.3792,0.5904,0.4848,0.7972,0.7006,0.7489,0.6516,0.5598,0.6057
2.6,-0.2205,0.7341,0.5636,0.3472,0.6082,0.4777,0.8072,0.7239,0.7656,0.634,0.5279,0.5809
2.7,-0.2121,0.7364,0.578,0.322,0.6253,0.4736,0.8156,0.7501,0.7829,0.6163,0.4979,0.5571
2.8,-0.2086,0.7376,0.5974,0.3034,0.6392,0.4713,0.822,0.7782,0.8001,0.5994,0.4712,0.5353
2.9,-0.2127,0.7377,0.6193,0.2909,0.6489,0.4699,0.8258,0.8071,0.8164,0.584,0.4492,0.5166
3,-0.2263,0.7374,0.6404,0.2833,0.6549,0.4691,0.827,0.835,0.831,0.5701,0.4319,0.501
3.1,-0.2493,0.7373,0.6583,0.2791,0.6584,0.4688,0.8256,0.8606,0.8431,0.5573,0.4191,0.4882
3.2,-0.2791,0.7382,0.6724,0.2773,0.661,0.4691,0.8222,0.8836,0.8529,0.546,0.4116,0.4788
3.3,-0.312,0.7398,0.6836,0.2775,0.6633,0.4704,0.8177,0.9052,0.8614,0.5375,0.4109,0.4742
3.4,-0.3441,0.7409,0.692,0.2794,0.6655,0.4724,0.8127,0.9261,0.8694,0.5322,0.4175,0.4749
3.5,-0.3729,0.74,0.6966,0.2828,0.6672,0.475,0.807,0.9464,0.8767,0.5302,0.4303,0.4803
3.6,-0.3968,0.7359,0.6956,0.2871,0.6682,0.4776,0.8001,0.9647,0.8824,0.531,0.4471,0.489
3.7,-0.4153,0.7284,0.6881,0.2924,0.6686,0.4805,0.7924,0.9801,0.8862,0.5343,0.4665,0.5004
3.8,-0.4272,0.7181,0.6752,0.2999,0.6688,0.4844,0.7849,0.9926,0.8887,0.5407,0.4875,0.5141
3.9,-0.432,0.7064,0.6583,0.3106,0.6696,0.4901,0.7785,1.0024,0.8905,0.5496,0.5092,0.5294
4,-0.4305,0.6942,0.6386,0.3251,0.6717,0.4984,0.7737,1.0097,0.8917,0.5594,0.5302,0.5448
4.1,-0.4246,0.6823,0.6169,0.344,0.6758,0.5099,0.7702,1.0147,0.8925,0.5687,0.5492,0.559
4.2,-0.4159,0.6709,0.5939,0.3676,0.6821,0.5248,0.7676,1.0175,0.8925,0.5769,0.5655,0.5712
4.3,-0.4054,0.6601,0.5703,0.3952,0.6901,0.5426,0.7655,1.0182,0.8918,0.5838,0.579,0.5814
4.4,-0.3929,0.65,0.5461,0.4256,0.6988,0.5622,0.7637,1.0172,0.8905,0.5894,0.5899,0.5896
4.5,-0.3771,0.641,0.5214,0.4578,0.7078,0.5828,0.7625,1.0145,0.8885,0.5931,0.5978,0.5954
4.6,-0.3572,0.6334,0.4967,0.4913,0.717,0.6041,0.7622,1.0101,0.8862,0.5948,0.6027,0.5987
4.7,-0.3327,0.6272,0.4734,0.5254,0.7268,0.6261,0.7629,1.0044,0.8836,0.5946,0.6049,0.5998
4.8,-0.3043,0.6223,0.4524,0.5593,0.7369,0.6481,0.7643,0.9973,0.8808,0.5926,0.6049,0.5987
4.9,-0.2729,0.6181,0.4339,0.5913,0.747,0.6691,0.7659,0.989,0.8774,0.5884,0.6025,0.5955
5,-0.2395,0.6148,0.4172,0.6205,0.7568,0.6886,0.7674,0.9793,0.8734,0.5817,0.5972,0.5895
5.1,-0.2046,0.6126,0.4015,0.647,0.7664,0.7067,0.7689,0.9683,0.8686,0.5725,0.5888,0.5806
5.2,-0.1688,0.6116,0.387,0.6709,0.7757,0.7233,0.7703,0.9558,0.8631,0.5613,0.5777,0.5695
5.3,-0.1322,0.6117,0.3746,0.6925,0.7839,0.7382,0.7711,0.9416,0.8563,0.5488,0.5648,0.5568
5.4,-0.0946,0.6129,0.3655,0.7121,0.7903,0.7512,0.7708,0.925,0.8479,0.5353,0.5507,0.543
5.5,-0.0559,0.6155,0.3605,0.7305,0.7951,0.7628,0.7696,0.9061,0.8379,0.5206,0.5355,0.528
5.6,-0.0164,0.6199,0.3605,0.7478,0.799,0.7734,0.768,0.8855,0.8268,0.5053,0.5203,0.5128
5.7,0.0231,0.6264,0.3663,0.7639,0.8031,0.7835,0.7666,0.8644,0.8155,0.4901,0.5068,0.4984
5.8,0.0631,0.6354,0.3782,0.7786,0.8085,0.7936,0.7658,0.8441,0.8049,0.476,0.497,0.4865
5.9,0.1038,0.6467,0.3963,0.7918,0.8156,0.8037,0.766,0.8257,0.7959,0.4642,0.4923,0.4783
6,0.145,0.66,0.4203,0.8032,0.8245,0.8138,0.7685,0.8103,0.7894,0.4557,0.4934,0.4746
6.1,0.1858,0.675,0.4487,0.8127,0.8347,0.8237,0.7742,0.7985,0.7863,0.451,0.4997,0.4753
6.2,0.2247,0.6916,0.4796,0.8197,0.8458,0.8327,0.7838,0.7907,0.7873,0.4501,0.5109,0.4805
6.3,0.2592,0.7094,0.5108,0.8238,0.8576,0.8407,0.7974,0.7871,0.7922,0.453,0.5266,0.4898
6.4,0.2872,0.7281,0.5402,0.8251,0.8704,0.8478,0.8148,0.7875,0.8011,0.4595,0.5461,0.5028
6.5,0.3079,0.7469,0.5671,0.8238,0.8836,0.8537,0.8359,0.7928,0.8144,0.4693,0.5689,0.5191
6.6,0.3213,0.7647,0.5916,0.8199,0.8957,0.8578,0.8604,0.8041,0.8323,0.4824,0.5949,0.5386
6.7,0.3269,0.7803,0.6132,0.8135,0.9048,0.8592,0.8874,0.8212,0.8543,0.4983,0.6229,0.5606
6.8,0.3245,0.7923,0.6301,0.8053,0.9097,0.8575,0.9152,0.8423,0.8787,0.5166,0.651,0.5838
6.9,0.3139,0.7998,0.6416,0.7956,0.9095,0.8526,0.9428,0.8653,0.904,0.5374,0.678,0.6077
7,0.2948,0.8026,0.6493,0.7845,0.9043,0.8444,0.9697,0.8893,0.9295,0.5612,0.704,0.6326
7.1,0.2675,0.8007,0.6558,0.7722,0.8945,0.8333,0.9951,0.9142,0.9546,0.5879,0.7302,0.659
7.2,0.2339,0.7946,0.6623,0.7592,0.8808,0.82,1.0175,0.9393,0.9784,0.6162,0.7564,0.6863
7.3,0.1956,0.7845,0.6683,0.7465,0.8642,0.8054,1.0346,0.9628,0.9987,0.6441,0.7811,0.7126
7.4,0.1546,0.7703,0.6724,0.7349,0.8452,0.79,1.045,0.9825,1.0138,0.6697,0.8023,0.736
7.5,0.1127,0.752,0.6738,0.7243,0.8238,0.774,1.0483,0.9974,1.0228,0.692,0.8189,0.7554
7.6,0.0716,0.7304,0.6724,0.714,0.8004,0.7572,1.0447,1.0072,1.026,0.7106,0.8307,0.7707
7.7,0.0328,0.7067,0.668,0.7039,0.7759,0.7399,1.0351,1.0123,1.0237,0.7254,0.8382,0.7818
7.8,-0.0024,0.6824,0.6601,0.6941,0.7513,0.7227,1.0207,1.0127,1.0167,0.736,0.8415,0.7887
7.9,-0.0334,0.6581,0.6486,0.6849,0.7278,0.7063,1.0025,1.0086,1.0056,0.7422,0.8405,0.7914
8,-0.061,0.6345,0.6345,0.6763,0.7063,0.6913,0.9816,1.0003,0.9909,0.7445,0.8356,0.79
8.1,-0.0858,0.6118,0.6193,0.6688,0.6872,0.678,0.9583,0.9884,0.9734,0.7433,0.8273,0.7853
8.2,-0.1081,0.5906,0.6039,0.6629,0.671,0.667,0.9332,0.9737,0.9534,0.7396,0.8163,0.7779
8.3,-0.1273,0.5717,0.5878,0.6595,0.6576,0.6585,0.9066,0.9563,0.9315,0.7337,0.8027,0.7682
8.4,-0.143,0.5558,0.5709,0.659,0.6468,0.6529,0.8797,0.9365,0.9081,0.7263,0.7868,0.7566
8.5,-0.1552,0.5435,0.5534,0.6617,0.6384,0.65,0.8537,0.9143,0.884,0.718,0.7693,0.7436
8.6,-0.1648,0.535,0.5364,0.6669,0.6325,0.6497,0.8297,0.8898,0.8598,0.7094,0.7507,0.7301
8.7,-0.1718,0.5308,0.5207,0.674,0.6292,0.6516,0.8083,0.8638,0.836,0.701,0.7319,0.7164
8.8,-0.1763,0.5314,0.5063,0.6824,0.6288,0.6556,0.7898,0.8365,0.8131,0.6927,0.7132,0.7029
8.9,-0.1779,0.5369,0.4934,0.6916,0.6308,0.6612,0.7744,0.8083,0.7913,0.6845,0.6951,0.6898
9,-0.1765,0.5471,0.4824,0.7011,0.6347,0.6679,0.7619,0.7799,0.7709,0.6763,0.6785,0.6774
9.1,-0.1716,0.561,0.4742,0.7109,0.6397,0.6753,0.7519,0.7519,0.7519,0.6678,0.6635,0.6657
9.2,-0.1639,0.5781,0.4693,0.7209,0.6458,0.6833,0.7438,0.725,0.7344,0.6586,0.6499,0.6542
9.3,-0.1548,0.5976,0.4676,0.7308,0.6525,0.6917,0.7368,0.6998,0.7183,0.6481,0.6362,0.6422
9.4,-0.1464,0.6188,0.4689,0.7396,0.6597,0.6997,0.7303,0.6766,0.7034,0.636,0.6221,0.6291
9.5,-0.1405,0.6404,0.4729,0.7461,0.6666,0.7063,0.7235,0.6558,0.6897,0.6227,0.6079,0.6153
9.6,-0.1383,0.6608,0.4799,0.7487,0.6726,0.7106,0.7162,0.6381,0.6771,0.6085,0.595,0.6018
9.7,-0.1395,0.6786,0.4902,0.747,0.6774,0.7122,0.7081,0.6238,0.6659,0.5938,0.5847,0.5892
9.8,-0.1426,0.693,0.5041,0.7415,0.681,0.7113,0.699,0.613,0.656,0.5785,0.5769,0.5777
9.9,-0.1463,0.7036,0.5215,0.7327,0.6831,0.7079,0.6888,0.6056,0.6472,0.563,0.5717,0.5674
10,-0.1501,0.7105,0.5419,0.7211,0.6835,0.7023,0.6772,0.6007,0.6389,0.5482,0.5691,0.5586
10.1,-0.1541,0.7139,0.5645,0.7073,0.6825,0.6949,0.6641,0.597,0.6306,0.5344,0.5688,0.5516
10.2,-0.1586,0.7145,0.5881,0.6921,0.6811,0.6866,0.6501,0.5932,0.6216,0.522,0.5703,0.5462
10.3,-0.1638,0.713,0.6125,0.6763,0.6802,0.6783,0.6357,0.5887,0.6122,0.5107,0.5734,0.542
10.4,-0.1698,0.7108,0.6374,0.6607,0.6811,0.6709,0.6216,0.5838,0.6027,0.5003,0.5773,0.5388
10.5,-0.1754,0.7092,0.662,0.6465,0.6847,0.6656,0.6081,0.5787,0.5934,0.4905,0.5814,0.5359
10.6,-0.1789,0.7088,0.6851,0.6347,0.6913,0.663,0.5951,0.5733,0.5842,0.4811,0.5845,0.5328
10.7,-0.1789,0.71,0.7055,0.626,0.7011,0.6636,0.5825,0.5674,0.5749,0.4724,0.5858,0.5291
10.8,-0.1748,0.7127,0.7226,0.6206,0.7139,0.6672,0.5705,0.5611,0.5658,0.4644,0.5851,0.5248
10.9,-0.1657,0.7174,0.7367,0.6187,0.7298,0.6743,0.5593,0.5553,0.5573,0.4577,0.5832,0.5205
11,-0.1514,0.7244,0.7485,0.621,0.7491,0.685,0.5491,0.551,0.5501,0.4527,0.5813,0.517
11.1,-0.1319,0.734,0.7588,0.6279,0.772,0.7,0.54,0.5488,0.5444,0.4497,0.5797,0.5147
11.2,-0.1082,0.7458,0.7673,0.6406,0.798,0.7193,0.5316,0.5487,0.5401,0.4485,0.5782,0.5133
11.3,-0.0813,0.7589,0.7737,0.6597,0.8258,0.7427,0.5237,0.5496,0.5367,0.4488,0.5758,0.5123
11.4,-0.052,0.7731,0.777,0.686,0.8537,0.7699,0.5162,0.5507,0.5334,0.4505,0.572,0.5112
11.5,-0.0199,0.7883,0.7766,0.7194,0.8806,0.8,0.5093,0.5511,0.5302,0.4536,0.5667,0.5101
11.6,0.0153,0.8044,0.7718,0.7586,0.9054,0.832,0.5034,0.5505,0.5269,0.4583,0.5601,0.5092
11.7,0.0531,0.821,0.7621,0.8007,0.9277,0.8642,0.4993,0.5485,0.5239,0.4648,0.5524,0.5086
11.8,0.0923,0.8374,0.7477,0.8418,0.9466,0.8942,0.4979,0.5448,0.5213,0.4726,0.5438,0.5082
11.9,0.1316,0.8529,0.7296,0.878,0.9615,0.9198,0.4995,0.5401,0.5198,0.4814,0.5342,0.5078
12,0.1699,0.8666,0.7086,0.9069,0.9723,0.9396,0.5044,0.5353,0.5199,0.491,0.5244,0.5077
12.1,0.2053,0.8777,0.6861,0.9267,0.9788,0.9527,0.5127,0.532,0.5223,0.5011,0.515,0.508
12.2,0.2356,0.8848,0.6631,0.9365,0.9803,0.9584,0.5242,0.531,0.5276,0.5114,0.5062,0.5088
12.3,0.2579,0.8869,0.6407,0.9363,0.9765,0.9564,0.5392,0.5326,0.5359,0.5216,0.4983,0.51
12.4,0.2704,0.884,0.6196,0.9273,0.9678,0.9475,0.5576,0.5371,0.5474,0.5312,0.491,0.5111
12.5,0.2724,0.877,0.6,0.9112,0.9554,0.9333,0.5798,0.5448,0.5623,0.5398,0.4844,0.5121
12.6,0.2646,0.8671,0.5823,0.89,0.9407,0.9153,0.6055,0.556,0.5808,0.547,0.4789,0.5129
12.7,0.248,0.8551,0.5663,0.8655,0.9244,0.895,0.6341,0.5703,0.6022,0.553,0.4746,0.5138
12.8,0.2241,0.8409,0.552,0.8397,0.9066,0.8731,0.6647,0.587,0.6258,0.5583,0.472,0.5151
12.9,0.1954,0.8245,0.5395,0.8139,0.8871,0.8505,0.6962,0.6047,0.6505,0.5633,0.4718,0.5175
13,0.1642,0.8061,0.5289,0.7894,0.866,0.8277,0.728,0.622,0.675,0.5682,0.4741,0.5212
13.1,0.1325,0.7864,0.5206,0.7669,0.8434,0.8051,0.7586,0.6378,0.6982,0.5728,0.4788,0.5258
13.2,0.1019,0.7663,0.515,0.747,0.8199,0.7834,0.7871,0.6517,0.7194,0.5768,0.4847,0.5308
13.3,0.0732,0.7464,0.5118,0.7297,0.7955,0.7626,0.8126,0.6634,0.738,0.5801,0.4914,0.5358
13.4,0.0468,0.7267,0.5109,0.7147,0.7704,0.7425,0.835,0.6731,0.754,0.5829,0.4989,0.5409
13.5,0.0234,0.7069,0.5125,0.7011,0.7446,0.7228,0.8543,0.6809,0.7676,0.5852,0.5072,0.5462
13.6,0.0034,0.6868,0.5164,0.6885,0.7179,0.7032,0.8706,0.6871,0.7788,0.587,0.5162,0.5516
13.7,-0.0134,0.666,0.5227,0.6764,0.6903,0.6834,0.8839,0.692,0.788,0.5882,0.5258,0.557
13.8,-0.0277,0.6444,0.5309,0.6644,0.6613,0.6629,0.8942,0.6959,0.7951,0.5889,0.536,0.5625
13.9,-0.0401,0.6219,0.5405,0.6521,0.6306,0.6413,0.9013,0.6985,0.7999,0.5896,0.547,0.5683
14,-0.0503,0.599,0.5504,0.6396,0.5982,0.6189,0.905,0.6996,0.8023,0.5906,0.559,0.5748
14.1,-0.057,0.5758,0.5599,0.6277,0.565,0.5963,0.9052,0.6991,0.8021,0.5919,0.5718,0.5819
14.2,-0.0591,0.5528,0.5687,0.6168,0.5323,0.5746,0.9016,0.6971,0.7994,0.5932,0.5852,0.5892
14.3,-0.0559,0.5304,0.5769,0.6074,0.5013,0.5543,0.8942,0.6942,0.7942,0.5941,0.5989,0.5965
14.4,-0.0479,0.5089,0.5847,0.5992,0.4725,0.5359,0.8828,0.6903,0.7866,0.5948,0.6127,0.6038
14.5,-0.0354,0.4891,0.5916,0.5925,0.4466,0.5196,0.8678,0.6854,0.7766,0.5954,0.6264,0.6109
14.6,-0.0189,0.4721,0.5969,0.5881,0.4245,0.5063,0.8497,0.6791,0.7644,0.5961,0.6391,0.6176
14.7,0.0016,0.4584,0.6002,0.5864,0.4075,0.4969,0.8289,0.6719,0.7504,0.5967,0.6505,0.6236
14.8,0.0254,0.4483,0.6016,0.5873,0.3967,0.492,0.8066,0.665,0.7358,0.5973,0.6603,0.6288
14.9,0.0507,0.4415,0.6016,0.5903,0.3923,0.4913,0.7841,0.6599,0.722,0.5982,0.669,0.6336
15,0.0754,0.4374,0.6006,0.5948,0.3937,0.4942,0.7626,0.6577,0.7101,0.5994,0.6766,0.638
15.1,0.0977,0.4356,0.5986,0.6004,0.3996,0.5,0.7433,0.6584,0.7009,0.6007,0.6828,0.6418
15.2,0.1167,0.4354,0.5953,0.6068,0.4088,0.5078,0.7261,0.6621,0.6941,0.6016,0.6869,0.6443
15.3,0.1319,0.4361,0.5908,0.6136,0.4202,0.5169,0.7107,0.6683,0.6895,0.602,0.6882,0.6451
15.4,0.1428,0.4374,0.5847,0.6202,0.433,0.5266,0.6969,0.6764,0.6866,0.6016,0.6866,0.6441
15.5,0.149,0.4389,0.5768,0.6262,0.4465,0.5364,0.6844,0.6855,0.685,0.6003,0.6819,0.6411
15.6,0.151,0.4403,0.5669,0.631,0.4599,0.5455,0.6735,0.6944,0.684,0.5975,0.6742,0.6358
15.7,0.1501,0.4415,0.5552,0.6346,0.4723,0.5534,0.6641,0.7022,0.6832,0.5928,0.6635,0.6282
15.8,0.1481,0.4423,0.5424,0.6375,0.4827,0.5601,0.6563,0.7085,0.6824,0.5862,0.6503,0.6182
15.9,0.1466,0.4428,0.5295,0.6404,0.4905,0.5654,0.6502,0.7138,0.682,0.5778,0.635,0.6064
16,0.1462,0.4431,0.517,0.6439,0.4955,0.5697,0.6457,0.7184,0.6821,0.568,0.6183,0.5931
16.1,0.1469,0.4432,0.5051,0.6485,0.498,0.5732,0.6426,0.7226,0.6826,0.5571,0.6006,0.5789
16.2,0.1485,0.4428,0.4935,0.6537,0.4982,0.576,0.6402,0.7258,0.683,0.5452,0.5824,0.5638
