Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
17.8,-0.0153,0.5341,0.5876,0.4391,0.3335,0.3863,0.6115,0.5819,0.5967,0.6262,0.5455,0.5858
17.9,0.0149,0.5122,0.5773,0.4081,0.3117,0.3599,0.6148,0.5759,0.5953,0.6318,0.5375,0.5847
18,0.0449,0.4904,0.568,0.3791,0.2923,0.3357,0.6184,0.5716,0.595,0.638,0.5309,0.5845
18.1,0.0741,0.4689,0.5597,0.3531,0.2759,0.3145,0.6218,0.5689,0.5953,0.6443,0.5254,0.5848
18.2,0.1017,0.4478,0.5519,0.3311,0.2623,0.2967,0.6239,0.5673,0.5956,0.6494,0.5206,0.585
18.3,0.127,0.4272,0.5442,0.3134,0.2512,0.2823,0.6236,0.5663,0.595,0.6528,0.5163,0.5845
18.4,0.1496,0.4073,0.5358,0.3002,0.2428,0.2715,0.6205,0.5654,0.5929,0.6538,0.5122,0.583
18.5,0.1683,0.3887,0.5263,0.2917,0.2371,0.2644,0.6142,0.5641,0.5892,0.6524,0.5081,0.5803
18.6,0.1814,0.3719,0.5159,0.2875,0.2339,0.2607,0.605,0.5621,0.5836,0.6486,0.5039,0.5762
18.7,0.1878,0.3574,0.5054,0.2874,0.2324,0.2599,0.5934,0.5592,0.5763,0.6431,0.4998,0.5715
18.8,0.1877,0.3454,0.4958,0.2909,0.2322,0.2615,0.5804,0.5553,0.5679,0.6366,0.4965,0.5665
18.9,0.1825,0.3357,0.4878,0.2974,0.2324,0.2649,0.5669,0.5504,0.5586,0.6296,0.4942,0.5619
19,0.1736,0.3282,0.4815,0.3063,0.2325,0.2694,0.5531,0.5444,0.5487,0.622,0.4925,0.5573
19.1,0.1618,0.3233,0.4765,0.3173,0.2318,0.2746,0.5393,0.537,0.5382,0.6137,0.4909,0.5523
19.2,0.1485,0.3218,0.4727,0.3298,0.2307,0.2802,0.5255,0.5287,0.5271,0.6045,0.4888,0.5467
19.3,0.135,0.3245,0.4697,0.3435,0.2296,0.2865,0.512,0.5199,0.516,0.5946,0.4859,0.5403
19.4,0.1228,0.3324,0.4674,0.358,0.2292,0.2936,0.4995,0.5114,0.5054,0.584,0.4823,0.5331
19.5,0.1122,0.3454,0.4655,0.3729,0.2297,0.3013,0.4886,0.5039,0.4962,0.5733,0.4782,0.5257
19.6,0.1033,0.3628,0.4635,0.3876,0.2305,0.3091,0.4798,0.4977,0.4887,0.5629,0.4739,0.5184
19.7,0.0966,0.3839,0.4611,0.4019,0.2314,0.3166,0.4731,0.4927,0.4829,0.5531,0.4697,0.5114
19.8,0.0923,0.4078,0.4581,0.4153,0.2325,0.3239,0.4683,0.4886,0.4784,0.5436,0.4652,0.5044
19.9,0.0903,0.4336,0.4547,0.4273,0.2343,0.3308,0.4649,0.4849,0.4749,0.5342,0.4602,0.4972
20,0.0905,0.46,0.4512,0.4374,0.2363,0.3368,0.4629,0.4816,0.4722,0.5248,0.455,0.4899
20.1,0.0935,0.4854,0.4479,0.4455,0.2378,0.3417,0.4626,0.4789,0.4707,0.5158,0.45,0.4829
20.2,0.0993,0.5085,0.4452,0.4515,0.2384,0.345,0.4641,0.4773,0.4707,0.5078,0.4458,0.4768
20.3,0.1081,0.5289,0.4428,0.4554,0.2381,0.3468,0.4673,0.4768,0.472,0.5011,0.443,0.472
20.4,0.1197,0.5461,0.4404,0.4577,0.2373,0.3475,0.4722,0.4772,0.4747,0.4955,0.4415,0.4685
20.5,0.1331,0.5604,0.4377,0.4593,0.237,0.3482,0.4787,0.4785,0.4786,0.4909,0.4416,0.4663
20.6,0.1475,0.5717,0.4346,0.4619,0.2378,0.3499,0.4871,0.4808,0.484,0.488,0.4438,0.4659
20.7,0.1613,0.5805,0.4315,0.4666,0.2405,0.3536,0.4978,0.4843,0.4911,0.4874,0.4486,0.468
20.8,0.173,0.5875,0.4294,0.4743,0.2455,0.3599,0.5111,0.4896,0.5003,0.4896,0.4559,0.4728
20.9,0.1804,0.5932,0.4293,0.485,0.2529,0.3689,0.5268,0.4969,0.5118,0.4946,0.4656,0.4801
21,0.1823,0.598,0.4317,0.4994,0.2635,0.3814,0.5449,0.5064,0.5257,0.5025,0.4774,0.4899
21.1,0.178,0.6025,0.437,0.5181,0.2782,0.3981,0.5655,0.518,0.5418,0.5131,0.4909,0.502
21.2,0.1674,0.6067,0.4452,0.5413,0.2974,0.4193,0.5885,0.5313,0.5599,0.5264,0.506,0.5162
21.3,0.1512,0.6104,0.4561,0.5677,0.3207,0.4442,0.6131,0.5454,0.5793,0.5417,0.5219,0.5318
21.4,0.1305,0.613,0.4689,0.5952,0.3472,0.4712,0.6384,0.5591,0.5988,0.5582,0.5379,0.5481
21.5,0.1064,0.6138,0.4834,0.6221,0.3759,0.499,0.6634,0.5718,0.6176,0.5752,0.5537,0.5644
21.6,0.0794,0.6124,0.4994,0.6474,0.4064,0.5269,0.6873,0.583,0.6352,0.5923,0.5695,0.5809
21.7,0.0499,0.6092,0.5172,0.6712,0.4386,0.5549,0.7101,0.5931,0.6516,0.6097,0.5855,0.5976
21.8,0.0187,0.6048,0.5364,0.6935,0.4727,0.5831,0.7317,0.6022,0.6669,0.6276,0.6016,0.6146
21.9,-0.0131,0.6001,0.5565,0.7143,0.5078,0.6111,0.7519,0.6104,0.6811,0.6456,0.6175,0.6315
22,-0.044,0.5958,0.5769,0.7332,0.543,0.6381,0.7705,0.618,0.6942,0.6635,0.6327,0.6481
22.1,-0.072,0.5919,0.5967,0.7494,0.5769,0.6632,0.7875,0.6251,0.7063,0.6813,0.6473,0.6643
22.2,-0.0952,0.5883,0.6155,0.7622,0.6083,0.6853,0.8027,0.6318,0.7172,0.6986,0.6612,0.6799
22.3,-0.112,0.5843,0.6326,0.7708,0.6358,0.7033,0.8156,0.6378,0.7267,0.7147,0.6743,0.6945
22.4,-0.1227,0.5796,0.6475,0.7741,0.6583,0.7162,0.8256,0.6432,0.7344,0.729,0.6865,0.7078
22.5,-0.1281,0.574,0.6596,0.7714,0.6751,0.7233,0.8322,0.648,0.7401,0.7411,0.6978,0.7194
22.6,-0.1289,0.5673,0.6685,0.7624,0.6857,0.724,0.8354,0.6521,0.7437,0.7508,0.7083,0.7295
22.7,-0.1258,0.5595,0.6733,0.7472,0.6895,0.7183,0.8353,0.6553,0.7453,0.758,0.7185,0.7382
22.8,-0.1199,0.5502,0.6735,0.7263,0.6861,0.7062,0.8321,0.6571,0.7446,0.7629,0.7282,0.7456
22.9,-0.1122,0.5391,0.6689,0.7001,0.6752,0.6876,0.8254,0.6569,0.7412,0.7653,0.7371,0.7512
23,-0.1038,0.526,0.6601,0.6691,0.6578,0.6635,0.8152,0.6548,0.735,0.7651,0.7445,0.7548
23.1,-0.0956,0.5114,0.6482,0.6344,0.6356,0.635,0.8016,0.6515,0.7266,0.7625,0.7503,0.7564
23.2,-0.0888,0.4964,0.6343,0.5975,0.6104,0.6039,0.7854,0.6481,0.7167,0.7579,0.7549,0.7564
23.3,-0.0845,0.4817,0.6195,0.5597,0.5833,0.5715,0.7676,0.6455,0.7065,0.7519,0.7586,0.7553
23.4,-0.0823,0.4676,0.6043,0.5224,0.5554,0.5389,0.7488,0.6444,0.6966,0.7451,0.7618,0.7534
23.5,-0.0811,0.4544,0.5897,0.4867,0.5275,0.5071,0.7297,0.6452,0.6875,0.7375,0.764,0.7508
23.6,-0.08,0.4423,0.5761,0.4537,0.501,0.4773,0.7105,0.6478,0.6791,0.729,0.7648,0.7469
23.7,-0.079,0.4319,0.564,0.4247,0.4768,0.4508,0.6916,0.6517,0.6717,0.7188,0.7631,0.741
23.8,-0.078,0.4234,0.5534,0.4007,0.4558,0.4282,0.6731,0.6567,0.6649,0.7065,0.7585,0.7325
23.9,-0.0769,0.4169,0.5447,0.3818,0.4379,0.4098,0.6548,0.6619,0.6583,0.6923,0.7509,0.7216
24,-0.0756,0.4118,0.5384,0.3674,0.4227,0.3951,0.6361,0.6667,0.6514,0.6762,0.7398,0.708
24.1,-0.0735,0.4079,0.5352,0.3563,0.4095,0.3829,0.6167,0.6708,0.6437,0.6583,0.7252,0.6917
24.2,-0.0697,0.4048,0.5355,0.3478,0.3978,0.3728,0.596,0.6734,0.6347,0.6387,0.7068,0.6727
24.3,-0.063,0.4029,0.5388,0.3417,0.3878,0.3647,0.5739,0.6738,0.6239,0.618,0.6851,0.6516
24.4,-0.0522,0.4023,0.5443,0.3385,0.38,0.3593,0.5505,0.6714,0.6109,0.5973,0.6611,0.6292
24.5,-0.0373,0.4034,0.551,0.3385,0.3748,0.3567,0.5255,0.6653,0.5954,0.5773,0.6354,0.6064
24.6,-0.0193,0.4057,0.558,0.3413,0.3718,0.3565,0.4986,0.6551,0.5768,0.5585,0.6082,0.5833
24.7,0.0002,0.4088,0.5651,0.3457,0.371,0.3583,0.4698,0.6409,0.5554,0.5412,0.5799,0.5606
24.8,0.0197,0.4125,0.5722,0.3514,0.3731,0.3622,0.4402,0.6232,0.5317,0.5262,0.5516,0.5389
24.9,0.0384,0.4171,0.5794,0.3585,0.3791,0.3688,0.4114,0.6033,0.5073,0.5143,0.5244,0.5193
25,0.0562,0.4228,0.5863,0.368,0.3893,0.3786,0.385,0.5821,0.4835,0.5059,0.4992,0.5026
25.1,0.0728,0.4293,0.5918,0.38,0.4027,0.3913,0.3622,0.5604,0.4613,0.5012,0.4767,0.4889
25.2,0.0882,0.4365,0.5953,0.3939,0.418,0.406,0.3437,0.5391,0.4414,0.5,0.4576,0.4788
25.3,0.1008,0.4439,0.5967,0.4092,0.4345,0.4218,0.3298,0.5189,0.4243,0.5023,0.4424,0.4724
25.4,0.1088,0.4514,0.5965,0.4252,0.452,0.4386,0.3206,0.5007,0.4106,0.508,0.4317,0.4699
25.5,0.1102,0.459,0.5957,0.442,0.4707,0.4563,0.3162,0.4851,0.4006,0.5168,0.4258,0.4713
25.6,0.1043,0.4671,0.5944,0.4595,0.49,0.4747,0.3168,0.4727,0.3948,0.5281,0.4244,0.4763
25.7,0.0923,0.4762,0.5931,0.4783,0.5095,0.4939,0.3228,0.4642,0.3935,0.5415,0.4275,0.4845
25.8,0.0764,0.4869,0.5918,0.4989,0.529,0.5139,0.3347,0.46,0.3974,0.5567,0.4346,0.4957
25.9,0.0585,0.4999,0.5906,0.5214,0.5484,0.5349,0.3527,0.4607,0.4067,0.574,0.4454,0.5097
26,0.0403,0.5152,0.5898,0.546,0.5674,0.5567,0.3767,0.4664,0.4216,0.5936,0.4596,0.5266
26.1,0.0228,0.5321,0.5903,0.5722,0.5857,0.5789,0.4064,0.4772,0.4418,0.6153,0.4772,0.5462
26.2,0.0065,0.5503,0.5934,0.5994,0.6031,0.6012,0.4411,0.4933,0.4672,0.6388,0.4977,0.5683
26.3,-0.0087,0.5692,0.6001,0.6269,0.6195,0.6232,0.4803,0.5145,0.4974,0.6636,0.5211,0.5923
26.4,-0.0234,0.5886,0.6108,0.6541,0.6347,0.6444,0.5232,0.5408,0.532,0.6892,0.5468,0.618
26.5,-0.0379,0.6087,0.6249,0.6804,0.6485,0.6644,0.5688,0.5716,0.5702,0.7148,0.5741,0.6445
26.6,-0.0514,0.6289,0.6419,0.7054,0.6601,0.6828,0.6162,0.606,0.6111,0.7394,0.6022,0.6708
26.7,-0.0621,0.6488,0.6615,0.7286,0.6692,0.6989,0.6642,0.6424,0.6533,0.7618,0.63,0.6959
26.8,-0.0678,0.668,0.6833,0.75,0.6759,0.7129,0.7111,0.6789,0.695,0.7809,0.6561,0.7185
26.9,-0.0672,0.686,0.706,0.7694,0.6802,0.7248,0.755,0.7133,0.7342,0.7958,0.6789,0.7373
27,-0.0607,0.7027,0.7277,0.7866,0.6822,0.7344,0.7944,0.7438,0.7691,0.8056,0.6971,0.7513
27.1,-0.0495,0.7179,0.7471,0.8016,0.6817,0.7416,0.8279,0.7691,0.7985,0.8098,0.7102,0.76
27.2,-0.0337,0.731,0.7633,0.8139,0.6782,0.746,0.8548,0.7886,0.8217,0.8085,0.718,0.7632
27.3,-0.0129,0.7414,0.7758,0.8227,0.6716,0.7471,0.8746,0.8018,0.8382,0.802,0.7202,0.7611
27.4,0.0132,0.7483,0.784,0.8273,0.6615,0.7444,0.8872,0.8089,0.8481,0.7906,0.7167,0.7536
27.5,0.0441,0.751,0.7879,0.8273,0.648,0.7376,0.8927,0.8103,0.8515,0.7742,0.7075,0.7408
27.6,0.0788,0.7493,0.7875,0.8225,0.6314,0.7269,0.8911,0.8061,0.8486,0.7534,0.6933,0.7234
27.7,0.1155,0.7431,0.7835,0.8131,0.6126,0.7129,0.8829,0.7969,0.8399,0.7293,0.6753,0.7023
27.8,0.1529,0.7324,0.776,0.7991,0.5924,0.6958,0.8686,0.783,0.8258,0.7028,0.6544,0.6786
27.9,0.1897,0.7171,0.7653,0.7806,0.5712,0.6759,0.8487,0.7646,0.8066,0.6743,0.6312,0.6528
28,0.2242,0.6971,0.7516,0.7575,0.549,0.6533,0.8241,0.7423,0.7832,0.6444,0.6064,0.6254
28.1,0.2546,0.6726,0.7359,0.7297,0.5263,0.628,0.7964,0.717,0.7567,0.6142,0.5808,0.5975
28.2,0.2798,0.6443,0.7188,0.6978,0.5039,0.6008,0.767,0.6898,0.7284,0.5851,0.5557,0.5704
28.3,0.2988,0.6133,0.7012,0.6625,0.4826,0.5726,0.7377,0.6619,0.6998,0.5585,0.532,0.5453
28.4,0.3116,0.5809,0.6832,0.6251,0.4627,0.5439,0.7096,0.6343,0.672,0.5356,0.5104,0.523
28.5,0.3173,0.5485,0.6654,0.5872,0.4443,0.5158,0.6837,0.6079,0.6458,0.5171,0.4909,0.504
28.6,0.3155,0.5177,0.6488,0.5507,0.4286,0.4896,0.6606,0.5837,0.6221,0.5032,0.4741,0.4887
28.7,0.3063,0.4904,0.6345,0.5175,0.417,0.4673,0.6414,0.5627,0.6021,0.4946,0.46,0.4773
28.8,0.291,0.4678,0.6227,0.4891,0.4107,0.4499,0.6273,0.5459,0.5866,0.491,0.4488,0.4699
28.9,0.272,0.4505,0.6133,0.4662,0.4094,0.4378,0.6191,0.5342,0.5767,0.4924,0.4409,0.4666
29,0.2533,0.4384,0.6057,0.4494,0.4122,0.4308,0.6177,0.5279,0.5728,0.4983,0.4363,0.4673
29.1,0.2379,0.4309,0.5998,0.4387,0.4183,0.4285,0.6231,0.5271,0.5751,0.5084,0.4354,0.4719
29.2,0.227,0.4273,0.596,0.4337,0.4275,0.4306,0.6347,0.5315,0.5831,0.5227,0.4387,0.4807
29.3,0.2201,0.4268,0.5942,0.4337,0.4395,0.4366,0.6516,0.5404,0.596,0.5409,0.4463,0.4936
29.4,0.2163,0.4287,0.5946,0.4382,0.4537,0.446,0.6727,0.5529,0.6128,0.5619,0.4583,0.5101
29.5,0.2153,0.4327,0.597,0.4468,0.4692,0.458,0.6969,0.5681,0.6325,0.5843,0.4742,0.5293
29.6,0.2173,0.4389,0.6018,0.4591,0.4852,0.4721,0.7238,0.5857,0.6547,0.6069,0.4938,0.5503
29.7,0.2227,0.4472,0.6091,0.4745,0.5019,0.4882,0.7528,0.6053,0.6791,0.6291,0.5165,0.5728
29.8,0.2314,0.4573,0.6187,0.492,0.5193,0.5057,0.7836,0.6265,0.7051,0.6505,0.5419,0.5962
29.9,0.2428,0.4686,0.6299,0.5114,0.5374,0.5244,0.8153,0.6486,0.732,0.6703,0.5692,0.6197
