Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,0.0287,0.4663,0.3422,0.5397,0.4173,0.4785,0.4617,0.3615,0.4116,0.4354,0.3672,0.4013
4.5,0.0481,0.4723,0.3295,0.5464,0.4163,0.4813,0.4642,0.3651,0.4146,0.4352,0.3543,0.3947
4.6,0.0652,0.4775,0.3154,0.5484,0.4148,0.4816,0.4655,0.3666,0.416,0.4353,0.342,0.3887
4.7,0.079,0.4819,0.3002,0.546,0.413,0.4795,0.4657,0.3659,0.4158,0.4359,0.3313,0.3836
4.8,0.0901,0.4849,0.2846,0.5387,0.4101,0.4744,0.4648,0.3631,0.4139,0.4371,0.3227,0.3799
4.9,0.0998,0.486,0.2699,0.5266,0.4059,0.4663,0.4622,0.3582,0.4102,0.4391,0.3164,0.3778
5,0.109,0.4857,0.2573,0.5109,0.4006,0.4557,0.4577,0.3518,0.4048,0.4423,0.3125,0.3774
5.1,0.1173,0.4848,0.248,0.493,0.3947,0.4439,0.4514,0.3447,0.398,0.4472,0.3112,0.3792
5.2,0.1233,0.4843,0.2427,0.4745,0.3889,0.4317,0.4439,0.3375,0.3907,0.4545,0.3129,0.3837
5.3,0.1264,0.4846,0.242,0.4563,0.3832,0.4197,0.4362,0.3311,0.3837,0.4646,0.3174,0.391
5.4,0.1272,0.486,0.2463,0.4388,0.3778,0.4083,0.4291,0.3263,0.3777,0.4779,0.3249,0.4014
5.5,0.1271,0.4891,0.2554,0.4228,0.3734,0.3981,0.4232,0.3241,0.3737,0.4944,0.3357,0.4151
5.6,0.1271,0.4939,0.2692,0.4094,0.3708,0.3901,0.4186,0.3251,0.3719,0.5135,0.3501,0.4318
5.7,0.1268,0.5002,0.2871,0.3988,0.3708,0.3848,0.4154,0.3296,0.3725,0.534,0.3678,0.4509
