Time,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2963,0.6058,0.151,0.3059,0.3999,0.3529,0.5604,0.6322,0.5963,0.4109,0.4137,0.4123
0.1,-0.2887,0.6254,0.1534,0.3179,0.4295,0.3737,0.5382,0.6307,0.5845,0.4238,0.4302,0.427
0.2,-0.2828,0.6412,0.16,0.3288,0.458,0.3934,0.5165,0.6303,0.5734,0.4349,0.4454,0.4402
0.3,-0.279,0.6527,0.1705,0.338,0.4846,0.4113,0.4955,0.631,0.5632,0.4438,0.4582,0.451
0.4,-0.2774,0.6597,0.185,0.3449,0.5086,0.4268,0.4751,0.6328,0.5539,0.4509,0.4678,0.4594
0.5,-0.2764,0.6631,0.2037,0.3491,0.5296,0.4393,0.4554,0.6357,0.5456,0.4561,0.474,0.4651
0.6,-0.2737,0.6636,0.2265,0.3505,0.5463,0.4484,0.4364,0.6395,0.538,0.4582,0.4764,0.4673
0.7,-0.2665,0.6613,0.252,0.3491,0.5574,0.4533,0.4183,0.6434,0.5309,0.4562,0.4739,0.4651
0.8,-0.2531,0.6563,0.278,0.345,0.5616,0.4533,0.4017,0.6463,0.524,0.45,0.4655,0.4577
0.9,-0.2317,0.6481,0.3023,0.3382,0.5583,0.4482,0.3871,0.6476,0.5174,0.4403,0.4508,0.4455
