Time,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28.6,-0.2107,0.452,0.415,0.778,0.663,0.7205,0.3625,0.2477,0.3051,0.2419,0.7433,0.4926
28.7,-0.2174,0.4366,0.395,0.7737,0.6419,0.7078,0.3325,0.211,0.2718,0.2135,0.7179,0.4657
28.8,-0.2221,0.4216,0.3788,0.7647,0.6153,0.69,0.3059,0.1774,0.2417,0.1862,0.6884,0.4373
28.9,-0.2253,0.4066,0.3666,0.7502,0.5837,0.6669,0.2833,0.1483,0.2158,0.1606,0.6557,0.4082
29,-0.2278,0.3905,0.3583,0.7293,0.5474,0.6384,0.2646,0.1239,0.1942,0.137,0.6206,0.3788
29.1,-0.2303,0.3729,0.3535,0.7021,0.5073,0.6047,0.2496,0.1047,0.1772,0.1155,0.584,0.3497
29.2,-0.2325,0.3544,0.353,0.6694,0.4648,0.5671,0.2392,0.0919,0.1655,0.0965,0.547,0.3218
29.3,-0.2336,0.3369,0.3584,0.6333,0.4219,0.5276,0.2347,0.0872,0.1609,0.0808,0.5108,0.2958
29.4,-0.2318,0.323,0.3711,0.5961,0.3812,0.4887,0.2368,0.0917,0.1642,0.0688,0.4765,0.2726
29.5,-0.2243,0.3146,0.3908,0.5605,0.3455,0.453,0.2446,0.1055,0.1751,0.0611,0.4453,0.2532
29.6,-0.2095,0.3127,0.4167,0.5284,0.3177,0.4231,0.2571,0.1285,0.1928,0.0587,0.4184,0.2386
29.7,-0.1865,0.3175,0.4476,0.5014,0.299,0.4002,0.2732,0.1603,0.2168,0.0626,0.3973,0.2299
29.8,-0.1549,0.3288,0.4816,0.4805,0.2891,0.3848,0.2925,0.1998,0.2462,0.0733,0.3826,0.2279
29.9,-0.1142,0.3464,0.5153,0.4669,0.2869,0.3769,0.3146,0.2448,0.2797,0.0908,0.3741,0.2325
