Time,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.0333,0.742,0.7839,0.7283,0.7296,0.729,0.8456,0.839,0.8423,0.7927,0.8398,0.8163
4.6,0.0432,0.7371,0.7673,0.7315,0.7373,0.7344,0.844,0.8354,0.8397,0.7886,0.8201,0.8044
4.7,0.0524,0.7313,0.7494,0.7315,0.7456,0.7386,0.8416,0.8298,0.8357,0.7867,0.7986,0.7926
4.8,0.0601,0.7246,0.7304,0.7284,0.7541,0.7412,0.8383,0.8223,0.8303,0.7874,0.7755,0.7815
4.9,0.0653,0.7169,0.711,0.7223,0.7621,0.7422,0.834,0.8131,0.8236,0.7905,0.7516,0.7711
5,0.0672,0.7081,0.6918,0.7133,0.769,0.7411,0.8288,0.8025,0.8156,0.7955,0.7275,0.7615
5.1,0.0659,0.6979,0.6731,0.7013,0.7744,0.7379,0.8224,0.7903,0.8064,0.8016,0.7034,0.7525
5.2,0.0619,0.6863,0.6547,0.6868,0.7775,0.7321,0.8146,0.7764,0.7955,0.8078,0.6793,0.7435
5.3,0.056,0.673,0.6359,0.6699,0.7776,0.7238,0.8053,0.7607,0.783,0.8135,0.6549,0.7342
5.4,0.0488,0.6584,0.6162,0.6511,0.7747,0.7129,0.7946,0.7436,0.7691,0.8182,0.6305,0.7243
5.5,0.0412,0.6432,0.5959,0.6311,0.7689,0.7,0.7829,0.7257,0.7543,0.8219,0.6065,0.7142
5.6,0.0335,0.6281,0.5757,0.6111,0.7612,0.6861,0.7706,0.7073,0.7389,0.8249,0.5837,0.7043
5.7,0.0266,0.6139,0.5562,0.5922,0.7523,0.6722,0.7578,0.6886,0.7232,0.8272,0.5625,0.6949
5.8,0.0207,0.6007,0.5378,0.5752,0.7427,0.6589,0.7442,0.6697,0.7069,0.8282,0.5433,0.6857
5.9,0.0156,0.5887,0.5206,0.5607,0.7326,0.6466,0.7296,0.6507,0.6902,0.8275,0.526,0.6768
6,0.0113,0.5781,0.5052,0.5489,0.7227,0.6358,0.7145,0.6318,0.6732,0.8251,0.511,0.668
6.1,0.0084,0.5693,0.4917,0.5399,0.7136,0.6268,0.6993,0.6134,0.6564,0.8211,0.4989,0.66
6.2,0.0079,0.5631,0.4807,0.5342,0.706,0.6201,0.6848,0.5957,0.6403,0.8159,0.49,0.6529
6.3,0.0103,0.56,0.4722,0.5322,0.7009,0.6166,0.6716,0.5795,0.6256,0.8098,0.4846,0.6472
6.4,0.0161,0.5606,0.4669,0.5344,0.6989,0.6167,0.6604,0.5656,0.613,0.8034,0.483,0.6432
6.5,0.025,0.5655,0.4651,0.5412,0.7003,0.6208,0.652,0.5547,0.6033,0.7971,0.4852,0.6412
6.6,0.0358,0.5751,0.4668,0.5526,0.7055,0.629,0.6467,0.5468,0.5968,0.7918,0.4917,0.6418
6.7,0.0476,0.589,0.4717,0.5679,0.7141,0.641,0.6445,0.5419,0.5932,0.7879,0.5025,0.6452
6.8,0.0592,0.6068,0.4791,0.5862,0.7258,0.656,0.6449,0.5397,0.5923,0.7859,0.5173,0.6516
6.9,0.0693,0.6273,0.4883,0.6067,0.7402,0.6734,0.6476,0.5403,0.5939,0.7856,0.5353,0.6604
7,0.0764,0.6499,0.499,0.6281,0.7569,0.6925,0.652,0.5439,0.5979,0.7869,0.5561,0.6715
7.1,0.0791,0.6734,0.511,0.6494,0.7758,0.7126,0.6579,0.5507,0.6043,0.7902,0.5794,0.6848
7.2,0.0765,0.6972,0.5242,0.6692,0.7962,0.7327,0.6653,0.5605,0.6129,0.7955,0.6047,0.7001
7.3,0.0682,0.7199,0.538,0.6863,0.8174,0.7519,0.6741,0.5733,0.6237,0.8028,0.6317,0.7173
7.4,0.054,0.7408,0.5524,0.7003,0.8384,0.7694,0.6841,0.5887,0.6364,0.8118,0.6602,0.736
7.5,0.034,0.7596,0.5677,0.7112,0.8589,0.785,0.6951,0.6066,0.6508,0.8226,0.6902,0.7564
7.6,0.0089,0.7763,0.5844,0.7196,0.8786,0.7991,0.7064,0.627,0.6667,0.8347,0.7222,0.7784
7.7,-0.02,0.7909,0.6026,0.7257,0.8971,0.8114,0.7177,0.6496,0.6836,0.8479,0.7558,0.8019
7.8,-0.0512,0.803,0.622,0.7293,0.9136,0.8215,0.7286,0.6739,0.7012,0.8615,0.7899,0.8257
7.9,-0.0837,0.8122,0.6417,0.7302,0.9271,0.8287,0.7388,0.699,0.7189,0.8742,0.8227,0.8485
8,-0.1177,0.8177,0.6608,0.7284,0.9367,0.8326,0.7475,0.7242,0.7359,0.8849,0.8522,0.8685
8.1,-0.1533,0.8196,0.6786,0.724,0.942,0.833,0.7542,0.7486,0.7514,0.892,0.8766,0.8843
8.2,-0.1905,0.8177,0.6949,0.7172,0.943,0.8301,0.7584,0.7712,0.7648,0.8948,0.8946,0.8947
8.3,-0.2286,0.8122,0.7091,0.7082,0.94,0.8241,0.76,0.7911,0.7756,0.8927,0.9055,0.8991
8.4,-0.2671,0.8035,0.7206,0.6971,0.9332,0.8151,0.7593,0.8076,0.7834,0.8855,0.9087,0.8971
8.5,-0.3052,0.7922,0.7286,0.6842,0.9228,0.8035,0.756,0.8203,0.7881,0.8739,0.9048,0.8893
8.6,-0.343,0.7792,0.7331,0.6698,0.9091,0.7895,0.7501,0.829,0.7895,0.8587,0.8944,0.8765
8.7,-0.3804,0.765,0.7343,0.6539,0.8927,0.7733,0.7418,0.8336,0.7877,0.8406,0.8788,0.8597
8.8,-0.417,0.7498,0.7326,0.6369,0.8737,0.7553,0.7315,0.8342,0.7828,0.8205,0.8589,0.8397
8.9,-0.4518,0.7339,0.7282,0.6192,0.8523,0.7357,0.72,0.8305,0.7753,0.7989,0.8353,0.8171
9,-0.4836,0.7179,0.7214,0.6018,0.8285,0.7151,0.7077,0.823,0.7654,0.7758,0.8085,0.7922
9.1,-0.5113,0.7026,0.7124,0.5857,0.8029,0.6943,0.6953,0.812,0.7537,0.7518,0.7791,0.7655
9.2,-0.5345,0.6889,0.7017,0.5719,0.7767,0.6743,0.683,0.7983,0.7406,0.7276,0.7486,0.7381
9.3,-0.5529,0.6771,0.6898,0.5606,0.7507,0.6557,0.6712,0.7825,0.7269,0.7042,0.7184,0.7113
9.4,-0.5662,0.6673,0.6775,0.5516,0.7258,0.6387,0.6603,0.7656,0.713,0.6824,0.6896,0.686
9.5,-0.5741,0.6596,0.665,0.5446,0.7024,0.6235,0.6509,0.7483,0.6996,0.6624,0.6626,0.6625
9.6,-0.5764,0.654,0.6525,0.5398,0.6806,0.6102,0.6433,0.7313,0.6873,0.6443,0.6374,0.6408
9.7,-0.5735,0.6505,0.6402,0.5376,0.6609,0.5992,0.6379,0.7152,0.6766,0.628,0.6142,0.6211
9.8,-0.5654,0.649,0.6282,0.5383,0.6437,0.591,0.6349,0.7001,0.6675,0.6137,0.5934,0.6036
9.9,-0.5524,0.6488,0.6168,0.5418,0.6292,0.5855,0.6339,0.6859,0.6599,0.6017,0.5758,0.5887
10,-0.5344,0.6493,0.6062,0.5473,0.6173,0.5823,0.6344,0.6725,0.6534,0.5917,0.5615,0.5766
10.1,-0.5115,0.6496,0.5963,0.5538,0.6078,0.5808,0.6355,0.6595,0.6475,0.5834,0.5505,0.5669
10.2,-0.4843,0.6493,0.5872,0.56,0.6002,0.5801,0.6369,0.6466,0.6417,0.5762,0.5425,0.5593
10.3,-0.4534,0.6479,0.579,0.5653,0.5943,0.5798,0.6382,0.6339,0.636,0.57,0.5376,0.5538
10.4,-0.4194,0.6458,0.5722,0.5694,0.59,0.5797,0.6393,0.6217,0.6305,0.5651,0.536,0.5506
10.5,-0.3822,0.6431,0.5673,0.5724,0.5869,0.5796,0.6405,0.6103,0.6254,0.5617,0.5379,0.5498
10.6,-0.3417,0.6402,0.5647,0.5744,0.5847,0.5795,0.6417,0.5999,0.6208,0.5594,0.5426,0.551
10.7,-0.2977,0.6371,0.5643,0.5755,0.5829,0.5792,0.6429,0.5906,0.6167,0.558,0.5495,0.5537
10.8,-0.2504,0.6337,0.5659,0.5758,0.5813,0.5785,0.6443,0.5824,0.6133,0.5574,0.5582,0.5578
10.9,-0.2007,0.6302,0.569,0.5753,0.5799,0.5776,0.6456,0.5755,0.6106,0.5577,0.5687,0.5632
11,-0.1495,0.6266,0.5734,0.5742,0.5787,0.5765,0.6468,0.5699,0.6083,0.559,0.5808,0.5699
11.1,-0.0977,0.6232,0.5787,0.5723,0.5776,0.575,0.6476,0.5656,0.6066,0.561,0.5938,0.5774
11.2,-0.0458,0.6197,0.5844,0.5696,0.5762,0.5729,0.6479,0.5624,0.6052,0.5633,0.6068,0.5851
11.3,0.0052,0.6161,0.5903,0.5664,0.5741,0.5703,0.6479,0.5602,0.604,0.5658,0.6188,0.5923
11.4,0.0548,0.6128,0.5963,0.563,0.5719,0.5674,0.6477,0.5589,0.6033,0.5687,0.6297,0.5992
11.5,0.1022,0.6104,0.6029,0.5602,0.5699,0.565,0.6479,0.5587,0.6033,0.5728,0.64,0.6064
11.6,0.1471,0.6095,0.6101,0.5586,0.5687,0.5637,0.649,0.5599,0.6044,0.5786,0.6505,0.6145
11.7,0.1894,0.6105,0.6177,0.5592,0.5685,0.5638,0.6513,0.5623,0.6068,0.5862,0.6615,0.6238
11.8,0.2291,0.6137,0.6254,0.5624,0.5694,0.5659,0.655,0.5661,0.6105,0.5955,0.673,0.6342
