Time,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.8,0.0002,0.1758,0.0386,0.2245,0.3624,0.2935,0.3581,0.2302,0.2941,0.2787,0.1643,0.2215
26.9,-0.0053,0.1815,0.0115,0.2061,0.3606,0.2833,0.334,0.1947,0.2643,0.2598,0.1241,0.192
27,-0.0086,0.1891,-0.0106,0.1907,0.3594,0.275,0.314,0.1628,0.2384,0.2479,0.0898,0.1689
27.1,-0.0107,0.1975,-0.0278,0.1777,0.3585,0.2681,0.2976,0.135,0.2163,0.2426,0.0616,0.1521
27.2,-0.0123,0.2062,-0.0398,0.1665,0.3578,0.2622,0.2849,0.112,0.1984,0.2434,0.0395,0.1414
27.3,-0.0139,0.2151,-0.0464,0.1571,0.3572,0.2572,0.2758,0.0943,0.185,0.2494,0.0232,0.1363
27.4,-0.0159,0.2241,-0.048,0.1492,0.3565,0.2529,0.2699,0.0822,0.1761,0.2591,0.0128,0.1359
27.5,-0.0186,0.2327,-0.0452,0.1427,0.3553,0.249,0.2669,0.0753,0.1711,0.2709,0.0077,0.1393
27.6,-0.0225,0.2411,-0.0389,0.1373,0.3532,0.2453,0.2667,0.0729,0.1698,0.2831,0.0072,0.1451
27.7,-0.0276,0.2494,-0.0298,0.133,0.3496,0.2413,0.2703,0.0748,0.1726,0.2943,0.0104,0.1524
27.8,-0.0342,0.2578,-0.0179,0.1293,0.3448,0.2371,0.2785,0.081,0.1797,0.3038,0.0169,0.1603
27.9,-0.0429,0.266,-0.0033,0.1266,0.3393,0.233,0.2913,0.0919,0.1916,0.3108,0.0265,0.1686
28,-0.0544,0.2742,0.0143,0.1249,0.3342,0.2295,0.3082,0.1079,0.2081,0.3146,0.0387,0.1766
28.1,-0.0695,0.2827,0.035,0.1246,0.3305,0.2276,0.3285,0.1287,0.2286,0.3146,0.0533,0.184
28.2,-0.088,0.2919,0.0591,0.1264,0.3292,0.2278,0.3516,0.1534,0.2525,0.3113,0.0701,0.1907
28.3,-0.1093,0.3015,0.0871,0.1303,0.3306,0.2304,0.3777,0.1808,0.2792,0.3056,0.0888,0.1972
28.4,-0.1323,0.311,0.119,0.1361,0.3341,0.2351,0.4067,0.2096,0.3081,0.2984,0.109,0.2037
28.5,-0.1553,0.3199,0.1545,0.1435,0.3391,0.2413,0.4379,0.2388,0.3383,0.2905,0.1303,0.2104
28.6,-0.1772,0.3275,0.1932,0.1519,0.3449,0.2484,0.4707,0.2677,0.3692,0.2825,0.1526,0.2175
28.7,-0.1968,0.3339,0.2347,0.1608,0.3509,0.2558,0.5041,0.296,0.4,0.2748,0.176,0.2254
28.8,-0.2135,0.3392,0.279,0.1699,0.3565,0.2632,0.5378,0.3234,0.4306,0.2679,0.2,0.2339
28.9,-0.2276,0.3437,0.3263,0.1791,0.3618,0.2704,0.5713,0.3499,0.4606,0.2621,0.2238,0.2429
29,-0.2388,0.3473,0.3761,0.1875,0.3666,0.277,0.6042,0.3753,0.4898,0.2572,0.2469,0.252
29.1,-0.2453,0.3499,0.4273,0.1942,0.3712,0.2827,0.6356,0.3994,0.5175,0.2531,0.2692,0.2611
29.2,-0.2443,0.3515,0.4783,0.1989,0.3755,0.2872,0.6642,0.4217,0.5429,0.2495,0.2907,0.2701
29.3,-0.2336,0.3523,0.5275,0.2019,0.3796,0.2908,0.6891,0.4417,0.5654,0.2467,0.3114,0.279
29.4,-0.2124,0.3528,0.5744,0.2042,0.3833,0.2938,0.7099,0.4594,0.5847,0.245,0.3307,0.2879
29.5,-0.1818,0.3535,0.6189,0.207,0.3866,0.2968,0.7268,0.4755,0.6011,0.2448,0.3488,0.2968
29.6,-0.1442,0.3544,0.6614,0.2114,0.3902,0.3008,0.7405,0.4907,0.6156,0.2465,0.3661,0.3063
29.7,-0.1028,0.3558,0.7021,0.2188,0.3951,0.3069,0.7518,0.5067,0.6292,0.2504,0.3832,0.3168
29.8,-0.0588,0.3588,0.7412,0.231,0.4023,0.3166,0.7612,0.5254,0.6433,0.2565,0.4005,0.3285
29.9,-0.0118,0.3641,0.7785,0.2494,0.4123,0.3309,0.7696,0.5482,0.6589,0.2653,0.4182,0.3417
