Time,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,-0.1237,0.5719,0.636,0.5444,0.6334,0.5889,0.6416,0.6351,0.6384,0.6441,0.637,0.6405
4.6,-0.1254,0.5725,0.6334,0.547,0.6328,0.5899,0.6385,0.6315,0.635,0.6399,0.6335,0.6367
4.7,-0.1255,0.573,0.6302,0.5503,0.6314,0.5909,0.6356,0.6287,0.6322,0.6362,0.6304,0.6333
4.8,-0.124,0.5733,0.6265,0.5541,0.6293,0.5917,0.633,0.6266,0.6298,0.6328,0.6276,0.6302
4.9,-0.1209,0.5734,0.6224,0.5582,0.6263,0.5922,0.6303,0.6253,0.6278,0.6295,0.625,0.6273
5,-0.1167,0.5734,0.6181,0.5623,0.6225,0.5924,0.6275,0.6245,0.626,0.6263,0.6225,0.6244
5.1,-0.1115,0.5733,0.6138,0.5662,0.618,0.5921,0.6246,0.6242,0.6244,0.6233,0.6202,0.6217
5.2,-0.1053,0.5731,0.6094,0.5697,0.6131,0.5914,0.6217,0.6244,0.6231,0.6206,0.6182,0.6194
5.3,-0.0979,0.5726,0.6052,0.5728,0.6081,0.5905,0.619,0.625,0.622,0.6184,0.6168,0.6176
5.4,-0.0895,0.5718,0.6013,0.5755,0.6031,0.5893,0.6164,0.626,0.6212,0.6168,0.6159,0.6163
5.5,-0.0804,0.5708,0.5975,0.5774,0.598,0.5877,0.6139,0.6273,0.6206,0.6155,0.6152,0.6153
5.6,-0.0709,0.5694,0.5937,0.5783,0.5926,0.5854,0.6112,0.6284,0.6198,0.6142,0.6142,0.6142
5.7,-0.0614,0.5672,0.5894,0.5781,0.5865,0.5823,0.6081,0.629,0.6185,0.6127,0.6124,0.6126
5.8,-0.0519,0.564,0.5846,0.5768,0.5798,0.5783,0.6044,0.6291,0.6167,0.611,0.6097,0.6103
5.9,-0.0429,0.5599,0.5793,0.5747,0.5728,0.5738,0.6003,0.6285,0.6144,0.6091,0.6061,0.6076
6,-0.0345,0.5556,0.5734,0.5723,0.5664,0.5694,0.5961,0.6274,0.6117,0.6072,0.6017,0.6045
6.1,-0.0268,0.552,0.5669,0.5702,0.5612,0.5657,0.5921,0.626,0.609,0.6056,0.597,0.6013
6.2,-0.0199,0.5495,0.5602,0.569,0.5573,0.5632,0.5885,0.6243,0.6064,0.6044,0.5923,0.5983
6.3,-0.0136,0.5484,0.5534,0.5691,0.5548,0.562,0.5856,0.6226,0.6041,0.6037,0.5877,0.5957
6.4,-0.008,0.5485,0.5463,0.5704,0.5535,0.5619,0.5833,0.6208,0.602,0.6035,0.5832,0.5934
6.5,-0.0035,0.5495,0.5387,0.5727,0.553,0.5629,0.5814,0.6186,0.6,0.6037,0.5786,0.5911
6.6,-0.0007,0.5511,0.5307,0.5758,0.5533,0.5646,0.58,0.6158,0.5979,0.6039,0.5737,0.5888
6.7,0.0002,0.5531,0.5227,0.5795,0.5542,0.5668,0.5791,0.6126,0.5959,0.6041,0.5687,0.5864
6.8,-0.0011,0.5553,0.5151,0.5836,0.5556,0.5696,0.5788,0.6092,0.594,0.6042,0.5639,0.5841
6.9,-0.0041,0.5578,0.5085,0.588,0.5574,0.5727,0.579,0.6058,0.5924,0.6044,0.5596,0.582
7,-0.0082,0.5605,0.503,0.5926,0.5594,0.576,0.5796,0.6025,0.591,0.6046,0.5557,0.5801
7.1,-0.0131,0.5632,0.4988,0.5975,0.5613,0.5794,0.5802,0.5991,0.5896,0.6044,0.5522,0.5783
7.2,-0.0192,0.5655,0.4956,0.6023,0.5627,0.5825,0.5806,0.5955,0.588,0.6036,0.5488,0.5762
7.3,-0.0268,0.5669,0.4932,0.6066,0.5633,0.585,0.5804,0.5919,0.5861,0.6021,0.5451,0.5736
7.4,-0.0355,0.5674,0.4918,0.61,0.5631,0.5866,0.5797,0.5882,0.5839,0.5999,0.5412,0.5705
7.5,-0.0451,0.5671,0.4911,0.6126,0.5622,0.5874,0.5788,0.5847,0.5817,0.5972,0.5372,0.5672
7.6,-0.055,0.5665,0.4912,0.6147,0.5611,0.5879,0.5778,0.5816,0.5797,0.5943,0.5335,0.5639
7.7,-0.0646,0.566,0.4922,0.6165,0.5602,0.5883,0.5773,0.5791,0.5782,0.5917,0.5304,0.5611
7.8,-0.0733,0.566,0.4942,0.6182,0.5596,0.5889,0.5776,0.5773,0.5775,0.59,0.5282,0.5591
7.9,-0.0807,0.5663,0.4977,0.62,0.5598,0.5899,0.5789,0.5766,0.5778,0.5894,0.5272,0.5583
8,-0.0868,0.567,0.5029,0.6217,0.5607,0.5912,0.5814,0.5772,0.5793,0.5903,0.5277,0.559
8.1,-0.0917,0.5684,0.5097,0.6235,0.5627,0.5931,0.5848,0.5788,0.5818,0.5925,0.5296,0.561
8.2,-0.0959,0.5708,0.5179,0.6256,0.5659,0.5957,0.5889,0.5815,0.5852,0.5955,0.5325,0.564
8.3,-0.0999,0.5743,0.5269,0.6282,0.5706,0.5994,0.5934,0.5849,0.5891,0.599,0.5359,0.5675
8.4,-0.1036,0.5789,0.5365,0.6313,0.5769,0.6041,0.5982,0.5889,0.5935,0.6028,0.5397,0.5712
8.5,-0.1071,0.5846,0.546,0.635,0.5846,0.6098,0.6031,0.5932,0.5981,0.6068,0.5435,0.5752
8.6,-0.1104,0.591,0.5553,0.6392,0.5933,0.6163,0.608,0.5977,0.6029,0.611,0.5473,0.5791
8.7,-0.1132,0.598,0.564,0.6437,0.6024,0.623,0.6127,0.6024,0.6076,0.6153,0.5508,0.583
8.8,-0.1154,0.605,0.5718,0.6481,0.6112,0.6297,0.6172,0.607,0.6121,0.6194,0.5537,0.5866
8.9,-0.1165,0.6118,0.5785,0.652,0.6194,0.6357,0.6213,0.6116,0.6165,0.6233,0.5561,0.5897
9,-0.1161,0.6178,0.5843,0.6555,0.6267,0.6411,0.6249,0.6163,0.6206,0.6268,0.5581,0.5924
