Time,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.6,-0.4042,0.5293,0.3764,0.5115,0.5482,0.5299,0.3652,0.4212,0.3932,0.5915,0.5922,0.5919
24.7,-0.4073,0.5356,0.3929,0.5083,0.5418,0.525,0.348,0.4302,0.3891,0.5923,0.5705,0.5814
24.8,-0.3985,0.5422,0.4106,0.507,0.538,0.5225,0.3341,0.4391,0.3866,0.5933,0.5502,0.5718
24.9,-0.378,0.5485,0.4293,0.5063,0.5362,0.5213,0.3237,0.4483,0.386,0.594,0.5322,0.5631
25,-0.3461,0.554,0.4479,0.5058,0.5362,0.521,0.3172,0.4577,0.3875,0.5931,0.5166,0.5548
25.1,-0.3032,0.5589,0.4651,0.5063,0.538,0.5221,0.3143,0.467,0.3907,0.5899,0.5031,0.5465
25.2,-0.2508,0.5637,0.48,0.5085,0.5414,0.5249,0.3146,0.4752,0.3949,0.5839,0.4913,0.5376
25.3,-0.1903,0.5681,0.4919,0.5123,0.5458,0.5291,0.3174,0.4818,0.3996,0.5749,0.4807,0.5278
25.4,-0.124,0.5718,0.5012,0.5172,0.5508,0.534,0.3218,0.4865,0.4041,0.5623,0.4709,0.5166
25.5,-0.055,0.5745,0.5078,0.5224,0.5558,0.5391,0.3265,0.4886,0.4075,0.5455,0.461,0.5033
25.6,0.0128,0.576,0.5111,0.5274,0.5606,0.544,0.3303,0.4874,0.4088,0.524,0.4501,0.4871
25.7,0.075,0.5767,0.5099,0.5316,0.5645,0.548,0.3325,0.4822,0.4074,0.4986,0.4368,0.4677
25.8,0.1282,0.5766,0.5034,0.5345,0.567,0.5507,0.3325,0.4728,0.4027,0.4705,0.4204,0.4455
25.9,0.1693,0.5757,0.4915,0.5351,0.5674,0.5512,0.3299,0.4591,0.3945,0.441,0.4003,0.4207
26,0.1968,0.5735,0.4746,0.5329,0.5653,0.5491,0.3243,0.4409,0.3826,0.4108,0.3764,0.3936
26.1,0.2097,0.5704,0.4531,0.5276,0.5605,0.544,0.3157,0.4185,0.3671,0.3803,0.3487,0.3645
26.2,0.208,0.5673,0.4275,0.519,0.553,0.536,0.3041,0.3919,0.348,0.3501,0.3174,0.3337
26.3,0.1935,0.5648,0.3983,0.5069,0.5432,0.525,0.2898,0.362,0.3259,0.3201,0.2833,0.3017
26.4,0.1695,0.5636,0.3664,0.4917,0.532,0.5119,0.2731,0.3297,0.3014,0.291,0.2479,0.2695
26.5,0.1396,0.5636,0.3326,0.4736,0.5204,0.497,0.2544,0.2957,0.2751,0.2638,0.2127,0.2382
26.6,0.107,0.5646,0.2979,0.4526,0.5083,0.4805,0.2346,0.2607,0.2476,0.2394,0.1789,0.2091
26.7,0.0748,0.5657,0.2634,0.4283,0.495,0.4616,0.2138,0.2254,0.2196,0.2185,0.1477,0.1831
26.8,0.0463,0.5661,0.2301,0.4006,0.4794,0.44,0.1924,0.1909,0.1916,0.2012,0.1203,0.1607
26.9,0.0238,0.5652,0.1997,0.3703,0.4616,0.416,0.1703,0.1579,0.1641,0.1871,0.0974,0.1423
27,0.0093,0.5633,0.1738,0.3388,0.4428,0.3908,0.1485,0.1276,0.1381,0.1765,0.0794,0.128
27.1,0.0051,0.5605,0.1538,0.3078,0.4242,0.366,0.129,0.1013,0.1151,0.1701,0.0666,0.1184
27.2,0.0135,0.5575,0.1403,0.2794,0.4073,0.3434,0.1144,0.0798,0.0971,0.1684,0.0594,0.1139
27.3,0.0359,0.5547,0.1341,0.256,0.3939,0.3249,0.1074,0.0639,0.0857,0.1717,0.0578,0.1147
27.4,0.071,0.5527,0.1359,0.2394,0.3855,0.3124,0.1101,0.0542,0.0822,0.1797,0.0622,0.1209
27.5,0.1148,0.5521,0.1462,0.2308,0.3832,0.307,0.1231,0.0511,0.0871,0.1926,0.0725,0.1326
27.6,0.163,0.5529,0.1649,0.2302,0.3874,0.3088,0.1458,0.0541,0.1,0.2108,0.0889,0.1499
27.7,0.2124,0.5549,0.1904,0.2372,0.3976,0.3174,0.1767,0.0629,0.1198,0.2346,0.1112,0.1729
27.8,0.2596,0.5581,0.2209,0.2516,0.4129,0.3322,0.2144,0.0769,0.1456,0.2636,0.1392,0.2014
27.9,0.3016,0.5623,0.2548,0.2724,0.4317,0.352,0.2574,0.096,0.1767,0.296,0.1723,0.2342
28,0.3359,0.5671,0.2911,0.2977,0.4521,0.3749,0.304,0.1201,0.212,0.3301,0.2097,0.2699
28.1,0.3615,0.5721,0.3292,0.3254,0.4729,0.3991,0.3518,0.1485,0.2502,0.3646,0.2505,0.3075
28.2,0.3781,0.5769,0.3684,0.3541,0.4933,0.4237,0.3989,0.1803,0.2896,0.3988,0.2936,0.3462
28.3,0.386,0.5815,0.4073,0.3834,0.5127,0.448,0.4436,0.2135,0.3285,0.4315,0.3376,0.3845
28.4,0.3868,0.5863,0.4443,0.4126,0.5308,0.4717,0.4849,0.2464,0.3657,0.4608,0.3812,0.421
28.5,0.3807,0.5912,0.4785,0.441,0.5473,0.4942,0.5223,0.2778,0.4,0.4852,0.4238,0.4545
28.6,0.3663,0.596,0.5095,0.467,0.5621,0.5146,0.5551,0.3066,0.4309,0.5038,0.4643,0.484
28.7,0.3432,0.6001,0.5366,0.4895,0.5752,0.5323,0.583,0.3326,0.4578,0.5163,0.5013,0.5088
28.8,0.3117,0.6029,0.5595,0.5076,0.5873,0.5474,0.6052,0.3557,0.4804,0.5228,0.5339,0.5283
28.9,0.2728,0.6042,0.5778,0.5212,0.5985,0.5599,0.6218,0.3758,0.4988,0.5239,0.5616,0.5427
29,0.2282,0.6039,0.5915,0.5303,0.6093,0.5698,0.6334,0.3932,0.5133,0.5206,0.5841,0.5523
29.1,0.1794,0.6021,0.601,0.5349,0.6195,0.5772,0.6406,0.4083,0.5244,0.5143,0.6016,0.5579
29.2,0.1279,0.5989,0.6071,0.5352,0.6291,0.5821,0.644,0.4217,0.5328,0.5063,0.614,0.5601
29.3,0.0752,0.5947,0.6105,0.5311,0.6381,0.5846,0.6437,0.4341,0.5389,0.4974,0.621,0.5592
29.4,0.0226,0.5903,0.6116,0.5228,0.647,0.5849,0.6402,0.4459,0.543,0.488,0.6227,0.5554
29.5,-0.0294,0.5871,0.6109,0.5106,0.6565,0.5836,0.6343,0.4574,0.5458,0.4791,0.6193,0.5492
29.6,-0.0802,0.586,0.6091,0.4947,0.667,0.5809,0.6268,0.4692,0.548,0.4713,0.6113,0.5413
29.7,-0.1281,0.587,0.6068,0.4752,0.6786,0.5769,0.6189,0.482,0.5504,0.4659,0.5997,0.5328
29.8,-0.1715,0.5901,0.6048,0.4524,0.6913,0.5719,0.6117,0.4962,0.554,0.4637,0.5852,0.5244
29.9,-0.2086,0.5951,0.6038,0.4272,0.705,0.5661,0.6065,0.5124,0.5595,0.4653,0.5685,0.5169
