Time,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.6,0.0481,0.5452,0.5234,0.4941,0.4973,0.4957,0.4488,0.4937,0.4712,0.6071,0.498,0.5525
26.7,0.0449,0.5421,0.5308,0.4629,0.4859,0.4744,0.4309,0.4816,0.4562,0.6395,0.5024,0.571
26.8,0.0376,0.5346,0.5325,0.4273,0.4726,0.4499,0.4109,0.4681,0.4395,0.6677,0.5056,0.5866
26.9,0.0268,0.5236,0.5296,0.3895,0.4577,0.4236,0.3905,0.4544,0.4224,0.6908,0.508,0.5994
27,0.013,0.51,0.5231,0.3513,0.4417,0.3965,0.3708,0.441,0.4059,0.7087,0.5099,0.6093
27.1,-0.0039,0.4947,0.5134,0.3142,0.4248,0.3695,0.352,0.4282,0.3901,0.7213,0.5111,0.6162
27.2,-0.024,0.4783,0.5009,0.2787,0.4075,0.3431,0.3332,0.4163,0.3748,0.7281,0.511,0.6195
27.3,-0.0466,0.4613,0.4864,0.2452,0.3905,0.3178,0.3143,0.4058,0.36,0.7284,0.5086,0.6185
27.4,-0.0706,0.445,0.4709,0.2144,0.3748,0.2946,0.2956,0.3971,0.3463,0.7218,0.5031,0.6125
27.5,-0.0944,0.4308,0.4554,0.1872,0.3612,0.2742,0.2781,0.39,0.334,0.7085,0.4941,0.6013
27.6,-0.117,0.4194,0.4407,0.1646,0.3504,0.2575,0.2625,0.3844,0.3234,0.6886,0.4816,0.5851
27.7,-0.1371,0.4114,0.427,0.1468,0.3425,0.2447,0.2489,0.38,0.3144,0.6627,0.4661,0.5644
27.8,-0.154,0.4068,0.4142,0.1342,0.3371,0.2356,0.237,0.3769,0.307,0.6312,0.4489,0.54
27.9,-0.1676,0.4056,0.4024,0.127,0.334,0.2305,0.2271,0.3756,0.3013,0.595,0.4308,0.5129
28,-0.1783,0.4083,0.3924,0.1257,0.3331,0.2294,0.2199,0.3762,0.298,0.5555,0.4121,0.4838
28.1,-0.1867,0.4145,0.3843,0.1302,0.3342,0.2322,0.2163,0.3785,0.2974,0.5141,0.3932,0.4536
28.2,-0.1926,0.4241,0.3779,0.1401,0.3364,0.2383,0.2168,0.3821,0.2995,0.4722,0.3744,0.4233
28.3,-0.1954,0.4369,0.3732,0.1553,0.3391,0.2472,0.2212,0.3869,0.3041,0.4313,0.3568,0.3941
28.4,-0.1943,0.4527,0.3704,0.1761,0.3414,0.2588,0.2296,0.3933,0.3115,0.3933,0.3418,0.3675
28.5,-0.1894,0.4711,0.3701,0.2026,0.3426,0.2726,0.2422,0.4012,0.3217,0.3598,0.3302,0.345
28.6,-0.1808,0.4909,0.3731,0.234,0.3417,0.2879,0.259,0.4103,0.3346,0.3316,0.3222,0.3269
28.7,-0.169,0.5106,0.3802,0.2694,0.3381,0.3038,0.2794,0.4195,0.3495,0.3083,0.3174,0.3129
28.8,-0.1546,0.5293,0.393,0.3075,0.3315,0.3195,0.3028,0.4288,0.3658,0.2896,0.3155,0.3025
28.9,-0.1385,0.5462,0.4133,0.3473,0.3218,0.3346,0.3286,0.4384,0.3835,0.2755,0.3161,0.2958
29,-0.1222,0.5611,0.4419,0.3881,0.3094,0.3487,0.3563,0.4487,0.4025,0.2667,0.3185,0.2926
29.1,-0.1073,0.5737,0.4787,0.4294,0.2952,0.3623,0.3849,0.4591,0.422,0.2628,0.3217,0.2923
29.2,-0.0947,0.5834,0.5223,0.4704,0.2803,0.3753,0.4138,0.4691,0.4415,0.2623,0.325,0.2936
29.3,-0.0846,0.5894,0.5703,0.5093,0.2659,0.3876,0.4413,0.4779,0.4596,0.2631,0.3275,0.2953
29.4,-0.0774,0.5907,0.6197,0.5443,0.2525,0.3984,0.4647,0.4846,0.4747,0.2638,0.3287,0.2962
29.5,-0.073,0.5871,0.6673,0.5738,0.2408,0.4073,0.4819,0.4885,0.4852,0.2633,0.3286,0.2959
29.6,-0.0717,0.579,0.71,0.5973,0.2318,0.4145,0.4913,0.4893,0.4903,0.2607,0.3274,0.294
29.7,-0.074,0.5679,0.7457,0.6142,0.227,0.4206,0.4924,0.4871,0.4898,0.2549,0.3249,0.2899
29.8,-0.0793,0.5549,0.7732,0.6241,0.2277,0.4259,0.4853,0.4822,0.4837,0.2449,0.3211,0.283
29.9,-0.0854,0.5411,0.7932,0.627,0.2339,0.4304,0.4703,0.4758,0.4731,0.2306,0.316,0.2733
