Time,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0052,0.8723,0.609,0.6989,0.8949,0.7969,0.792,0.695,0.7435,0.7632,0.7139,0.7385
0.1,-0.0021,0.8813,0.6108,0.7227,0.9317,0.8272,0.8032,0.6931,0.7482,0.776,0.7261,0.751
0.2,0.0079,0.8913,0.6139,0.749,0.9706,0.8598,0.8137,0.6911,0.7524,0.7894,0.7377,0.7636
0.3,0.0246,0.9011,0.6188,0.7759,1.0097,0.8928,0.8225,0.689,0.7557,0.8029,0.7486,0.7758
0.4,0.0474,0.9094,0.6262,0.8016,1.0474,0.9245,0.8288,0.6866,0.7577,0.8156,0.7588,0.7872
0.5,0.0759,0.9154,0.6364,0.825,1.0814,0.9532,0.8319,0.6833,0.7576,0.8273,0.768,0.7977
0.6,0.1101,0.9181,0.6486,0.8462,1.1093,0.9777,0.8317,0.6783,0.755,0.8379,0.776,0.8069
0.7,0.149,0.917,0.6611,0.8648,1.1288,0.9968,0.8279,0.6711,0.7495,0.847,0.7822,0.8146
0.8,0.191,0.9115,0.6724,0.8808,1.1387,1.0097,0.8204,0.6612,0.7408,0.854,0.7864,0.8202
0.9,0.2347,0.9008,0.6814,0.8935,1.1386,1.0161,0.809,0.6491,0.7291,0.8582,0.7889,0.8236
1,0.2782,0.8842,0.6879,0.9021,1.1283,1.0152,0.7939,0.6361,0.715,0.8592,0.79,0.8246
1.1,0.3191,0.8616,0.692,0.9058,1.1076,1.0067,0.7754,0.6233,0.6993,0.8563,0.7901,0.8232
1.2,0.3549,0.834,0.6934,0.9039,1.0761,0.99,0.7543,0.6116,0.6829,0.8489,0.7895,0.8192
1.3,0.3835,0.8026,0.6928,0.8967,1.0339,0.9653,0.7323,0.6022,0.6672,0.8371,0.7883,0.8127
1.4,0.4037,0.7692,0.6909,0.8849,0.982,0.9334,0.7115,0.5968,0.6542,0.8213,0.7871,0.8042
1.5,0.4151,0.7351,0.6876,0.87,0.9224,0.8962,0.694,0.5964,0.6452,0.8025,0.7866,0.7946
1.6,0.4186,0.7011,0.6825,0.8535,0.8584,0.8559,0.6812,0.6003,0.6407,0.7812,0.7867,0.784
1.7,0.4158,0.6683,0.6749,0.8364,0.7937,0.8151,0.6734,0.6071,0.6402,0.7575,0.7867,0.7721
1.8,0.4086,0.638,0.665,0.8195,0.7329,0.7762,0.6712,0.6158,0.6435,0.7318,0.7862,0.759
1.9,0.3987,0.6116,0.6539,0.8032,0.6799,0.7416,0.675,0.6261,0.6506,0.706,0.7854,0.7457
2,0.3883,0.5898,0.6424,0.7883,0.6365,0.7124,0.6846,0.6379,0.6613,0.6821,0.785,0.7336
2.1,0.3792,0.5726,0.6313,0.7752,0.6019,0.6886,0.6989,0.6504,0.6747,0.6611,0.7857,0.7234
2.2,0.3727,0.5594,0.6204,0.7645,0.5744,0.6695,0.7166,0.6631,0.6899,0.6433,0.7873,0.7153
2.3,0.3696,0.5495,0.6104,0.7561,0.5527,0.6544,0.7361,0.6757,0.7059,0.6283,0.7891,0.7087
2.4,0.3699,0.5428,0.6015,0.7497,0.5364,0.6431,0.7564,0.688,0.7222,0.6157,0.7904,0.703
2.5,0.3732,0.5389,0.5945,0.7452,0.5256,0.6354,0.7769,0.7004,0.7386,0.6056,0.7908,0.6982
2.6,0.3786,0.5377,0.5901,0.7424,0.5205,0.6314,0.7967,0.7128,0.7547,0.5978,0.7901,0.694
2.7,0.3861,0.5387,0.5881,0.7415,0.5209,0.6312,0.8146,0.7253,0.7699,0.5917,0.7881,0.6899
2.8,0.395,0.5419,0.5883,0.7428,0.5266,0.6347,0.8296,0.7379,0.7837,0.5866,0.7845,0.6856
2.9,0.4038,0.5472,0.5906,0.7465,0.5372,0.6418,0.8407,0.7508,0.7958,0.5822,0.7793,0.6807
3,0.4111,0.5549,0.5956,0.7521,0.552,0.6521,0.848,0.764,0.806,0.5783,0.7727,0.6755
3.1,0.4163,0.5648,0.6034,0.7593,0.57,0.6647,0.8516,0.7774,0.8145,0.5754,0.7649,0.6701
3.2,0.4198,0.5766,0.6134,0.7675,0.5894,0.6785,0.8517,0.7902,0.8209,0.5736,0.7554,0.6645
3.3,0.4227,0.5896,0.6247,0.776,0.6086,0.6923,0.8482,0.8012,0.8247,0.5727,0.7441,0.6584
3.4,0.4258,0.6031,0.6364,0.7842,0.6259,0.705,0.841,0.8097,0.8254,0.5723,0.7311,0.6517
3.5,0.4292,0.6162,0.6482,0.7909,0.6396,0.7153,0.8305,0.8151,0.8228,0.572,0.7174,0.6447
3.6,0.4329,0.628,0.6597,0.7953,0.6489,0.7221,0.8171,0.817,0.8171,0.5715,0.7043,0.6379
3.7,0.4368,0.6374,0.67,0.7971,0.6531,0.7251,0.8014,0.815,0.8082,0.571,0.6924,0.6317
3.8,0.4407,0.6439,0.6785,0.7961,0.6524,0.7242,0.7845,0.809,0.7968,0.5708,0.682,0.6264
3.9,0.445,0.6473,0.6844,0.7925,0.6472,0.7199,0.7672,0.7992,0.7832,0.5713,0.6729,0.6221
4,0.4497,0.6476,0.6875,0.7864,0.6381,0.7123,0.7504,0.7862,0.7683,0.5727,0.6652,0.6189
4.1,0.4541,0.6446,0.6876,0.7774,0.6253,0.7014,0.7346,0.7706,0.7526,0.5748,0.659,0.6169
4.2,0.4571,0.638,0.6849,0.7653,0.6091,0.6872,0.7198,0.7536,0.7367,0.5776,0.6549,0.6162
4.3,0.4571,0.628,0.6796,0.7499,0.5902,0.67,0.7063,0.7361,0.7212,0.581,0.6529,0.617
4.4,0.452,0.6155,0.6719,0.7314,0.5693,0.6504,0.694,0.7187,0.7063,0.5852,0.6529,0.6191
4.5,0.4401,0.602,0.6622,0.7101,0.5474,0.6288,0.6831,0.702,0.6925,0.5902,0.6543,0.6222
4.6,0.4208,0.5885,0.6511,0.6867,0.5252,0.606,0.6742,0.6864,0.6803,0.5963,0.6569,0.6266
4.7,0.3942,0.576,0.6393,0.6624,0.5028,0.5826,0.6681,0.6728,0.6704,0.6041,0.6608,0.6325
4.8,0.3609,0.5644,0.6273,0.6379,0.4805,0.5592,0.6651,0.6619,0.6635,0.6138,0.6658,0.6398
4.9,0.3219,0.5532,0.6153,0.6135,0.4585,0.536,0.6645,0.6537,0.6591,0.6249,0.6712,0.648
5,0.2781,0.5418,0.6033,0.5888,0.4367,0.5128,0.6654,0.6472,0.6563,0.6365,0.6765,0.6565
5.1,0.2306,0.5295,0.5916,0.5634,0.4151,0.4893,0.6669,0.6417,0.6543,0.6481,0.6815,0.6648
5.2,0.1812,0.5159,0.5808,0.5368,0.3936,0.4652,0.669,0.6374,0.6532,0.6596,0.6863,0.6729
5.3,0.1325,0.5007,0.5715,0.5093,0.372,0.4406,0.6717,0.6345,0.6531,0.6709,0.6915,0.6812
5.4,0.0861,0.4841,0.5641,0.4819,0.3498,0.4158,0.6748,0.6333,0.6541,0.6818,0.6969,0.6894
5.5,0.0432,0.4666,0.5586,0.4559,0.3272,0.3916,0.6779,0.6336,0.6557,0.692,0.7022,0.6971
5.6,0.0035,0.4489,0.5549,0.4323,0.3055,0.3689,0.6807,0.6348,0.6578,0.7015,0.707,0.7042
5.7,-0.0336,0.4318,0.5527,0.4114,0.2864,0.3489,0.6829,0.6369,0.6599,0.7105,0.7109,0.7107
5.8,-0.0685,0.4162,0.5514,0.3933,0.2713,0.3323,0.6843,0.6398,0.662,0.719,0.7142,0.7166
5.9,-0.1016,0.403,0.5504,0.3781,0.2614,0.3198,0.6848,0.6432,0.664,0.727,0.7168,0.7219
6,-0.1324,0.3927,0.5494,0.3664,0.257,0.3117,0.6845,0.6466,0.6655,0.7338,0.7186,0.7262
6.1,-0.1603,0.386,0.5483,0.3587,0.2578,0.3082,0.6838,0.6494,0.6666,0.7391,0.7194,0.7293
6.2,-0.1841,0.3833,0.5474,0.3555,0.2638,0.3097,0.6833,0.6513,0.6673,0.7431,0.7194,0.7312
6.3,-0.2025,0.3852,0.547,0.3574,0.2748,0.3161,0.6837,0.6524,0.668,0.7458,0.7189,0.7324
6.4,-0.2147,0.3913,0.5472,0.3644,0.2905,0.3274,0.6851,0.6528,0.6689,0.748,0.7181,0.7331
6.5,-0.2199,0.4009,0.5474,0.3758,0.3103,0.3431,0.6875,0.6524,0.6699,0.7498,0.7173,0.7335
6.6,-0.2183,0.4129,0.5471,0.391,0.3337,0.3624,0.6905,0.6509,0.6707,0.7512,0.7163,0.7337
6.7,-0.2108,0.4269,0.5465,0.4089,0.36,0.3844,0.6939,0.6481,0.671,0.7518,0.7148,0.7333
6.8,-0.1987,0.4429,0.5459,0.4282,0.3884,0.4083,0.6975,0.6442,0.6708,0.7508,0.713,0.7319
6.9,-0.1831,0.4609,0.5458,0.448,0.4182,0.4331,0.7011,0.6398,0.6705,0.7479,0.7109,0.7294
7,-0.1645,0.4802,0.5465,0.4677,0.4486,0.4582,0.7045,0.6355,0.67,0.7424,0.7088,0.7256
7.1,-0.1434,0.5,0.5478,0.4867,0.4786,0.4827,0.7068,0.6315,0.6691,0.7339,0.7065,0.7202
7.2,-0.1204,0.5191,0.5492,0.5041,0.5076,0.5059,0.7073,0.6279,0.6676,0.7223,0.7032,0.7128
7.3,-0.0963,0.537,0.5507,0.5194,0.5348,0.5271,0.706,0.6245,0.6653,0.7079,0.6989,0.7034
7.4,-0.0722,0.5532,0.5522,0.5322,0.5596,0.5459,0.703,0.6216,0.6623,0.6914,0.6936,0.6925
7.5,-0.0493,0.5676,0.5542,0.5418,0.5812,0.5615,0.6985,0.6197,0.6591,0.6738,0.6878,0.6808
7.6,-0.0288,0.5794,0.5573,0.5474,0.5991,0.5732,0.6924,0.6188,0.6556,0.6559,0.6816,0.6687
7.7,-0.0112,0.5883,0.5617,0.5485,0.6124,0.5805,0.6845,0.6188,0.6516,0.6385,0.675,0.6568
7.8,0.0037,0.5936,0.567,0.5454,0.6209,0.5831,0.6751,0.6192,0.6472,0.6221,0.6679,0.645
7.9,0.0165,0.5949,0.5726,0.5386,0.6241,0.5813,0.6649,0.62,0.6424,0.607,0.6605,0.6338
8,0.0282,0.5919,0.5777,0.5289,0.6215,0.5752,0.6541,0.6211,0.6376,0.5935,0.653,0.6232
8.1,0.0395,0.5843,0.5816,0.5165,0.6127,0.5646,0.6429,0.622,0.6324,0.5816,0.6449,0.6133
8.2,0.0505,0.5721,0.5842,0.5014,0.5973,0.5493,0.6305,0.6216,0.6261,0.5713,0.6358,0.6036
8.3,0.0602,0.5557,0.5853,0.483,0.5756,0.5293,0.6169,0.6185,0.6177,0.5624,0.6254,0.5939
8.4,0.0673,0.5361,0.5847,0.4617,0.5486,0.5052,0.6026,0.6126,0.6076,0.5547,0.614,0.5843
8.5,0.0712,0.5148,0.5826,0.4381,0.5188,0.4785,0.589,0.6045,0.5967,0.5482,0.6018,0.575
8.6,0.0718,0.4932,0.5795,0.4132,0.4884,0.4508,0.5769,0.5957,0.5863,0.5428,0.5896,0.5662
8.7,0.0692,0.4728,0.5763,0.3882,0.4594,0.4238,0.5668,0.5874,0.5771,0.5387,0.5777,0.5582
8.8,0.0634,0.4544,0.5736,0.3646,0.4333,0.3989,0.5591,0.5804,0.5697,0.5363,0.5666,0.5514
8.9,0.0546,0.4384,0.5713,0.343,0.411,0.377,0.5542,0.5746,0.5644,0.5359,0.5566,0.5462
9,0.0431,0.4248,0.5691,0.3236,0.3931,0.3583,0.5525,0.5699,0.5612,0.5374,0.5483,0.5429
9.1,0.0307,0.4132,0.5666,0.3059,0.3794,0.3426,0.5541,0.566,0.56,0.5402,0.542,0.5411
9.2,0.0196,0.4035,0.5639,0.2901,0.3698,0.3299,0.5589,0.5624,0.5607,0.5436,0.5371,0.5404
9.3,0.012,0.3952,0.5614,0.2768,0.3641,0.3205,0.5666,0.559,0.5628,0.5473,0.5332,0.5402
9.4,0.009,0.3882,0.5594,0.2668,0.3623,0.3145,0.5766,0.5556,0.5661,0.5513,0.5298,0.5405
9.5,0.0108,0.3826,0.5582,0.2608,0.3641,0.3125,0.5885,0.5525,0.5705,0.5558,0.5271,0.5415
9.6,0.0165,0.3785,0.5572,0.2594,0.3696,0.3145,0.6024,0.5497,0.576,0.5612,0.5255,0.5434
9.7,0.0246,0.3756,0.5561,0.2624,0.3786,0.3205,0.6178,0.5469,0.5823,0.5677,0.5252,0.5465
9.8,0.0338,0.3734,0.5543,0.2692,0.3907,0.3299,0.6341,0.5441,0.5891,0.5752,0.5264,0.5508
9.9,0.0436,0.3716,0.5522,0.2795,0.4048,0.3421,0.6507,0.5414,0.5961,0.5838,0.529,0.5564
10,0.0541,0.3703,0.5501,0.2929,0.42,0.3564,0.6667,0.5388,0.6028,0.593,0.5332,0.5631
10.1,0.0652,0.3699,0.5487,0.309,0.4351,0.3721,0.6815,0.5363,0.6089,0.6022,0.539,0.5706
10.2,0.0771,0.3708,0.5484,0.3274,0.4495,0.3885,0.6947,0.5339,0.6143,0.6113,0.5466,0.579
10.3,0.0896,0.3729,0.5491,0.3476,0.4626,0.4051,0.7062,0.5318,0.619,0.6205,0.5563,0.5884
10.4,0.1026,0.3758,0.5508,0.369,0.4741,0.4215,0.7154,0.5297,0.6226,0.63,0.5678,0.5989
10.5,0.1161,0.3788,0.5536,0.3907,0.4838,0.4373,0.722,0.5276,0.6248,0.64,0.5809,0.6104
10.6,0.13,0.3817,0.5574,0.4119,0.4918,0.4518,0.7259,0.5256,0.6257,0.6504,0.5953,0.6228
10.7,0.1439,0.3843,0.5622,0.4319,0.4976,0.4647,0.7274,0.5238,0.6256,0.6612,0.611,0.6361
10.8,0.1572,0.3865,0.5679,0.4503,0.501,0.4756,0.7268,0.5227,0.6248,0.6722,0.6276,0.6499
10.9,0.1691,0.388,0.5744,0.4669,0.5019,0.4844,0.7244,0.5221,0.6232,0.6831,0.6446,0.6639
11,0.1792,0.3887,0.5814,0.4818,0.5003,0.4911,0.7198,0.5222,0.621,0.6934,0.6615,0.6775
11.1,0.187,0.3889,0.5889,0.4954,0.4963,0.4959,0.7128,0.5232,0.618,0.7028,0.6772,0.69
11.2,0.1909,0.3888,0.5971,0.5077,0.4907,0.4992,0.7033,0.5253,0.6143,0.7109,0.6908,0.7009
11.3,0.1898,0.3886,0.606,0.5186,0.4837,0.5011,0.6916,0.5287,0.6102,0.7181,0.7015,0.7098
11.4,0.1834,0.3887,0.6157,0.5279,0.4752,0.5016,0.6785,0.5337,0.6061,0.7248,0.7089,0.7169
11.5,0.1732,0.3892,0.626,0.5358,0.4657,0.5007,0.665,0.5401,0.6025,0.7313,0.7132,0.7223
11.6,0.1607,0.3907,0.6364,0.5429,0.4559,0.4994,0.6518,0.5482,0.6,0.7372,0.7146,0.7259
11.7,0.1474,0.3937,0.6464,0.5501,0.4476,0.4988,0.6399,0.5583,0.5991,0.7417,0.7137,0.7277
11.8,0.1355,0.3986,0.6557,0.5581,0.4422,0.5001,0.6299,0.571,0.6004,0.7443,0.7111,0.7277
11.9,0.1277,0.4048,0.6642,0.5675,0.4405,0.504,0.6221,0.5864,0.6043,0.7454,0.7071,0.7262
12,0.1259,0.4114,0.6721,0.5787,0.442,0.5104,0.6164,0.6042,0.6103,0.7462,0.7021,0.7241
