Time,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1039,0.5897,0.5526,0.5145,0.2363,0.3754,0.7299,0.7477,0.7388,0.7419,0.6678,0.7048
0.1,-0.139,0.6092,0.5672,0.523,0.2548,0.3889,0.7273,0.7504,0.7389,0.7491,0.67,0.7096
0.2,-0.1788,0.6237,0.5856,0.5299,0.2771,0.4035,0.7234,0.7525,0.7379,0.7547,0.6739,0.7143
0.3,-0.2215,0.633,0.6067,0.5355,0.3016,0.4186,0.7183,0.7539,0.7361,0.7581,0.6782,0.7181
0.4,-0.2651,0.6374,0.6301,0.5405,0.327,0.4337,0.7125,0.7547,0.7336,0.7592,0.6827,0.7209
0.5,-0.3079,0.6372,0.6559,0.5453,0.3525,0.4489,0.7068,0.7546,0.7307,0.7581,0.6884,0.7232
0.6,-0.3481,0.633,0.6841,0.5503,0.378,0.4641,0.7019,0.7535,0.7277,0.7555,0.6962,0.7258
0.7,-0.3837,0.6253,0.714,0.5557,0.4035,0.4796,0.6986,0.7518,0.7252,0.7519,0.7062,0.7291
0.8,-0.4132,0.6142,0.7444,0.5615,0.429,0.4953,0.6967,0.7498,0.7233,0.7475,0.7177,0.7326
0.9,-0.4341,0.6,0.7736,0.5673,0.4539,0.5106,0.696,0.7473,0.7216,0.7423,0.7292,0.7358
1,-0.4439,0.5825,0.8005,0.5725,0.4771,0.5248,0.696,0.7436,0.7198,0.7362,0.7399,0.7381
1.1,-0.4417,0.5621,0.8242,0.5769,0.4977,0.5373,0.6969,0.7387,0.7178,0.7291,0.7489,0.739
1.2,-0.4287,0.5399,0.8443,0.581,0.5153,0.5482,0.6984,0.7336,0.716,0.7205,0.755,0.7378
1.3,-0.4063,0.5171,0.8599,0.5854,0.5299,0.5576,0.7008,0.7291,0.7149,0.7106,0.7577,0.7341
1.4,-0.3761,0.4945,0.8709,0.5905,0.5408,0.5657,0.7036,0.7258,0.7147,0.6998,0.7567,0.7283
1.5,-0.3386,0.4726,0.8768,0.5965,0.5478,0.5721,0.7066,0.723,0.7148,0.6893,0.7527,0.721
1.6,-0.2937,0.4517,0.8784,0.6037,0.5508,0.5772,0.7097,0.7198,0.7148,0.6802,0.7467,0.7135
