Time,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.9,-0.246,0.6498,0.3089,0.7576,0.725,0.7413,0.263,0.4673,0.3652,0.8156,0.6648,0.7402
28,-0.2094,0.6629,0.2759,0.8046,0.7368,0.7707,0.2681,0.4585,0.3633,0.8043,0.6411,0.7227
28.1,-0.1674,0.6754,0.2443,0.8481,0.7438,0.7959,0.2752,0.4512,0.3632,0.7884,0.6173,0.7028
28.2,-0.1224,0.6877,0.2156,0.8864,0.7464,0.8164,0.2839,0.4459,0.3649,0.7687,0.5944,0.6815
28.3,-0.0777,0.7005,0.1906,0.9186,0.7457,0.8321,0.2935,0.443,0.3682,0.7469,0.5735,0.6602
28.4,-0.0365,0.7138,0.1694,0.9436,0.7429,0.8433,0.3039,0.4427,0.3733,0.7253,0.5554,0.6403
28.5,-0.0011,0.7277,0.152,0.9613,0.7394,0.8504,0.3155,0.4446,0.3801,0.706,0.5401,0.623
28.6,0.0277,0.7422,0.1385,0.972,0.7363,0.8541,0.3289,0.4481,0.3885,0.6898,0.5272,0.6085
28.7,0.05,0.7575,0.1291,0.9767,0.734,0.8554,0.3442,0.4523,0.3983,0.6766,0.5164,0.5965
28.8,0.0666,0.7741,0.1241,0.9765,0.7326,0.8546,0.3617,0.4563,0.409,0.666,0.5073,0.5866
28.9,0.0775,0.792,0.1238,0.9721,0.7316,0.8518,0.3809,0.4598,0.4203,0.6578,0.5006,0.5792
29,0.0819,0.8103,0.1285,0.9631,0.7304,0.8467,0.4017,0.4632,0.4324,0.6526,0.497,0.5748
29.1,0.0786,0.8272,0.1375,0.9488,0.7283,0.8386,0.4243,0.4674,0.4459,0.6512,0.4968,0.574
29.2,0.067,0.8412,0.15,0.9287,0.7248,0.8268,0.4496,0.4726,0.4611,0.6543,0.4996,0.5769
29.3,0.0477,0.8509,0.1643,0.9029,0.7192,0.8111,0.4779,0.4787,0.4783,0.6618,0.5048,0.5833
29.4,0.0221,0.8563,0.179,0.8723,0.7107,0.7915,0.5094,0.4851,0.4972,0.6734,0.5122,0.5928
29.5,-0.0076,0.8578,0.1938,0.8383,0.699,0.7686,0.5435,0.4915,0.5175,0.6886,0.5228,0.6057
29.6,-0.0395,0.8555,0.2091,0.802,0.684,0.743,0.5798,0.4984,0.5391,0.7075,0.5374,0.6224
29.7,-0.0716,0.8487,0.2251,0.7634,0.6662,0.7148,0.6176,0.5063,0.5619,0.7303,0.5566,0.6435
29.8,-0.1018,0.8369,0.242,0.7224,0.6459,0.6841,0.6559,0.515,0.5855,0.7566,0.5808,0.6687
29.9,-0.1281,0.8203,0.2603,0.6787,0.6233,0.651,0.6927,0.5243,0.6085,0.785,0.6097,0.6974
