Time,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.5,0.2339,0.8079,0.7622,0.7449,0.7068,0.7259,0.6991,0.7109,0.705,0.5776,0.4634,0.5205
27.6,0.1517,0.805,0.7816,0.7386,0.7042,0.7214,0.6784,0.7299,0.7041,0.561,0.4685,0.5147
27.7,0.067,0.8025,0.8014,0.7334,0.7034,0.7184,0.661,0.7505,0.7057,0.5447,0.4744,0.5095
27.8,-0.0167,0.8011,0.8212,0.7302,0.7041,0.7171,0.6466,0.7717,0.7092,0.5291,0.4806,0.5048
27.9,-0.0943,0.8018,0.8395,0.7292,0.7057,0.7175,0.6346,0.7926,0.7136,0.5145,0.4869,0.5007
28,-0.1601,0.8049,0.855,0.731,0.7077,0.7193,0.6244,0.8122,0.7183,0.5014,0.4929,0.4972
28.1,-0.21,0.8106,0.8669,0.7354,0.7103,0.7228,0.6155,0.8296,0.7225,0.49,0.4979,0.494
28.2,-0.2422,0.8185,0.876,0.7426,0.7134,0.728,0.6079,0.8444,0.7262,0.4808,0.5013,0.491
28.3,-0.2573,0.8283,0.8827,0.7527,0.7167,0.7347,0.6018,0.8565,0.7291,0.4729,0.5026,0.4878
28.4,-0.2563,0.8394,0.8866,0.7658,0.7197,0.7427,0.5974,0.8651,0.7313,0.4658,0.5015,0.4836
28.5,-0.2404,0.8511,0.8861,0.7811,0.7213,0.7512,0.5941,0.8692,0.7316,0.459,0.4973,0.4781
28.6,-0.2107,0.8627,0.8802,0.7976,0.7214,0.7595,0.5909,0.868,0.7295,0.4523,0.4898,0.471
28.7,-0.1691,0.8737,0.8691,0.8144,0.7197,0.767,0.5871,0.8618,0.7244,0.4456,0.4793,0.4625
28.8,-0.1189,0.8836,0.8534,0.8308,0.716,0.7734,0.5822,0.8508,0.7165,0.4397,0.4667,0.4532
28.9,-0.0631,0.892,0.8334,0.8464,0.7106,0.7785,0.5756,0.8349,0.7052,0.435,0.4523,0.4437
29,-0.0034,0.8984,0.809,0.8602,0.7033,0.7817,0.5672,0.8134,0.6903,0.4317,0.4361,0.4339
29.1,0.0588,0.902,0.7793,0.8715,0.6941,0.7828,0.5571,0.7861,0.6716,0.4289,0.4174,0.4231
29.2,0.1215,0.9019,0.7441,0.8794,0.6828,0.7811,0.5449,0.7534,0.6491,0.4259,0.3957,0.4108
29.3,0.1822,0.8982,0.7037,0.8834,0.669,0.7762,0.5301,0.7162,0.6231,0.4223,0.3712,0.3967
29.4,0.2391,0.8907,0.659,0.8834,0.6524,0.7679,0.5127,0.675,0.5938,0.4189,0.3449,0.3819
29.5,0.2916,0.8796,0.6109,0.8782,0.6328,0.7555,0.4928,0.6304,0.5616,0.4163,0.3182,0.3673
29.6,0.339,0.8645,0.5607,0.8671,0.6107,0.7389,0.4707,0.584,0.5273,0.4146,0.2921,0.3534
29.7,0.379,0.8453,0.51,0.8498,0.5869,0.7183,0.4463,0.538,0.4922,0.413,0.2673,0.3401
29.8,0.4086,0.8225,0.4615,0.8274,0.5624,0.6949,0.4199,0.4955,0.4577,0.4112,0.2445,0.3279
29.9,0.4273,0.7971,0.4185,0.8016,0.5386,0.6701,0.3922,0.4588,0.4255,0.4099,0.2255,0.3177
