Time,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.6,-0.3368,0.408,0.6945,0.5607,0.4082,0.4845,0.7629,0.6254,0.6942,0.5868,0.4573,0.5221
22.7,-0.3371,0.4123,0.6946,0.5572,0.3963,0.4768,0.7371,0.6198,0.6785,0.5877,0.4588,0.5232
22.8,-0.3371,0.4182,0.6933,0.5551,0.3889,0.472,0.7092,0.6128,0.661,0.5886,0.4607,0.5247
22.9,-0.3362,0.4251,0.6911,0.5537,0.386,0.4698,0.6789,0.6038,0.6413,0.5891,0.4629,0.526
23,-0.3336,0.4329,0.6888,0.5532,0.3875,0.4703,0.646,0.5932,0.6196,0.5892,0.4658,0.5275
23.1,-0.3295,0.4422,0.6879,0.5541,0.3937,0.4739,0.6112,0.5817,0.5964,0.5896,0.4698,0.5297
23.2,-0.3243,0.4528,0.6898,0.5566,0.4042,0.4804,0.5756,0.5699,0.5728,0.591,0.4755,0.5333
23.3,-0.3177,0.4637,0.6949,0.5608,0.4182,0.4895,0.541,0.5586,0.5498,0.5935,0.4834,0.5385
23.4,-0.3092,0.4735,0.7026,0.5657,0.4355,0.5006,0.5088,0.548,0.5284,0.5969,0.4934,0.5451
23.5,-0.2989,0.4821,0.7116,0.5711,0.4561,0.5136,0.4807,0.5383,0.5095,0.6008,0.5046,0.5527
23.6,-0.2871,0.4897,0.7213,0.5771,0.4802,0.5286,0.4586,0.5306,0.4946,0.6049,0.5153,0.5601
23.7,-0.2744,0.4969,0.7315,0.5836,0.5074,0.5455,0.4436,0.5262,0.4849,0.6085,0.5239,0.5662
23.8,-0.2615,0.5028,0.7417,0.5899,0.5364,0.5632,0.436,0.5258,0.4809,0.6107,0.5293,0.57
23.9,-0.2486,0.506,0.7512,0.595,0.5651,0.5801,0.4352,0.5298,0.4825,0.6098,0.531,0.5704
24,-0.2348,0.5056,0.7588,0.5977,0.5911,0.5944,0.4401,0.5376,0.4889,0.6046,0.5284,0.5665
24.1,-0.219,0.5013,0.7635,0.597,0.6126,0.6048,0.4497,0.5486,0.4991,0.5954,0.5214,0.5584
24.2,-0.2014,0.4941,0.765,0.593,0.6287,0.6109,0.4636,0.5624,0.513,0.5835,0.5101,0.5468
24.3,-0.183,0.4854,0.7639,0.5866,0.6403,0.6135,0.4821,0.5796,0.5308,0.5698,0.4952,0.5325
24.4,-0.1655,0.4765,0.7606,0.5794,0.6486,0.614,0.505,0.5999,0.5524,0.5546,0.4781,0.5163
24.5,-0.1507,0.4682,0.7552,0.5721,0.6543,0.6132,0.5306,0.6225,0.5766,0.5386,0.4603,0.4994
24.6,-0.1382,0.461,0.7476,0.5647,0.6574,0.6111,0.5558,0.646,0.6009,0.5223,0.4434,0.4828
24.7,-0.1284,0.4549,0.738,0.5575,0.6577,0.6076,0.5773,0.6691,0.6232,0.5065,0.4288,0.4677
24.8,-0.1221,0.4494,0.7271,0.5507,0.655,0.6028,0.593,0.6914,0.6422,0.4923,0.4179,0.4551
24.9,-0.1191,0.4441,0.7157,0.5449,0.6497,0.5973,0.6023,0.7127,0.6575,0.4806,0.412,0.4463
25,-0.1184,0.439,0.7041,0.5409,0.6422,0.5916,0.6056,0.7327,0.6691,0.4719,0.4116,0.4418
25.1,-0.1188,0.4346,0.6926,0.5395,0.633,0.5863,0.6041,0.7509,0.6775,0.4663,0.4169,0.4416
25.2,-0.1198,0.4316,0.6816,0.5406,0.6224,0.5815,0.5992,0.7665,0.6829,0.4634,0.4278,0.4456
25.3,-0.1217,0.43,0.6722,0.5437,0.6109,0.5773,0.5922,0.7796,0.6859,0.4625,0.4442,0.4534
25.4,-0.1246,0.4295,0.6654,0.5481,0.599,0.5735,0.5844,0.7911,0.6878,0.4633,0.4656,0.4645
25.5,-0.1276,0.4297,0.662,0.5527,0.587,0.5699,0.5766,0.8018,0.6892,0.4655,0.4913,0.4784
25.6,-0.1286,0.4299,0.6616,0.5569,0.5749,0.5659,0.5689,0.8113,0.6901,0.4687,0.52,0.4944
25.7,-0.1272,0.4301,0.6637,0.5599,0.5626,0.5612,0.5607,0.8185,0.6896,0.4727,0.5507,0.5117
25.8,-0.1237,0.43,0.6684,0.5609,0.5495,0.5552,0.5524,0.822,0.6872,0.4779,0.5831,0.5305
25.9,-0.1188,0.4296,0.676,0.5594,0.5353,0.5474,0.544,0.8214,0.6827,0.484,0.6173,0.5506
26,-0.1137,0.4288,0.6868,0.555,0.5199,0.5374,0.5356,0.8166,0.6761,0.4906,0.6526,0.5716
26.1,-0.1096,0.4272,0.7,0.5473,0.5035,0.5254,0.5274,0.8078,0.6676,0.4966,0.6881,0.5923
26.2,-0.1081,0.4248,0.7141,0.5361,0.4866,0.5114,0.5192,0.7957,0.6574,0.5006,0.7226,0.6116
26.3,-0.1106,0.4212,0.7277,0.5213,0.47,0.4956,0.5111,0.7813,0.6462,0.5018,0.7551,0.6284
26.4,-0.1181,0.4166,0.7399,0.5026,0.4542,0.4784,0.5037,0.7657,0.6347,0.5,0.7846,0.6423
26.5,-0.1307,0.4109,0.7512,0.4797,0.4402,0.4599,0.497,0.7504,0.6237,0.4953,0.8099,0.6526
26.6,-0.1483,0.4046,0.7611,0.4527,0.429,0.4408,0.491,0.7367,0.6139,0.4878,0.8298,0.6588
26.7,-0.1698,0.3983,0.7691,0.4224,0.4219,0.4221,0.4858,0.7253,0.6056,0.4775,0.8436,0.6606
26.8,-0.1947,0.3932,0.7741,0.3903,0.4201,0.4052,0.4814,0.7165,0.599,0.464,0.8511,0.6576
26.9,-0.2218,0.3905,0.7756,0.3589,0.4241,0.3915,0.4783,0.7098,0.594,0.4474,0.8522,0.6498
27,-0.2498,0.3913,0.7741,0.3304,0.434,0.3822,0.4766,0.7047,0.5907,0.4281,0.847,0.6376
27.1,-0.2781,0.3961,0.7703,0.3067,0.4496,0.3781,0.4761,0.7014,0.5888,0.4078,0.8368,0.6223
27.2,-0.3064,0.4049,0.765,0.2889,0.4701,0.3795,0.4763,0.6998,0.588,0.3887,0.8239,0.6063
27.3,-0.3353,0.4169,0.7589,0.277,0.4938,0.3854,0.4765,0.7,0.5882,0.373,0.81,0.5915
27.4,-0.3651,0.4312,0.7525,0.2708,0.5188,0.3948,0.4772,0.7016,0.5894,0.3627,0.7964,0.5796
27.5,-0.3947,0.4473,0.7462,0.2697,0.5437,0.4067,0.4789,0.7048,0.5919,0.3592,0.7834,0.5713
27.6,-0.4223,0.4643,0.7406,0.2732,0.5671,0.4201,0.4825,0.7095,0.596,0.3624,0.7713,0.5669
27.7,-0.4466,0.4812,0.7361,0.281,0.5879,0.4344,0.4882,0.7159,0.602,0.3714,0.7616,0.5665
27.8,-0.4671,0.4971,0.7329,0.2923,0.605,0.4487,0.4956,0.7238,0.6097,0.3856,0.7562,0.5709
27.9,-0.4833,0.5111,0.7304,0.3064,0.6174,0.4619,0.5045,0.7329,0.6187,0.4044,0.7566,0.5805
28,-0.494,0.5229,0.7285,0.3226,0.6245,0.4736,0.5146,0.7423,0.6285,0.4269,0.7626,0.5948
28.1,-0.4989,0.5322,0.7272,0.341,0.627,0.484,0.5259,0.7517,0.6388,0.4522,0.7733,0.6128
28.2,-0.4976,0.5389,0.7265,0.3615,0.6258,0.4936,0.5385,0.761,0.6498,0.4791,0.7872,0.6331
28.3,-0.4909,0.543,0.7261,0.3835,0.6217,0.5026,0.5524,0.7703,0.6614,0.5057,0.8028,0.6543
28.4,-0.4791,0.5444,0.7256,0.4062,0.6148,0.5105,0.5675,0.7794,0.6734,0.5301,0.8187,0.6744
28.5,-0.4617,0.5439,0.7245,0.4286,0.6051,0.5169,0.583,0.7875,0.6853,0.5506,0.8334,0.692
28.6,-0.4386,0.5421,0.7225,0.4505,0.5928,0.5216,0.5979,0.7939,0.6959,0.5665,0.8456,0.7061
28.7,-0.4103,0.5395,0.7191,0.4718,0.5788,0.5253,0.6114,0.7981,0.7048,0.5775,0.8547,0.7161
28.8,-0.3774,0.5361,0.7139,0.4927,0.5642,0.5284,0.6231,0.8004,0.7117,0.5842,0.8609,0.7225
28.9,-0.3414,0.5314,0.7069,0.5125,0.5493,0.5309,0.6327,0.8007,0.7167,0.5872,0.8643,0.7258
29,-0.3034,0.5251,0.6979,0.5302,0.5344,0.5323,0.6397,0.7987,0.7192,0.5865,0.8651,0.7258
29.1,-0.2653,0.5173,0.6868,0.5448,0.5198,0.5323,0.6437,0.7937,0.7187,0.5814,0.8625,0.722
29.2,-0.2287,0.5081,0.6736,0.556,0.5061,0.531,0.6441,0.7852,0.7146,0.5711,0.8558,0.7134
29.3,-0.195,0.4977,0.6584,0.5635,0.4941,0.5288,0.6403,0.7736,0.7069,0.5546,0.8442,0.6994
29.4,-0.1651,0.4863,0.641,0.5669,0.4843,0.5256,0.6316,0.7598,0.6957,0.5314,0.8275,0.6795
29.5,-0.1389,0.474,0.6219,0.5656,0.477,0.5213,0.6181,0.745,0.6816,0.5011,0.8061,0.6536
29.6,-0.116,0.4613,0.6023,0.5596,0.472,0.5158,0.5996,0.7303,0.6649,0.4649,0.7802,0.6225
29.7,-0.0955,0.4487,0.5834,0.5491,0.4693,0.5092,0.5762,0.7163,0.6463,0.4247,0.7504,0.5876
29.8,-0.0768,0.4367,0.5665,0.5344,0.469,0.5017,0.5484,0.7038,0.6261,0.3831,0.7167,0.5499
29.9,-0.0608,0.4257,0.552,0.516,0.4711,0.4936,0.5167,0.6932,0.6049,0.342,0.6794,0.5107
