Time,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1179,0.6289,0.7128,0.9861,0.771,0.8786,0.9702,0.9257,0.9479,0.6372,0.6671,0.6522
0.1,0.0961,0.6388,0.6993,1.0086,0.782,0.8953,0.9737,0.9183,0.946,0.6587,0.6685,0.6636
0.2,0.0756,0.6461,0.6874,1.0251,0.7904,0.9077,0.9775,0.9123,0.9449,0.6777,0.6726,0.6751
0.3,0.0567,0.6508,0.6787,1.0355,0.7963,0.9159,0.9811,0.9085,0.9448,0.6936,0.6791,0.6864
0.4,0.0397,0.6526,0.6743,1.0399,0.7998,0.9199,0.9836,0.9071,0.9453,0.7062,0.6872,0.6967
0.5,0.0244,0.6519,0.6746,1.0391,0.8014,0.9203,0.9845,0.9074,0.946,0.7154,0.6962,0.7058
0.6,0.0111,0.6494,0.6789,1.0343,0.8016,0.918,0.984,0.909,0.9465,0.7215,0.7052,0.7134
0.7,0.0003,0.6459,0.6867,1.0265,0.8011,0.9138,0.9823,0.9115,0.9469,0.7254,0.7143,0.7199
0.8,-0.0082,0.642,0.6981,1.0167,0.8002,0.9085,0.98,0.9149,0.9474,0.7276,0.7234,0.7255
0.9,-0.0155,0.638,0.7129,1.0049,0.7988,0.9019,0.9769,0.9194,0.9481,0.7284,0.7324,0.7304
1,-0.0226,0.6333,0.7303,0.9914,0.7961,0.8937,0.9726,0.9249,0.9488,0.7279,0.741,0.7345
1.1,-0.03,0.6279,0.7491,0.9761,0.7915,0.8838,0.967,0.9312,0.9491,0.726,0.7491,0.7376
1.2,-0.037,0.6216,0.7679,0.9596,0.7851,0.8723,0.96,0.9384,0.9492,0.7231,0.7563,0.7397
1.3,-0.0431,0.6151,0.7854,0.9424,0.7777,0.86,0.9521,0.9469,0.9495,0.719,0.7621,0.7406
1.4,-0.0471,0.609,0.8001,0.9249,0.7698,0.8474,0.944,0.9564,0.9502,0.7136,0.7658,0.7397
1.5,-0.0484,0.6037,0.8112,0.9074,0.7615,0.8345,0.9357,0.9663,0.951,0.7068,0.7668,0.7368
1.6,-0.0465,0.5992,0.8178,0.8895,0.752,0.8208,0.9271,0.9758,0.9515,0.6987,0.765,0.7318
1.7,-0.0412,0.595,0.8196,0.8704,0.7403,0.8054,0.9179,0.984,0.951,0.6897,0.7605,0.7251
1.8,-0.0325,0.5908,0.8157,0.8496,0.7261,0.7878,0.9085,0.9903,0.9494,0.6803,0.7536,0.717
1.9,-0.02,0.5856,0.8052,0.8272,0.7091,0.7681,0.8996,0.9945,0.9471,0.6708,0.7445,0.7076
2,-0.0027,0.5784,0.7873,0.8035,0.689,0.7462,0.8919,0.996,0.9439,0.6611,0.7332,0.6972
2.1,0.0194,0.569,0.7628,0.7787,0.6654,0.7221,0.8856,0.9945,0.94,0.6515,0.7203,0.6859
2.2,0.0459,0.5573,0.7331,0.7532,0.6383,0.6957,0.8808,0.9903,0.9355,0.6423,0.7061,0.6742
2.3,0.0762,0.5435,0.7004,0.727,0.6072,0.6671,0.8772,0.9838,0.9305,0.6337,0.6908,0.6623
2.4,0.1097,0.5273,0.6664,0.6997,0.572,0.6359,0.8748,0.9755,0.9251,0.6258,0.6747,0.6502
2.5,0.146,0.5081,0.6326,0.6707,0.5322,0.6014,0.8735,0.9653,0.9194,0.6185,0.6582,0.6384
2.6,0.1838,0.4855,0.5998,0.6394,0.4874,0.5634,0.8736,0.9533,0.9135,0.612,0.6419,0.6269
2.7,0.221,0.4597,0.5682,0.606,0.4383,0.5221,0.8749,0.9396,0.9072,0.6065,0.626,0.6162
2.8,0.256,0.4316,0.5376,0.5712,0.3863,0.4787,0.8771,0.9245,0.9008,0.6022,0.611,0.6066
2.9,0.2872,0.4026,0.508,0.5361,0.3335,0.4348,0.8797,0.909,0.8944,0.5994,0.5973,0.5983
3,0.3134,0.3742,0.48,0.5015,0.2818,0.3917,0.8823,0.894,0.8882,0.5985,0.585,0.5918
3.1,0.3333,0.3473,0.4545,0.4676,0.2322,0.3499,0.8843,0.8804,0.8823,0.5995,0.5743,0.5869
3.2,0.3461,0.3222,0.4318,0.434,0.1853,0.3097,0.8847,0.8677,0.8762,0.6016,0.5647,0.5832
3.3,0.3513,0.2995,0.4115,0.4008,0.1418,0.2713,0.8829,0.8556,0.8692,0.6042,0.5559,0.58
3.4,0.349,0.2796,0.393,0.3684,0.1029,0.2356,0.8781,0.8434,0.8607,0.6062,0.5476,0.5769
3.5,0.34,0.2631,0.3762,0.3371,0.0696,0.2033,0.8699,0.8308,0.8503,0.6072,0.5397,0.5734
3.6,0.3236,0.2513,0.3607,0.3075,0.043,0.1752,0.8576,0.8174,0.8375,0.6067,0.5324,0.5695
