Time,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.8,0.1237,0.6202,0.5633,0.5785,0.6644,0.6215,0.6232,0.6012,0.6122,0.6668,0.5864,0.6266
23.9,0.1316,0.6249,0.5766,0.5819,0.6588,0.6203,0.6302,0.6022,0.6162,0.6682,0.5762,0.6222
24,0.1364,0.6294,0.5915,0.5875,0.6523,0.6199,0.6386,0.6051,0.6219,0.6707,0.5668,0.6188
24.1,0.1373,0.6334,0.6069,0.595,0.6454,0.6202,0.6478,0.6093,0.6285,0.6738,0.5583,0.6161
24.2,0.134,0.637,0.6213,0.6041,0.6384,0.6212,0.6569,0.6144,0.6356,0.6769,0.5504,0.6136
24.3,0.1265,0.6398,0.6337,0.614,0.6312,0.6226,0.6654,0.6199,0.6426,0.6794,0.5432,0.6113
24.4,0.1143,0.6415,0.644,0.6239,0.6236,0.6237,0.6731,0.6257,0.6494,0.6811,0.5374,0.6092
24.5,0.0973,0.642,0.6524,0.6333,0.6157,0.6245,0.6799,0.6322,0.6561,0.6823,0.534,0.6081
24.6,0.0762,0.6417,0.6593,0.6424,0.608,0.6252,0.6857,0.6395,0.6626,0.6834,0.5337,0.6086
24.7,0.0519,0.6412,0.6649,0.6512,0.601,0.6261,0.6902,0.6474,0.6688,0.6849,0.5367,0.6108
24.8,0.0254,0.6409,0.669,0.6598,0.5945,0.6271,0.6931,0.6555,0.6743,0.6868,0.5426,0.6147
24.9,-0.0026,0.6405,0.6711,0.6673,0.588,0.6277,0.6942,0.6631,0.6786,0.6892,0.5509,0.62
25,-0.0316,0.6395,0.6713,0.6728,0.5811,0.6269,0.6933,0.6696,0.6814,0.6922,0.5611,0.6267
25.1,-0.0603,0.6379,0.6696,0.6757,0.5733,0.6245,0.6905,0.6749,0.6827,0.6963,0.5734,0.6348
25.2,-0.0869,0.6358,0.6662,0.676,0.5648,0.6204,0.6861,0.6791,0.6826,0.7015,0.5874,0.6444
25.3,-0.1097,0.6338,0.6616,0.6739,0.5553,0.6146,0.6804,0.6825,0.6814,0.7077,0.6025,0.6551
25.4,-0.128,0.6317,0.6558,0.6691,0.5446,0.6069,0.6737,0.685,0.6794,0.7143,0.6175,0.6659
25.5,-0.1411,0.629,0.649,0.6614,0.532,0.5967,0.6661,0.6863,0.6762,0.7205,0.6316,0.676
25.6,-0.1487,0.6251,0.6405,0.6509,0.5173,0.5841,0.6573,0.6857,0.6715,0.7257,0.6437,0.6847
25.7,-0.1504,0.6197,0.6301,0.6381,0.5006,0.5693,0.6472,0.6828,0.665,0.7296,0.6535,0.6916
25.8,-0.1459,0.6131,0.6177,0.6236,0.4826,0.5531,0.6352,0.6776,0.6564,0.7323,0.6605,0.6964
25.9,-0.1352,0.6058,0.604,0.6081,0.4644,0.5362,0.6215,0.6703,0.6459,0.7337,0.6648,0.6992
26,-0.119,0.5977,0.5901,0.5917,0.4467,0.5192,0.6063,0.6613,0.6338,0.7336,0.6663,0.6999
26.1,-0.0976,0.5884,0.5769,0.5747,0.4294,0.5021,0.5904,0.6513,0.6208,0.7323,0.6653,0.6988
26.2,-0.0717,0.5775,0.5657,0.5571,0.4129,0.485,0.5745,0.6411,0.6078,0.7304,0.6625,0.6964
26.3,-0.0425,0.5655,0.5577,0.5393,0.3977,0.4685,0.5594,0.6322,0.5958,0.7284,0.6583,0.6933
26.4,-0.0116,0.5532,0.5536,0.5219,0.3849,0.4534,0.5455,0.6256,0.5855,0.7265,0.6533,0.6899
26.5,0.0194,0.5414,0.5534,0.5056,0.3755,0.4406,0.5331,0.6215,0.5773,0.7247,0.6477,0.6862
26.6,0.0488,0.5306,0.5564,0.4914,0.37,0.4307,0.5226,0.6197,0.5711,0.7228,0.6414,0.6821
26.7,0.0755,0.5207,0.5612,0.4799,0.368,0.4239,0.5141,0.6198,0.567,0.7206,0.6343,0.6774
26.8,0.0988,0.5121,0.5664,0.4718,0.3687,0.4203,0.5078,0.6212,0.5645,0.7176,0.626,0.6718
26.9,0.1187,0.5048,0.5715,0.4675,0.3716,0.4196,0.5033,0.6238,0.5636,0.7138,0.6168,0.6653
27,0.1348,0.4992,0.5765,0.4668,0.3762,0.4215,0.5005,0.6274,0.5639,0.7092,0.6074,0.6583
27.1,0.1469,0.4954,0.582,0.4696,0.3821,0.4258,0.4993,0.6315,0.5654,0.7046,0.5986,0.6516
27.2,0.1546,0.4932,0.5879,0.4757,0.3889,0.4323,0.4996,0.6357,0.5676,0.7003,0.5912,0.6457
27.3,0.1578,0.4923,0.5943,0.4847,0.3963,0.4405,0.5015,0.6395,0.5705,0.6967,0.5855,0.6411
27.4,0.1567,0.4923,0.6009,0.496,0.4042,0.4501,0.5048,0.6427,0.5737,0.6942,0.5818,0.638
27.5,0.152,0.493,0.6077,0.509,0.4124,0.4607,0.5094,0.6454,0.5774,0.693,0.5798,0.6364
27.6,0.1443,0.4944,0.6148,0.5228,0.4203,0.4716,0.5154,0.6473,0.5814,0.6932,0.5793,0.6363
27.7,0.1339,0.4966,0.6226,0.5369,0.4277,0.4823,0.523,0.6485,0.5858,0.6953,0.5802,0.6378
27.8,0.1214,0.4997,0.6315,0.551,0.4345,0.4928,0.5324,0.6493,0.5909,0.6995,0.5824,0.641
27.9,0.1077,0.5039,0.6414,0.5653,0.441,0.5032,0.5437,0.6499,0.5968,0.7062,0.5857,0.6459
28,0.0931,0.509,0.6519,0.5797,0.447,0.5134,0.5568,0.6501,0.6035,0.7149,0.5896,0.6523
28.1,0.0778,0.5145,0.6625,0.5938,0.4525,0.5231,0.5715,0.6496,0.6106,0.7255,0.594,0.6597
28.2,0.0611,0.5195,0.6725,0.6068,0.4569,0.5318,0.5873,0.6481,0.6177,0.7374,0.5982,0.6678
28.3,0.043,0.5236,0.6815,0.6178,0.4602,0.539,0.604,0.6455,0.6247,0.7504,0.6021,0.6763
28.4,0.0239,0.5269,0.6894,0.6265,0.4623,0.5444,0.6214,0.6419,0.6316,0.764,0.6052,0.6846
28.5,0.004,0.5295,0.6959,0.6326,0.4633,0.548,0.6389,0.6375,0.6382,0.7773,0.6071,0.6922
28.6,-0.017,0.5313,0.7013,0.6362,0.4634,0.5498,0.6558,0.6322,0.644,0.7894,0.6077,0.6986
28.7,-0.04,0.5318,0.7052,0.6372,0.4623,0.5498,0.6712,0.6259,0.6486,0.7996,0.6072,0.7034
28.8,-0.0654,0.5302,0.7075,0.6358,0.4598,0.5478,0.6844,0.6189,0.6517,0.8075,0.606,0.7067
28.9,-0.0931,0.5264,0.7079,0.6321,0.4559,0.544,0.6951,0.6115,0.6533,0.8134,0.6045,0.709
29,-0.1223,0.5211,0.7065,0.6269,0.4513,0.5391,0.7034,0.6046,0.654,0.818,0.6035,0.7108
29.1,-0.1527,0.5154,0.7036,0.6208,0.447,0.5339,0.7094,0.5989,0.6542,0.8219,0.6037,0.7128
29.2,-0.1839,0.5101,0.6993,0.614,0.4431,0.5286,0.713,0.595,0.654,0.8251,0.6054,0.7153
29.3,-0.215,0.5055,0.6931,0.6067,0.4391,0.5229,0.7138,0.5926,0.6532,0.8274,0.6087,0.718
29.4,-0.2439,0.5015,0.6848,0.5989,0.4344,0.5167,0.7122,0.5917,0.6519,0.829,0.6131,0.7211
29.5,-0.2689,0.4982,0.6743,0.5907,0.4285,0.5096,0.7089,0.5921,0.6505,0.8301,0.6188,0.7245
29.6,-0.2895,0.4962,0.6623,0.5825,0.422,0.5022,0.705,0.5941,0.6495,0.831,0.6262,0.7286
29.7,-0.3062,0.4962,0.6493,0.575,0.416,0.4955,0.7012,0.5977,0.6494,0.8316,0.6352,0.7334
29.8,-0.32,0.4985,0.6356,0.569,0.4115,0.4902,0.6977,0.6028,0.6502,0.8314,0.6456,0.7385
29.9,-0.331,0.5027,0.6216,0.5648,0.4083,0.4865,0.6946,0.6088,0.6517,0.8301,0.6566,0.7434
