Time,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2128,0.7509,0.7171,0.6773,0.6965,0.6869,0.7839,0.728,0.7559,0.7606,0.8272,0.7939
0.1,0.1948,0.7624,0.7464,0.7007,0.7247,0.7127,0.7916,0.742,0.7668,0.7821,0.8645,0.8233
0.2,0.1762,0.7716,0.7743,0.7235,0.7509,0.7372,0.7971,0.7544,0.7757,0.7993,0.8976,0.8484
0.3,0.1578,0.7789,0.8,0.7458,0.7747,0.7603,0.8009,0.7655,0.7832,0.811,0.925,0.868
0.4,0.14,0.7847,0.8229,0.7679,0.7962,0.7821,0.803,0.7755,0.7892,0.8161,0.9457,0.8809
0.5,0.123,0.7894,0.8419,0.789,0.8153,0.8022,0.8025,0.784,0.7932,0.814,0.9591,0.8866
0.6,0.1069,0.7928,0.856,0.8083,0.8315,0.8199,0.7987,0.7905,0.7946,0.8046,0.9655,0.885
0.7,0.0925,0.7948,0.865,0.8249,0.8442,0.8346,0.7916,0.7945,0.793,0.7884,0.9653,0.8769
0.8,0.08,0.7951,0.8687,0.8382,0.8526,0.8454,0.7816,0.796,0.7888,0.7662,0.9592,0.8627
0.9,0.0699,0.7935,0.8671,0.8474,0.856,0.8517,0.7695,0.7952,0.7824,0.7385,0.9471,0.8428
1,0.0623,0.7901,0.8605,0.852,0.8541,0.853,0.7561,0.792,0.774,0.7062,0.9291,0.8176
1.1,0.056,0.7858,0.8498,0.8523,0.848,0.8502,0.7418,0.7865,0.7641,0.6711,0.9059,0.7885
1.2,0.0499,0.7813,0.8357,0.8497,0.8395,0.8446,0.7278,0.7795,0.7537,0.6358,0.8791,0.7575
1.3,0.0443,0.7769,0.8193,0.8451,0.8286,0.8368,0.7159,0.772,0.744,0.6025,0.8504,0.7265
1.4,0.0394,0.7724,0.8013,0.8388,0.8153,0.8271,0.7072,0.7644,0.7358,0.5726,0.8208,0.6967
1.5,0.035,0.7675,0.782,0.8312,0.7999,0.8155,0.7018,0.7568,0.7293,0.5469,0.7909,0.6689
1.6,0.0314,0.7625,0.7614,0.8227,0.783,0.8029,0.6988,0.7486,0.7237,0.5253,0.7607,0.643
1.7,0.0295,0.7576,0.7401,0.8144,0.766,0.7902,0.6976,0.7398,0.7187,0.5077,0.7307,0.6192
