Time,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2943,0.3787,0.3544,0.6017,0.4694,0.5355,0.1166,0.3317,0.2241,0.4129,0.4954,0.4542
0.1,-0.2508,0.3829,0.3424,0.6028,0.4685,0.5356,0.1563,0.3101,0.2332,0.4378,0.4982,0.468
0.2,-0.2059,0.3933,0.3346,0.6061,0.4693,0.5377,0.2005,0.2937,0.2471,0.4716,0.506,0.4888
0.3,-0.1616,0.409,0.332,0.6117,0.4721,0.5419,0.2467,0.283,0.2649,0.5135,0.5195,0.5165
0.4,-0.1201,0.4293,0.3356,0.619,0.4772,0.5481,0.2934,0.2789,0.2861,0.5618,0.5391,0.5505
0.5,-0.083,0.4535,0.346,0.6278,0.485,0.5564,0.3395,0.2819,0.3107,0.6137,0.5647,0.5892
0.6,-0.0515,0.481,0.3636,0.6379,0.4957,0.5668,0.3843,0.2922,0.3382,0.6661,0.5956,0.6308
0.7,-0.0262,0.5114,0.389,0.6495,0.5092,0.5793,0.4266,0.3093,0.3679,0.7156,0.6311,0.6734
0.8,-0.0072,0.5438,0.4217,0.6632,0.5251,0.5942,0.4646,0.3324,0.3985,0.7602,0.6699,0.715
0.9,0.0063,0.5779,0.46,0.6801,0.5429,0.6115,0.4972,0.3599,0.4286,0.7987,0.7106,0.7546
1,0.0165,0.6139,0.5006,0.7017,0.5619,0.6318,0.5244,0.3903,0.4574,0.8318,0.752,0.7919
1.1,0.0261,0.6513,0.5404,0.7292,0.5823,0.6557,0.5471,0.4226,0.4849,0.8606,0.7933,0.8269
1.2,0.0365,0.6888,0.5768,0.7622,0.6044,0.6833,0.5664,0.4559,0.5111,0.886,0.8338,0.8599
1.3,0.0472,0.7245,0.6091,0.7993,0.6278,0.7135,0.5824,0.4891,0.5357,0.9088,0.873,0.8909
1.4,0.0566,0.7566,0.6371,0.838,0.6514,0.7447,0.5947,0.5208,0.5577,0.9295,0.9098,0.9196
1.5,0.0637,0.7843,0.6611,0.876,0.6738,0.7749,0.6027,0.5498,0.5763,0.9483,0.9433,0.9458
1.6,0.0694,0.8074,0.6816,0.9114,0.6933,0.8023,0.6067,0.5758,0.5912,0.9655,0.9732,0.9694
1.7,0.0753,0.8257,0.6997,0.9425,0.709,0.8258,0.6074,0.5992,0.6033,0.981,0.9998,0.9904
1.8,0.0826,0.8392,0.7165,0.9681,0.7203,0.8442,0.606,0.6206,0.6133,0.995,1.0231,1.0091
1.9,0.0926,0.8477,0.7327,0.9869,0.7267,0.8568,0.6028,0.64,0.6214,1.0075,1.0428,1.0252
2,0.1057,0.8514,0.7479,0.9982,0.7282,0.8632,0.5977,0.6564,0.627,1.018,1.0584,1.0382
