Time,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1697,0.775,0.5173,0.6285,0.6344,0.6315,0.6952,0.5525,0.6238,0.6505,0.5276,0.5891
0.1,-0.1902,0.7588,0.5164,0.6125,0.6302,0.6213,0.6841,0.5341,0.6091,0.6437,0.5258,0.5847
0.2,-0.2052,0.7379,0.5161,0.5941,0.6204,0.6073,0.6706,0.5151,0.5929,0.635,0.5223,0.5787
0.3,-0.2139,0.7125,0.5154,0.5738,0.6055,0.5897,0.6552,0.4959,0.5756,0.6248,0.5177,0.5713
0.4,-0.2163,0.6836,0.5134,0.5525,0.5867,0.5696,0.6385,0.4771,0.5578,0.6137,0.5126,0.5632
0.5,-0.2134,0.6526,0.5091,0.5313,0.5655,0.5484,0.6213,0.4595,0.5404,0.6031,0.5077,0.5554
0.6,-0.2054,0.6209,0.5024,0.5114,0.5434,0.5274,0.6049,0.4442,0.5246,0.594,0.5033,0.5486
0.7,-0.1925,0.5898,0.4935,0.4935,0.5215,0.5075,0.5902,0.432,0.5111,0.5866,0.4995,0.5431
0.8,-0.1747,0.56,0.4826,0.4772,0.5001,0.4887,0.5771,0.4228,0.5,0.5802,0.496,0.5381
0.9,-0.1525,0.5316,0.4701,0.4624,0.4795,0.471,0.5653,0.4163,0.4908,0.5744,0.4922,0.5333
1,-0.1272,0.5057,0.4562,0.4499,0.4606,0.4553,0.5546,0.4128,0.4837,0.569,0.488,0.5285
1.1,-0.1002,0.4838,0.4407,0.441,0.445,0.443,0.5457,0.4128,0.4792,0.5643,0.483,0.5236
1.2,-0.0725,0.467,0.4237,0.4367,0.4339,0.4353,0.5391,0.4171,0.4781,0.5601,0.4771,0.5186
1.3,-0.0446,0.4557,0.4056,0.4372,0.4277,0.4324,0.5353,0.4257,0.4805,0.5561,0.4698,0.5129
1.4,-0.0173,0.4493,0.3871,0.4424,0.4256,0.434,0.5344,0.4382,0.4863,0.5513,0.4606,0.506
1.5,0.009,0.4468,0.3692,0.4521,0.4266,0.4393,0.5365,0.4539,0.4952,0.5453,0.4491,0.4972
1.6,0.0355,0.4473,0.3524,0.4659,0.4293,0.4476,0.5419,0.4719,0.5069,0.5372,0.4349,0.4861
1.7,0.0637,0.45,0.3371,0.4836,0.4329,0.4583,0.551,0.4915,0.5212,0.5266,0.4176,0.4721
1.8,0.0948,0.4543,0.3229,0.504,0.4368,0.4704,0.5639,0.5117,0.5378,0.5129,0.3973,0.4551
1.9,0.1294,0.4593,0.3093,0.5262,0.4397,0.4829,0.5795,0.5309,0.5552,0.4962,0.374,0.4351
2,0.1682,0.464,0.296,0.5492,0.4408,0.495,0.5961,0.5476,0.5719,0.4766,0.348,0.4123
2.1,0.2113,0.4677,0.2827,0.5724,0.4397,0.5061,0.6128,0.5608,0.5868,0.4544,0.3196,0.387
2.2,0.2582,0.4701,0.2691,0.5954,0.4366,0.516,0.6292,0.5701,0.5997,0.4302,0.289,0.3596
2.3,0.308,0.4712,0.2548,0.6173,0.4317,0.5245,0.6455,0.5755,0.6105,0.4049,0.2573,0.3311
2.4,0.3601,0.4715,0.2403,0.638,0.4257,0.5318,0.6621,0.5772,0.6197,0.3794,0.2258,0.3026
2.5,0.4132,0.4717,0.2267,0.6574,0.4193,0.5384,0.6786,0.5758,0.6272,0.3547,0.1965,0.2756
2.6,0.4656,0.4728,0.2154,0.6753,0.4129,0.5441,0.695,0.5718,0.6334,0.3321,0.1709,0.2515
2.7,0.5156,0.4757,0.2077,0.6918,0.4069,0.5494,0.7111,0.5659,0.6385,0.3124,0.1501,0.2313
2.8,0.5612,0.4807,0.2039,0.7071,0.4021,0.5546,0.7263,0.5585,0.6424,0.2961,0.1344,0.2153
2.9,0.6005,0.4879,0.2043,0.7212,0.3999,0.5605,0.7396,0.5501,0.6448,0.283,0.124,0.2035
3,0.6314,0.4975,0.2094,0.7336,0.4019,0.5678,0.7501,0.5412,0.6457,0.2725,0.1188,0.1957
3.1,0.653,0.5102,0.2194,0.7441,0.4099,0.577,0.758,0.5329,0.6455,0.2645,0.1191,0.1918
3.2,0.6653,0.5269,0.2344,0.753,0.4242,0.5886,0.7642,0.5262,0.6452,0.2592,0.1251,0.1921
3.3,0.6686,0.5479,0.2537,0.761,0.4443,0.6027,0.7698,0.5213,0.6455,0.2574,0.137,0.1972
3.4,0.6633,0.5726,0.2762,0.7688,0.4691,0.6189,0.7751,0.5177,0.6464,0.2597,0.1546,0.2071
3.5,0.6501,0.5996,0.3005,0.7767,0.4973,0.637,0.7796,0.5149,0.6473,0.2663,0.1773,0.2218
3.6,0.6296,0.6281,0.3258,0.7849,0.5285,0.6567,0.7825,0.5126,0.6476,0.2765,0.2044,0.2405
3.7,0.6022,0.6576,0.3518,0.7934,0.5626,0.678,0.7835,0.5115,0.6475,0.2896,0.2352,0.2624
3.8,0.5683,0.6879,0.3785,0.8022,0.5989,0.7006,0.7833,0.5123,0.6478,0.305,0.2685,0.2867
3.9,0.5281,0.7174,0.406,0.8109,0.6359,0.7234,0.7821,0.5152,0.6487,0.3224,0.303,0.3127
4,0.4823,0.7442,0.4341,0.8189,0.6716,0.7453,0.7795,0.5195,0.6495,0.3411,0.3371,0.3391
4.1,0.4323,0.7666,0.4624,0.8264,0.7044,0.7654,0.7748,0.524,0.6494,0.3598,0.369,0.3644
4.2,0.3797,0.7842,0.4905,0.8338,0.7336,0.7837,0.7672,0.5282,0.6477,0.3774,0.3975,0.3874
4.3,0.3273,0.7976,0.5178,0.8414,0.7588,0.8001,0.7569,0.5325,0.6447,0.3936,0.4217,0.4077
4.4,0.2778,0.8075,0.5432,0.8493,0.7795,0.8144,0.7444,0.5369,0.6407,0.4082,0.4411,0.4247
4.5,0.2335,0.8144,0.5656,0.8574,0.7951,0.8263,0.7303,0.5412,0.6357,0.4202,0.455,0.4376
4.6,0.1956,0.818,0.5844,0.8653,0.8053,0.8353,0.7143,0.5441,0.6292,0.4282,0.463,0.4456
4.7,0.1643,0.8184,0.599,0.8727,0.8102,0.8414,0.6963,0.5448,0.6206,0.4313,0.4649,0.4481
4.8,0.1401,0.8161,0.609,0.8792,0.8103,0.8447,0.6765,0.543,0.6098,0.4293,0.4616,0.4455
4.9,0.1235,0.8119,0.6144,0.8842,0.8056,0.8449,0.6553,0.5387,0.597,0.4232,0.4541,0.4386
5,0.1149,0.8065,0.6146,0.8872,0.7965,0.8418,0.6329,0.5321,0.5825,0.4136,0.4429,0.4283
5.1,0.1141,0.8006,0.6093,0.8881,0.7834,0.8357,0.6097,0.5231,0.5664,0.401,0.4286,0.4148
5.2,0.1205,0.7944,0.5986,0.8872,0.7672,0.8272,0.5858,0.5125,0.5492,0.386,0.4118,0.3989
5.3,0.1336,0.788,0.5836,0.8846,0.7486,0.8166,0.5615,0.5009,0.5312,0.3693,0.3935,0.3814
5.4,0.1526,0.7819,0.5659,0.8803,0.7285,0.8044,0.5378,0.4891,0.5134,0.3513,0.3748,0.363
5.5,0.1764,0.7768,0.547,0.8738,0.7081,0.791,0.5155,0.4773,0.4964,0.3326,0.3563,0.3444
5.6,0.203,0.7732,0.5283,0.8646,0.6887,0.7766,0.4955,0.4658,0.4807,0.3138,0.3384,0.3261
5.7,0.2305,0.7714,0.5106,0.8526,0.6712,0.7619,0.4783,0.4551,0.4667,0.2954,0.3218,0.3086
5.8,0.2568,0.771,0.4951,0.8378,0.6566,0.7472,0.4644,0.4462,0.4553,0.2781,0.3071,0.2926
