Time,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1582,0.5776,1.0752,0.6178,0.6826,0.6502,0.6214,0.853,0.7372,0.78,0.6556,0.7178
0.1,0.1297,0.577,1.0478,0.5983,0.672,0.6352,0.6248,0.8365,0.7306,0.7683,0.6351,0.7017
0.2,0.1001,0.5781,1.018,0.5792,0.6602,0.6197,0.6293,0.822,0.7257,0.7541,0.6158,0.6849
0.3,0.0689,0.5811,0.9861,0.5606,0.6471,0.6039,0.6337,0.8101,0.7219,0.7374,0.5986,0.668
0.4,0.0344,0.5858,0.9531,0.5424,0.6334,0.5879,0.6365,0.8016,0.7191,0.7186,0.5846,0.6516
0.5,-0.0035,0.5923,0.9204,0.525,0.6197,0.5724,0.6368,0.7974,0.7171,0.6991,0.5747,0.6369
0.6,-0.0445,0.6006,0.8891,0.509,0.6068,0.5579,0.6345,0.7985,0.7165,0.68,0.5694,0.6247
0.7,-0.0865,0.6101,0.8601,0.495,0.5958,0.5454,0.6305,0.8049,0.7177,0.6617,0.5685,0.6151
0.8,-0.1274,0.6197,0.8329,0.4836,0.5872,0.5354,0.625,0.8151,0.72,0.6442,0.5714,0.6078
0.9,-0.1659,0.6279,0.8069,0.4744,0.581,0.5277,0.6176,0.8262,0.7219,0.6269,0.5774,0.6021
1,-0.2009,0.6331,0.7815,0.4673,0.5767,0.522,0.6078,0.8358,0.7218,0.6098,0.5859,0.5978
1.1,-0.2304,0.6347,0.7564,0.4626,0.574,0.5183,0.5964,0.8432,0.7198,0.5934,0.5963,0.5948
1.2,-0.2526,0.6325,0.7317,0.4609,0.5727,0.5168,0.5843,0.8482,0.7163,0.5779,0.6081,0.593
1.3,-0.2674,0.6271,0.7071,0.4625,0.5732,0.5179,0.5724,0.8509,0.7116,0.5636,0.6206,0.5921
1.4,-0.2755,0.6196,0.6817,0.4671,0.5763,0.5217,0.5616,0.8509,0.7063,0.551,0.6327,0.5919
1.5,-0.2776,0.611,0.6548,0.4745,0.5824,0.5285,0.5533,0.848,0.7006,0.5405,0.6434,0.592
1.6,-0.274,0.602,0.6265,0.4841,0.5911,0.5376,0.5491,0.8419,0.6955,0.5325,0.6525,0.5925
