Time,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1814,0.3994,0.8166,0.5533,0.5545,0.5539,0.2895,0.7779,0.5337,0.3996,0.666,0.5328
0.1,-0.131,0.3927,0.8288,0.5227,0.5172,0.5199,0.3096,0.7787,0.5441,0.4133,0.7039,0.5586
0.2,-0.0755,0.3842,0.8361,0.4886,0.4782,0.4834,0.3326,0.7757,0.5541,0.4296,0.739,0.5843
0.3,-0.0158,0.3742,0.8388,0.452,0.4396,0.4458,0.3571,0.769,0.5631,0.4473,0.7696,0.6085
0.4,0.0468,0.3631,0.8376,0.414,0.4031,0.4086,0.3825,0.759,0.5707,0.4659,0.794,0.63
0.5,0.1101,0.3517,0.8332,0.3762,0.3704,0.3733,0.4083,0.7467,0.5775,0.4851,0.8118,0.6484
0.6,0.1718,0.3409,0.8262,0.3396,0.343,0.3413,0.4348,0.7336,0.5842,0.5047,0.8228,0.6637
0.7,0.2298,0.3321,0.8177,0.3049,0.3218,0.3133,0.4617,0.721,0.5914,0.5238,0.8271,0.6754
0.8,0.2827,0.3264,0.8092,0.273,0.3077,0.2903,0.4887,0.7099,0.5993,0.5408,0.8252,0.683
0.9,0.3303,0.3244,0.8016,0.2446,0.3005,0.2725,0.5149,0.7008,0.6078,0.5548,0.8178,0.6863
1,0.3723,0.3257,0.7952,0.2202,0.2991,0.2597,0.5389,0.6932,0.6161,0.5658,0.8057,0.6857
1.1,0.4072,0.329,0.7893,0.1999,0.3021,0.251,0.5592,0.6862,0.6227,0.5744,0.7897,0.6821
1.2,0.4323,0.3335,0.783,0.1832,0.3085,0.2458,0.574,0.6786,0.6263,0.581,0.7703,0.6757
1.3,0.4452,0.3388,0.7757,0.1693,0.3176,0.2434,0.5826,0.6701,0.6263,0.5849,0.7479,0.6664
1.4,0.4439,0.345,0.7672,0.1573,0.3295,0.2434,0.5848,0.6609,0.6229,0.5858,0.7229,0.6543
1.5,0.4275,0.3519,0.7577,0.1467,0.3446,0.2457,0.5816,0.6513,0.6165,0.5839,0.6961,0.64
1.6,0.3967,0.3593,0.7478,0.1374,0.3627,0.25,0.5737,0.642,0.6079,0.5801,0.6687,0.6244
1.7,0.3531,0.3675,0.7375,0.1295,0.3838,0.2567,0.5628,0.6336,0.5982,0.5752,0.642,0.6086
1.8,0.2989,0.3767,0.7265,0.1239,0.4076,0.2657,0.5505,0.6269,0.5887,0.5701,0.6166,0.5933
1.9,0.2364,0.387,0.7143,0.1206,0.4339,0.2772,0.5383,0.6221,0.5802,0.5648,0.5935,0.5791
2,0.1676,0.398,0.7014,0.1199,0.4619,0.2909,0.5275,0.6192,0.5734,0.5596,0.5729,0.5663
2.1,0.0955,0.409,0.6882,0.1224,0.4904,0.3064,0.5189,0.6176,0.5682,0.5543,0.5555,0.5549
2.2,0.0241,0.4196,0.6753,0.1291,0.5181,0.3236,0.5126,0.6168,0.5647,0.5487,0.5417,0.5452
2.3,-0.0428,0.4297,0.6628,0.1409,0.5439,0.3424,0.509,0.6168,0.5629,0.543,0.5317,0.5374
2.4,-0.1022,0.4391,0.6507,0.1571,0.5674,0.3623,0.5078,0.6171,0.5624,0.5372,0.526,0.5316
2.5,-0.1521,0.4481,0.6393,0.1763,0.5891,0.3827,0.5087,0.6177,0.5632,0.5316,0.5247,0.5281
2.6,-0.1913,0.4568,0.6292,0.1967,0.6087,0.4027,0.511,0.6188,0.5649,0.5265,0.5276,0.5271
2.7,-0.2177,0.4649,0.6213,0.217,0.6261,0.4216,0.5146,0.6208,0.5677,0.5223,0.5342,0.5282
2.8,-0.2297,0.4718,0.616,0.2373,0.6406,0.439,0.52,0.6246,0.5723,0.5186,0.5435,0.531
2.9,-0.2273,0.4767,0.6133,0.2574,0.6515,0.4545,0.5274,0.6305,0.5789,0.5148,0.5548,0.5348
3,-0.212,0.479,0.6128,0.2767,0.6584,0.4675,0.5366,0.6383,0.5874,0.5103,0.5676,0.5389
3.1,-0.1857,0.4786,0.614,0.2943,0.6608,0.4776,0.547,0.6477,0.5974,0.5048,0.5815,0.5432
3.2,-0.1499,0.4758,0.6168,0.31,0.6587,0.4844,0.5584,0.6587,0.6085,0.4985,0.5962,0.5474
3.3,-0.1051,0.4707,0.621,0.3236,0.6523,0.4879,0.5707,0.6713,0.621,0.4917,0.6114,0.5515
3.4,-0.0524,0.463,0.6268,0.3346,0.642,0.4883,0.5839,0.6854,0.6347,0.4845,0.6269,0.5557
3.5,0.0067,0.4526,0.6346,0.3426,0.6282,0.4854,0.597,0.7006,0.6488,0.4768,0.6424,0.5596
3.6,0.0708,0.4396,0.6448,0.3473,0.6114,0.4794,0.609,0.7163,0.6626,0.4692,0.6576,0.5634
3.7,0.139,0.4248,0.6575,0.349,0.5925,0.4708,0.6195,0.732,0.6758,0.4624,0.6723,0.5673
3.8,0.21,0.4098,0.673,0.349,0.5731,0.461,0.6284,0.7476,0.688,0.4569,0.6863,0.5716
3.9,0.2824,0.3964,0.6912,0.3488,0.5552,0.452,0.6356,0.7633,0.6995,0.4531,0.6995,0.5763
4,0.3538,0.3856,0.7115,0.3495,0.5406,0.445,0.6408,0.7794,0.7101,0.4507,0.7113,0.581
