Time,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.1,0.2323,0.7484,0.5428,0.8034,0.6923,0.7478,0.4296,0.6092,0.5194,0.6244,0.5996,0.612
26.2,0.2098,0.7452,0.5143,0.7962,0.7066,0.7514,0.4237,0.6246,0.5242,0.6229,0.5838,0.6033
26.3,0.1862,0.7346,0.485,0.7826,0.7129,0.7478,0.4166,0.6423,0.5294,0.616,0.5662,0.5911
26.4,0.162,0.7182,0.4566,0.764,0.712,0.738,0.4084,0.6626,0.5355,0.6038,0.5469,0.5754
26.5,0.1375,0.6974,0.4309,0.7414,0.7041,0.7228,0.3998,0.6857,0.5427,0.5865,0.5264,0.5564
26.6,0.1132,0.6731,0.4093,0.7157,0.6896,0.7026,0.391,0.7111,0.5511,0.5645,0.5048,0.5347
26.7,0.0901,0.6462,0.3926,0.6872,0.6687,0.678,0.3828,0.7378,0.5603,0.539,0.4822,0.5106
26.8,0.0694,0.6178,0.3809,0.6568,0.643,0.6499,0.3757,0.7646,0.5702,0.5114,0.459,0.4852
26.9,0.0512,0.5895,0.3737,0.6257,0.6147,0.6202,0.3703,0.7899,0.5801,0.4832,0.4358,0.4595
27,0.0352,0.5623,0.371,0.5948,0.5859,0.5903,0.3665,0.8119,0.5892,0.4561,0.4136,0.4349
27.1,0.0207,0.5369,0.3727,0.5645,0.5584,0.5615,0.3639,0.829,0.5964,0.4313,0.3932,0.4122
27.2,0.0077,0.5134,0.3785,0.5352,0.5329,0.5341,0.3621,0.8397,0.6009,0.4097,0.3743,0.392
27.3,-0.0036,0.4918,0.3876,0.507,0.5091,0.508,0.3605,0.8439,0.6022,0.3909,0.3563,0.3736
27.4,-0.0128,0.4723,0.3985,0.4801,0.4863,0.4832,0.3587,0.8414,0.6,0.3742,0.3384,0.3563
27.5,-0.0195,0.4553,0.4095,0.4547,0.4646,0.4596,0.3564,0.8328,0.5946,0.3594,0.3203,0.3399
27.6,-0.0233,0.4408,0.4192,0.4309,0.4439,0.4374,0.3536,0.8183,0.586,0.3466,0.3024,0.3245
27.7,-0.024,0.4282,0.4264,0.4089,0.4248,0.4169,0.3504,0.7987,0.5745,0.3361,0.2847,0.3104
27.8,-0.022,0.4169,0.43,0.3887,0.4073,0.398,0.3463,0.7749,0.5606,0.3281,0.267,0.2975
27.9,-0.0177,0.4065,0.4287,0.3697,0.391,0.3804,0.3409,0.7478,0.5444,0.3224,0.2487,0.2856
28,-0.0116,0.3969,0.4215,0.3516,0.3756,0.3636,0.3339,0.7182,0.5261,0.3189,0.2295,0.2742
28.1,-0.0032,0.3876,0.4082,0.3337,0.3602,0.347,0.3255,0.6863,0.5059,0.3176,0.2093,0.2634
28.2,0.008,0.3783,0.3888,0.316,0.3443,0.3301,0.3162,0.6526,0.4844,0.3185,0.1881,0.2533
28.3,0.0213,0.3688,0.3639,0.2988,0.3278,0.3133,0.3066,0.6175,0.4621,0.3217,0.1662,0.244
28.4,0.0357,0.3591,0.3351,0.2823,0.3111,0.2967,0.297,0.5817,0.4394,0.3273,0.144,0.2356
28.5,0.0494,0.3495,0.3042,0.2663,0.2947,0.2805,0.2873,0.5457,0.4165,0.3345,0.1216,0.2281
28.6,0.0613,0.3395,0.2733,0.2501,0.2787,0.2644,0.2769,0.5099,0.3934,0.3425,0.0992,0.2209
28.7,0.0707,0.3285,0.2439,0.2331,0.2631,0.2481,0.2657,0.475,0.3703,0.3503,0.0774,0.2139
28.8,0.0773,0.3154,0.2169,0.2148,0.2479,0.2314,0.2536,0.4414,0.3475,0.3577,0.057,0.2073
28.9,0.0809,0.3003,0.1928,0.1957,0.233,0.2144,0.241,0.4099,0.3254,0.3645,0.039,0.2017
29,0.0817,0.2836,0.1725,0.1772,0.2185,0.1979,0.2278,0.3805,0.3042,0.3705,0.0244,0.1975
29.1,0.0798,0.2663,0.1571,0.1604,0.2049,0.1827,0.2145,0.3535,0.284,0.3757,0.0142,0.1949
29.2,0.0749,0.2493,0.1477,0.1463,0.193,0.1697,0.2013,0.3291,0.2652,0.3799,0.0091,0.1945
29.3,0.066,0.2331,0.1453,0.1348,0.1841,0.1595,0.1891,0.3079,0.2485,0.3833,0.0099,0.1966
29.4,0.0522,0.218,0.1502,0.1253,0.1792,0.1523,0.1783,0.2906,0.2345,0.3859,0.0166,0.2013
29.5,0.0329,0.2046,0.162,0.1173,0.1792,0.1483,0.1692,0.2782,0.2237,0.3879,0.0289,0.2084
29.6,0.0084,0.1929,0.1803,0.1107,0.1842,0.1474,0.1615,0.2707,0.2161,0.3895,0.046,0.2178
29.7,-0.0206,0.1829,0.204,0.1052,0.1936,0.1494,0.1544,0.2674,0.2109,0.3909,0.0667,0.2288
29.8,-0.0531,0.1735,0.2313,0.1005,0.2064,0.1535,0.1476,0.2668,0.2072,0.3922,0.0907,0.2414
29.9,-0.0896,0.1638,0.2595,0.0957,0.2217,0.1587,0.1406,0.2676,0.2041,0.3941,0.1174,0.2557
