Time,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
21.6,-0.028,0.6141,0.467,0.7153,0.6205,0.6679,0.4563,0.5887,0.5225,0.4109,0.2929,0.3519
21.7,-0.032,0.6239,0.4127,0.7381,0.6186,0.6783,0.4395,0.5614,0.5005,0.3831,0.2743,0.3287
21.8,-0.0313,0.6269,0.3612,0.7561,0.6133,0.6847,0.4245,0.5376,0.481,0.3583,0.2579,0.3081
21.9,-0.0266,0.6231,0.3139,0.7681,0.6046,0.6864,0.411,0.5171,0.464,0.3369,0.2442,0.2905
22,-0.0186,0.6132,0.2721,0.7735,0.5928,0.6831,0.3988,0.4997,0.4493,0.319,0.2335,0.2762
22.1,-0.0086,0.5981,0.2367,0.7725,0.5787,0.6756,0.3883,0.4856,0.437,0.3047,0.226,0.2654
22.2,0.0019,0.5792,0.2082,0.7665,0.5635,0.665,0.3803,0.4751,0.4277,0.2935,0.222,0.2577
22.3,0.0121,0.5577,0.1867,0.7566,0.5481,0.6523,0.3752,0.4685,0.4219,0.2847,0.2213,0.253
22.4,0.0216,0.5347,0.172,0.7435,0.5332,0.6383,0.3728,0.466,0.4194,0.2784,0.2242,0.2513
22.5,0.0301,0.511,0.1639,0.7277,0.5187,0.6232,0.3725,0.4672,0.4198,0.2746,0.2307,0.2527
22.6,0.0372,0.4877,0.1623,0.7097,0.5049,0.6073,0.3735,0.4721,0.4228,0.2737,0.241,0.2574
22.7,0.042,0.4655,0.1672,0.6905,0.4918,0.5911,0.3759,0.4804,0.4282,0.2758,0.2549,0.2654
22.8,0.0439,0.4454,0.1782,0.6712,0.4796,0.5754,0.3797,0.492,0.4359,0.2806,0.272,0.2763
22.9,0.0425,0.4281,0.1942,0.6527,0.4687,0.5607,0.385,0.506,0.4455,0.2873,0.2915,0.2894
23,0.0382,0.4138,0.2138,0.635,0.4592,0.5471,0.3912,0.5218,0.4565,0.2954,0.3127,0.3041
23.1,0.0315,0.4023,0.2356,0.6177,0.451,0.5343,0.3975,0.5384,0.468,0.3043,0.335,0.3197
23.2,0.0227,0.3938,0.259,0.6008,0.444,0.5224,0.4032,0.5554,0.4793,0.314,0.3576,0.3358
23.3,0.0123,0.3885,0.2835,0.5846,0.4383,0.5115,0.4078,0.5725,0.4902,0.3244,0.3804,0.3524
23.4,0.0005,0.3867,0.3086,0.5699,0.4343,0.5021,0.4114,0.5892,0.5003,0.3356,0.4032,0.3694
23.5,-0.0128,0.3885,0.3338,0.5573,0.4324,0.4949,0.414,0.605,0.5095,0.3478,0.4258,0.3868
23.6,-0.0279,0.3939,0.3584,0.547,0.4329,0.4899,0.4157,0.6194,0.5175,0.3611,0.4479,0.4045
23.7,-0.0448,0.4024,0.3819,0.5391,0.4356,0.4874,0.4166,0.6322,0.5244,0.3755,0.4691,0.4223
23.8,-0.0632,0.4141,0.4042,0.534,0.4405,0.4872,0.4171,0.6435,0.5303,0.3913,0.4889,0.4401
23.9,-0.0825,0.429,0.4243,0.5321,0.4475,0.4898,0.4173,0.6531,0.5352,0.4081,0.5068,0.4574
24,-0.1018,0.4471,0.4414,0.5336,0.4569,0.4952,0.4175,0.6611,0.5393,0.4258,0.5225,0.4741
24.1,-0.1202,0.4684,0.4545,0.5385,0.4688,0.5036,0.4179,0.6674,0.5427,0.4436,0.5362,0.4899
24.2,-0.1371,0.4921,0.4639,0.5465,0.4831,0.5148,0.4188,0.6726,0.5457,0.4611,0.5477,0.5044
24.3,-0.1528,0.5172,0.47,0.5572,0.4997,0.5284,0.4208,0.677,0.5489,0.478,0.5571,0.5175
24.4,-0.1678,0.5426,0.4734,0.5703,0.5177,0.544,0.4242,0.681,0.5526,0.4942,0.564,0.5291
24.5,-0.1824,0.5676,0.4741,0.5856,0.5369,0.5612,0.4295,0.6844,0.557,0.5098,0.5684,0.5391
24.6,-0.196,0.5918,0.4722,0.6029,0.5571,0.58,0.4372,0.6875,0.5624,0.5246,0.5701,0.5474
24.7,-0.2081,0.6149,0.4684,0.6219,0.5782,0.6,0.4477,0.6906,0.5692,0.5382,0.5694,0.5538
24.8,-0.2179,0.6361,0.4641,0.642,0.5999,0.621,0.4614,0.6942,0.5778,0.5501,0.5666,0.5583
24.9,-0.2253,0.6547,0.4608,0.6622,0.6217,0.6419,0.4781,0.6991,0.5886,0.5597,0.5621,0.5609
25,-0.2306,0.6702,0.4599,0.6813,0.6426,0.662,0.4977,0.7055,0.6016,0.5669,0.5564,0.5616
25.1,-0.2338,0.6829,0.4623,0.6986,0.6619,0.6803,0.5193,0.7135,0.6164,0.5723,0.5499,0.5611
25.2,-0.2341,0.6933,0.4685,0.7139,0.6785,0.6962,0.5415,0.7227,0.6321,0.5764,0.5433,0.5598
25.3,-0.2309,0.7021,0.4789,0.7267,0.6916,0.7092,0.5634,0.7333,0.6483,0.5794,0.5377,0.5585
25.4,-0.224,0.7091,0.4938,0.7375,0.7009,0.7192,0.5844,0.7454,0.6649,0.5818,0.5339,0.5579
25.5,-0.2141,0.7139,0.5121,0.7466,0.7066,0.7266,0.6043,0.7592,0.6818,0.5843,0.5326,0.5584
25.6,-0.2019,0.7166,0.5329,0.7545,0.7088,0.7316,0.6227,0.7741,0.6984,0.5873,0.5337,0.5605
25.7,-0.1873,0.7174,0.5554,0.7607,0.7072,0.734,0.6385,0.7886,0.7135,0.5915,0.5367,0.5641
25.8,-0.1706,0.7171,0.5795,0.7648,0.7017,0.7333,0.6506,0.8014,0.726,0.5969,0.5412,0.569
25.9,-0.1525,0.716,0.6055,0.7663,0.6927,0.7295,0.6584,0.8115,0.7349,0.6033,0.5465,0.5749
26,-0.1343,0.7139,0.6333,0.7651,0.6811,0.7231,0.6615,0.8185,0.74,0.61,0.5517,0.5809
26.1,-0.1166,0.7105,0.6621,0.7616,0.6677,0.7147,0.6597,0.8226,0.7411,0.6162,0.5557,0.5859
26.2,-0.0992,0.7059,0.6904,0.7563,0.6532,0.7048,0.6527,0.8232,0.7379,0.6207,0.557,0.5888
26.3,-0.0807,0.7005,0.7167,0.7497,0.638,0.6938,0.6406,0.8201,0.7303,0.623,0.5544,0.5887
26.4,-0.0601,0.6946,0.7401,0.7422,0.6224,0.6823,0.6246,0.8132,0.7189,0.6232,0.5478,0.5855
26.5,-0.0373,0.6887,0.7604,0.7348,0.607,0.6709,0.6064,0.8036,0.705,0.6215,0.5376,0.5796
26.6,-0.0128,0.6836,0.7779,0.7288,0.5928,0.6608,0.588,0.7927,0.6903,0.6183,0.5247,0.5715
26.7,0.0129,0.6801,0.793,0.7257,0.5805,0.6531,0.5706,0.7818,0.6762,0.6135,0.5101,0.5618
26.8,0.0399,0.679,0.8057,0.7263,0.5711,0.6487,0.5548,0.7716,0.6632,0.6067,0.4942,0.5504
26.9,0.0681,0.6809,0.8159,0.7301,0.5651,0.6476,0.5402,0.7619,0.651,0.5977,0.4772,0.5375
27,0.0962,0.6862,0.8228,0.7364,0.563,0.6497,0.5267,0.7522,0.6394,0.5867,0.4593,0.523
27.1,0.1228,0.695,0.8249,0.7446,0.5651,0.6548,0.5144,0.7421,0.6282,0.5736,0.4411,0.5074
27.2,0.1471,0.7073,0.8212,0.7547,0.5715,0.6631,0.5035,0.7318,0.6177,0.5582,0.4228,0.4905
27.3,0.169,0.7226,0.8122,0.7668,0.5819,0.6743,0.4943,0.7214,0.6079,0.5403,0.4045,0.4724
27.4,0.1885,0.7396,0.7994,0.7805,0.595,0.6878,0.4864,0.7112,0.5988,0.5198,0.3869,0.4533
27.5,0.2047,0.7563,0.784,0.7953,0.6092,0.7022,0.4792,0.7011,0.5901,0.4971,0.3703,0.4337
27.6,0.2159,0.7707,0.7665,0.8104,0.6224,0.7164,0.4719,0.6905,0.5812,0.4723,0.3556,0.414
27.7,0.2214,0.7819,0.7461,0.8258,0.633,0.7294,0.4643,0.6786,0.5715,0.4463,0.3429,0.3946
27.8,0.222,0.7895,0.7222,0.8415,0.6399,0.7407,0.4561,0.6647,0.5604,0.4194,0.3328,0.3761
27.9,0.2185,0.7936,0.6953,0.8575,0.6425,0.75,0.4471,0.6485,0.5478,0.3922,0.3256,0.3589
28,0.211,0.7939,0.6665,0.8734,0.6408,0.7571,0.4372,0.6312,0.5342,0.3655,0.3224,0.344
28.1,0.1988,0.7901,0.6376,0.8889,0.6352,0.762,0.4261,0.6139,0.52,0.3403,0.3243,0.3323
28.2,0.1824,0.7829,0.6097,0.9043,0.6261,0.7652,0.4137,0.5972,0.5054,0.3175,0.3319,0.3247
28.3,0.1642,0.7743,0.5837,0.9205,0.6147,0.7676,0.3998,0.5809,0.4904,0.298,0.3451,0.3215
28.4,0.147,0.7668,0.56,0.9391,0.602,0.7705,0.3853,0.5647,0.475,0.2826,0.3634,0.323
28.5,0.1335,0.7622,0.5391,0.9617,0.5891,0.7754,0.3712,0.5488,0.46,0.2718,0.3856,0.3287
28.6,0.1257,0.7607,0.5213,0.989,0.5766,0.7828,0.3587,0.5344,0.4465,0.2655,0.4102,0.3379
28.7,0.1237,0.7613,0.5068,1.0208,0.565,0.7929,0.3487,0.5224,0.4355,0.264,0.4351,0.3495
28.8,0.1274,0.7635,0.4957,1.0559,0.555,0.8055,0.3419,0.5135,0.4277,0.2678,0.4587,0.3633
28.9,0.1376,0.7673,0.4878,1.093,0.5477,0.8203,0.3393,0.5083,0.4238,0.2782,0.48,0.3791
29,0.1547,0.7734,0.4836,1.1307,0.5442,0.8375,0.3418,0.5068,0.4243,0.2957,0.4983,0.397
29.1,0.1773,0.7822,0.4833,1.1681,0.5458,0.857,0.3504,0.5098,0.4301,0.32,0.5135,0.4167
29.2,0.2034,0.7932,0.4871,1.2049,0.5536,0.8793,0.3661,0.5177,0.4419,0.3494,0.5255,0.4375
29.3,0.2312,0.8053,0.4942,1.241,0.568,0.9045,0.389,0.5309,0.46,0.3816,0.5339,0.4578
29.4,0.2606,0.8179,0.5041,1.2769,0.5887,0.9328,0.4192,0.5494,0.4843,0.4143,0.538,0.4762
29.5,0.2918,0.8311,0.516,1.3123,0.6146,0.9635,0.4563,0.5728,0.5145,0.446,0.5375,0.4918
29.6,0.3248,0.8445,0.5296,1.3461,0.644,0.9951,0.5003,0.6,0.5501,0.4761,0.5332,0.5047
29.7,0.3576,0.8573,0.5449,1.3754,0.6755,1.0255,0.5511,0.6298,0.5904,0.5047,0.5265,0.5156
29.8,0.3875,0.8676,0.5616,1.3973,0.7076,1.0525,0.6076,0.6608,0.6342,0.5322,0.5185,0.5254
29.9,0.4118,0.8742,0.5793,1.4099,0.7387,1.0743,0.667,0.692,0.6795,0.5585,0.5102,0.5344
