Time,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3774,0.4889,0.5041,0.2407,0.4674,0.3541,0.4597,0.4634,0.4616,0.2787,0.4826,0.3806
0.1,-0.3318,0.4905,0.4773,0.2388,0.4811,0.36,0.4265,0.4508,0.4386,0.2579,0.4654,0.3616
0.2,-0.2827,0.495,0.4517,0.2404,0.4923,0.3663,0.3967,0.441,0.4189,0.2382,0.4467,0.3425
0.3,-0.2306,0.5019,0.428,0.2449,0.5004,0.3727,0.3712,0.4339,0.4025,0.2198,0.4268,0.3233
0.4,-0.1764,0.5105,0.4064,0.252,0.5052,0.3786,0.3502,0.429,0.3896,0.2034,0.4063,0.3049
0.5,-0.122,0.5201,0.3875,0.2609,0.5067,0.3838,0.3338,0.4262,0.38,0.1905,0.3867,0.2886
0.6,-0.0698,0.5296,0.3719,0.2714,0.5052,0.3883,0.322,0.4251,0.3735,0.1827,0.3698,0.2762
0.7,-0.0214,0.538,0.36,0.2831,0.5007,0.3919,0.3142,0.4254,0.3698,0.1808,0.3571,0.2689
0.8,0.0223,0.5449,0.3522,0.2956,0.4939,0.3948,0.3104,0.4267,0.3685,0.1845,0.349,0.2668
0.9,0.0607,0.5506,0.3481,0.3091,0.4857,0.3974,0.3103,0.429,0.3696,0.193,0.3454,0.2692
1,0.0939,0.5555,0.3472,0.3238,0.4771,0.4004,0.3139,0.4327,0.3733,0.2056,0.3453,0.2755
1.1,0.122,0.5595,0.3495,0.3399,0.4692,0.4045,0.3207,0.4382,0.3795,0.2217,0.3482,0.2849
1.2,0.1451,0.5625,0.3548,0.3578,0.4629,0.4104,0.3301,0.4457,0.3879,0.2411,0.3531,0.2971
1.3,0.1636,0.5645,0.3631,0.3774,0.4588,0.4181,0.3412,0.455,0.3981,0.2631,0.3596,0.3113
1.4,0.1777,0.5657,0.3733,0.3981,0.4565,0.4273,0.3532,0.4656,0.4094,0.2862,0.3666,0.3264
1.5,0.1874,0.5666,0.384,0.419,0.4556,0.4373,0.3648,0.4766,0.4207,0.3087,0.3732,0.341
1.6,0.1932,0.5676,0.3942,0.4391,0.456,0.4476,0.3752,0.4867,0.4309,0.329,0.3789,0.3539
