Time,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.9,0.1409,0.7504,0.7506,0.9196,0.7786,0.8491,0.8001,0.8539,0.827,0.3178,0.4474,0.3826
27,0.1234,0.746,0.7675,0.9206,0.7793,0.85,0.8247,0.8777,0.8512,0.3321,0.4794,0.4058
27.1,0.1079,0.7385,0.7764,0.9169,0.7741,0.8455,0.8397,0.8938,0.8667,0.349,0.5118,0.4304
27.2,0.0956,0.7281,0.7778,0.9087,0.7627,0.8357,0.8455,0.903,0.8742,0.3678,0.5437,0.4558
27.3,0.0882,0.7152,0.7726,0.897,0.7456,0.8213,0.8431,0.9057,0.8744,0.3876,0.5742,0.4809
27.4,0.0857,0.7004,0.7616,0.8819,0.7236,0.8027,0.8332,0.9023,0.8678,0.408,0.6027,0.5054
27.5,0.0875,0.6836,0.7456,0.8634,0.6978,0.7806,0.8165,0.8929,0.8547,0.4285,0.6288,0.5286
27.6,0.0928,0.665,0.7255,0.8413,0.6697,0.7555,0.7939,0.8778,0.8358,0.4481,0.6517,0.5499
27.7,0.1013,0.6448,0.7026,0.8165,0.6413,0.7289,0.7663,0.8579,0.8121,0.4663,0.6713,0.5688
27.8,0.1121,0.6241,0.6788,0.7903,0.6144,0.7023,0.7353,0.8345,0.7849,0.4828,0.6879,0.5854
27.9,0.1241,0.604,0.656,0.7632,0.5903,0.6767,0.7018,0.8083,0.7551,0.4976,0.7025,0.6001
28,0.1347,0.5857,0.6356,0.7352,0.5698,0.6525,0.6668,0.7798,0.7233,0.5106,0.7161,0.6133
28.1,0.1421,0.5699,0.6175,0.7061,0.5529,0.6295,0.6311,0.7491,0.6901,0.5222,0.7291,0.6257
28.2,0.1467,0.557,0.6012,0.6767,0.54,0.6083,0.5957,0.7164,0.656,0.5335,0.7422,0.6378
28.3,0.1505,0.5474,0.586,0.6477,0.5307,0.5892,0.562,0.682,0.622,0.5463,0.7556,0.651
28.4,0.1547,0.5416,0.5722,0.6201,0.5249,0.5725,0.5314,0.6467,0.589,0.5617,0.7703,0.666
28.5,0.1585,0.5405,0.5606,0.5937,0.5223,0.558,0.5051,0.6115,0.5583,0.5797,0.7871,0.6834
28.6,0.16,0.5442,0.5521,0.5678,0.5229,0.5454,0.4842,0.5774,0.5308,0.5998,0.8061,0.703
28.7,0.1588,0.5524,0.547,0.542,0.5273,0.5346,0.4695,0.5455,0.5075,0.6215,0.8263,0.7239
28.8,0.1564,0.564,0.5451,0.5166,0.5354,0.526,0.462,0.5165,0.4892,0.6445,0.8457,0.7451
28.9,0.155,0.5775,0.5466,0.4924,0.5466,0.5195,0.4614,0.4908,0.4761,0.668,0.8628,0.7654
29,0.1563,0.5922,0.5515,0.4697,0.5599,0.5148,0.467,0.4683,0.4676,0.6901,0.8767,0.7834
29.1,0.1608,0.6072,0.5594,0.4483,0.5741,0.5112,0.4775,0.4487,0.4631,0.7084,0.8871,0.7978
29.2,0.1684,0.6221,0.569,0.428,0.5884,0.5082,0.4915,0.431,0.4613,0.7207,0.8933,0.807
29.3,0.1781,0.6361,0.5792,0.4088,0.602,0.5054,0.5073,0.4147,0.461,0.7262,0.8946,0.8104
29.4,0.1877,0.6483,0.5888,0.3908,0.6141,0.5024,0.5235,0.3991,0.4613,0.7248,0.8913,0.808
29.5,0.1956,0.6582,0.5973,0.3741,0.6246,0.4993,0.5388,0.3844,0.4616,0.716,0.8839,0.7999
29.6,0.2008,0.6659,0.6046,0.3588,0.6339,0.4964,0.5521,0.3709,0.4615,0.7002,0.8731,0.7866
29.7,0.2041,0.672,0.6108,0.3456,0.6428,0.4942,0.5632,0.359,0.4611,0.6789,0.8587,0.7688
29.8,0.2076,0.6769,0.6155,0.3365,0.6517,0.4941,0.5714,0.348,0.4597,0.6528,0.8404,0.7466
29.9,0.2137,0.6809,0.6183,0.3337,0.6607,0.4972,0.5759,0.3369,0.4564,0.6219,0.8177,0.7198
