Time,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3365,0.3657,-0.0952,0.5875,0.3955,0.4915,0.4695,0.1036,0.2866,0.1841,0.0388,0.1114
0.1,0.3684,0.3556,-0.0408,0.5916,0.3585,0.475,0.4548,0.118,0.2864,0.1925,0.055,0.1237
0.2,0.3906,0.3489,0.0125,0.5944,0.326,0.4602,0.4444,0.1364,0.2904,0.2021,0.0757,0.1389
0.3,0.404,0.3459,0.0633,0.5962,0.2982,0.4472,0.4392,0.1581,0.2987,0.2132,0.1,0.1566
0.4,0.4106,0.3469,0.1108,0.5968,0.2747,0.4357,0.4392,0.1823,0.3108,0.2258,0.1271,0.1765
0.5,0.4114,0.3513,0.1544,0.5962,0.2555,0.4259,0.4442,0.2077,0.3259,0.2398,0.1562,0.198
0.6,0.4061,0.3587,0.1935,0.5946,0.241,0.4178,0.4534,0.2334,0.3434,0.2546,0.1857,0.2201
0.7,0.3934,0.3686,0.2272,0.5926,0.2316,0.4121,0.4664,0.2587,0.3626,0.2695,0.2144,0.242
0.8,0.3725,0.3807,0.2548,0.5905,0.2281,0.4093,0.4828,0.283,0.3829,0.2844,0.2416,0.263
0.9,0.3445,0.3945,0.2756,0.588,0.2302,0.4091,0.5017,0.3058,0.4037,0.299,0.267,0.283
1,0.3128,0.4087,0.2897,0.5843,0.2367,0.4105,0.5217,0.3266,0.4241,0.3135,0.2909,0.3022
1.1,0.2804,0.422,0.2978,0.5788,0.2466,0.4127,0.5417,0.3453,0.4435,0.3273,0.3136,0.3205
1.2,0.249,0.4338,0.3004,0.5714,0.2593,0.4154,0.5607,0.3622,0.4614,0.3401,0.3351,0.3376
1.3,0.2184,0.4441,0.2978,0.5631,0.2749,0.419,0.5783,0.3774,0.4778,0.3513,0.355,0.3531
1.4,0.1886,0.4534,0.2906,0.5543,0.2939,0.4241,0.5944,0.3911,0.4927,0.3604,0.3728,0.3666
