Time,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2804,0.5531,0.5114,0.3286,0.4621,0.3953,0.4056,0.8346,0.6201,0.7971,0.5453,0.6712
0.1,0.2746,0.5975,0.5202,0.3944,0.5019,0.4482,0.4257,0.8623,0.644,0.8147,0.5545,0.6846
0.2,0.263,0.6331,0.5271,0.4573,0.5378,0.4976,0.445,0.8845,0.6648,0.8286,0.5668,0.6977
0.3,0.2476,0.6594,0.5315,0.5131,0.5683,0.5407,0.4629,0.9006,0.6817,0.8371,0.5808,0.709
0.4,0.2294,0.6769,0.5327,0.5587,0.5922,0.5755,0.4794,0.9102,0.6948,0.8395,0.5948,0.7172
0.5,0.2083,0.6862,0.5302,0.5923,0.6089,0.6006,0.4942,0.9139,0.7041,0.8355,0.6072,0.7214
0.6,0.1835,0.6881,0.5242,0.614,0.6182,0.6161,0.5072,0.912,0.7096,0.8248,0.6174,0.7211
0.7,0.1547,0.684,0.5152,0.6246,0.6212,0.6229,0.5176,0.9049,0.7113,0.8083,0.6259,0.7171
0.8,0.1211,0.6751,0.5044,0.6262,0.6192,0.6227,0.5252,0.8929,0.7091,0.7875,0.6337,0.7106
0.9,0.0823,0.6628,0.4936,0.6209,0.6135,0.6172,0.5301,0.877,0.7036,0.7645,0.6415,0.703
1,0.039,0.6479,0.4843,0.6102,0.6049,0.6076,0.5328,0.8584,0.6956,0.7417,0.65,0.6959
1.1,-0.0076,0.6311,0.4779,0.5952,0.5939,0.5946,0.5337,0.8387,0.6862,0.7212,0.6601,0.6906
1.2,-0.0562,0.6135,0.4748,0.5775,0.5805,0.579,0.5333,0.8194,0.6763,0.7036,0.6726,0.6881
1.3,-0.1056,0.5965,0.4746,0.5589,0.565,0.562,0.5317,0.8016,0.6666,0.6887,0.6877,0.6882
1.4,-0.1549,0.5813,0.4766,0.5411,0.5476,0.5444,0.5292,0.7858,0.6575,0.6761,0.7042,0.6902
1.5,-0.2039,0.5682,0.4808,0.5246,0.5284,0.5265,0.5258,0.7723,0.6491,0.6661,0.7208,0.6935
1.6,-0.2522,0.5574,0.4876,0.5089,0.5075,0.5082,0.5215,0.7611,0.6413,0.6594,0.7366,0.698
1.7,-0.299,0.5491,0.4972,0.4937,0.4852,0.4894,0.5163,0.7524,0.6343,0.6561,0.7514,0.7037
1.8,-0.343,0.5438,0.51,0.4788,0.4629,0.4709,0.511,0.7462,0.6286,0.6563,0.7654,0.7108
1.9,-0.3833,0.5421,0.5266,0.4652,0.4428,0.454,0.507,0.7425,0.6248,0.6603,0.7787,0.7195
2,-0.4192,0.5444,0.5468,0.4537,0.4272,0.4405,0.506,0.7412,0.6236,0.6679,0.7915,0.7297
2.1,-0.4498,0.5506,0.5699,0.4448,0.4171,0.431,0.5088,0.7424,0.6256,0.679,0.8036,0.7413
2.2,-0.4748,0.5602,0.595,0.4386,0.4128,0.4257,0.5156,0.7463,0.6309,0.6925,0.8148,0.7536
2.3,-0.4943,0.5729,0.6207,0.4354,0.4142,0.4248,0.526,0.7527,0.6394,0.7069,0.8247,0.7658
2.4,-0.5083,0.5884,0.6461,0.4363,0.4214,0.4288,0.5398,0.7612,0.6505,0.7214,0.8334,0.7774
2.5,-0.5168,0.6055,0.6704,0.4424,0.4341,0.4382,0.5567,0.771,0.6638,0.7354,0.8412,0.7883
2.6,-0.5206,0.6229,0.6926,0.454,0.4509,0.4525,0.5764,0.7807,0.6785,0.7485,0.8486,0.7986
2.7,-0.5213,0.6387,0.7118,0.4708,0.4701,0.4704,0.5978,0.7891,0.6935,0.7601,0.8562,0.8082
2.8,-0.5206,0.6515,0.7272,0.4917,0.4903,0.491,0.619,0.795,0.707,0.7691,0.8637,0.8164
2.9,-0.5193,0.6613,0.7385,0.5153,0.511,0.5131,0.6382,0.7976,0.7179,0.7746,0.8707,0.8226
3,-0.5169,0.6685,0.7455,0.5406,0.5323,0.5364,0.6543,0.7962,0.7252,0.7762,0.8768,0.8265
3.1,-0.5117,0.6736,0.7481,0.567,0.5536,0.5603,0.6669,0.79,0.7284,0.7741,0.8822,0.8281
3.2,-0.5009,0.6762,0.7464,0.5936,0.5736,0.5836,0.6758,0.7783,0.727,0.7683,0.8871,0.8277
3.3,-0.483,0.6755,0.7411,0.6189,0.5906,0.6048,0.6801,0.7612,0.7206,0.7588,0.8917,0.8252
3.4,-0.4585,0.6711,0.733,0.6412,0.6036,0.6224,0.6788,0.7396,0.7092,0.7456,0.8959,0.8208
3.5,-0.4297,0.6632,0.7234,0.6591,0.6131,0.6361,0.6717,0.7158,0.6938,0.7295,0.8997,0.8146
3.6,-0.4003,0.6529,0.7131,0.6727,0.6196,0.6461,0.6599,0.6927,0.6763,0.7116,0.903,0.8073
3.7,-0.373,0.6411,0.7024,0.6824,0.6235,0.653,0.6449,0.6721,0.6585,0.6931,0.9053,0.7992
3.8,-0.3494,0.6291,0.6913,0.6891,0.6256,0.6573,0.6276,0.6549,0.6413,0.6748,0.906,0.7904
3.9,-0.3298,0.6177,0.6798,0.6936,0.627,0.6603,0.6083,0.6408,0.6246,0.6575,0.9046,0.781
4,-0.3142,0.6079,0.6682,0.696,0.6288,0.6624,0.5867,0.6293,0.608,0.6416,0.9011,0.7714
4.1,-0.3018,0.6006,0.6571,0.6966,0.6313,0.6639,0.5632,0.6201,0.5917,0.6279,0.8957,0.7618
4.2,-0.2917,0.5957,0.6468,0.6955,0.6335,0.6645,0.5388,0.6136,0.5762,0.6167,0.8884,0.7526
4.3,-0.2821,0.5927,0.6371,0.6926,0.6342,0.6634,0.5147,0.6097,0.5622,0.608,0.8795,0.7438
4.4,-0.2711,0.5903,0.6271,0.6873,0.6321,0.6597,0.4912,0.6081,0.5497,0.6019,0.8695,0.7357
4.5,-0.2578,0.5876,0.6151,0.679,0.6262,0.6526,0.4684,0.608,0.5382,0.5983,0.8588,0.7286
4.6,-0.2423,0.5836,0.6,0.6671,0.6157,0.6414,0.4465,0.6083,0.5274,0.5967,0.8478,0.7223
4.7,-0.2258,0.578,0.5814,0.6512,0.6,0.6256,0.4257,0.6087,0.5172,0.5966,0.836,0.7163
4.8,-0.2093,0.5709,0.5598,0.6309,0.5791,0.605,0.4062,0.6089,0.5076,0.5977,0.8227,0.7102
4.9,-0.1927,0.5626,0.5361,0.6064,0.5538,0.5801,0.3881,0.6086,0.4984,0.5999,0.8081,0.704
5,-0.1745,0.5539,0.5113,0.5795,0.5259,0.5527,0.3714,0.6079,0.4897,0.6033,0.7933,0.6983
5.1,-0.1534,0.5456,0.4861,0.5522,0.4974,0.5248,0.3566,0.6069,0.4817,0.6079,0.7795,0.6937
5.2,-0.129,0.5383,0.4613,0.5263,0.4697,0.498,0.3445,0.6055,0.475,0.6135,0.767,0.6903
5.3,-0.101,0.5319,0.4376,0.5031,0.4433,0.4732,0.3361,0.6032,0.4697,0.6192,0.7553,0.6873
5.4,-0.0702,0.5266,0.4154,0.4826,0.4192,0.4509,0.3318,0.5999,0.4658,0.6243,0.7437,0.684
5.5,-0.0376,0.5225,0.3952,0.4653,0.3979,0.4316,0.3316,0.5957,0.4636,0.6279,0.7317,0.6798
5.6,-0.0051,0.5197,0.3775,0.4511,0.3801,0.4156,0.3353,0.5915,0.4634,0.6295,0.7193,0.6744
5.7,0.0248,0.5181,0.3626,0.4405,0.3659,0.4032,0.3428,0.5877,0.4652,0.6288,0.7069,0.6679
5.8,0.0497,0.5173,0.3509,0.4335,0.3551,0.3943,0.3536,0.5844,0.469,0.6259,0.6944,0.6601
5.9,0.0681,0.5166,0.3426,0.4301,0.3476,0.3889,0.367,0.5816,0.4743,0.6209,0.6816,0.6512
6,0.0799,0.5154,0.3373,0.4296,0.3429,0.3863,0.3825,0.5788,0.4807,0.614,0.6684,0.6412
6.1,0.0856,0.5138,0.3348,0.4315,0.3406,0.386,0.3995,0.5761,0.4878,0.6055,0.6552,0.6304
6.2,0.087,0.5122,0.3346,0.4355,0.3403,0.3879,0.4171,0.5738,0.4954,0.5951,0.6422,0.6187
6.3,0.0861,0.5114,0.3364,0.442,0.3421,0.392,0.4348,0.5726,0.5037,0.5831,0.6294,0.6063
6.4,0.0848,0.5117,0.3403,0.452,0.3462,0.3991,0.4525,0.5731,0.5128,0.57,0.617,0.5935
6.5,0.0839,0.5137,0.3465,0.4668,0.3533,0.41,0.4706,0.576,0.5233,0.5567,0.6053,0.581
6.6,0.0832,0.5175,0.3553,0.4865,0.3636,0.4251,0.4898,0.5813,0.5355,0.5441,0.595,0.5696
6.7,0.0819,0.523,0.3668,0.5108,0.3773,0.4441,0.5103,0.5894,0.5498,0.5331,0.5869,0.56
6.8,0.079,0.53,0.3807,0.5387,0.3941,0.4664,0.5323,0.6004,0.5664,0.5241,0.581,0.5526
