Time,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1665,0.4986,0.5612,0.5263,0.3753,0.4508,0.5599,0.5816,0.5708,0.5608,0.4656,0.5132
0.1,-0.1268,0.4975,0.5888,0.5519,0.3635,0.4577,0.5742,0.6209,0.5975,0.5835,0.4761,0.5298
0.2,-0.0867,0.4987,0.6177,0.5788,0.3565,0.4676,0.5913,0.658,0.6246,0.6044,0.4878,0.5461
0.3,-0.0502,0.5022,0.6467,0.6059,0.3539,0.4799,0.61,0.6931,0.6515,0.6233,0.5005,0.5619
0.4,-0.0203,0.5078,0.6741,0.6323,0.3554,0.4938,0.6295,0.7252,0.6773,0.6397,0.5137,0.5767
0.5,0.0023,0.5156,0.6981,0.6571,0.3606,0.5088,0.6493,0.7526,0.701,0.6526,0.5263,0.5895
0.6,0.0188,0.5259,0.7175,0.6802,0.3688,0.5245,0.6691,0.7742,0.7217,0.6612,0.5377,0.5995
0.7,0.0304,0.5384,0.7318,0.7011,0.379,0.5401,0.6882,0.7901,0.7391,0.6652,0.5475,0.6064
0.8,0.038,0.5526,0.741,0.7194,0.3898,0.5546,0.7055,0.8007,0.7531,0.6646,0.5552,0.6099
0.9,0.0411,0.5676,0.7447,0.7343,0.4001,0.5672,0.7201,0.8069,0.7635,0.659,0.5605,0.6098
1,0.0393,0.5828,0.7429,0.7455,0.4093,0.5774,0.7318,0.8089,0.7703,0.6486,0.5631,0.6058
1.1,0.0321,0.598,0.736,0.7527,0.4175,0.5851,0.7403,0.8075,0.7739,0.6336,0.5633,0.5984
1.2,0.0199,0.6128,0.7249,0.7561,0.4248,0.5905,0.7454,0.8038,0.7746,0.6152,0.5618,0.5885
1.3,0.0037,0.6264,0.7106,0.7559,0.4313,0.5936,0.7465,0.7988,0.7727,0.5944,0.5592,0.5768
1.4,-0.016,0.6376,0.6938,0.7527,0.4371,0.5949,0.7433,0.7932,0.7682,0.5724,0.5559,0.5641
1.5,-0.038,0.6462,0.6752,0.7467,0.4429,0.5948,0.7363,0.7874,0.7618,0.5499,0.5522,0.5511
1.6,-0.0615,0.6528,0.6555,0.7385,0.4493,0.5939,0.7268,0.7817,0.7543,0.528,0.5487,0.5383
1.7,-0.0856,0.6587,0.6355,0.7287,0.4573,0.593,0.7157,0.7766,0.7461,0.5072,0.5459,0.5266
1.8,-0.1095,0.665,0.6161,0.7179,0.467,0.5925,0.7031,0.772,0.7375,0.4883,0.5443,0.5163
1.9,-0.1324,0.6722,0.5975,0.7066,0.4781,0.5923,0.6893,0.768,0.7286,0.4717,0.5443,0.508
2,-0.1527,0.6811,0.5799,0.6954,0.4902,0.5928,0.6746,0.7645,0.7195,0.4579,0.546,0.5019
2.1,-0.1682,0.6923,0.5633,0.6856,0.5037,0.5947,0.6595,0.7614,0.7104,0.4474,0.5499,0.4986
2.2,-0.1771,0.7063,0.5483,0.6784,0.5195,0.5989,0.6447,0.7584,0.7016,0.4405,0.556,0.4983
2.3,-0.1786,0.723,0.5355,0.6743,0.5376,0.6059,0.6306,0.7554,0.693,0.4372,0.5642,0.5007
2.4,-0.1728,0.7418,0.5256,0.6728,0.5573,0.6151,0.6174,0.7526,0.685,0.4369,0.5741,0.5055
2.5,-0.1611,0.7619,0.5191,0.6731,0.5778,0.6254,0.6048,0.7502,0.6775,0.4393,0.5852,0.5122
2.6,-0.1453,0.7825,0.5161,0.6747,0.5982,0.6364,0.5933,0.7483,0.6708,0.4437,0.5968,0.5203
2.7,-0.1263,0.8036,0.5171,0.6775,0.6182,0.6479,0.5837,0.7469,0.6653,0.4497,0.6084,0.5291
2.8,-0.104,0.8251,0.5226,0.6818,0.6377,0.6598,0.5769,0.7459,0.6614,0.4569,0.6195,0.5382
2.9,-0.0775,0.8468,0.5323,0.6875,0.6565,0.672,0.5728,0.7455,0.6592,0.465,0.6299,0.5475
3,-0.0461,0.8677,0.5454,0.6938,0.6739,0.6839,0.5713,0.7456,0.6585,0.474,0.6395,0.5568
