Time,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.8,0.6631,0.5997,0.546,0.7982,0.6099,0.704,0.8679,0.714,0.7909,0.4712,0.3653,0.4183
26.9,0.6835,0.5848,0.5304,0.7906,0.5724,0.6815,0.8523,0.6905,0.7714,0.448,0.3483,0.3982
27,0.6977,0.5718,0.5195,0.7815,0.5376,0.6596,0.8365,0.6688,0.7526,0.4261,0.3345,0.3803
27.1,0.7045,0.5609,0.5139,0.7715,0.5072,0.6394,0.8211,0.6496,0.7353,0.4064,0.3245,0.3655
27.2,0.7045,0.5517,0.5136,0.7613,0.4821,0.6217,0.8063,0.6332,0.7197,0.3897,0.3185,0.3541
27.3,0.6992,0.5439,0.5183,0.7513,0.4626,0.6069,0.7927,0.6206,0.7067,0.3766,0.3167,0.3466
27.4,0.6898,0.5375,0.528,0.742,0.4486,0.5953,0.7811,0.6127,0.6969,0.368,0.3188,0.3434
27.5,0.6761,0.5325,0.5422,0.7335,0.4401,0.5868,0.7718,0.6097,0.6907,0.364,0.3245,0.3442
27.6,0.6572,0.5285,0.5595,0.7258,0.4361,0.581,0.765,0.6106,0.6878,0.3642,0.3325,0.3483
27.7,0.6326,0.5249,0.5782,0.7187,0.4359,0.5773,0.7602,0.6141,0.6871,0.3674,0.3418,0.3546
27.8,0.6028,0.5218,0.5968,0.7121,0.4386,0.5754,0.757,0.6189,0.6879,0.3732,0.3516,0.3624
27.9,0.5689,0.5203,0.6147,0.7065,0.4444,0.5755,0.7554,0.6245,0.6899,0.3818,0.3621,0.3719
28,0.5307,0.5216,0.6311,0.7026,0.453,0.5778,0.7555,0.6309,0.6932,0.3937,0.3734,0.3835
28.1,0.4876,0.5258,0.6452,0.7002,0.4636,0.5819,0.7571,0.6374,0.6973,0.4087,0.3849,0.3968
28.2,0.4399,0.5319,0.6559,0.698,0.4744,0.5862,0.7591,0.643,0.7011,0.4259,0.3955,0.4107
28.3,0.3901,0.5385,0.662,0.695,0.4838,0.5894,0.7603,0.6464,0.7034,0.4434,0.4037,0.4235
28.4,0.3413,0.5447,0.6629,0.69,0.4905,0.5903,0.7598,0.6473,0.7035,0.4597,0.4086,0.4342
28.5,0.2956,0.5499,0.6584,0.6826,0.4943,0.5884,0.7571,0.6457,0.7014,0.4742,0.41,0.4421
28.6,0.253,0.5542,0.6491,0.6726,0.4951,0.5838,0.752,0.642,0.697,0.4862,0.408,0.4471
28.7,0.2126,0.5577,0.6356,0.6597,0.4934,0.5765,0.7443,0.6362,0.6903,0.495,0.4028,0.4489
28.8,0.1734,0.5612,0.6186,0.6444,0.4905,0.5674,0.7343,0.6287,0.6815,0.5003,0.3949,0.4476
28.9,0.1354,0.5661,0.5991,0.6274,0.4887,0.5581,0.7223,0.6203,0.6713,0.5018,0.3843,0.4431
29,0.0991,0.5736,0.5778,0.6098,0.4897,0.5497,0.7091,0.6119,0.6605,0.5001,0.3715,0.4358
29.1,0.0639,0.5837,0.5556,0.5915,0.4943,0.5429,0.6951,0.6047,0.6499,0.4954,0.357,0.4262
29.2,0.0289,0.5958,0.5326,0.5722,0.5019,0.537,0.6806,0.5991,0.6398,0.4879,0.3415,0.4147
29.3,-0.0061,0.6097,0.5095,0.5519,0.512,0.5319,0.6661,0.595,0.6305,0.4788,0.326,0.4024
29.4,-0.0406,0.6263,0.4872,0.5318,0.5249,0.5284,0.6528,0.5931,0.6229,0.4702,0.3123,0.3913
29.5,-0.0737,0.6473,0.4676,0.5138,0.5423,0.528,0.6429,0.5947,0.6188,0.4646,0.3022,0.3834
29.6,-0.1048,0.6738,0.4528,0.4996,0.5655,0.5326,0.6383,0.6014,0.6199,0.4638,0.2971,0.3804
29.7,-0.1337,0.7053,0.4441,0.4906,0.5951,0.5429,0.6401,0.6136,0.6268,0.4682,0.2975,0.3828
29.8,-0.16,0.7408,0.4421,0.4875,0.6306,0.559,0.6478,0.6306,0.6392,0.4774,0.3037,0.3906
29.9,-0.1832,0.7796,0.4461,0.491,0.6708,0.5809,0.6605,0.6512,0.6559,0.491,0.3154,0.4032
