Time,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0587,0.585,0.575,0.6098,0.5699,0.5899,0.5979,0.5268,0.5624,0.5678,0.5205,0.5442
0.1,-0.0692,0.5866,0.5704,0.6062,0.5675,0.5868,0.5925,0.526,0.5593,0.566,0.5234,0.5447
0.2,-0.0801,0.5883,0.5669,0.6017,0.5667,0.5842,0.5872,0.5264,0.5568,0.5648,0.5265,0.5456
0.3,-0.0914,0.5897,0.5645,0.5958,0.5672,0.5815,0.5818,0.5275,0.5546,0.564,0.5296,0.5468
0.4,-0.1033,0.5906,0.5629,0.5884,0.5685,0.5784,0.5764,0.529,0.5527,0.5634,0.5328,0.5481
0.5,-0.1155,0.591,0.5623,0.5795,0.5702,0.5749,0.5714,0.5308,0.5511,0.5635,0.5362,0.5498
0.6,-0.1275,0.591,0.563,0.5699,0.5724,0.5711,0.5676,0.5334,0.5505,0.5648,0.5402,0.5525
0.7,-0.1383,0.5912,0.5654,0.5602,0.5752,0.5677,0.5655,0.5369,0.5512,0.5681,0.5451,0.5566
0.8,-0.1472,0.5915,0.5694,0.5512,0.5784,0.5648,0.5651,0.5412,0.5532,0.5732,0.5509,0.5621
0.9,-0.1534,0.5918,0.5746,0.5435,0.5815,0.5625,0.5662,0.5461,0.5561,0.5797,0.5572,0.5684
1,-0.1569,0.5916,0.5805,0.5367,0.5839,0.5603,0.5683,0.5508,0.5595,0.5867,0.5635,0.5751
1.1,-0.1581,0.5903,0.5865,0.5308,0.5849,0.5578,0.571,0.555,0.563,0.5937,0.5693,0.5815
1.2,-0.1574,0.588,0.5926,0.5257,0.5845,0.5551,0.5743,0.5587,0.5665,0.6004,0.5746,0.5875
1.3,-0.1546,0.585,0.5986,0.5219,0.583,0.5525,0.5781,0.562,0.5701,0.6068,0.5794,0.5931
1.4,-0.1496,0.5818,0.6045,0.5199,0.581,0.5504,0.5827,0.565,0.5738,0.6126,0.5838,0.5982
1.5,-0.1424,0.5789,0.6101,0.5195,0.5786,0.5491,0.588,0.5678,0.5779,0.6176,0.5877,0.6027
1.6,-0.1334,0.5763,0.6152,0.5208,0.5761,0.5484,0.5939,0.5706,0.5822,0.6216,0.5911,0.6063
1.7,-0.1228,0.574,0.6198,0.5236,0.5734,0.5485,0.6002,0.5735,0.5868,0.6246,0.5938,0.6092
1.8,-0.1111,0.5719,0.6238,0.528,0.571,0.5495,0.6067,0.5765,0.5916,0.6267,0.5959,0.6113
1.9,-0.0983,0.5704,0.6271,0.534,0.569,0.5515,0.6134,0.5799,0.5966,0.628,0.5976,0.6128
2,-0.0847,0.5699,0.6301,0.5413,0.5676,0.5545,0.6201,0.5836,0.6019,0.6289,0.599,0.6139
2.1,-0.0706,0.5705,0.6326,0.5498,0.5665,0.5582,0.6266,0.5877,0.6071,0.6295,0.6,0.6148
2.2,-0.0562,0.5721,0.6345,0.5589,0.5655,0.5622,0.6326,0.5917,0.6122,0.6301,0.601,0.6155
2.3,-0.0414,0.5746,0.6358,0.5683,0.5643,0.5663,0.638,0.5955,0.6168,0.6307,0.602,0.6163
2.4,-0.0263,0.5778,0.6364,0.5779,0.5632,0.5705,0.6427,0.5989,0.6208,0.6315,0.6031,0.6173
2.5,-0.0106,0.5817,0.6363,0.5876,0.5623,0.575,0.6466,0.602,0.6243,0.6324,0.6041,0.6183
2.6,0.0058,0.586,0.6354,0.5972,0.5618,0.5795,0.6496,0.6046,0.6271,0.6333,0.605,0.6192
2.7,0.0229,0.5905,0.6339,0.6062,0.5615,0.5839,0.6518,0.6068,0.6293,0.6342,0.6057,0.62
2.8,0.0403,0.5947,0.6319,0.6141,0.5614,0.5877,0.6531,0.6084,0.6308,0.6352,0.6062,0.6207
2.9,0.0576,0.5982,0.6298,0.6206,0.5613,0.591,0.6536,0.6093,0.6314,0.6363,0.6065,0.6214
3,0.0742,0.6004,0.6275,0.6256,0.5611,0.5933,0.6532,0.6092,0.6312,0.6377,0.6064,0.6221
3.1,0.0898,0.6012,0.6252,0.6288,0.5606,0.5947,0.6522,0.6082,0.6302,0.6393,0.6061,0.6227
3.2,0.1042,0.6001,0.6228,0.6298,0.5598,0.5948,0.6505,0.606,0.6282,0.6411,0.6057,0.6234
3.3,0.1175,0.5974,0.6207,0.6286,0.5586,0.5936,0.6483,0.6028,0.6255,0.6433,0.6054,0.6244
3.4,0.1294,0.5935,0.619,0.6255,0.5573,0.5914,0.6455,0.5991,0.6223,0.6459,0.6056,0.6257
3.5,0.1399,0.5886,0.6179,0.6208,0.556,0.5884,0.6423,0.595,0.6187,0.6486,0.6061,0.6273
3.6,0.1488,0.5831,0.6175,0.615,0.555,0.585,0.6385,0.5908,0.6147,0.6511,0.6067,0.6289
3.7,0.1562,0.5769,0.6177,0.6086,0.5544,0.5815,0.6344,0.5866,0.6105,0.6527,0.607,0.6299
3.8,0.162,0.5702,0.6187,0.602,0.5545,0.5782,0.6301,0.5825,0.6063,0.6534,0.6071,0.6303
3.9,0.1662,0.5632,0.6207,0.5955,0.5551,0.5753,0.6258,0.5788,0.6023,0.6532,0.6069,0.6301
4,0.169,0.5561,0.6236,0.5894,0.5564,0.5729,0.6214,0.576,0.5987,0.6522,0.6067,0.6294
4.1,0.1702,0.5492,0.6271,0.584,0.5581,0.571,0.6168,0.5741,0.5955,0.65,0.6063,0.6282
4.2,0.1699,0.543,0.631,0.5793,0.5598,0.5696,0.6119,0.5731,0.5925,0.6466,0.6058,0.6262
4.3,0.168,0.5375,0.6349,0.5755,0.5613,0.5684,0.6067,0.5729,0.5898,0.6419,0.6051,0.6235
4.4,0.1648,0.5332,0.6386,0.5726,0.5626,0.5676,0.6014,0.5735,0.5875,0.6362,0.6045,0.6203
4.5,0.1601,0.5302,0.6421,0.5707,0.5639,0.5673,0.596,0.5751,0.5855,0.6296,0.604,0.6168
4.6,0.154,0.5289,0.6453,0.57,0.5655,0.5678,0.5906,0.5776,0.5841,0.6227,0.6037,0.6132
4.7,0.1465,0.5293,0.6484,0.5703,0.5675,0.5689,0.5853,0.581,0.5832,0.6154,0.6036,0.6095
4.8,0.1374,0.5312,0.6511,0.5714,0.57,0.5707,0.5802,0.5852,0.5827,0.6082,0.6036,0.6059
4.9,0.1269,0.5344,0.6536,0.5731,0.5732,0.5731,0.5752,0.5902,0.5827,0.6012,0.6038,0.6025
5,0.1153,0.539,0.6559,0.5754,0.5769,0.5761,0.5706,0.5959,0.5832,0.5949,0.6045,0.5997
5.1,0.1033,0.5445,0.6581,0.5784,0.5812,0.5798,0.5666,0.6023,0.5844,0.5896,0.606,0.5978
5.2,0.0912,0.5508,0.6604,0.5821,0.586,0.5841,0.5632,0.6093,0.5862,0.5856,0.6084,0.597
5.3,0.0794,0.5573,0.6631,0.5862,0.591,0.5886,0.5605,0.6166,0.5885,0.5832,0.6119,0.5976
5.4,0.0679,0.5636,0.6662,0.5904,0.5959,0.5931,0.5586,0.624,0.5913,0.5824,0.6166,0.5995
5.5,0.0571,0.5697,0.6696,0.5947,0.6008,0.5978,0.5577,0.6313,0.5945,0.5831,0.6224,0.6027
5.6,0.0472,0.5752,0.6735,0.5992,0.6058,0.6025,0.5579,0.6386,0.5982,0.5852,0.629,0.6071
5.7,0.038,0.5801,0.6777,0.6037,0.611,0.6073,0.5594,0.6459,0.6026,0.5884,0.6365,0.6124
5.8,0.0293,0.5845,0.6826,0.608,0.6165,0.6122,0.5623,0.6532,0.6078,0.5926,0.6443,0.6184
5.9,0.021,0.5883,0.6883,0.612,0.6223,0.6171,0.5664,0.6608,0.6136,0.5974,0.6523,0.6249
6,0.0129,0.5916,0.6947,0.6154,0.6283,0.6218,0.5715,0.6685,0.62,0.6028,0.6602,0.6315
6.1,0.005,0.5945,0.7019,0.6181,0.6345,0.6263,0.5778,0.6764,0.6271,0.6085,0.6682,0.6384
6.2,-0.0026,0.5974,0.7102,0.6204,0.6409,0.6306,0.5852,0.6848,0.635,0.6144,0.6763,0.6454
6.3,-0.0101,0.6004,0.7193,0.6225,0.6475,0.635,0.5935,0.6934,0.6435,0.6203,0.6845,0.6524
6.4,-0.0173,0.6035,0.729,0.6241,0.6541,0.6391,0.6023,0.7023,0.6523,0.6257,0.6925,0.6591
6.5,-0.0244,0.6062,0.7386,0.6252,0.6604,0.6428,0.6108,0.711,0.6609,0.6302,0.7,0.6651
6.6,-0.031,0.6083,0.7478,0.6255,0.6659,0.6457,0.6187,0.7191,0.6689,0.6335,0.7062,0.6698
6.7,-0.0369,0.61,0.7564,0.625,0.6707,0.6478,0.6257,0.7265,0.6761,0.6353,0.7107,0.673
6.8,-0.0422,0.6114,0.764,0.6239,0.6746,0.6492,0.6319,0.7332,0.6825,0.6356,0.7132,0.6744
6.9,-0.047,0.6126,0.7703,0.6222,0.6779,0.6501,0.6373,0.7388,0.6881,0.6341,0.7134,0.6737
7,-0.0515,0.6137,0.775,0.62,0.6804,0.6502,0.6418,0.7433,0.6925,0.6309,0.7111,0.671
7.1,-0.056,0.6147,0.7777,0.6169,0.682,0.6494,0.6453,0.7465,0.6959,0.6262,0.7066,0.6664
7.2,-0.0606,0.6157,0.7786,0.6131,0.6825,0.6478,0.6476,0.7484,0.698,0.6201,0.6999,0.66
7.3,-0.0654,0.6171,0.7776,0.609,0.6821,0.6455,0.6489,0.7493,0.6991,0.6132,0.6916,0.6524
7.4,-0.0703,0.6195,0.7749,0.605,0.6814,0.6432,0.6496,0.7494,0.6995,0.6056,0.682,0.6438
7.5,-0.0753,0.6228,0.7707,0.6018,0.6809,0.6414,0.65,0.7489,0.6995,0.5978,0.6714,0.6346
7.6,-0.0801,0.6272,0.765,0.5995,0.6811,0.6403,0.6501,0.7477,0.6989,0.5897,0.6598,0.6247
7.7,-0.0848,0.6323,0.7582,0.5979,0.6822,0.64,0.6501,0.7458,0.6979,0.5814,0.6477,0.6145
7.8,-0.0895,0.638,0.7508,0.597,0.6845,0.6408,0.6501,0.7433,0.6967,0.5732,0.6356,0.6044
7.9,-0.0943,0.6441,0.7434,0.5966,0.6883,0.6425,0.6502,0.7405,0.6953,0.5656,0.6241,0.5949
8,-0.0995,0.6503,0.7364,0.5969,0.6937,0.6453,0.6505,0.7376,0.6941,0.559,0.6139,0.5865
8.1,-0.105,0.6567,0.7302,0.598,0.7007,0.6493,0.6512,0.7352,0.6932,0.554,0.6052,0.5796
8.2,-0.1106,0.6635,0.7253,0.6003,0.7091,0.6547,0.6525,0.7334,0.693,0.5508,0.5986,0.5747
8.3,-0.1156,0.6708,0.7219,0.6041,0.7189,0.6615,0.6548,0.7325,0.6937,0.5496,0.5942,0.5719
8.4,-0.1197,0.6784,0.7201,0.6093,0.7296,0.6694,0.6581,0.7325,0.6953,0.5506,0.592,0.5713
8.5,-0.1224,0.6857,0.72,0.6153,0.7408,0.678,0.6619,0.733,0.6974,0.5535,0.5918,0.5726
8.6,-0.1234,0.6925,0.7211,0.6216,0.7521,0.6868,0.666,0.7336,0.6998,0.5582,0.593,0.5756
8.7,-0.1224,0.6985,0.7231,0.628,0.7631,0.6956,0.6699,0.7342,0.702,0.5644,0.5952,0.5798
8.8,-0.1193,0.7037,0.7256,0.6345,0.7733,0.7039,0.6735,0.7345,0.704,0.5716,0.598,0.5848
8.9,-0.1141,0.7077,0.7281,0.6407,0.7821,0.7114,0.6763,0.7341,0.7052,0.579,0.6008,0.5899
9,-0.1074,0.71,0.7301,0.6458,0.7886,0.7172,0.678,0.7328,0.7054,0.5859,0.603,0.5945
9.1,-0.1,0.7099,0.7312,0.649,0.7922,0.7206,0.6777,0.7303,0.704,0.5917,0.6044,0.5981
9.2,-0.0924,0.7072,0.7311,0.6496,0.7922,0.7209,0.6753,0.7263,0.7008,0.5959,0.6047,0.6003
9.3,-0.0848,0.7018,0.7294,0.6473,0.7882,0.7177,0.6705,0.7204,0.6954,0.5984,0.6039,0.6012
9.4,-0.0774,0.6943,0.7257,0.6421,0.7804,0.7113,0.6635,0.7127,0.6881,0.5991,0.6021,0.6006
9.5,-0.0703,0.6851,0.7202,0.6346,0.7693,0.702,0.6547,0.7033,0.679,0.5983,0.5993,0.5988
9.6,-0.0638,0.6746,0.7129,0.6253,0.7556,0.6904,0.6444,0.6924,0.6684,0.5958,0.5956,0.5957
