Time,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1884,0.4124,0.6516,0.5,0.4381,0.469,0.5268,0.6246,0.5757,0.2737,0.4791,0.3764
0.1,-0.1871,0.3844,0.6367,0.4777,0.4269,0.4523,0.4902,0.607,0.5486,0.2709,0.4544,0.3627
0.2,-0.1812,0.3622,0.6204,0.4598,0.418,0.4389,0.4561,0.591,0.5236,0.2673,0.4337,0.3505
0.3,-0.1684,0.3461,0.6028,0.4494,0.4117,0.4306,0.4261,0.5764,0.5013,0.263,0.4166,0.3398
0.4,-0.1483,0.3357,0.5844,0.4482,0.4086,0.4284,0.4017,0.5635,0.4826,0.2579,0.4028,0.3303
0.5,-0.1227,0.3306,0.5658,0.456,0.4091,0.4326,0.3836,0.5531,0.4684,0.2519,0.3917,0.3218
0.6,-0.0944,0.3301,0.5481,0.4723,0.4127,0.4425,0.3725,0.5459,0.4592,0.2449,0.3829,0.3139
0.7,-0.064,0.3337,0.533,0.4963,0.4191,0.4577,0.3689,0.5423,0.4556,0.2374,0.376,0.3067
0.8,-0.0305,0.3412,0.5233,0.5276,0.4279,0.4777,0.3739,0.5426,0.4583,0.2295,0.3709,0.3002
0.9,0.0069,0.3522,0.5202,0.565,0.4387,0.5018,0.3879,0.5471,0.4675,0.2213,0.3678,0.2945
1,0.0475,0.3657,0.5243,0.6063,0.4504,0.5284,0.4098,0.5552,0.4825,0.2127,0.3668,0.2897
1.1,0.0885,0.3804,0.5344,0.6491,0.4614,0.5553,0.4375,0.5655,0.5015,0.2032,0.3682,0.2857
1.2,0.1271,0.3953,0.5487,0.6911,0.4706,0.5809,0.4679,0.5762,0.5221,0.1929,0.3716,0.2823
1.3,0.1638,0.4104,0.5655,0.7308,0.4774,0.6041,0.4983,0.5859,0.5421,0.1813,0.3765,0.2789
1.4,0.2,0.4256,0.5836,0.7674,0.4821,0.6247,0.5264,0.5934,0.5599,0.1682,0.3819,0.275
1.5,0.2354,0.4411,0.6026,0.8,0.485,0.6425,0.5503,0.5983,0.5743,0.1536,0.387,0.2703
1.6,0.2685,0.4572,0.622,0.8286,0.4863,0.6575,0.5698,0.6012,0.5855,0.138,0.3918,0.2649
1.7,0.2983,0.4738,0.6418,0.8539,0.4861,0.67,0.5855,0.6025,0.594,0.1221,0.3964,0.2592
1.8,0.325,0.4905,0.6622,0.8766,0.4839,0.6803,0.5987,0.6029,0.6008,0.1073,0.4012,0.2543
1.9,0.3486,0.5058,0.6834,0.8966,0.4797,0.6881,0.6102,0.6029,0.6065,0.0947,0.4066,0.2507
2,0.3667,0.5188,0.7061,0.9132,0.4739,0.6935,0.6201,0.603,0.6116,0.0851,0.4127,0.2489
2.1,0.3759,0.5291,0.7309,0.9255,0.4677,0.6966,0.6287,0.6043,0.6165,0.0789,0.4199,0.2494
2.2,0.3755,0.5367,0.7578,0.9327,0.4622,0.6975,0.6361,0.6074,0.6217,0.0767,0.4282,0.2524
2.3,0.3675,0.5422,0.787,0.9345,0.458,0.6963,0.6424,0.6124,0.6274,0.0788,0.4373,0.258
2.4,0.3539,0.5456,0.8178,0.931,0.4548,0.6929,0.6475,0.6192,0.6334,0.0853,0.4463,0.2658
2.5,0.3362,0.5465,0.8502,0.9225,0.4523,0.6874,0.6508,0.6277,0.6393,0.0957,0.4538,0.2747
2.6,0.3157,0.5448,0.884,0.9097,0.4505,0.6801,0.6525,0.6377,0.6451,0.1091,0.4587,0.2839
2.7,0.2931,0.541,0.9187,0.8937,0.4496,0.6717,0.6534,0.6493,0.6513,0.1252,0.4606,0.2929
2.8,0.2696,0.5357,0.9533,0.8756,0.4499,0.6628,0.6543,0.6623,0.6583,0.1442,0.4592,0.3017
2.9,0.2459,0.5291,0.9872,0.8563,0.4515,0.6539,0.6555,0.6764,0.6659,0.1659,0.454,0.31
3,0.2222,0.5212,1.0198,0.8362,0.4544,0.6453,0.6566,0.6909,0.6737,0.1899,0.4442,0.3171
3.1,0.1976,0.5123,1.0499,0.815,0.4588,0.6369,0.6565,0.705,0.6808,0.2151,0.4287,0.3219
3.2,0.1733,0.5032,1.076,0.7923,0.465,0.6286,0.6547,0.718,0.6863,0.2402,0.4074,0.3238
3.3,0.1515,0.4942,1.0964,0.7684,0.4728,0.6206,0.6513,0.7289,0.6901,0.2645,0.3814,0.323
3.4,0.1344,0.4853,1.1097,0.7445,0.482,0.6132,0.6472,0.7372,0.6922,0.2878,0.3521,0.32
3.5,0.1233,0.4764,1.1161,0.7212,0.4926,0.6069,0.6432,0.7429,0.6931,0.31,0.3218,0.3159
3.6,0.1183,0.4677,1.1161,0.6992,0.5048,0.602,0.6397,0.7462,0.6929,0.3307,0.2924,0.3116
3.7,0.117,0.4598,1.1099,0.6782,0.5187,0.5985,0.636,0.7474,0.6917,0.3498,0.2654,0.3076
3.8,0.1154,0.4526,1.0979,0.6572,0.5335,0.5954,0.6311,0.7466,0.6889,0.3669,0.2417,0.3043
3.9,0.1109,0.4462,1.0803,0.6358,0.5482,0.592,0.6244,0.7441,0.6843,0.3824,0.2224,0.3024
4,0.1044,0.4407,1.0577,0.6146,0.5618,0.5882,0.6161,0.7402,0.6781,0.3969,0.2085,0.3027
4.1,0.0984,0.4364,1.0306,0.5944,0.5732,0.5838,0.6071,0.7353,0.6712,0.4104,0.2006,0.3055
4.2,0.0945,0.433,0.9999,0.5753,0.5817,0.5785,0.5984,0.7298,0.6641,0.4225,0.1985,0.3105
4.3,0.0927,0.4302,0.9672,0.5571,0.5863,0.5717,0.5905,0.724,0.6572,0.4332,0.2015,0.3173
4.4,0.0929,0.4278,0.9345,0.5397,0.5866,0.5632,0.5832,0.7179,0.6505,0.4428,0.2092,0.326
4.5,0.0944,0.4262,0.9033,0.5236,0.5835,0.5536,0.5765,0.7116,0.6441,0.4516,0.2208,0.3362
4.6,0.0978,0.4258,0.8745,0.5095,0.5784,0.544,0.5709,0.7055,0.6382,0.4598,0.2352,0.3475
4.7,0.1035,0.427,0.8487,0.4981,0.5725,0.5353,0.5673,0.6999,0.6336,0.4678,0.252,0.3599
4.8,0.1108,0.4299,0.8262,0.49,0.5666,0.5283,0.5669,0.6954,0.6311,0.4763,0.271,0.3736
