Time,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1399,0.4542,0.7933,0.4101,0.3876,0.3988,0.7659,0.7574,0.7617,0.711,0.6482,0.6796
0.1,-0.0922,0.491,0.8102,0.4402,0.4029,0.4215,0.7723,0.7727,0.7725,0.7125,0.6517,0.6821
0.2,-0.0481,0.5275,0.8231,0.4717,0.4199,0.4458,0.7791,0.7832,0.7812,0.7129,0.6548,0.6839
0.3,-0.0094,0.5627,0.832,0.5039,0.4383,0.4711,0.7864,0.7888,0.7876,0.7122,0.6572,0.6847
0.4,0.0229,0.5959,0.8375,0.5363,0.4577,0.497,0.7942,0.7899,0.792,0.7101,0.658,0.6841
0.5,0.0496,0.6261,0.8401,0.5683,0.4775,0.5229,0.8023,0.7873,0.7948,0.706,0.6569,0.6815
0.6,0.0727,0.6526,0.8395,0.5993,0.4975,0.5484,0.8102,0.7814,0.7958,0.6997,0.6537,0.6767
0.7,0.0938,0.6753,0.8359,0.6289,0.5172,0.573,0.8174,0.7728,0.7951,0.6911,0.6484,0.6697
0.8,0.1128,0.6946,0.8294,0.6566,0.5366,0.5966,0.8235,0.7616,0.7926,0.68,0.6409,0.6605
0.9,0.129,0.7101,0.8201,0.6819,0.5555,0.6187,0.8277,0.7482,0.7879,0.667,0.6316,0.6493
1,0.1416,0.7208,0.8079,0.7029,0.5735,0.6382,0.8291,0.7324,0.7807,0.6526,0.6204,0.6365
1.1,0.1494,0.7259,0.7925,0.7178,0.5896,0.6537,0.8264,0.7145,0.7705,0.6369,0.6076,0.6222
