Time,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0554,0.6525,0.691,0.7733,0.6976,0.7354,0.7792,0.7564,0.7678,0.7172,0.6271,0.6722
0.1,-0.0774,0.6465,0.7002,0.7676,0.6952,0.7314,0.7774,0.742,0.7597,0.7115,0.6269,0.6692
0.2,-0.1003,0.6405,0.7088,0.7616,0.6931,0.7274,0.7756,0.7293,0.7524,0.7076,0.6287,0.6682
0.3,-0.1228,0.6344,0.7159,0.7551,0.6909,0.723,0.7737,0.7185,0.7461,0.7047,0.6318,0.6682
0.4,-0.1433,0.6283,0.7213,0.7481,0.6881,0.7181,0.7718,0.7097,0.7408,0.7016,0.6355,0.6686
0.5,-0.1605,0.6219,0.7246,0.7406,0.6845,0.7126,0.7703,0.7027,0.7365,0.6981,0.639,0.6686
0.6,-0.1747,0.615,0.7255,0.7321,0.6796,0.7059,0.769,0.6969,0.7329,0.694,0.6422,0.6681
0.7,-0.1865,0.6073,0.724,0.7218,0.6732,0.6975,0.7673,0.6916,0.7294,0.6895,0.645,0.6672
0.8,-0.1969,0.5985,0.7195,0.7093,0.6649,0.6871,0.7645,0.6866,0.7256,0.6845,0.6469,0.6657
0.9,-0.2066,0.589,0.7117,0.6948,0.6546,0.6747,0.7602,0.6818,0.721,0.6791,0.6474,0.6633
1,-0.216,0.5795,0.7005,0.6791,0.6423,0.6607,0.7541,0.6771,0.7156,0.6729,0.6458,0.6593
1.1,-0.2254,0.5708,0.6855,0.6629,0.628,0.6454,0.7462,0.6718,0.709,0.6657,0.6416,0.6536
1.2,-0.2348,0.563,0.6669,0.6466,0.6115,0.629,0.7364,0.665,0.7007,0.6572,0.6348,0.646
1.3,-0.2442,0.5564,0.6449,0.63,0.5931,0.6115,0.7245,0.6564,0.6905,0.6473,0.6259,0.6366
1.4,-0.2538,0.5514,0.6205,0.613,0.5733,0.5931,0.7106,0.6464,0.6785,0.636,0.6156,0.6258
1.5,-0.2634,0.5485,0.5954,0.596,0.5536,0.5748,0.6952,0.6357,0.6654,0.6239,0.6045,0.6142
1.6,-0.2729,0.5487,0.5713,0.5796,0.5353,0.5574,0.6789,0.6253,0.6521,0.6116,0.5933,0.6024
1.7,-0.2821,0.5525,0.5495,0.5641,0.5193,0.5417,0.6623,0.616,0.6391,0.6001,0.5825,0.5913
1.8,-0.2905,0.5601,0.5311,0.5502,0.5062,0.5282,0.6459,0.6083,0.6271,0.5901,0.5725,0.5813
1.9,-0.2974,0.571,0.5171,0.5386,0.4963,0.5175,0.6305,0.6032,0.6168,0.5823,0.5637,0.573
2,-0.3026,0.5847,0.5084,0.5307,0.4905,0.5106,0.6174,0.6017,0.6095,0.5774,0.5567,0.567
2.1,-0.306,0.6006,0.5057,0.5273,0.4895,0.5084,0.6079,0.6047,0.6063,0.5755,0.5521,0.5638
2.2,-0.3068,0.6182,0.509,0.5285,0.4934,0.511,0.6027,0.6124,0.6076,0.5769,0.5505,0.5637
2.3,-0.3032,0.6365,0.5174,0.5332,0.5011,0.5171,0.6014,0.6239,0.6127,0.5811,0.5517,0.5664
2.4,-0.2938,0.6542,0.5303,0.5397,0.5111,0.5254,0.6025,0.6385,0.6205,0.588,0.5557,0.5718
2.5,-0.2788,0.671,0.5469,0.5469,0.5228,0.5349,0.6044,0.6553,0.6299,0.5971,0.5621,0.5796
2.6,-0.2597,0.6867,0.5666,0.5543,0.5361,0.5452,0.6064,0.6737,0.6401,0.6084,0.5705,0.5895
2.7,-0.238,0.7012,0.5887,0.5616,0.5506,0.5561,0.608,0.6928,0.6504,0.6212,0.5805,0.6008
2.8,-0.2143,0.7139,0.6122,0.5686,0.5656,0.5671,0.6086,0.7115,0.66,0.6342,0.591,0.6126
2.9,-0.189,0.7241,0.6364,0.5748,0.5798,0.5773,0.6073,0.7289,0.6681,0.6459,0.6009,0.6234
3,-0.1622,0.7314,0.6597,0.5796,0.5924,0.586,0.6035,0.7441,0.6738,0.6548,0.6086,0.6317
3.1,-0.134,0.7353,0.6807,0.5821,0.6024,0.5922,0.5971,0.7568,0.677,0.6599,0.613,0.6365
3.2,-0.1066,0.7354,0.6981,0.5815,0.6096,0.5956,0.5886,0.7667,0.6777,0.6611,0.6139,0.6375
3.3,-0.0821,0.7315,0.711,0.5773,0.6134,0.5953,0.5786,0.7737,0.6762,0.6579,0.6111,0.6345
3.4,-0.0617,0.724,0.7187,0.569,0.6133,0.5911,0.5674,0.7776,0.6725,0.6502,0.6049,0.6275
3.5,-0.045,0.7131,0.7208,0.5568,0.6091,0.5829,0.5554,0.7779,0.6666,0.6377,0.5954,0.6166
3.6,-0.0315,0.6994,0.717,0.5413,0.6011,0.5712,0.5429,0.7739,0.6584,0.6211,0.583,0.602
3.7,-0.0216,0.6837,0.7077,0.5232,0.5902,0.5567,0.5306,0.7653,0.648,0.601,0.5677,0.5844
3.8,-0.0158,0.6669,0.6936,0.5036,0.5776,0.5406,0.5193,0.7521,0.6357,0.5788,0.5502,0.5645
3.9,-0.0153,0.65,0.6751,0.4831,0.5644,0.5238,0.5098,0.7347,0.6223,0.5557,0.531,0.5434
4,-0.0207,0.6341,0.6531,0.4629,0.5516,0.5072,0.5028,0.7137,0.6083,0.5331,0.5108,0.5219
4.1,-0.0314,0.6199,0.6284,0.4442,0.5398,0.492,0.4988,0.6901,0.5944,0.5123,0.4902,0.5012
4.2,-0.0459,0.6081,0.602,0.428,0.5297,0.4788,0.4982,0.6647,0.5815,0.4947,0.4699,0.4823
4.3,-0.0631,0.5993,0.5745,0.4152,0.5215,0.4684,0.5014,0.6386,0.57,0.4813,0.4506,0.4659
4.4,-0.0818,0.5935,0.5466,0.4065,0.5157,0.4611,0.5086,0.6127,0.5606,0.4726,0.4329,0.4527
4.5,-0.1012,0.5907,0.5192,0.4016,0.5125,0.457,0.5197,0.5879,0.5538,0.469,0.4175,0.4433
4.6,-0.1212,0.5903,0.4936,0.4001,0.5122,0.4562,0.5348,0.5656,0.5502,0.471,0.4054,0.4382
4.7,-0.1413,0.5918,0.4713,0.4016,0.5148,0.4582,0.5538,0.5473,0.5506,0.4792,0.3975,0.4384
4.8,-0.1608,0.595,0.4536,0.4059,0.5206,0.4632,0.5764,0.5346,0.5555,0.4942,0.3944,0.4443
4.9,-0.1787,0.6003,0.4415,0.4131,0.5299,0.4715,0.602,0.5285,0.5653,0.5158,0.3967,0.4563
5,-0.1947,0.6081,0.4356,0.4236,0.5428,0.4832,0.6299,0.5298,0.5798,0.5439,0.4049,0.4744
5.1,-0.2086,0.6185,0.4361,0.4371,0.5593,0.4982,0.659,0.5386,0.5988,0.578,0.4194,0.4987
5.2,-0.2209,0.6311,0.4425,0.4528,0.5788,0.5158,0.6885,0.5545,0.6215,0.617,0.4399,0.5285
