Time,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1226,1.1289,0.6969,0.9369,0.9746,0.9557,0.964,0.883,0.9235,0.4499,0.4611,0.4555
0.1,0.1604,1.1572,0.7413,0.9674,1.0032,0.9853,1.0106,0.9301,0.9704,0.4658,0.4681,0.467
0.2,0.1959,1.1895,0.7942,1.0034,1.0356,1.0195,1.0577,0.9812,1.0194,0.4836,0.4772,0.4804
0.3,0.2277,1.2255,0.8545,1.0443,1.071,1.0576,1.1031,1.0346,1.0689,0.502,0.4877,0.4949
0.4,0.2554,1.2643,0.9201,1.089,1.1084,1.0987,1.1449,1.0885,1.1167,0.5196,0.4986,0.5091
0.5,0.2782,1.3043,0.988,1.1354,1.1462,1.1408,1.1815,1.1407,1.1611,0.5347,0.509,0.5219
0.6,0.2953,1.3433,1.0544,1.1804,1.1825,1.1814,1.2117,1.1886,1.2001,0.5462,0.518,0.5321
0.7,0.3058,1.3788,1.1154,1.2209,1.2147,1.2178,1.2348,1.2296,1.2322,0.5535,0.5249,0.5392
0.8,0.3094,1.4088,1.1677,1.2545,1.241,1.2478,1.2499,1.262,1.2559,0.5561,0.529,0.5425
0.9,0.3065,1.4324,1.2093,1.2798,1.2603,1.27,1.2567,1.2847,1.2707,0.5536,0.5298,0.5417
1,0.2979,1.4493,1.2396,1.2967,1.2718,1.2843,1.2556,1.298,1.2768,0.5455,0.5273,0.5364
1.1,0.2848,1.4595,1.2592,1.3057,1.2754,1.2905,1.2475,1.3023,1.2749,0.5323,0.5217,0.527
1.2,0.2691,1.4629,1.2695,1.3077,1.2707,1.2892,1.2336,1.2983,1.2659,0.5154,0.5137,0.5145
1.3,0.2532,1.4594,1.2714,1.304,1.2579,1.281,1.2147,1.2865,1.2506,0.496,0.5039,0.5
1.4,0.2396,1.4491,1.2647,1.2957,1.2377,1.2667,1.1908,1.2672,1.229,0.4751,0.4921,0.4836
1.5,0.2297,1.4318,1.2484,1.2833,1.2104,1.2468,1.1622,1.24,1.2011,0.4525,0.4771,0.4648
1.6,0.2249,1.4072,1.221,1.267,1.1757,1.2214,1.1294,1.204,1.1667,0.4284,0.4587,0.4436
1.7,0.2264,1.375,1.1813,1.2468,1.1337,1.1902,1.0936,1.1589,1.1262,0.4034,0.4376,0.4205
1.8,0.2354,1.3351,1.129,1.2228,1.0845,1.1537,1.0563,1.1051,1.0807,0.3789,0.4149,0.3969
1.9,0.2524,1.2878,1.0637,1.1951,1.0291,1.1121,1.0182,1.0435,1.0309,0.3554,0.3907,0.3731
2,0.2771,1.2331,0.9852,1.1636,0.9679,1.0658,0.979,0.9745,0.9767,0.3321,0.3641,0.3481
2.1,0.3089,1.1713,0.8951,1.1282,0.9014,1.0148,0.9382,0.8996,0.9189,0.3096,0.3355,0.3226
2.2,0.3465,1.1029,0.7978,1.0892,0.83,0.9596,0.8968,0.8216,0.8592,0.2903,0.307,0.2986
2.3,0.3876,1.0293,0.6996,1.0466,0.7549,0.9008,0.8563,0.7444,0.8003,0.276,0.2801,0.278
2.4,0.4295,0.9521,0.6062,1.0011,0.6781,0.8396,0.8178,0.6713,0.7445,0.2672,0.2561,0.2617
2.5,0.4683,0.8736,0.5228,0.9534,0.6011,0.7772,0.782,0.6051,0.6936,0.2637,0.2367,0.2502
2.6,0.4995,0.7968,0.4536,0.9052,0.5257,0.7155,0.7496,0.5479,0.6487,0.2658,0.2238,0.2448
2.7,0.52,0.7247,0.4007,0.8586,0.4541,0.6563,0.7209,0.5014,0.6111,0.2737,0.2191,0.2464
2.8,0.5285,0.6598,0.3639,0.8147,0.3884,0.6016,0.6967,0.466,0.5814,0.2869,0.2229,0.2549
2.9,0.5256,0.6031,0.3417,0.7744,0.3303,0.5523,0.6776,0.4422,0.5599,0.3045,0.2343,0.2694
3,0.5131,0.5551,0.3326,0.7376,0.2808,0.5092,0.6638,0.4292,0.5465,0.3248,0.2517,0.2883
3.1,0.4931,0.5159,0.335,0.7042,0.2407,0.4724,0.6549,0.4259,0.5404,0.3465,0.2737,0.3101
3.2,0.4675,0.4864,0.3466,0.6744,0.2104,0.4424,0.6499,0.4307,0.5403,0.3681,0.2988,0.3335
3.3,0.4387,0.4673,0.3649,0.6489,0.1904,0.4196,0.6487,0.4417,0.5452,0.3891,0.3257,0.3574
