Time,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
29.9,0.1526,0.9363,0.5677,1.0393,0.6352,0.8373,0.4686,0.5717,0.5201,0.8489,0.7012,0.775
30,0.1198,0.9491,0.5704,1.0349,0.6409,0.8379,0.4756,0.5676,0.5216,0.8415,0.705,0.7732
30.1,0.0881,0.9595,0.5694,1.0273,0.6458,0.8366,0.4854,0.5618,0.5236,0.8288,0.7047,0.7667
30.2,0.0563,0.9678,0.5657,1.0169,0.6508,0.8338,0.4973,0.555,0.5261,0.8112,0.6997,0.7555
30.3,0.0243,0.9745,0.56,1.0046,0.6564,0.8305,0.5106,0.5474,0.529,0.7894,0.6901,0.7397
30.4,-0.0066,0.9797,0.5523,0.9918,0.6631,0.8275,0.5247,0.5392,0.532,0.7641,0.6761,0.7201
30.5,-0.035,0.9826,0.5419,0.9792,0.6712,0.8252,0.5394,0.5306,0.535,0.7366,0.6582,0.6974
30.6,-0.0589,0.9823,0.5287,0.9669,0.6811,0.824,0.5542,0.5221,0.5382,0.7084,0.6376,0.673
30.7,-0.077,0.9784,0.5135,0.9546,0.6933,0.8239,0.5687,0.5144,0.5415,0.6809,0.616,0.6484
30.8,-0.0888,0.9711,0.4979,0.9421,0.7079,0.825,0.5818,0.5083,0.5451,0.6555,0.5949,0.6252
30.9,-0.094,0.9607,0.4833,0.9298,0.7242,0.827,0.593,0.5047,0.5488,0.6331,0.5754,0.6042
31,-0.0921,0.9474,0.4707,0.9179,0.7411,0.8295,0.6022,0.5042,0.5532,0.614,0.5582,0.5861
31.1,-0.0832,0.9315,0.4602,0.9066,0.7573,0.832,0.6099,0.5076,0.5587,0.5984,0.5441,0.5712
31.2,-0.0687,0.9136,0.452,0.8958,0.772,0.8339,0.6159,0.5148,0.5653,0.5866,0.5336,0.5601
31.3,-0.0506,0.8941,0.446,0.8848,0.7843,0.8346,0.6198,0.525,0.5724,0.5782,0.5271,0.5526
31.4,-0.03,0.8741,0.4421,0.8734,0.794,0.8337,0.6209,0.5373,0.5791,0.573,0.5244,0.5487
31.5,-0.008,0.8544,0.4396,0.862,0.8007,0.8313,0.6196,0.5511,0.5854,0.5711,0.5253,0.5482
31.6,0.0136,0.8354,0.4376,0.8507,0.8042,0.8275,0.6165,0.5661,0.5913,0.5723,0.5295,0.5509
31.7,0.0326,0.8175,0.4349,0.8396,0.8052,0.8224,0.6125,0.5821,0.5973,0.5762,0.5367,0.5564
31.8,0.0468,0.8009,0.4312,0.8285,0.8046,0.8166,0.6081,0.5992,0.6036,0.5821,0.5467,0.5644
31.9,0.0554,0.7858,0.4263,0.817,0.803,0.81,0.6034,0.617,0.6102,0.5892,0.5587,0.574
32,0.0583,0.772,0.4203,0.8043,0.8001,0.8022,0.5983,0.6356,0.6169,0.5965,0.572,0.5843
32.1,0.0556,0.7594,0.4136,0.79,0.7951,0.7926,0.5928,0.655,0.6239,0.6033,0.5853,0.5943
32.2,0.0477,0.7484,0.4066,0.7738,0.7878,0.7808,0.5874,0.675,0.6312,0.6088,0.5974,0.6031
32.3,0.0353,0.7389,0.4001,0.7563,0.7782,0.7673,0.5823,0.6958,0.639,0.6128,0.6078,0.6103
32.4,0.0191,0.7308,0.3957,0.7382,0.767,0.7526,0.5774,0.7174,0.6474,0.6154,0.6166,0.616
32.5,-0.0004,0.7236,0.3947,0.7196,0.7546,0.7371,0.5725,0.7398,0.6562,0.6165,0.6241,0.6203
32.6,-0.0229,0.7169,0.3977,0.7006,0.7414,0.721,0.5674,0.7626,0.665,0.6156,0.6302,0.6229
32.7,-0.0475,0.7105,0.4042,0.6814,0.7274,0.7044,0.562,0.7848,0.6734,0.6116,0.6338,0.6227
32.8,-0.0727,0.7045,0.413,0.6626,0.7127,0.6876,0.5557,0.8052,0.6805,0.6035,0.6339,0.6187
32.9,-0.0964,0.6987,0.4229,0.6447,0.6973,0.671,0.5477,0.8225,0.6851,0.5909,0.63,0.6105
33,-0.1168,0.6928,0.4332,0.6282,0.6812,0.6547,0.5376,0.8356,0.6866,0.574,0.6223,0.5981
33.1,-0.1329,0.6868,0.4436,0.6132,0.6649,0.639,0.525,0.8443,0.6846,0.5535,0.6111,0.5823
33.2,-0.1446,0.6811,0.4534,0.5998,0.6491,0.6245,0.5102,0.8489,0.6795,0.5308,0.5971,0.5639
33.3,-0.1516,0.6765,0.4622,0.5892,0.6357,0.6125,0.494,0.8501,0.672,0.5072,0.5808,0.544
33.4,-0.1533,0.6738,0.4703,0.5827,0.626,0.6044,0.4775,0.849,0.6633,0.4838,0.5633,0.5235
33.5,-0.1486,0.6735,0.478,0.5813,0.6209,0.6011,0.4617,0.8465,0.6541,0.4616,0.5457,0.5037
33.6,-0.1367,0.676,0.4858,0.5857,0.6205,0.6031,0.4472,0.8429,0.645,0.4418,0.5292,0.4855
33.7,-0.1165,0.6817,0.4933,0.5963,0.6244,0.6104,0.4343,0.8384,0.6363,0.4257,0.515,0.4704
33.8,-0.0887,0.6906,0.4999,0.6137,0.6329,0.6233,0.4237,0.8324,0.628,0.4145,0.5035,0.459
33.9,-0.0543,0.7024,0.5048,0.638,0.6465,0.6423,0.4157,0.8248,0.6202,0.4087,0.495,0.4518
34,-0.0144,0.7166,0.5077,0.6697,0.6657,0.6677,0.4107,0.8158,0.6133,0.4082,0.4893,0.4487
34.1,0.0288,0.7324,0.5086,0.709,0.6901,0.6995,0.4091,0.8055,0.6073,0.412,0.4863,0.4491
34.2,0.0726,0.7492,0.5068,0.7557,0.7189,0.7373,0.4111,0.7938,0.6024,0.4188,0.4853,0.4521
34.3,0.1149,0.7668,0.5019,0.8093,0.7511,0.7802,0.4169,0.78,0.5985,0.4279,0.4857,0.4568
34.4,0.1543,0.7848,0.4928,0.8678,0.7855,0.8267,0.4272,0.7637,0.5955,0.4384,0.4868,0.4626
34.5,0.1897,0.803,0.4792,0.9285,0.8206,0.8746,0.4426,0.7448,0.5937,0.4499,0.4882,0.4691
34.6,0.2197,0.8209,0.461,0.9889,0.855,0.9219,0.4631,0.7242,0.5936,0.462,0.4898,0.4759
34.7,0.2428,0.8382,0.4387,1.0463,0.8872,0.9668,0.4886,0.7033,0.596,0.4743,0.4917,0.483
34.8,0.2583,0.8547,0.4128,1.0987,0.9166,1.0076,0.5187,0.6835,0.6011,0.4863,0.4937,0.49
34.9,0.2659,0.8702,0.3842,1.1435,0.9427,1.0431,0.5524,0.6658,0.6091,0.4978,0.4956,0.4967
35,0.2651,0.8847,0.3542,1.1773,0.965,1.0712,0.5882,0.6509,0.6195,0.5078,0.4968,0.5023
35.1,0.2565,0.8976,0.3242,1.1981,0.9823,1.0902,0.6236,0.6388,0.6312,0.5156,0.497,0.5063
35.2,0.2415,0.9084,0.2955,1.2053,0.9934,1.0993,0.656,0.6293,0.6426,0.5202,0.4956,0.5079
35.3,0.2217,0.9166,0.269,1.2003,0.9976,1.099,0.6832,0.6219,0.6525,0.521,0.4922,0.5066
35.4,0.1993,0.9223,0.246,1.1854,0.995,1.0902,0.7041,0.6162,0.6601,0.5177,0.4861,0.5019
35.5,0.176,0.9252,0.2276,1.1632,0.9865,1.0749,0.7182,0.6118,0.665,0.5106,0.4776,0.4941
35.6,0.1528,0.9253,0.2148,1.136,0.9734,1.0547,0.7257,0.6084,0.6671,0.5,0.4674,0.4837
35.7,0.1293,0.9224,0.2086,1.1049,0.957,1.031,0.7273,0.6062,0.6667,0.4871,0.4565,0.4718
35.8,0.1043,0.9165,0.2091,1.0709,0.9383,1.0046,0.724,0.6047,0.6643,0.4728,0.4454,0.4591
35.9,0.0768,0.908,0.2154,1.0341,0.9183,0.9762,0.7172,0.6036,0.6604,0.4579,0.4341,0.446
36,0.0467,0.897,0.2264,0.9951,0.8978,0.9464,0.7082,0.603,0.6556,0.4434,0.4223,0.4329
36.1,0.0147,0.8844,0.2409,0.9549,0.8776,0.9162,0.6981,0.603,0.6505,0.4306,0.4101,0.4204
36.2,-0.018,0.8707,0.2583,0.9145,0.8582,0.8864,0.6877,0.6037,0.6457,0.4207,0.3981,0.4094
36.3,-0.0516,0.8563,0.2783,0.8747,0.8402,0.8575,0.6779,0.6054,0.6416,0.4144,0.3868,0.4006
36.4,-0.087,0.8415,0.3004,0.8358,0.8242,0.83,0.6693,0.6084,0.6388,0.4122,0.3765,0.3944
36.5,-0.1246,0.8265,0.3243,0.7981,0.8106,0.8043,0.6622,0.6135,0.6378,0.4144,0.3677,0.3911
36.6,-0.1642,0.8114,0.3492,0.7621,0.7995,0.7808,0.657,0.6214,0.6392,0.4212,0.3608,0.391
36.7,-0.2038,0.7962,0.3743,0.7282,0.79,0.7591,0.6542,0.6323,0.6433,0.4329,0.3562,0.3946
36.8,-0.2406,0.7808,0.3988,0.6968,0.781,0.7389,0.654,0.6455,0.6498,0.4495,0.3538,0.4017
36.9,-0.2732,0.765,0.4216,0.6672,0.7713,0.7192,0.6563,0.66,0.6581,0.4705,0.3529,0.4117
37,-0.3019,0.7488,0.4414,0.6386,0.7604,0.6995,0.6602,0.6747,0.6674,0.4949,0.3522,0.4236
37.1,-0.3287,0.7318,0.4569,0.6103,0.7482,0.6793,0.6649,0.6888,0.6769,0.5219,0.3506,0.4362
37.2,-0.3551,0.7135,0.4676,0.5818,0.7347,0.6583,0.67,0.7024,0.6862,0.5499,0.3473,0.4486
