Time,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
21.8,0.0917,0.7038,0.6352,0.6733,0.8299,0.7516,0.5262,0.4872,0.5067,0.8198,0.8215,0.8207
21.9,0.0633,0.6996,0.6456,0.6655,0.8402,0.7528,0.5279,0.4865,0.5072,0.815,0.8144,0.8147
22,0.0298,0.6967,0.659,0.6579,0.8469,0.7524,0.5269,0.4878,0.5074,0.8101,0.809,0.8096
22.1,-0.0066,0.6947,0.6746,0.6514,0.8492,0.7503,0.5233,0.4912,0.5073,0.8055,0.8056,0.8055
22.2,-0.0435,0.6932,0.691,0.6466,0.8466,0.7466,0.5172,0.4966,0.5069,0.8012,0.8039,0.8025
22.3,-0.0795,0.6917,0.7073,0.6442,0.8389,0.7416,0.509,0.5037,0.5064,0.797,0.804,0.8005
22.4,-0.1147,0.6892,0.723,0.6439,0.8267,0.7353,0.4998,0.5123,0.506,0.7933,0.8059,0.7996
22.5,-0.1499,0.6848,0.7382,0.6451,0.8103,0.7277,0.4903,0.5221,0.5062,0.7905,0.8098,0.8002
22.6,-0.186,0.6782,0.7524,0.6464,0.7898,0.7181,0.4808,0.5327,0.5068,0.7895,0.8158,0.8027
22.7,-0.2236,0.6691,0.7644,0.647,0.7653,0.7061,0.4712,0.5434,0.5073,0.7908,0.8237,0.8073
22.8,-0.2628,0.6584,0.7734,0.6465,0.7375,0.692,0.4618,0.5537,0.5077,0.7946,0.8333,0.8139
22.9,-0.3034,0.6468,0.7797,0.645,0.7079,0.6765,0.454,0.5634,0.5087,0.8014,0.8442,0.8228
23,-0.3462,0.6352,0.7844,0.6428,0.6781,0.6605,0.4494,0.5732,0.5113,0.8118,0.8563,0.8341
23.1,-0.3919,0.6243,0.7888,0.6395,0.6495,0.6445,0.4484,0.5839,0.5162,0.8261,0.8693,0.8477
23.2,-0.4393,0.6141,0.7939,0.6347,0.623,0.6289,0.4508,0.5964,0.5236,0.8443,0.8832,0.8637
23.3,-0.4856,0.6041,0.7999,0.6282,0.5989,0.6136,0.4562,0.6109,0.5335,0.8663,0.8974,0.8819
23.4,-0.5285,0.5944,0.807,0.62,0.5776,0.5988,0.4649,0.6271,0.546,0.8912,0.9117,0.9015
23.5,-0.5673,0.5855,0.8153,0.6103,0.5594,0.5848,0.4768,0.6447,0.5608,0.9179,0.9255,0.9217
23.6,-0.6022,0.578,0.8247,0.599,0.5448,0.5719,0.4917,0.663,0.5773,0.9449,0.9388,0.9419
23.7,-0.6339,0.5729,0.8352,0.586,0.5345,0.5602,0.5085,0.6818,0.5952,0.9708,0.9515,0.9612
23.8,-0.6626,0.5708,0.8468,0.5713,0.5289,0.5501,0.5259,0.7011,0.6135,0.9944,0.9639,0.9792
23.9,-0.6876,0.5717,0.8596,0.5553,0.5285,0.5419,0.5429,0.7211,0.632,1.0151,0.9757,0.9954
24,-0.7079,0.5758,0.8738,0.5388,0.533,0.5359,0.5597,0.7418,0.6508,1.033,0.9864,1.0097
24.1,-0.7225,0.5828,0.8898,0.5229,0.5421,0.5325,0.5765,0.7631,0.6698,1.048,0.9954,1.0217
24.2,-0.7314,0.5921,0.9071,0.5085,0.5553,0.5319,0.5926,0.7843,0.6884,1.0597,1.002,1.0309
24.3,-0.7351,0.6033,0.9247,0.4954,0.572,0.5337,0.6067,0.8042,0.7055,1.0675,1.0057,1.0366
24.4,-0.7341,0.616,0.9417,0.4832,0.5921,0.5376,0.618,0.8215,0.7197,1.0707,1.0061,1.0384
24.5,-0.7278,0.6304,0.957,0.4726,0.6151,0.5438,0.6261,0.8352,0.7307,1.0694,1.0026,1.036
24.6,-0.7149,0.6471,0.9692,0.4646,0.6406,0.5526,0.632,0.8448,0.7384,1.0642,0.9946,1.0294
24.7,-0.6942,0.666,0.9777,0.46,0.668,0.564,0.6368,0.85,0.7434,1.0562,0.9824,1.0193
24.8,-0.666,0.687,0.9825,0.4594,0.6967,0.5781,0.6414,0.8509,0.7462,1.0457,0.9667,1.0062
24.9,-0.6315,0.7097,0.984,0.4632,0.727,0.5951,0.6462,0.8481,0.7472,1.033,0.9486,0.9908
25,-0.5928,0.7341,0.983,0.4725,0.7593,0.6159,0.652,0.8423,0.7471,1.0191,0.9292,0.9742
25.1,-0.5517,0.7602,0.9804,0.4893,0.7939,0.6416,0.6596,0.8344,0.747,1.0057,0.91,0.9579
25.2,-0.5099,0.7877,0.9768,0.5145,0.83,0.6723,0.6693,0.8251,0.7472,0.9943,0.892,0.9431
25.3,-0.4691,0.8155,0.9732,0.5472,0.8657,0.7064,0.6803,0.8146,0.7475,0.9855,0.8762,0.9308
25.4,-0.4308,0.8427,0.9701,0.5849,0.8995,0.7422,0.6923,0.8031,0.7477,0.979,0.8633,0.9212
25.5,-0.3968,0.8691,0.9673,0.6256,0.9307,0.7781,0.7053,0.7914,0.7483,0.974,0.8532,0.9136
25.6,-0.3686,0.8954,0.9643,0.6679,0.96,0.8139,0.7197,0.78,0.7498,0.9699,0.8455,0.9077
25.7,-0.3468,0.9221,0.9604,0.7109,0.988,0.8495,0.7356,0.77,0.7528,0.9673,0.8399,0.9036
25.8,-0.3312,0.9493,0.9553,0.7532,1.0145,0.8838,0.7522,0.7619,0.757,0.967,0.8365,0.9018
25.9,-0.3199,0.976,0.9489,0.7929,1.0382,0.9156,0.7682,0.7561,0.7621,0.9692,0.8357,0.9025
26,-0.3101,1.0016,0.9412,0.8288,1.0579,0.9434,0.783,0.7526,0.7678,0.9733,0.8374,0.9053
26.1,-0.2994,1.0254,0.9327,0.8609,1.0736,0.9672,0.7964,0.752,0.7742,0.978,0.8412,0.9096
26.2,-0.2869,1.047,0.9238,0.8899,1.0863,0.9881,0.8089,0.7545,0.7817,0.9826,0.8466,0.9146
26.3,-0.2733,1.0661,0.9153,0.9167,1.0977,1.0072,0.8203,0.7604,0.7903,0.9862,0.853,0.9196
26.4,-0.2601,1.0824,0.9079,0.9413,1.1088,1.0251,0.8299,0.7697,0.7998,0.9879,0.8602,0.924
26.5,-0.2484,1.0961,0.9013,0.9638,1.1203,1.042,0.8367,0.7823,0.8095,0.9873,0.8687,0.928
26.6,-0.2376,1.1073,0.895,0.9845,1.1323,1.0584,0.8403,0.798,0.8191,0.9848,0.8794,0.9321
26.7,-0.2271,1.1165,0.889,1.004,1.1447,1.0743,0.8407,0.8166,0.8287,0.9813,0.8931,0.9372
26.8,-0.2168,1.1242,0.8835,1.0227,1.1572,1.09,0.8387,0.8378,0.8383,0.9775,0.9103,0.9439
26.9,-0.2068,1.1308,0.8788,1.0405,1.1693,1.1049,0.8351,0.8613,0.8482,0.9739,0.931,0.9524
27,-0.198,1.1365,0.8751,1.0561,1.1805,1.1183,0.8307,0.8871,0.8589,0.9712,0.9553,0.9633
27.1,-0.1913,1.141,0.8726,1.0689,1.1904,1.1296,0.8265,0.9146,0.8705,0.9699,0.9833,0.9766
27.2,-0.1875,1.1439,0.8712,1.0781,1.1984,1.1383,0.8228,0.9425,0.8826,0.9702,1.0138,0.992
27.3,-0.1863,1.1449,0.8701,1.0837,1.2033,1.1435,0.8191,0.9689,0.894,0.9718,1.045,1.0084
27.4,-0.1864,1.1438,0.8686,1.0857,1.2031,1.1444,0.8147,0.9915,0.9031,0.9734,1.0744,1.0239
27.5,-0.1865,1.1403,0.8659,1.0838,1.1964,1.1401,0.8089,1.009,0.9089,0.9737,1.0999,1.0368
27.6,-0.1859,1.1342,0.8619,1.0775,1.1827,1.1301,0.8023,1.021,0.9116,0.9724,1.121,1.0467
27.7,-0.1844,1.126,0.8578,1.0662,1.1626,1.1144,0.7972,1.0276,0.9124,0.9706,1.1377,1.0542
27.8,-0.1821,1.116,0.8554,1.0507,1.1379,1.0943,0.7963,1.0291,0.9127,0.9701,1.1506,1.0603
27.9,-0.1792,1.1049,0.8558,1.0328,1.1102,1.0715,0.8015,1.0259,0.9137,0.9722,1.1601,1.0661
28,-0.1765,1.0929,0.8601,1.0137,1.0808,1.0473,0.8136,1.0188,0.9162,0.978,1.1664,1.0722
28.1,-0.1753,1.0805,0.8701,0.9946,1.0512,1.0229,0.832,1.0083,0.9202,0.988,1.1708,1.0794
28.2,-0.177,1.0685,0.8877,0.9769,1.0234,1.0001,0.8552,0.9957,0.9255,1.0029,1.1741,1.0885
28.3,-0.1829,1.0577,0.9141,0.9627,0.9993,0.981,0.8812,0.9821,0.9316,1.0238,1.1773,1.1006
28.4,-0.1927,1.049,0.9491,0.9536,0.9801,0.9669,0.9082,0.9688,0.9385,1.051,1.1804,1.1157
28.5,-0.2059,1.0426,0.9914,0.9497,0.966,0.9579,0.9347,0.9568,0.9457,1.0835,1.1826,1.1331
28.6,-0.2219,1.0383,1.0384,0.9496,0.9563,0.9529,0.9591,0.9472,0.9531,1.1189,1.183,1.151
28.7,-0.2401,1.0362,1.0868,0.951,0.9501,0.9505,0.98,0.9407,0.9604,1.1543,1.1816,1.168
28.8,-0.2594,1.0364,1.1328,0.9529,0.9469,0.9499,0.9968,0.938,0.9674,1.1877,1.1787,1.1832
28.9,-0.2773,1.0397,1.1735,0.9551,0.9466,0.9509,1.0088,0.9388,0.9738,1.2177,1.1744,1.1961
29,-0.291,1.0462,1.2067,0.9581,0.949,0.9535,1.0155,0.9426,0.979,1.2437,1.1686,1.2061
29.1,-0.2994,1.0547,1.2318,0.9608,0.9536,0.9572,1.0165,0.949,0.9828,1.2643,1.1609,1.2126
29.2,-0.3041,1.0637,1.2494,0.9617,0.9598,0.9607,1.0119,0.9579,0.9849,1.2773,1.1518,1.2145
29.3,-0.307,1.0717,1.2607,0.959,0.967,0.963,1.0022,0.9689,0.9855,1.2808,1.1416,1.2112
29.4,-0.3086,1.0781,1.2669,0.9525,0.9742,0.9634,0.9879,0.9816,0.9847,1.2743,1.1307,1.2025
29.5,-0.3072,1.0827,1.2685,0.943,0.9805,0.9617,0.9698,0.9951,0.9824,1.2585,1.1192,1.1888
29.6,-0.3008,1.0854,1.2655,0.931,0.9851,0.9581,0.9488,1.008,0.9784,1.2357,1.1074,1.1715
29.7,-0.2887,1.0854,1.2581,0.9168,0.9872,0.952,0.9251,1.0191,0.9721,1.2082,1.0961,1.1521
29.8,-0.2714,1.0825,1.2466,0.9,0.9863,0.9431,0.8994,1.0275,0.9634,1.1783,1.0862,1.1322
29.9,-0.2497,1.0765,1.2316,0.8816,0.9821,0.9319,0.8721,1.0328,0.9525,1.1481,1.0782,1.1132
